"","1642.MS00606","1642.MS00433","1642.MS00633","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00361","1642.MS00413","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00442","1642.MS00505","1642.MS00524","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00612","1642.MS00522","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00601","1642.MS00516","1642.MS00541","1642.MS00530","1642.MS00621","1642.MS00559","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00602","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00341","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences"
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",1.19265885075885,-0.874666734507375,1.40081063252983,-3.4182895028353,-1.72090071007404,-0.619529363788647,-4.59119061454372,-5.85072385252273,-5.11911454118695,-3.58599255811948,NA,0.285712600613833,-1.14634868907897,1.03260098898854,-4.21291883278356,-3.66046582958,0.507043199417843,-5.27396986063136,0.0842699277692761,-4.67314233114038,1.11145610264228,0.726906264956929,-5.83174880519802,-1.35736781945319,-6.04650698951007,0.331480458107754,0.681427304818553,0.563206978372426,-0.00588040083851829,2.27410279697843,-0.247151232111554,-4.76165865064914,1.59036769743279,-4.20216559393451,-4.19192575511059,-7.33344860782075,-0.84348533078364,-4.51055660500581,-2.21326449824477,-4.79753002090386
"1642.MS00442",-2.92315891144917,-1.1550556137266,-3.68420339379658,0.206679347409043,-3.08111695705496,-4.15287008095539,0.449423941366765,0.171961709088413,0.401409160943738,3.61106864231828,0.285712600613833,NA,-2.77983265564287,-2.20914652652163,0.59228986153774,6.4948024502496,-3.28744094991572,4.57498133464869,-2.92966585883162,5.36703204994783,-1.6227188823882,-4.16666106184063,0.512097008195036,-2.61069189791273,1.42567406172624,-3.07127616646461,-2.96732111748481,-3.46148922397812,-1.92850299785121,-1.86569492002472,-1.10119507539407,1.52712277555483,-2.55693854015184,4.79861350451354,0.68981132646776,1.39123861745492,-3.55280757613995,-0.0458137570829832,-2.42649115536392,-0.27292602013018
"1642.MS00505",-2.80674056701049,-2.86448432219407,-1.6861867617999,-1.1068400070243,-3.33506533089888,-3.05216255192947,-0.899015673679532,-1.06029982494921,-1.15167440088674,-0.212531879642922,-1.14634868907897,-2.77983265564287,NA,-0.71105955204381,-0.976588277196035,0.597411643288178,-3.03092946195597,0.00855848814624518,-4.47008089903563,0.0355661501451488,-0.974172630487612,-2.81884026784131,-0.625893314640542,-3.30487763176086,0.462789427984317,-3.52316579090966,-3.28847661707672,-5.86040539413801,-1.84375787382318,-2.49587654057712,-1.287970471994,-0.514432170262807,-2.10879199511411,-0.0338030087640195,-1.18088977392425,-0.555010551682071,-4.21500387751306,-1.04718802481204,-3.11042511197423,-1.4483572041739
"1642.MS00524",-2.34312906935687,-1.01539328702672,-1.36683183533087,0.606141715769571,-2.16697824475666,-2.19888888531274,1.24628260013,1.55992860905785,1.07783637332406,4.25603692789473,1.03260098898854,-2.20914652652163,-0.71105955204381,NA,0.962071171323474,5.92033918843796,-2.20211452401525,5.30600565416283,-1.6860307014695,5.36684052913815,-1.70538556530945,-1.91912818223025,0.917796736647111,-2.10459979559888,2.41147291238663,-3.2661171530642,-3.64511805283048,-2.09074610253336,-3.59451939281585,-1.22003031552409,-2.2002364227836,2.19077016848427,-0.977165690799364,5.42852326782176,1.19163987199591,2.11085353332829,-2.29954224874443,0.759387433100181,-1.18048002303589,0.553561226495806
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",0.0372991015547162,-0.64090924579045,2.12296700695996,-4.32203746292336,-0.779135807937307,-0.156516889816287,-5.81813665500818,-6.79338669560167,-4.6045711210529,-5.4621843204385,-4.21291883278356,0.59228986153774,-0.976588277196035,0.962071171323474,NA,-3.02045712905933,1.02654192388447,-5.2604746030784,-0.336603678783325,-3.6418493124032,0.94720576955961,0.203970101136629,-5.0313940735022,-0.891572336118245,-4.82733417282473,0.464437143970287,0.630896955325757,-0.405044150963807,0.143879783009618,0.812385777158492,0.188894992381465,-5.86034595285423,1.00519997261169,-3.38409935114236,-5.53309669145001,-5.2338777763044,-1.14433407871378,-5.86458249208593,-0.669447705002,-4.94835571223329
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",8.24673985502246,3.54840083488472,8.47746108125412,-3.32492918887534,1.98243630111281,3.13025798006287,-3.28747004192679,-6.0488354107882,-4.35277727623091,-4.61440093276967,-3.66046582958,6.4948024502496,0.597411643288178,5.92033918843796,-3.02045712905933,NA,6.95637954696098,-4.40596824426937,4.07505459618888,-5.82886266638872,6.99862668430302,5.86899777293826,-2.35919114744831,0.111747133206383,-3.99278294624627,7.22471660880786,5.56301249700944,7.56856377403975,3.91062231058524,8.38590087363236,3.47738127268056,-4.181051875652,8.93659785765741,-4.87000981260684,-5.69275103872551,-4.17454434772816,4.72241342258084,-3.10011722719183,0.430200543106219,-5.61737805011504
"1642.MS00482",-2.31486236101723,-2.32791659500075,-2.58153193014799,0.429745979680704,-3.43686662489754,-3.62690519673261,0.991128063046861,1.60604391397729,1.43413838259586,5.20302723212975,0.507043199417843,-3.28744094991572,-3.03092946195597,-2.20211452401525,1.02654192388447,6.95637954696098,NA,5.56640921466308,-5.07115685786358,5.06429823229153,-2.79677640010649,-3.43543690306135,0.970054008364553,-3.24642642170677,2.35272195396307,-3.00249626543938,-2.30743238610021,-3.59508047372105,-2.31197803963017,-1.77548805830656,-1.47562821261326,3.07882425277338,-1.98875405856081,6.1107105819535,2.13153897639987,1.99270419211831,-2.97045374467113,0.16991927134208,-2.77856973793557,1.08865415447092
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",6.21828843484931,1.01335679498668,7.37454639591869,-4.0957540037771,0.717346612911669,1.48286396111266,-4.40273351753246,-5.45304128064824,-4.53405604487388,-5.55689297164426,-5.27396986063136,4.57498133464869,0.00855848814624518,5.30600565416283,-5.2604746030784,-4.40596824426937,5.56640921466308,NA,3.17871878067484,-5.87464009337833,5.14263423801393,4.17427282107683,-4.96370492048321,-0.41738522990713,-4.85689384667467,5.17107843160676,4.35619891919608,4.79033980611744,2.75192094855961,5.50224884673415,2.0946979510988,-5.30571212879827,6.7921328840738,-5.99397750947797,-4.98365963295676,-5.93524118443052,2.49002441528134,-4.59115131657724,1.35160085750302,-4.92086275186048
"1642.MS00461",-2.89042491394128,-2.76435706160646,-2.12834441133021,-0.354823367761928,-2.86325641919208,-3.50608577873836,-0.255242389324167,-0.581389949488338,-0.432957135575939,2.58364887294192,0.0842699277692761,-2.92966585883162,-4.47008089903563,-1.6860307014695,-0.336603678783325,4.07505459618888,-5.07115685786358,3.17871878067484,NA,2.87901276234864,-1.54910260344492,-2.57007110584029,0.227298083787605,-2.87407756596402,0.858064938509546,-3.60268112177102,-2.95190014240735,-3.58038759148492,-2.06501721273792,-1.74003857099195,-1.61794279329855,1.98968475164628,-2.36304238710142,3.65396641072688,-0.0572628562132681,0.834928926892224,-3.81387321737853,0.529354907544331,-2.39636431741113,-0.807452266091731
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",6.51261883909817,0.811197762727879,6.95979553398021,-4.31218658869915,-0.00556746324420435,1.85351035183912,-4.16342988205258,-7.32314548892576,-5.02369224304308,-5.69569421118624,-4.67314233114038,5.36703204994783,0.0355661501451488,5.36684052913815,-3.6418493124032,-5.82886266638872,5.06429823229153,-5.87464009337833,2.87901276234864,NA,5.38179953066293,4.70376604818183,-2.48356137629648,-0.353361011161421,-5.17171634811117,5.26735089682149,3.82019618318399,4.67885641320059,1.53121948887624,4.85012773396677,1.93609514013478,-4.73866081061686,5.549415041579,-7.71439526508806,-6.29371722403653,-4.53378257661408,2.83273979144622,-3.59124886053024,-2.14689901766043,-5.98029681764992
