#OTU-ID	Description	Env	SourceSink	Study	Details
A5875	Host-associated	Animal-corpus	source	EMP	EMP
A5881	Host-associated	Animal-corpus	source	EMP	EMP
A5914	Host-associated	Animal-corpus	source	EMP	EMP
A6000	Host-associated	Animal-corpus	source	EMP	EMP
A6008	Host-associated	Animal-corpus	source	EMP	EMP
A6057	Host-associated	Animal-corpus	source	EMP	EMP
A6092	Host-associated	Animal-corpus	source	EMP	EMP
A6096	Host-associated	Animal-corpus	source	EMP	EMP
A6098	Host-associated	Animal-corpus	source	EMP	EMP
A6115	Host-associated	Animal-corpus	source	EMP	EMP
A6150	Host-associated	Animal-corpus	source	EMP	EMP
A6202	Host-associated	Animal-corpus	source	EMP	EMP
A6217	Host-associated	Animal-corpus	source	EMP	EMP
A6291	Host-associated	Animal-corpus	source	EMP	EMP
A6310	Host-associated	Animal-corpus	source	EMP	EMP
A6349	Host-associated	Animal-corpus	source	EMP	EMP
A6375	Host-associated	Animal-corpus	source	EMP	EMP
A6413	Host-associated	Animal-corpus	source	EMP	EMP
A6449	Host-associated	Animal-corpus	source	EMP	EMP
A6451	Host-associated	Animal-corpus	source	EMP	EMP
A6502	Host-associated	Animal-corpus	source	EMP	EMP
A6514	Host-associated	Animal-corpus	source	EMP	EMP
A6553	Host-associated	Animal-corpus	source	EMP	EMP
A6555	Host-associated	Animal-corpus	source	EMP	EMP
A6558	Host-associated	Animal-corpus	source	EMP	EMP
A6597	Host-associated	Animal-corpus	source	EMP	EMP
A6656	Host-associated	Animal-corpus	source	EMP	EMP
A6660	Host-associated	Animal-corpus	source	EMP	EMP
A6664	Host-associated	Animal-corpus	source	EMP	EMP
A6694	Host-associated	Animal-corpus	source	EMP	EMP
A6702	Host-associated	Animal-corpus	source	EMP	EMP
A6720	Host-associated	Animal-corpus	source	EMP	EMP
A6759	Host-associated	Animal-corpus	source	EMP	EMP
A6767	Host-associated	Animal-corpus	source	EMP	EMP
A6870	Host-associated	Animal-corpus	source	EMP	EMP
A6881	Host-associated	Animal-corpus	source	EMP	EMP
A6909	Host-associated	Animal-corpus	source	EMP	EMP
A7006	Host-associated	Animal-corpus	source	EMP	EMP
A7044	Host-associated	Animal-corpus	source	EMP	EMP
A7080	Host-associated	Animal-corpus	source	EMP	EMP
A7120	Host-associated	Animal-corpus	source	EMP	EMP
A7122	Host-associated	Animal-corpus	source	EMP	EMP
A7169	Host-associated	Animal-corpus	source	EMP	EMP
A7257	Host-associated	Animal-corpus	source	EMP	EMP
A7271	Host-associated	Animal-corpus	source	EMP	EMP
A7276	Host-associated	Animal-corpus	source	EMP	EMP
A7278	Host-associated	Animal-corpus	source	EMP	EMP
A7351	Host-associated	Animal-corpus	source	EMP	EMP
A7393	Host-associated	Animal-corpus	source	EMP	EMP
A7395	Host-associated	Animal-corpus	source	EMP	EMP
A7396	Host-associated	Animal-corpus	source	EMP	EMP
A7417	Host-associated	Animal-corpus	source	EMP	EMP
A7513	Host-associated	Animal-corpus	source	EMP	EMP
A7519	Host-associated	Animal-corpus	source	EMP	EMP
A7574	Host-associated	Animal-corpus	source	EMP	EMP
A7581	Host-associated	Animal-corpus	source	EMP	EMP
A7611	Host-associated	Animal-corpus	source	EMP	EMP
A7659	Host-associated	Animal-corpus	source	EMP	EMP
A7668	Host-associated	Animal-corpus	source	EMP	EMP
A7687	Host-associated	Animal-corpus	source	EMP	EMP
A7692	Host-associated	Animal-corpus	source	EMP	EMP
A7698	Host-associated	Animal-corpus	source	EMP	EMP
A7763	Host-associated	Animal-corpus	source	EMP	EMP
A7793	Host-associated	Animal-corpus	source	EMP	EMP
A7805	Host-associated	Animal-corpus	source	EMP	EMP
A7813	Host-associated	Animal-corpus	source	EMP	EMP
A7864	Host-associated	Animal-corpus	source	EMP	EMP
A7873	Host-associated	Animal-corpus	source	EMP	EMP
A7902	Host-associated	Animal-corpus	source	EMP	EMP
A7974	Host-associated	Animal-corpus	source	EMP	EMP
A7979	Host-associated	Animal-corpus	source	EMP	EMP
A8040	Host-associated	Animal-corpus	source	EMP	EMP
A8057	Host-associated	Animal-corpus	source	EMP	EMP
A8059	Host-associated	Animal-corpus	source	EMP	EMP
A8066	Host-associated	Animal-corpus	source	EMP	EMP
A8072	Host-associated	Animal-corpus	source	EMP	EMP
A8091	Host-associated	Animal-corpus	source	EMP	EMP
A8100	Host-associated	Animal-corpus	source	EMP	EMP
A8132	Host-associated	Animal-corpus	source	EMP	EMP
A8145	Host-associated	Animal-corpus	source	EMP	EMP
A8160	Host-associated	Animal-corpus	source	EMP	EMP
A8188	Host-associated	Animal-corpus	source	EMP	EMP
A8205	Host-associated	Animal-corpus	source	EMP	EMP
A8230	Host-associated	Animal-corpus	source	EMP	EMP
A8240	Host-associated	Animal-corpus	source	EMP	EMP
A8259	Host-associated	Animal-corpus	source	EMP	EMP
A8275	Host-associated	Animal-corpus	source	EMP	EMP
A8317	Host-associated	Animal-corpus	source	EMP	EMP
A8386	Host-associated	Animal-corpus	source	EMP	EMP
A8394	Host-associated	Animal-corpus	source	EMP	EMP
A8490	Host-associated	Animal-corpus	source	EMP	EMP
A8593	Host-associated	Animal-corpus	source	EMP	EMP
A8604	Host-associated	Animal-corpus	source	EMP	EMP
A8620	Host-associated	Animal-corpus	source	EMP	EMP
A8660	Host-associated	Animal-corpus	source	EMP	EMP
A8667	Host-associated	Animal-corpus	source	EMP	EMP
A8674	Host-associated	Animal-corpus	source	EMP	EMP
A8728	Host-associated	Animal-corpus	source	EMP	EMP
A8740	Host-associated	Animal-corpus	source	EMP	EMP
A8767	Host-associated	Animal-corpus	source	EMP	EMP
A8779	Host-associated	Animal-corpus	source	EMP	EMP
A8821	Host-associated	Animal-corpus	source	EMP	EMP
A8855	Host-associated	Animal-corpus	source	EMP	EMP
A8870	Host-associated	Animal-corpus	source	EMP	EMP
A8873	Host-associated	Animal-corpus	source	EMP	EMP
A8917	Host-associated	Animal-corpus	source	EMP	EMP
A8949	Host-associated	Animal-corpus	source	EMP	EMP
A8960	Host-associated	Animal-corpus	source	EMP	EMP
A9018	Host-associated	Animal-corpus	source	EMP	EMP
A9035	Host-associated	Animal-corpus	source	EMP	EMP
A9074	Host-associated	Animal-corpus	source	EMP	EMP
A9095	Host-associated	Animal-corpus	source	EMP	EMP
A9136	Host-associated	Animal-corpus	source	EMP	EMP
A9155	Host-associated	Animal-corpus	source	EMP	EMP
A9162	Host-associated	Animal-corpus	source	EMP	EMP
A9221	Host-associated	Animal-corpus	source	EMP	EMP
A9228	Host-associated	Animal-corpus	source	EMP	EMP
A9241	Host-associated	Animal-corpus	source	EMP	EMP
A9250	Host-associated	Animal-corpus	source	EMP	EMP
A9318	Host-associated	Animal-corpus	source	EMP	EMP
A9347	Host-associated	Animal-corpus	source	EMP	EMP
A9361	Host-associated	Animal-corpus	source	EMP	EMP
A9380	Host-associated	Animal-corpus	source	EMP	EMP
A9417	Host-associated	Animal-corpus	source	EMP	EMP
A9456	Host-associated	Animal-corpus	source	EMP	EMP
A9463	Host-associated	Animal-corpus	source	EMP	EMP
A9481	Host-associated	Animal-corpus	source	EMP	EMP
A9517	Host-associated	Animal-corpus	source	EMP	EMP
A9536	Host-associated	Animal-corpus	source	EMP	EMP
A9564	Host-associated	Animal-corpus	source	EMP	EMP
A9568	Host-associated	Animal-corpus	source	EMP	EMP
A9606	Host-associated	Animal-corpus	source	EMP	EMP
A9639	Host-associated	Animal-corpus	source	EMP	EMP
A9644	Host-associated	Animal-corpus	source	EMP	EMP
A9660	Host-associated	Animal-corpus	source	EMP	EMP
A9679	Host-associated	Animal-corpus	source	EMP	EMP
A9705	Host-associated	Animal-corpus	source	EMP	EMP
A9770	Host-associated	Animal-corpus	source	EMP	EMP
A9788	Host-associated	Animal-corpus	source	EMP	EMP
A9836	Host-associated	Animal-corpus	source	EMP	EMP
A9849	Host-associated	Animal-corpus	source	EMP	EMP
A9923	Host-associated	Animal-corpus	source	EMP	EMP
A9943	Host-associated	Animal-corpus	source	EMP	EMP
A9987	Host-associated	Animal-corpus	source	EMP	EMP
A9992	Host-associated	Animal-corpus	source	EMP	EMP
A23	Host-associated	Animal-distal-gut	source	EMP	EMP
A27	Host-associated	Animal-distal-gut	source	EMP	EMP
A50	Host-associated	Animal-distal-gut	source	EMP	EMP
A60	Host-associated	Animal-distal-gut	source	EMP	EMP
A62	Host-associated	Animal-distal-gut	source	EMP	EMP
A70	Host-associated	Animal-distal-gut	source	EMP	EMP
A76	Host-associated	Animal-distal-gut	source	EMP	EMP
A80	Host-associated	Animal-distal-gut	source	EMP	EMP
A85	Host-associated	Animal-distal-gut	source	EMP	EMP
A101	Host-associated	Animal-distal-gut	source	EMP	EMP
A118	Host-associated	Animal-distal-gut	source	EMP	EMP
A119	Host-associated	Animal-distal-gut	source	EMP	EMP
A120	Host-associated	Animal-distal-gut	source	EMP	EMP
A138	Host-associated	Animal-distal-gut	source	EMP	EMP
A145	Host-associated	Animal-distal-gut	source	EMP	EMP
A171	Host-associated	Animal-distal-gut	source	EMP	EMP
A173	Host-associated	Animal-distal-gut	source	EMP	EMP
A178	Host-associated	Animal-distal-gut	source	EMP	EMP
A181	Host-associated	Animal-distal-gut	source	EMP	EMP
A194	Host-associated	Animal-distal-gut	source	EMP	EMP
A202	Host-associated	Animal-distal-gut	source	EMP	EMP
A204	Host-associated	Animal-distal-gut	source	EMP	EMP
A207	Host-associated	Animal-distal-gut	source	EMP	EMP
A214	Host-associated	Animal-distal-gut	source	EMP	EMP
A221	Host-associated	Animal-distal-gut	source	EMP	EMP
A225	Host-associated	Animal-distal-gut	source	EMP	EMP
A255	Host-associated	Animal-distal-gut	source	EMP	EMP
A262	Host-associated	Animal-distal-gut	source	EMP	EMP
A294	Host-associated	Animal-distal-gut	source	EMP	EMP
A300	Host-associated	Animal-distal-gut	source	EMP	EMP
A303	Host-associated	Animal-distal-gut	source	EMP	EMP
