"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A5477"	0.0185	0.0095	0.0217	0.0184	0.0108	0.0082	0.0073	0.0091	0.0095	0.5786	0.0211	0.1917	0.0137	0.0096	0.0332	0.0062	0.0329
"A5513"	0.0124	0.0155	0.0059	0.0055	0.0121	0.0119	0.0051	0.0028	0.0155	0.0339	0.0253	0.7923	0.0145	0.0119	0.0177	0.0059	0.0118
"A5557"	0.0154	0.0045	0.0256	0.02	0.008	0.0043	0.0065	0.109	0.0095	0.5471	0.0233	0.1211	0.0078	0.0107	0.0339	0.0056	0.0477
"A5573"	0.0112	0.0105	0.0124	0.0081	0.0086	0.0072	0.0078	0.005	0.0086	0.5823	0.0305	0.2355	0.0118	0.0122	0.0266	0.0067	0.015
"A5602"	0.0086	0.0116	0.0034	0.0038	0.0063	0.0115	0.0056	0.0038	0.0938	0.0383	0.0418	0.6159	0.0133	0.0291	0.0824	0.0183	0.0125
"A5610"	0.0112	0.0325	0.0048	0.0029	0.0096	0.0239	0.008	0.0297	0.2388	0.0324	0.1514	0.2837	0.0144	0.0822	0.0318	0.037	0.0057
"A5645"	0.015	0.0943	0.0035	0.0029	0.0112	0.0366	0.0086	0.0062	0.135	0.0162	0.0352	0.4759	0.0233	0.0528	0.047	0.034	0.0023
"A5668"	0.0259	0.0093	0.0282	0.0311	0.0085	0.0055	0.0089	0.0263	0.0142	0.5377	0.0352	0.1826	0.0126	0.0149	0.0249	0.009	0.0252
"A5687"	0.0206	0.0092	0.0322	0.0219	0.012	0.0094	0.0096	0.2214	0.0132	0.2028	0.0334	0.1523	0.0091	0.0212	0.2033	0.0089	0.0195
"A5704"	0.009	0.0047	0.0207	0.0228	0.006	0.0032	0.006	0.004	0.0064	0.6808	0.0254	0.1151	0.0077	0.0071	0.0213	0.0036	0.0562
"A5711"	0.0088	0.0086	0.0207	0.0177	0.0059	0.0086	0.0101	0.003	0.0142	0.6153	0.0447	0.1387	0.0089	0.0119	0.0186	0.008	0.0563
"A5735"	0.0187	0.0981	0.0053	0.0036	0.0167	0.0773	0.0094	0.0113	0.1615	0.019	0.078	0.0865	0.0256	0.0622	0.0499	0.0395	0.2374
"A5767"	0.0146	0.0071	0.0308	0.0268	0.0095	0.0077	0.0083	0.005	0.0118	0.5526	0.0244	0.1998	0.0118	0.0136	0.0339	0.0084	0.0339
"A5771"	0.0124	0.0526	0.0064	0.0038	0.0114	0.0579	0.0091	0.0094	0.2345	0.0208	0.1147	0.2337	0.04	0.0976	0.0472	0.041	0.0075
"A5784"	0.024	0.0083	0.0215	0.0181	0.0099	0.0076	0.0075	0.1193	0.012	0.3691	0.039	0.2015	0.0114	0.0173	0.103	0.0135	0.017
"A5788"	0.0057	0.0118	0.0034	0.0017	0.0048	0.006	0.0061	0.0014	0.0317	0.1399	0.0257	0.6754	0.0119	0.0135	0.0182	0.0081	0.0347
"A5828"	0.0087	0.0147	0.0032	0.003	0.0056	0.0102	0.0068	0.0018	0.0311	0.1079	0.0285	0.7009	0.0109	0.0166	0.0277	0.0093	0.0131
"A5832"	0.0138	0.0056	0.0139	0.0166	0.0097	0.0068	0.0056	0.0382	0.0133	0.6086	0.0279	0.1668	0.0114	0.0125	0.0237	0.0065	0.0191
"A5847"	0.0192	0.0539	0.0042	0.0043	0.0154	0.0308	0.0059	0.0623	0.082	0.0176	0.0409	0.4402	0.0302	0.0552	0.0934	0.0386	0.0059
"A5858"	0.0098	0.0448	0.0051	0.0037	0.0126	0.0369	0.0058	0.0038	0.1557	0.0299	0.2119	0.3504	0.0151	0.0589	0.0197	0.0261	0.0098
"A5859"	0.0058	0.0129	0.003	0.0024	0.0068	0.0086	0.0083	0.0013	0.0357	0.0582	0.0332	0.7279	0.0159	0.0186	0.0403	0.0119	0.0092
"A5911"	0.0183	0.0059	0.0214	0.017	0.0049	0.0042	0.009	0.1355	0.0112	0.4303	0.0234	0.2174	0.0086	0.0131	0.0327	0.0081	0.039
"A5929"	0.0176	0.0066	0.0217	0.0278	0.0111	0.0066	0.0065	0.0255	0.012	0.5103	0.0282	0.1875	0.0107	0.0166	0.0406	0.0081	0.0626
"A5941"	0.0348	0.0063	0.1083	0.0902	0.0087	0.0065	0.0067	0.0706	0.0088	0.428	0.0247	0.1233	0.006	0.0098	0.022	0.0071	0.0382
"A5973"	0.0109	0.0061	0.0209	0.0221	0.0063	0.0058	0.0082	0.0028	0.0085	0.5816	0.0231	0.1828	0.0076	0.01	0.018	0.0046	0.0807
"A5979"	0.0138	0.0282	0.0039	0.0044	0.0109	0.021	0.0073	0.036	0.1209	0.0252	0.0455	0.3053	0.0212	0.0839	0.2331	0.0312	0.0082
"A5981"	0.006	0.0127	0.0015	0.002	0.0062	0.0094	0.006	0.0015	0.0259	0.0929	0.0375	0.6057	0.0093	0.014	0.0311	0.0142	0.1241
"A5987"	0.0109	0.042	0.0065	0.0041	0.013	0.0446	0.0081	0.0181	0.246	0.0287	0.1666	0.1033	0.0298	0.1167	0.1046	0.0531	0.0039
"A5994"	0.0142	0.0666	0.0068	0.004	0.0138	0.0549	0.0116	0.0251	0.1792	0.0303	0.1277	0.2263	0.0274	0.1012	0.0586	0.0372	0.0151
"A6038"	0.0155	0.0099	0.0184	0.0176	0.0113	0.0036	0.0074	0.0467	0.009	0.535	0.0204	0.2201	0.0105	0.0105	0.023	0.0089	0.0322
"A6047"	0.0188	0.0085	0.0222	0.0226	0.0068	0.0066	0.0064	0.1078	0.0139	0.5645	0.0363	0.1111	0.0102	0.0104	0.0273	0.008	0.0186
"A6058"	0.0197	0.0098	0.0168	0.0204	0.0089	0.0096	0.0087	0.0916	0.0127	0.4774	0.0393	0.1434	0.0154	0.0148	0.0497	0.0107	0.0511
"A6102"	0.0082	0.0137	0.0022	0.0012	0.005	0.0067	0.0072	0.0041	0.0248	0.0666	0.022	0.4062	0.009	0.0119	0.0256	0.0105	0.3751
"A6106"	0.0076	0.0062	0.0168	0.0169	0.0077	0.005	0.0076	0.0037	0.008	0.6629	0.0224	0.1156	0.0061	0.0084	0.0188	0.0049	0.0814
"A6114"	0.0165	0.0419	0.0061	0.0047	0.013	0.0364	0.0093	0.0373	0.1163	0.0297	0.1674	0.2975	0.0232	0.0866	0.0538	0.0329	0.0274
"A6118"	0.0196	0.0076	0.0219	0.0163	0.0054	0.0104	0.0095	0.2265	0.0141	0.2998	0.023	0.1929	0.0088	0.0132	0.0865	0.0094	0.0351
"A6134"	0.0336	0.0179	0.0231	0.0291	0.011	0.0122	0.0098	0.0322	0.017	0.4449	0.02	0.1997	0.0209	0.0179	0.0336	0.0111	0.066
"A6166"	0.0381	0.0125	0.0467	0.0555	0.0115	0.0096	0.0087	0.0855	0.0102	0.361	0.0295	0.1146	0.0111	0.0136	0.1693	0.009	0.0136
"A6193"	0.0154	0.0055	0.0143	0.0135	0.0051	0.0056	0.0078	0.0139	0.0074	0.5552	0.0252	0.184	0.0084	0.0095	0.03	0.0061	0.0931
"A6241"	0.0092	0.0087	0.0173	0.0135	0.0062	0.0064	0.0082	0.0028	0.0124	0.6566	0.0348	0.1485	0.0114	0.0105	0.022	0.0061	0.0254
"A6251"	0.0139	0.0062	0.0162	0.0215	0.0071	0.0078	0.007	0.044	0.0123	0.6557	0.0264	0.1168	0.0101	0.0133	0.022	0.0074	0.0123
"A6258"	0.0214	0.0098	0.0175	0.0199	0.009	0.0094	0.0105	0.0887	0.0146	0.4496	0.0321	0.2082	0.0101	0.0144	0.0537	0.0084	0.0227
"A6271"	0.0103	0.0096	0.0131	0.0162	0.0094	0.0066	0.0088	0.0022	0.0098	0.501	0.0317	0.266	0.0102	0.0095	0.0224	0.0074	0.0658
"A6299"	0.0274	0.0104	0.0606	0.0372	0.0106	0.0086	0.0088	0.0236	0.0123	0.3004	0.0298	0.2145	0.0085	0.0136	0.1758	0.006	0.0519
"A6325"	0.0163	0.0089	0.024	0.0253	0.0072	0.0074	0.0092	0.0128	0.008	0.6306	0.0452	0.101	0.0094	0.0141	0.0369	0.0063	0.0374
"A6345"	0.0071	0.0136	0.0035	0.0028	0.0066	0.0102	0.0081	0.0027	0.0479	0.0598	0.0387	0.6864	0.0146	0.0221	0.0478	0.0153	0.0128
"A6365"	0.0149	0.0046	0.0276	0.0298	0.0079	0.0062	0.006	0.0042	0.0083	0.598	0.021	0.165	0.0068	0.0108	0.0295	0.0041	0.0553
"A6395"	0.0173	0.0075	0.0162	0.0128	0.0061	0.0062	0.0075	0.0426	0.0176	0.4329	0.0336	0.2694	0.0117	0.0162	0.0296	0.0104	0.0624
"A6421"	0.0197	0.0115	0.0209	0.0242	0.0082	0.0084	0.008	0.1351	0.0176	0.3098	0.0574	0.2662	0.0099	0.0182	0.0558	0.0172	0.0119
"A6426"	0.0104	0.0432	0.0035	0.004	0.0094	0.0413	0.0085	0.0264	0.2033	0.0266	0.1095	0.3077	0.0253	0.0909	0.0381	0.0481	0.0038
"A6446"	0.0117	0.0109	0.0243	0.0223	0.0095	0.0075	0.0105	0.0051	0.0144	0.4978	0.0317	0.1741	0.0118	0.0148	0.0226	0.0117	0.1193
"A6465"	0.0136	0.0457	0.0058	0.0043	0.0093	0.0518	0.0087	0.0036	0.2163	0.0291	0.1356	0.1818	0.0233	0.0635	0.0509	0.0306	0.1261
"A6478"	0.0237	0.0122	0.0301	0.0293	0.0126	0.0064	0.0088	0.079	0.0117	0.5115	0.0327	0.1532	0.0089	0.0141	0.0297	0.0093	0.0268
"A6495"	0.0098	0.0063	0.0218	0.0246	0.0074	0.0051	0.0082	0.0025	0.0077	0.5769	0.0316	0.0898	0.0084	0.0084	0.0194	0.005	0.1671
"A6500"	0.0173	0.0133	0.0184	0.0134	0.0077	0.0159	0.0089	0.0395	0.0163	0.3489	0.0409	0.2945	0.0132	0.0182	0.1019	0.0122	0.0195
"A6516"	0.0167	0.027	0.0039	0.004	0.0077	0.0219	0.0073	0.4148	0.0898	0.0215	0.0322	0.1295	0.0251	0.0569	0.1145	0.0223	0.0049
"A6522"	0.0119	0.0086	0.0165	0.0168	0.0065	0.0055	0.0087	0.0542	0.0111	0.6232	0.0333	0.0811	0.0066	0.0158	0.0378	0.0092	0.0532
"A6571"	0.0086	0.0116	0.0026	0.0018	0.0083	0.0083	0.0068	0.0041	0.0296	0.0582	0.0195	0.4136	0.0113	0.0166	0.0377	0.0142	0.3472
"A6572"	0.0057	0.0088	0.0023	0.0025	0.0059	0.0072	0.0058	0.0027	0.0311	0.0322	0.0185	0.8007	0.0074	0.0159	0.0258	0.0163	0.0112
"A6576"	0.009	0.0072	0.0164	0.0156	0.0075	0.0099	0.007	0.0022	0.0113	0.5309	0.0469	0.1911	0.0077	0.011	0.0188	0.0096	0.0979
"A6578"	0.0101	0.0563	0.0049	0.0035	0.0121	0.039	0.0101	0.0098	0.2511	0.0277	0.0806	0.255	0.0228	0.0905	0.078	0.0424	0.0061
"A6604"	0.0115	0.057	0.0052	0.0038	0.0115	0.0627	0.0084	0.0051	0.1567	0.0263	0.17	0.2989	0.0262	0.081	0.0378	0.0302	0.0077
"A6615"	0.0085	0.0071	0.0114	0.0113	0.0066	0.0057	0.0096	0.0037	0.0056	0.5081	0.0288	0.2925	0.0064	0.0091	0.0268	0.0049	0.0539
"A6641"	0.0147	0.0066	0.0157	0.0166	0.0106	0.0053	0.0098	0.017	0.0089	0.4819	0.0228	0.1876	0.012	0.0108	0.0317	0.0076	0.1404
"A6661"	0.0212	0.013	0.0121	0.0128	0.0063	0.0125	0.0087	0.1431	0.0165	0.3074	0.027	0.2964	0.0151	0.0215	0.0575	0.0117	0.0172
"A6668"	0.0056	0.0071	0.0012	9e-04	0.0053	0.0069	0.0058	0.002	0.0143	0.1117	0.016	0.6907	0.0088	0.0126	0.0357	0.0076	0.0678
"A6670"	0.015	0.0081	0.0288	0.0307	0.0095	0.0057	0.0075	0.0061	0.0088	0.4371	0.0321	0.0996	0.0102	0.0098	0.0219	0.0065	0.2626
"A6678"	0.0103	0.0083	0.0202	0.0199	0.009	0.0066	0.0076	0.0075	0.0082	0.5897	0.0274	0.1866	0.0104	0.0099	0.0339	0.0066	0.0379
"A6681"	0.0133	0.0526	0.0045	0.0032	0.013	0.0385	0.0113	0.0081	0.104	0.0287	0.0877	0.4452	0.0199	0.0558	0.0646	0.0442	0.0054
"A6706"	0.0329	0.0091	0.053	0.0348	0.0145	0.0129	0.0064	0.0926	0.0081	0.3272	0.0324	0.1569	0.0109	0.0136	0.1713	0.0079	0.0155
"A6707"	0.0081	0.1033	0.005	0.0036	0.011	0.0404	0.0071	0.0048	0.2417	0.0138	0.0645	0.3736	0.0103	0.0422	0.0274	0.0398	0.0034
"A6743"	0.02	0.0091	0.0178	0.0252	0.0102	0.0067	0.0078	0.0327	0.0089	0.5717	0.0185	0.1955	0.0096	0.013	0.033	0.0063	0.014
"A6763"	0.0162	0.0083	0.0388	0.0381	0.0104	0.0066	0.0069	0.0124	0.0087	0.4934	0.0294	0.2061	0.0104	0.0113	0.0433	0.006	0.0537
"A6769"	0.0133	0.0054	0.0138	0.0146	0.0071	0.0073	0.007	0.1049	0.0143	0.5284	0.0324	0.1611	0.0118	0.0118	0.0311	0.0095	0.0262
"A6792"	0.0147	0.0351	0.0062	0.0029	0.0134	0.0438	0.0076	0.1661	0.1304	0.0136	0.1124	0.1501	0.0333	0.1407	0.0879	0.0394	0.0024
"A6810"	0.0169	0.0071	0.0291	0.0237	0.008	0.0084	0.0081	0.0098	0.0102	0.58	0.028	0.1596	0.0098	0.0108	0.0407	0.0054	0.0444
"A6817"	0.0062	0.0126	0.0036	0.0021	0.0034	0.0081	0.01	0.0036	0.0265	0.0765	0.0452	0.7114	0.0112	0.0209	0.0311	0.0112	0.0164
"A6845"	0.0099	0.005	0.0124	0.0138	0.0052	0.0038	0.0077	0.2714	0.0084	0.4845	0.0214	0.0892	0.0096	0.0096	0.0259	0.0059	0.0163
"A6868"	0.0161	0.0087	0.024	0.0231	0.008	0.0072	0.006	0.0046	0.013	0.5463	0.0321	0.2166	0.0128	0.0122	0.0206	0.0083	0.0404
"A6871"	0.0166	0.186	0.0043	0.0037	0.0086	0.035	0.005	0.0054	0.2789	0.0119	0.023	0.1925	0.0206	0.045	0.1213	0.0396	0.0026
"A6884"	0.0227	0.0154	0.044	0.046	0.0106	0.0132	0.0105	0.0304	0.0197	0.3244	0.0759	0.2286	0.0127	0.0183	0.0852	0.0106	0.0318
"A6887"	0.0107	0.065	0.0035	0.0032	0.0124	0.0518	0.0087	0.0032	0.261	0.0197	0.2533	0.1677	0.0212	0.061	0.0184	0.0362	0.003
"A6900"	0.0155	0.0064	0.0257	0.0316	0.0086	0.0063	0.0089	0.0194	0.0088	0.4951	0.0243	0.1006	0.0109	0.0107	0.02	0.0053	0.2019
"A6908"	0.0077	0.0139	0.0031	0.0033	0.0064	0.0085	0.0082	0.0026	0.0202	0.0912	0.0198	0.3661	0.0117	0.016	0.0416	0.0097	0.37
"A6919"	0.0125	0.0592	0.0066	0.0049	0.0126	0.043	0.0078	0.0137	0.2245	0.0168	0.2315	0.1619	0.0176	0.0901	0.0447	0.0412	0.0114
"A6945"	0.0142	0.0058	0.0144	0.0127	0.0077	0.0073	0.006	0.1443	0.0156	0.4068	0.0346	0.2341	0.0075	0.0135	0.0335	0.007	0.035
"A6961"	0.006	0.0089	0.0021	0.0027	0.0059	0.0082	0.0055	0.0049	0.0356	0.0471	0.0194	0.7471	0.0134	0.0187	0.0501	0.0092	0.0152
"A6969"	0.0396	0.0136	0.057	0.05	0.0202	0.008	0.0093	0.1428	0.0119	0.2262	0.0325	0.1326	0.0099	0.0158	0.1956	0.0087	0.0263
"A6974"	0.0068	0.0126	0.003	0.0024	0.0078	0.0097	0.0075	0.0022	0.0373	0.0727	0.0355	0.7073	0.0121	0.017	0.0277	0.0149	0.0235
"A6980"	0.0079	0.0059	0.0146	0.0117	0.0075	0.0054	0.0078	0.0019	0.0064	0.647	0.0265	0.1939	0.0081	0.0085	0.0188	0.0065	0.0216
"A6988"	0.0149	0.0044	0.0189	0.0204	0.0048	0.0055	0.0056	0.3244	0.0059	0.4067	0.0234	0.0883	0.0075	0.011	0.0263	0.007	0.025
"A7011"	0.0168	0.0074	0.041	0.0455	0.011	0.0071	0.0073	0.0436	0.0122	0.5245	0.0261	0.0902	0.009	0.0133	0.0223	0.0061	0.1166
"A7025"	0.009	0.0145	0.0034	0.0025	0.0048	0.0087	0.0058	0.0041	0.0309	0.0427	0.0185	0.5687	0.012	0.0129	0.0352	0.0126	0.2137
"A7034"	0.0164	0.1461	0.0053	0.0026	0.0224	0.204	0.0111	0.0031	0.07	0.0128	0.028	0.0297	0.0215	0.0525	0.3197	0.0536	0.0012
"A7086"	0.0186	0.0115	0.0184	0.0157	0.007	0.0074	0.0076	0.0291	0.0121	0.4566	0.0238	0.264	0.0145	0.012	0.0378	0.0053	0.0586
"A7101"	0.017	0.0066	0.0236	0.0234	0.0073	0.0063	0.0057	0.1881	0.0102	0.5021	0.0273	0.0927	0.0095	0.0132	0.0309	0.0065	0.0296
"A7111"	0.0201	0.01	0.0387	0.0376	0.0147	0.0076	0.0078	0.0525	0.016	0.5239	0.0264	0.134	0.0145	0.0144	0.0292	0.0076	0.045
"A7124"	0.0183	0.0506	0.004	0.0025	0.012	0.0412	0.0117	0.0668	0.1077	0.0306	0.0742	0.2675	0.0258	0.0794	0.1485	0.0361	0.0231
"A7142"	0.0108	0.0561	0.0067	0.0032	0.014	0.0518	0.012	0.0053	0.1737	0.0246	0.1841	0.0866	0.0258	0.0711	0.032	0.0246	0.2176
"A7144"	0.0102	0.005	0.0347	0.0293	0.0092	0.0054	0.0068	0.0082	0.0081	0.5688	0.0248	0.1677	0.0077	0.0081	0.028	0.0054	0.0726
"A7153"	0.0178	0.0381	0.0047	0.0036	0.0096	0.0306	0.0073	0.3255	0.1129	0.0173	0.0602	0.154	0.0197	0.097	0.0705	0.0265	0.0047
"A7223"	0.0134	0.2784	0.0056	0.0041	0.0254	0.3349	0.0152	0.002	0.0651	0.0085	0.0468	0.0243	0.0185	0.0585	0.0494	0.0481	0.0018
"A7240"	0.0099	0.0044	0.0281	0.0334	0.0069	0.0039	0.0073	0.0032	0.0056	0.6767	0.0221	0.087	0.0085	0.0075	0.019	0.0042	0.0723
"A7266"	0.0102	0.0065	0.016	0.0167	0.0082	0.0055	0.0077	0.0049	0.0066	0.6533	0.0239	0.1524	0.0073	0.01	0.0264	0.0056	0.0388
"A7292"	0.0082	0.0069	0.0034	0.0048	0.0062	0.0081	0.0077	0.0028	0.0516	0.0476	0.0338	0.7008	0.0152	0.0224	0.0513	0.016	0.0132
"A7299"	0.0165	0.0075	0.0169	0.0192	0.0079	0.0055	0.0083	0.0175	0.012	0.5493	0.0264	0.2395	0.0085	0.0097	0.0261	0.0086	0.0206
"A7305"	0.0164	0.0079	0.0234	0.0237	0.0077	0.0062	0.0077	0.2467	0.0076	0.4076	0.0212	0.1214	0.0097	0.0104	0.0372	0.0078	0.0374
"A7312"	0.0119	0.0476	0.0062	0.0041	0.0119	0.0398	0.0128	0.0213	0.1843	0.0427	0.1068	0.3357	0.026	0.0685	0.0429	0.0336	0.0039
"A7318"	0.0185	0.0074	0.0161	0.0256	0.0071	0.0059	0.009	0.1431	0.0116	0.5406	0.0321	0.0854	0.01	0.0118	0.0337	0.01	0.0321
"A7324"	0.019	0.0399	0.0052	0.0038	0.0117	0.0324	0.0098	0.101	0.1891	0.0162	0.0473	0.1576	0.0269	0.086	0.2169	0.0306	0.0066
"A7350"	0.0158	0.0508	0.0053	0.0033	0.0111	0.0301	0.0187	0.0906	0.1563	0.0323	0.0878	0.206	0.0232	0.0981	0.1319	0.0346	0.0041
"A7370"	0.01	0.008	0.0123	0.0129	0.0075	0.0096	0.0072	0.0054	0.01	0.5912	0.0417	0.214	0.0103	0.0125	0.0196	0.0101	0.0177
"A7371"	0.0088	0.013	0.0032	0.0026	0.0039	0.0053	0.0055	0.0044	0.0385	0.0912	0.029	0.7074	0.0121	0.0189	0.0264	0.0124	0.0174
"A7390"	0.0301	0.0127	0.0419	0.033	0.0119	0.0102	0.0082	0.0772	0.0158	0.3241	0.0511	0.1346	0.008	0.0194	0.1785	0.0155	0.0278
"A7404"	0.019	0.008	0.0223	0.0246	0.0091	0.0075	0.0091	0.0412	0.0125	0.57	0.0289	0.1352	0.0168	0.0178	0.0473	0.0088	0.0219
"A7410"	0.0052	0.0067	0.0019	0.0013	0.0048	0.0074	0.0083	0.0026	0.0183	0.1138	0.0241	0.6996	0.0115	0.017	0.0306	0.0136	0.0333
"A7427"	0.021	0.0048	0.0287	0.0237	0.0054	0.0058	0.0073	0.1314	0.0064	0.5767	0.0242	0.0855	0.0091	0.0093	0.0275	0.0049	0.0283
"A7433"	0.0102	0.0051	0.0161	0.0147	0.004	0.0058	0.007	0.0041	0.0067	0.641	0.0219	0.1388	0.0094	0.0079	0.0178	0.0041	0.0854
"A7438"	0.0153	0.0422	0.0056	0.0037	0.0103	0.0295	0.0082	0.0631	0.1086	0.0327	0.0865	0.393	0.0277	0.0728	0.052	0.0424	0.0064
"A7441"	0.0108	0.0968	0.0045	0.0039	0.014	0.077	0.0078	0.0034	0.2792	0.0127	0.1508	0.0904	0.026	0.1085	0.0527	0.0585	0.003
"A7442"	0.0077	0.0989	0.0042	0.0045	0.0148	0.0411	0.0074	0.0056	0.1501	0.0187	0.049	0.4816	0.0151	0.0424	0.0278	0.0275	0.0036
"A7443"	0.027	0.012	0.0267	0.0216	0.0109	0.0077	0.0122	0.1675	0.0089	0.4005	0.0323	0.109	0.009	0.0119	0.1228	0.0112	0.0088
"A7448"	0.0122	0.0604	0.0042	0.0031	0.0109	0.0513	0.0072	0.0089	0.2703	0.015	0.1127	0.2114	0.0419	0.109	0.0329	0.0365	0.0121
"A7464"	0.0127	0.0046	0.0326	0.0219	0.008	0.0078	0.0079	0.005	0.0081	0.5701	0.0205	0.2199	0.0082	0.0097	0.0355	0.0074	0.0201
"A7469"	0.0124	0.1975	0.0058	0.0036	0.0125	0.0494	0.0068	0.0038	0.2942	0.0173	0.0587	0.1357	0.0229	0.0604	0.0686	0.048	0.0024
"A7470"	0.0138	0.0511	0.0062	0.0029	0.0125	0.0547	0.0103	0.0066	0.2241	0.0287	0.1582	0.2089	0.029	0.1017	0.0519	0.0326	0.0068
"A7502"	0.0152	0.0056	0.019	0.0237	0.008	0.0042	0.0046	0.0603	0.011	0.4973	0.0275	0.2029	0.0088	0.014	0.0328	0.0077	0.0574
"A7522"	0.006	0.01	0.0022	0.002	0.0039	0.0073	0.0055	0.0015	0.022	0.0923	0.0238	0.7144	0.0086	0.0137	0.0404	0.0092	0.0372
"A7532"	0.0121	0.0082	0.0213	0.0203	0.0096	0.0079	0.0098	0.0032	0.0107	0.5611	0.0412	0.1991	0.0089	0.0143	0.0162	0.0067	0.0494
"A7542"	0.0078	0.0101	0.0017	0.0027	0.0048	0.0094	0.0069	0.0026	0.0514	0.0706	0.029	0.7296	0.0105	0.0145	0.0262	0.0123	0.0099
"A7544"	0.0172	0.0502	0.0061	0.0042	0.0136	0.1082	0.0137	0.0213	0.1505	0.016	0.177	0.1793	0.0248	0.1111	0.0562	0.0443	0.0063
"A7546"	0.0089	0.005	0.0556	0.0354	0.0067	0.004	0.0098	0.0044	0.0056	0.6963	0.0318	0.0682	0.0073	0.0066	0.0226	0.0035	0.0283
"A7566"	0.0107	0.0066	0.0194	0.0207	0.0072	0.0068	0.0059	0.0034	0.0078	0.6346	0.0226	0.1432	0.0076	0.0086	0.0187	0.0052	0.071
"A7573"	0.0086	0.0187	0.0026	0.0022	0.0068	0.0087	0.0116	0.0022	0.0276	0.1121	0.0293	0.2764	0.0113	0.0206	0.025	0.0105	0.4258
"A7587"	0.0275	0.011	0.0457	0.0292	0.0108	0.0101	0.0073	0.0239	0.0124	0.3167	0.0323	0.2202	0.011	0.0156	0.1986	0.009	0.0187
"A7633"	0.0176	0.0118	0.0166	0.0171	0.0079	0.0037	0.0068	0.0367	0.0174	0.585	0.0247	0.1706	0.0095	0.0133	0.0283	0.0093	0.0237
"A7656"	0.0104	0.0727	0.0063	0.0052	0.0155	0.076	0.0117	0.0032	0.365	0.0178	0.1705	0.0777	0.02	0.08	0.0321	0.0251	0.0108
"A7663"	0.0151	0.0384	0.0047	0.0038	0.0099	0.0304	0.0089	0.0456	0.1513	0.0292	0.1151	0.3575	0.0191	0.0725	0.0565	0.0364	0.0056
"A7673"	0.0237	0.0075	0.0647	0.046	0.008	0.0078	0.0084	0.0643	0.0143	0.4653	0.0392	0.1562	0.009	0.0126	0.023	0.007	0.043
"A7707"	0.0197	0.0057	0.0277	0.0304	0.0071	0.0047	0.0072	0.1805	0.0079	0.5128	0.0247	0.0975	0.0084	0.0091	0.03	0.0064	0.0202
"A7726"	0.0083	0.073	0.0067	0.004	0.0102	0.0495	0.0084	0.0055	0.297	0.0135	0.158	0.2231	0.0155	0.0675	0.0225	0.0343	0.003
"A7756"	0.0208	0.0093	0.041	0.0383	0.0105	0.0076	0.0101	0.1458	0.0163	0.3033	0.0482	0.143	0.0103	0.0147	0.1433	0.0092	0.0283
"A7759"	0.0133	0.0295	0.0048	0.0035	0.0101	0.023	0.0128	0.025	0.1107	0.0696	0.1701	0.3453	0.0193	0.067	0.0617	0.0291	0.0052
"A7770"	0.0113	0.0903	0.0057	0.0049	0.0158	0.1082	0.0075	0.0033	0.189	0.0165	0.1535	0.1569	0.0265	0.0596	0.0292	0.0327	0.0891
"A7791"	0.0229	0.0054	0.0546	0.0558	0.0087	0.0062	0.0064	0.0231	0.0061	0.5233	0.0328	0.1424	0.0089	0.0129	0.0474	0.005	0.0381
"A7802"	0.0045	0.0107	0.0022	0.0022	0.0049	0.0081	0.0077	0.0019	0.0302	0.0829	0.0255	0.7208	0.0103	0.0149	0.0225	0.0086	0.0421
"A7815"	0.0107	0.0408	0.004	0.0034	0.012	0.0521	0.0082	0.0043	0.1956	0.0199	0.2714	0.1969	0.032	0.0777	0.0348	0.0329	0.0033
"A7827"	0.0141	0.0089	0.0391	0.0335	0.0096	0.0106	0.0111	0.0116	0.0103	0.5719	0.0275	0.1639	0.0115	0.0099	0.0262	0.0064	0.0339
"A7855"	0.029	0.0083	0.0264	0.0249	0.0104	0.0065	0.0067	0.1792	0.0145	0.395	0.0365	0.1386	0.0112	0.0169	0.0682	0.0092	0.0185
"A7877"	0.0103	0.3813	0.0066	0.0029	0.0217	0.0525	0.0128	0.0032	0.0742	0.0091	0.027	0.0305	0.0242	0.0509	0.2581	0.034	7e-04
"A7896"	0.0137	0.0375	0.0045	0.0028	0.0091	0.0293	0.0094	0.0164	0.1354	0.0263	0.0313	0.2681	0.0293	0.0848	0.2501	0.0473	0.0047
"A7926"	0.0171	0.0057	0.0199	0.0256	0.0066	0.0066	0.0072	0.187	0.0077	0.4785	0.0334	0.1337	0.0088	0.0115	0.0231	0.0058	0.0218
"A7956"	0.0134	0.0075	0.0212	0.0209	0.0046	0.0057	0.0069	0.0947	0.0097	0.5498	0.0227	0.0958	0.0093	0.0129	0.0267	0.0077	0.0905
"A7966"	0.0117	0.0106	0.0212	0.0183	0.0109	0.0126	0.0089	0.0017	0.0152	0.501	0.0454	0.2629	0.0116	0.0104	0.019	0.009	0.0296
"A7973"	0.013	0.087	0.0044	0.0035	0.014	0.0385	0.0068	0.0058	0.1255	0.02	0.0326	0.5048	0.02	0.0404	0.0431	0.0346	0.006
