"Aerosol-non-saline"	"Animal-corpus"	"Animal-distal-gut"	"Animal-proximal-gut"	"Animal-secretion"	"Animal-surface"	"Hypersaline-saline"	"Plant-corpus"	"Plant-surface"	"Sediment-non-saline"	"Sediment-saline"	"Soil-non-saline"	"Surface-non-saline"	"Surface-saline"	"Water-non-saline"	"Water-saline"	"Unknown"
"A906"	0.0088	0.0838	0.0055	0.0037	0.0156	0.068	0.0078	0.0029	0.3085	0.0119	0.0958	0.1804	0.0283	0.0955	0.0406	0.0354	0.0075
"A938"	0.0171	0.0077	0.0226	0.0194	0.0096	0.0055	0.0133	0.0137	0.0113	0.5937	0.0267	0.1671	0.0096	0.0137	0.0371	0.0063	0.0256
"A949"	0.0099	0.011	0.0176	0.0225	0.0111	0.0112	0.0103	0.0033	0.0194	0.5807	0.0499	0.1707	0.0101	0.0144	0.0195	0.0076	0.0308
"A961"	0.0173	0.0596	0.0042	0.0047	0.0087	0.0141	0.0096	0.1229	0.4202	0.0162	0.0177	0.1222	0.0112	0.0657	0.054	0.0459	0.0058
"A998"	0.0169	0.0071	0.0184	0.0253	0.0094	0.0049	0.0092	0.1943	0.0111	0.488	0.0319	0.1057	0.0091	0.0135	0.0233	0.0065	0.0254
"A1049"	0.0087	0.0172	0.0029	0.0019	0.0078	0.0141	0.0062	0.0032	0.0648	0.0448	0.0365	0.6481	0.0133	0.0307	0.0584	0.0335	0.0079
"A1055"	0.0067	0.009	0.0015	0.0019	0.004	0.0067	0.0077	0.0018	0.0236	0.1349	0.0438	0.6822	0.0145	0.0148	0.0229	0.0079	0.0161
"A1102"	0.0147	0.0066	0.0135	0.0154	0.0064	0.0064	0.0082	0.0287	0.0102	0.5029	0.0343	0.274	0.0115	0.012	0.0302	0.0095	0.0155
"A1128"	0.0123	0.0076	0.0282	0.0288	0.0094	0.009	0.0082	0.002	0.0076	0.5675	0.0311	0.1681	0.0089	0.0107	0.0163	0.0053	0.079
"A1146"	0.0167	0.0416	0.0048	0.0047	0.0139	0.0395	0.0117	0.0616	0.0917	0.0226	0.0439	0.3534	0.0303	0.0574	0.1684	0.0269	0.0109
"A1152"	0.0247	0.0117	0.0434	0.039	0.0149	0.012	0.0095	0.0271	0.0101	0.3826	0.0229	0.221	0.0127	0.0128	0.136	0.0078	0.0118
