"","1642.MS00545","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00609","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00599","1642.MS00388","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00370","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00559","1642.MS00349","1642.MS00419","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00637","1642.MS00340","1642.MS00413","1642.MS00500","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00555"
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",1,0.96,1,0.946,1,1,1,0.86,0.982,0.835,0,0.975,0.959,1,0.998,1,-0.384,-0.997,0.994,0.884,-1,0.998,-1,-0.925,1,1,1,1,1,1,-0.702,-0.962,1,1,1,1,-0.948,-0.634,1,1
"1001.SKD8",1,0.976,1,0.996,1,1,1,1,1,1,0.975,0,0.998,1,1,0.988,1,0.968,1,1,0.961,-0.914,0.952,0.962,1,1,1,1,1,1,1,0.988,1,1,1,1,0.776,0.96,1,1
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.38,1,-0.97,1,1,1,-0.934,0.831,0.793,0.959,0.998,0,1,0.887,1,1,0.958,0.354,-0.963,0.832,1,0.796,0.952,1,1,1,1,1,1,1,0.996,1,1,1,1,0.398,0.75,1,1
"1642.MS00606",-0.808,1,-1,1,1,0.0449999999999999,0.971,1,1,1,1,1,1,0,1,0.893,1,1,1,1,1,1,1,1,-0.564,-0.138,-0.91,1,-0.158,0.99,1,1,-0.948,0.978,-0.143,-0.575,1,1,1,-0.124
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",1,0.042,1,0.48,1,1,1,-0.117,-0.934,0.318,0.998,1,0.887,1,0,1,1,1,0.085,-0.212,1,1,0.988,0.998,1,1,1,1,1,1,1,0.994,1,1,1,1,1,1,1,1
"1642.MS00370",-0.848,1,0.783,1,-0.988,0.991,-0.756,1,1,1,1,0.988,1,0.893,1,0,0.998,1,1,1,1,0.998,1,1,-0.315,-0.606,-0.001,-0.907,0.105,-0.969,1,1,0.707,-1,-0.658,-0.96,1,1,-0.984,0.783
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,1,1,1,0.998,-0.384,1,1,1,1,0.998,0,0.412,1,1,0.996,1,0.824,0.564,1,1,1,1,1,1,-1,0.642,1,1,1,1,0.907,0.92,1,1
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",1,0.913,1,0.893,1,1,1,0.843,0.99,0.988,-0.997,0.968,0.958,1,1,1,0.412,0,0.998,0.901,-1,1,-1,-1,1,1,1,1,1,1,-0.465,-1,1,1,1,1,-0.996,-0.759,1,1
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.264,1,-0.552,1,1,1,-0.658,-0.226,0.814,0.994,1,0.354,1,0.085,1,1,0.998,0,-0.717,1,1,0.987,0.994,1,1,1,1,1,1,1,0.962,1,1,1,1,0.998,0.998,1,1
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.071,1,-0.974,1,1,1,-1,-0.364,-0.721,0.884,1,-0.963,1,-0.212,1,1,0.901,-0.717,0,0.99,1,0.802,0.982,1,1,1,1,1,1,1,0.94,1,1,1,1,0.892,0.976,1,1
"2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences",1,0.984,1,0.851,1,1,1,0.979,1,1,-1,0.961,0.832,1,1,1,0.996,-1,1,0.99,0,0.998,-1,-0.988,1,1,1,1,1,1,0.71,-0.902,1,1,1,1,-0.938,-0.349,1,1
"1001.SKM9",1,0.978,1,0.996,1,0.997,1,1,1,1,0.998,-0.914,1,1,1,0.998,1,1,1,1,0.998,0,0.992,0.998,1,1,1,1,1,1,1,1,1,1,1,1,0.972,0.995,1,1
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",1,0.858,1,0.776,1,1,1,0.787,0.965,0.939,-1,0.952,0.796,1,0.988,1,0.824,-1,0.987,0.802,-1,0.992,0,-0.994,1,1,1,1,1,1,-0.321,-0.994,1,1,1,1,-0.921,-0.466,1,1
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",1,0.974,1,0.906,1,1,1,0.981,1,1,-0.925,0.962,0.952,1,0.998,1,0.564,-1,0.994,0.982,-0.988,0.998,-0.994,0,1,1,1,1,1,1,0.391,-0.98,1,1,1,1,-0.992,-0.846,1,1
