"","1642.MS00349","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00545","1001.SKD8","1642.MS00599","1642.MS00370","1642.MS00398","1642.MS00356","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00555","1642.MS00413","1642.MS00419","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00559","1642.MS00606","1642.MS00461","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","1642.MS00500","1001.SKM9","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00340","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00388","1642.MS00637","1642.MS00609"
"2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences",2.18742544439193,-4.28047374880012,-2.07448599189945,3.25665527249074,-1.17058293069068,0.629157361945094,-0.456834217756583,1.25219161415905,0.651510573784971,-6.77419542533648,NA,-2.51191406463453,-2.82320748053143,-4.99242380779976,-5.29501238210356,7.55448328713857,3.84965348491936,6.08060128477827,-6.07672414199641,2.24770572652653,-3.66384313953571,5.71954713829617,9.51644470140064,5.50393927360714,-4.3694702132119,-2.35992804324853,3.74205242733841,2.28415120445528,-0.336844131598814,-5.33065635621625,-5.81052550670016,-4.31575734103046,-6.29271769671339,-4.57128528565248,0.291328445172375,-2.52198893720408,-4.18038798106387,4.56001636681799,5.08524992957835,9.24105398908446
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",2.62258334638565,-4.96574931716511,-2.14051813963702,2.90531080120039,-0.702576359353465,0.697033985176342,-0.0770992226320698,0.326733560238783,0.264159006679745,-7.5202691535667,-2.51191406463453,NA,-3.52650184636246,-7.96117040400111,-6.15636671950969,6.66624052606381,2.80745477462292,4.63164856730731,-6.98379222156654,1.64920130281688,-4.01386375391085,4.51437521114956,9.0268666186306,4.30638094338135,-4.2083290557403,-4.464521119412,3.00411329698415,1.67841075392897,-1.09978996561828,-6.82369681720689,-6.43983823235415,-4.15504337296227,-7.4649842042411,-5.04602374029992,-0.0524175117441561,-5.33655273126586,-5.06501821432697,3.71276536473604,4.75303779342105,8.75203463288264
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",-0.253580239313612,-5.52448593485467,-6.64038954977819,0.455655301238052,-3.07963260396884,-0.765096229023617,-2.4701328021191,-0.735459868750069,-1.56907718535043,-3.22128484927739,-2.82320748053143,-3.52650184636246,NA,-4.64932776626538,-4.6367522819145,2.90780489100393,0.299434987485946,1.26803838994005,-4.79382598841684,-0.329399896807625,-4.31663706924733,1.11432802230772,2.81310549228552,1.10319995209015,-7.19992344839414,-5.30268894275354,1.07615622669563,0.229353313642512,-2.18798800705539,-5.17409903120013,-4.50204244474347,-4.63982160857794,-5.27702127058202,-3.96643762400277,-1.1141441949999,-7.2972802369136,-6.15676504816454,1.08115809008283,0.747579747295871,2.95425354284785
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.370895192165828,-6.16493903324538,-3.35802794598825,1.67549255155022,-3.74950112881994,-0.350223625773918,-1.83498516593593,-0.493680506806314,-0.8065465710951,-7.03451397318401,-4.99242380779976,-7.96117040400111,-4.64932776626538,NA,-8.0234075228533,6.96103357721939,1.90445276579416,3.65317020967958,-7.54514760029796,-0.37685573215719,-5.69985821603126,3.84575159803481,8.46983012553402,2.2709916753326,-7.06238158707968,-5.38822809973571,2.81601120545758,0.931924619034805,-2.51436419040843,-6.91031951688996,-8.4873957246757,-5.81658401674361,-9.18801402137937,-7.04135926189274,-1.0491360920469,-6.65848239019846,-5.52687026847331,1.676206755769,3.28753951978901,6.44960210809092
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",1.33723985281733,-5.18448285274523,-2.83397761636586,1.91308158477087,-1.67518250909641,-0.111483411566996,-0.909631738233486,0.0653451900284647,-0.397869718949711,-6.12204105330777,-5.29501238210356,-6.15636671950969,-4.6367522819145,-8.0234075228533,NA,5.18608053506866,1.79295764321012,4.68047894633474,-7.03122086904102,0.494628018051499,-4.77548210131498,3.80143252351123,8.10357889665591,3.77045590318858,-4.13829089427282,-5.7746574557068,2.26510763513947,1.16579417173285,-1.08480016285407,-8.95613918690056,-5.20309804069843,-4.86227913595632,-8.94075543171468,-5.87578348119216,-0.437889127338785,-6.77277312382583,-5.00954405866467,2.83102733810016,3.4190109106272,7.1976197981413
"1642.MS00555",-1.50832567522108,1.75849602944611,3.25271967235767,-3.42027131534839,3.78049237149824,0.0332341025596092,-0.805622722172051,-1.8605888870701,-1.29549395397527,8.05596121963679,7.55448328713857,6.66624052606381,2.90780489100393,6.96103357721939,5.18608053506866,NA,-3.51277989052286,-2.7434714253768,6.28839913435624,-1.87698149504731,1.56578952530616,-2.1118383224311,-2.6847108656003,-1.52815771308203,1.48503733233755,1.5466745800864,-2.40075267437904,-4.02572883084327,2.97240672236718,5.94604712669595,9.72647539786453,2.50475650976258,7.13162480761098,1.52494135666074,-1.92853897674403,2.15097748542877,1.78026932755608,-2.32734075522395,-2.04139897047856,-2.55520766333133
"1642.MS00413",-2.60849263907502,0.0170775185284457,0.886628382129888,-4.81527732153592,1.09522967811393,-0.482980146398554,-0.791692880573123,-4.25248210234455,-3.65874865085868,3.27530123464232,3.84965348491936,2.80745477462292,0.299434987485946,1.90445276579416,1.79295764321012,-3.51277989052286,NA,-4.06232497696966,2.62993136304285,-4.43310682747939,0.16196664984646,-2.816325613366,-4.15771506228531,-3.40289733287143,0.559241994758188,-0.0620907807946567,-3.14878069406702,-5.46424771681576,1.75720806393489,2.23262834908622,3.40295677919315,0.328829802752009,2.13945137368193,-0.0608527610651498,-4.68262649271484,-0.00222699839275972,-0.379184149464552,-2.90316373796176,-2.97050450305571,-3.69922137519035
"1642.MS00419",-1.18116567956285,0.855804720135275,1.86770254568518,-4.86505859310069,1.6433634804696,-0.267883807702959,-1.01465773017278,-4.24236179602876,-3.14769103817963,4.981222906928,6.08060128477827,4.63164856730731,1.26803838994005,3.65317020967958,4.68047894633474,-2.7434714253768,-4.06232497696966,NA,4.96931656988916,-2.84632664570117,0.294966996213108,-2.65241943943571,-1.53722407812744,-3.36428613875248,0.561607980360191,0.265843044059878,-4.50103715834723,-3.6062649376216,1.86265156351695,4.63256283013959,6.08247623738447,1.02514200517607,3.38229893675718,0.53931015400245,-4.13480907202434,0.299657516126491,0.174119076355721,-1.78871523742012,-3.00811223351226,-3.04574250689839
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",1.58497277724155,-5.96982970549812,-3.18277402174733,2.57182890217083,-2.25315245031416,0.522281022986337,-0.962480895666255,0.377665987089707,0.154655821593762,-7.45088655782334,-6.07672414199641,-6.98379222156654,-4.79382598841684,-7.54514760029796,-7.03122086904102,6.28839913435624,2.62993136304285,4.96931656988916,NA,1.58317946187376,-6.35519209026248,4.43058706423127,8.86475501979213,4.41128503730685,-5.73760856308137,-5.90440178070711,3.08488829770831,1.37235350719243,-1.21850283032819,-6.80331328782096,-7.64073652460627,-6.49142964492525,-5.53638881032498,-6.27820552526039,-0.1030099956536,-6.36139351310114,-5.88855013579249,3.94688555944077,4.30341555122086,7.40549160780618
"1642.MS00360",-4.0172376405157,-0.616137307394836,0.296550482723721,-3.05685866743204,-1.57950913967201,-0.570699147305585,-4.54072019437482,-3.80933421577546,-5.60405635872204,1.75841916925968,2.24770572652653,1.64920130281688,-0.329399896807625,-0.37685573215719,0.494628018051499,-1.87698149504731,-4.43310682747939,-2.84632664570117,1.58317946187376,NA,-1.26295463420475,-2.1010675534193,-0.267189610013531,-3.50112514827279,-0.249394574104015,-0.70639785301558,-0.597684761113335,-1.97242784864147,0.356838344938848,1.38934844846721,1.9816632447935,-0.74333595200064,0.317497378433264,-0.93364693163695,-4.48611215321364,-0.887377467270516,-0.790279445456976,-2.9035142033327,-2.9516417564839,-2.16914448030462
