"","1642.MS00545","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00609","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00599","1642.MS00388","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00370","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.413.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00559","1642.MS00349","1642.MS00419","1642.MS00360","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00637","1642.MS00340","1642.MS00413","1642.MS00500","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00555"
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.949,0.8732,0.9376,0.8686,0.9578,0.9674,0.9292,0.8534,0.8758,0.8558,0,0.97,0.8646,0.947,0.891,0.9854,0.777,0.5634,0.8936,0.8596,0.5422,0.9856,0.547,0.6692,0.9514,0.9472,0.9494,0.9664,0.9502,0.9574,0.7384,0.6386,0.9424,0.9616,0.9524,0.9516,0.6704,0.7474,0.9626,0.9486
"1001.SKD8",0.989,0.9592,0.9894,0.9704,0.986,0.9924,0.9852,0.9716,0.981,0.9864,0.97,0,0.9742,0.9888,0.9874,0.9894,0.9796,0.9694,0.9826,0.981,0.967,0.7818,0.9708,0.9686,0.984,0.9914,0.9886,0.995,0.99,0.9868,0.9786,0.9716,0.986,0.9906,0.9912,0.9892,0.946,0.9612,0.9924,0.9912
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.914,0.6534,0.8828,0.5258,0.9362,0.947,0.9388,0.5332,0.6764,0.7348,0.8646,0.9742,0,0.8928,0.6912,0.9694,0.8712,0.8576,0.6512,0.5238,0.8146,0.9748,0.8774,0.8378,0.9168,0.9048,0.9076,0.9452,0.9172,0.9366,0.8916,0.8464,0.9,0.9436,0.9054,0.9108,0.719,0.738,0.947,0.9218
"1642.MS00606",0.527,0.8894,0.439,0.8976,0.7696,0.6642,0.6852,0.8886,0.8916,0.9004,0.947,0.9888,0.8928,0,0.9004,0.9272,0.901,0.9478,0.905,0.8898,0.9462,0.9952,0.9622,0.9492,0.5462,0.5714,0.5006,0.7616,0.5736,0.7216,0.9138,0.9286,0.5064,0.7306,0.5658,0.5466,0.927,0.9164,0.7284,0.57
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.9098,0.634,0.8896,0.6632,0.9414,0.9408,0.9438,0.6242,0.5272,0.7034,0.891,0.9874,0.6912,0.9004,0,0.9808,0.876,0.8972,0.635,0.6148,0.8996,0.9858,0.9086,0.8708,0.9196,0.9092,0.9082,0.9478,0.9132,0.9372,0.8794,0.8412,0.895,0.9498,0.9074,0.9056,0.8456,0.8272,0.9512,0.9042
"1642.MS00370",0.8234,0.9722,0.9214,0.9778,0.7384,0.949,0.8412,0.9754,0.9788,0.9802,0.9854,0.9894,0.9694,0.9272,0.9808,0,0.9718,0.9852,0.9782,0.9736,0.9814,0.9944,0.987,0.9796,0.8804,0.8578,0.8916,0.7906,0.8946,0.777,0.9732,0.981,0.917,0.6788,0.8552,0.7922,0.9798,0.9778,0.7656,0.9208
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.9014,0.8422,0.8988,0.8876,0.9368,0.9432,0.9088,0.8658,0.849,0.8556,0.777,0.9796,0.8712,0.901,0.876,0.9718,0,0.8252,0.883,0.8602,0.864,0.9902,0.8838,0.811,0.909,0.9054,0.9078,0.9426,0.9096,0.9278,0.4158,0.8036,0.8952,0.9324,0.907,0.9044,0.8,0.8048,0.937,0.8988
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.946,0.8526,0.9378,0.8526,0.9622,0.9674,0.9494,0.8462,0.876,0.88,0.5634,0.9694,0.8576,0.9478,0.8972,0.9852,0.8252,0,0.8874,0.8544,0.4472,0.9856,0.5088,0.4712,0.9444,0.9412,0.9478,0.9664,0.9476,0.9588,0.7676,0.541,0.9366,0.9588,0.951,0.943,0.6256,0.7222,0.9614,0.9478
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9178,0.6136,0.8878,0.5954,0.9428,0.9436,0.9446,0.586,0.6126,0.7406,0.8936,0.9826,0.6512,0.905,0.635,0.9782,0.883,0.8874,0,0.5796,0.8768,0.981,0.908,0.866,0.925,0.907,0.9124,0.9452,0.9166,0.9392,0.8966,0.8252,0.8996,0.9538,0.9086,0.9092,0.8212,0.8076,0.9508,0.9088
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9064,0.6286,0.8776,0.5146,0.9426,0.9444,0.9412,0.467,0.5992,0.6222,0.8596,0.981,0.5238,0.8898,0.6148,0.9736,0.8602,0.8544,0.5796,0,0.8502,0.9838,0.8768,0.8568,0.9194,0.9018,0.906,0.9412,0.9102,0.9356,0.8674,0.8178,0.893,0.949,0.9074,0.9036,0.7642,0.7696,0.946,0.912
