"","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00601","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00545","1642.MS00401","1642.MS00636","1001.SKM9","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00358","1642.MS00438","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00414","1642.MS00463","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1001.SKB9","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00355","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","1642.MS00419","1642.MS00580","1642.MS00462","1642.MS00379","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00562","1642.MS00360"
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",0.0423756960747,0.1220608449743,0.0195206053386,0.1142044502747,0.1017874418901,0.1183519028503,0.1063002559375,0.0494958720657,0.1282635157469,0.0168642903029,0,0.0489838382,0.1010364007086,0.1257450891141,0.113572362803,0.0274971073489,0.0259361851592,0.1029358632109,0.1135329272556,0.1124831564038,0.0420919160959,0.0505819267139,0.0289624393052,0.0145947737959,0.0835246709982,0.0277269913895,0.0734941339641,0.0519241598015,0.010833698273,0.0974023910674,0.0157126158814,0.0218183817596,0.1282249426731,0.1191943924176,0.121800894225,0.1142860155025,0.1130360958414,0.0156145735204,0.109964038151,0.1073300044406
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0547720343014,0.0951334754774,0.0570517621845,0.0890116340148,0.082502010247,0.0950920301393,0.1355816084396,0.0320246633346,0.0916238302174,0.0384223078303,0.0489838382,0,0.0818027686929,0.117198029859,0.0876271343012,0.0381106994162,0.0310054315031,0.0778522293427,0.0897425413345,0.088490483851,0.0208980697291,0.0283645433037,0.0460953000555,0.0554178115449,0.1141903578713,0.0491887896049,0.1086978021258,0.018710577008,0.0494170935528,0.0784989871667,0.0443966602504,0.0353344309728,0.1004283209061,0.0914499383011,0.0958031674678,0.0874362137907,0.0880958290442,0.0475966829062,0.0848044567777,0.0857619519771
"1642.MS00403",0.0797844035384,0.0259698122793,0.0994794679041,0.0229497594625,0.0201365538211,0.0262721039213,0.1637957205913,0.0822461294967,0.0375109765881,0.0882679527054,0.1010364007086,0.0818027686929,0,0.0698166352361,0.0237264556862,0.08519081945,0.0793676439799,0.0200993277616,0.02257278812,0.0257677616681,0.0796715405135,0.0781366548079,0.0869037676406,0.1057064549138,0.1435911153283,0.0812911466128,0.1408281359013,0.0828377214391,0.0937075107876,0.0250011772849,0.0938064230445,0.0834238065972,0.0341446546948,0.0237610578327,0.0278882682655,0.0222555976709,0.0229785088851,0.09448665797,0.0232646344199,0.027072844954
"1642.MS00358",0.1134511546515,0.0877342996776,0.126880056344,0.0719731558298,0.0701621702707,0.0773250290755,0.1826609926299,0.1121377694314,0.1076137806595,0.1055205305676,0.1257450891141,0.117198029859,0.0698166352361,0,0.0866775036307,0.1178130584309,0.11371318084,0.073174803916,0.067264572055,0.0763311914711,0.1113903516607,0.1102943609061,0.1087583357649,0.1319356617838,0.1385170877681,0.1052302732515,0.1296666383518,0.1266538852278,0.1132156496421,0.0530832044562,0.1195872622701,0.1094334091492,0.0794641477918,0.075832304907,0.0822783021632,0.0861488691312,0.0759177687164,0.123616169106,0.0754847621155,0.0549223799088
"1642.MS00438",0.0852980595375,0.0267548569822,0.1057665291113,0.020700663162,0.0202577297134,0.0265661914442,0.2009853958585,0.0884392351446,0.030572511974,0.0928912158064,0.113572362803,0.0876271343012,0.0237264556862,0.0866775036307,0,0.088984791697,0.0853327252257,0.0210453153611,0.0199996029811,0.0239921477676,0.0870485439762,0.0871914591919,0.0890193584613,0.1158086559253,0.1434494091838,0.0897208272802,0.1417732732418,0.089868116286,0.1042269505673,0.0304208066977,0.1010664111283,0.0899253100426,0.0277034208448,0.0207828406861,0.0241251266543,0.0247370015648,0.0198497942138,0.1008026471601,0.0243964534494,0.0269088223844
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",0.0402767228039,0.1004521966345,0.0310919947592,0.0929421411398,0.0880333289304,0.100576296697,0.1089986718239,0.0329062107893,0.1135617457352,0.0196242283398,0.0274971073489,0.0381106994162,0.08519081945,0.1178130584309,0.088984791697,0,0.0193244255806,0.0817829910412,0.0899659658781,0.0913859402965,0.0396395657599,0.0417509759036,0.0177655153296,0.0296791439754,0.0714752408273,0.0289842157229,0.0656599131618,0.044581557273,0.0198982960594,0.0759722591086,0.0189203711342,0.0230868768843,0.0993789414454,0.0958092068757,0.1023063217597,0.0953822176137,0.0894239070443,0.0232030467172,0.089681260879,0.0866240123298
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.0349621585979,0.0927102956621,0.032044006162,0.0876894101,0.0811272309273,0.0935007446208,0.1450540424898,0.0349762941642,0.1023349947911,0.0223732034111,0.0259361851592,0.0310054315031,0.0793676439799,0.11371318084,0.0853327252257,0.0193244255806,0,0.0744075522025,0.0844467464031,0.0841895273035,0.0301663579608,0.037136698663,0.0194445417439,0.028559067632,0.0769665439533,0.0341360754823,0.0786164392555,0.0335013765077,0.0243380600658,0.0720938950235,0.026886204101,0.0239420823388,0.0917293555399,0.0889372593985,0.0941895195986,0.0863351702803,0.0843752393163,0.0290113325539,0.0846151414819,0.0822667788116
"1642.MS00387",0.0772852825808,0.0275699410499,0.1005602463138,0.0231692313666,0.0200384130251,0.0258417678636,0.1686726626712,0.0792623913132,0.0333253739757,0.0856002409942,0.1029358632109,0.0778522293427,0.0200993277616,0.073174803916,0.0210453153611,0.0817829910412,0.0744075522025,0,0.0213811133173,0.0265756013612,0.0768546420587,0.0740270419386,0.0833356270454,0.1091829790812,0.1432473506144,0.0810049704513,0.1421523059727,0.0793139893843,0.0961331843817,0.0275383529335,0.0941023302078,0.0818721916526,0.0320528205162,0.0226339571395,0.0265713433935,0.0232991041888,0.0224848058508,0.0961769033542,0.0242399331449,0.027425168809
"1642.MS00414",0.0854639732296,0.0268702408626,0.1059679285051,0.0239486168695,0.0208538232366,0.0282727159011,0.1729199969279,0.089939311054,0.0344444214444,0.0934814123251,0.1135329272556,0.0897425413345,0.02257278812,0.067264572055,0.0199996029811,0.0899659658781,0.0844467464031,0.0213811133173,0,0.0245168284765,0.088935868912,0.0883295079874,0.0891665110746,0.1152452081862,0.1488307985553,0.0903952812842,0.148667310211,0.0927234434064,0.1033797871762,0.0251031556538,0.099650088346,0.0893555556576,0.0289486066856,0.0191711492859,0.0266723102843,0.0249542549677,0.0201500786088,0.1012757213076,0.0250673442581,0.0240299730063
"1642.MS00463",0.086218986422,0.0246609517903,0.1042565889602,0.0231398231394,0.0225702950568,0.0275841552885,0.1783401915002,0.0896540883026,0.0374457826022,0.0926001344181,0.1124831564038,0.088490483851,0.0257677616681,0.0763311914711,0.0239921477676,0.0913859402965,0.0841895273035,0.0265756013612,0.0245168284765,0,0.0885262211133,0.0865652688078,0.0904193788261,0.1189566650709,0.1484984724904,0.0898547103939,0.1496660720268,0.0891834410203,0.1035055226588,0.0360416097644,0.0988088794763,0.0877731952557,0.0272561641853,0.0267285250973,0.0252909870671,0.0243234816632,0.0278542843126,0.1045014165061,0.0242073041571,0.0347965571251
"2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0503541480686,0.0959209226428,0.0513085800055,0.0894935084695,0.0805081017692,0.0945686303402,0.141539309519,0.0263622149069,0.0933947662864,0.0355355005811,0.0420919160959,0.0208980697291,0.0796715405135,0.1113903516607,0.0870485439762,0.0396395657599,0.0301663579608,0.0768546420587,0.088935868912,0.0885262211133,0,0.029191100589,0.0413780383588,0.0524950259939,0.1116920910667,0.046602507477,0.1098776361991,0.0221346882809,0.0424504317793,0.0783505821141,0.0446012034636,0.033558186376,0.100465830054,0.0906029244662,0.0959280121704,0.0865310530253,0.087539141937,0.0447732677945,0.0839839544017,0.0860273313067
"2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0366278365321,0.0922449970662,0.0595864632451,0.0864936082943,0.0803302746829,0.0888053906133,0.1365960278733,0.035523045004,0.0964240247248,0.0460614162869,0.0505819267139,0.0283645433037,0.0781366548079,0.1102943609061,0.0871914591919,0.0417509759036,0.037136698663,0.0740270419386,0.0883295079874,0.0865652688078,0.029191100589,0,0.0479442900292,0.0581096143502,0.1230252333585,0.0393766112312,0.112676312428,0.0287965107744,0.0501425355634,0.0754815700885,0.051325354154,0.043388262488,0.0996194388284,0.091430857403,0.0936286995475,0.0840816207145,0.0867714853854,0.0477497499794,0.082043443311,0.0855185283397
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",0.0380296210834,0.1015378060443,0.0336573741859,0.0942980568279,0.0879764935814,0.1009220859102,0.1204121372083,0.0328812150435,0.1178233482924,0.0245124503724,0.0289624393052,0.0460953000555,0.0869037676406,0.1087583357649,0.0890193584613,0.0177655153296,0.0194445417439,0.0833356270454,0.0891665110746,0.0904193788261,0.0413780383588,0.0479442900292,0,0.0279791186759,0.0699297552586,0.0323159419902,0.0584568516778,0.0537691359426,0.0190006093067,0.0722159914108,0.0225867671581,0.0269089002022,0.0953957569535,0.0953806882054,0.1035235258991,0.0973636076481,0.0873465662664,0.0286145563169,0.0919044027495,0.0825340137449
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.039002387816,0.125809614499,0.0200164318803,0.1181498627898,0.1083094373288,0.1233150419918,0.1120747042038,0.0536233073726,0.1315655504084,0.0181727283384,0.0145947737959,0.0554178115449,0.1057064549138,0.1319356617838,0.1158086559253,0.0296791439754,0.028559067632,0.1091829790812,0.1152452081862,0.1189566650709,0.0524950259939,0.0581096143502,0.0279791186759,0,0.0685709474073,0.0284680766828,0.0678718363203,0.0589272201155,0.0145892504037,0.0958481274252,0.0150336621468,0.0263547392939,0.1333244429285,0.1221439996457,0.1264892401006,0.1196840839108,0.1163468477394,0.0153850462541,0.11343053789,0.1076784863903
"1001.SKD7",0.0937273150053,0.1618661312652,0.0898290933822,0.1472727928929,0.1463086695476,0.1587030508145,0.0366623836682,0.0969387641114,0.173742896058,0.0775448537255,0.0835246709982,0.1141903578713,0.1435911153283,0.1385170877681,0.1434494091838,0.0714752408273,0.0769665439533,0.1432473506144,0.1488307985553,0.1484984724904,0.1116920910667,0.1230252333585,0.0699297552586,0.0685709474073,0,0.0762944882086,0.0216103767233,0.1248775817327,0.0634916672388,0.1122601353949,0.0685937776827,0.0855606449655,0.1525345205706,0.1552997650841,0.1624698719942,0.1535457113787,0.1439646878756,0.0786800027498,0.1451149152859,0.1198703277764
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",0.017381106329,0.0990421927981,0.0305931130863,0.090643121689,0.0823831815408,0.0990459083985,0.1092505670421,0.0440989729655,0.1139803189677,0.0297097037018,0.0277269913895,0.0491887896049,0.0812911466128,0.1052302732515,0.0897208272802,0.0289842157229,0.0341360754823,0.0810049704513,0.0903952812842,0.0898547103939,0.046602507477,0.0393766112312,0.0323159419902,0.0284680766828,0.0762944882086,0,0.0756231950466,0.0519589096939,0.0302494745687,0.0715581350753,0.0306347822937,0.0337003284331,0.1063262633759,0.0970665861101,0.1026927835225,0.0905014305867,0.0880314452431,0.0247583730724,0.0881217866876,0.0870147383568
"1001.SKB9",0.1005765667169,0.1609898362725,0.0913662197095,0.1451353273136,0.1451501731243,0.1513324666955,0.0294335587001,0.0882083214601,0.1643800082884,0.0648487223817,0.0734941339641,0.1086978021258,0.1408281359013,0.1296666383518,0.1417732732418,0.0656599131618,0.0786164392555,0.1421523059727,0.148667310211,0.1496660720268,0.1098776361991,0.112676312428,0.0584568516778,0.0678718363203,0.0216103767233,0.0756231950466,0,0.1220838906567,0.0546160142396,0.1097160207216,0.0596170747188,0.0742727122558,0.1467350431237,0.1537656856779,0.1584959237289,0.1549466260384,0.1394472003026,0.0713848038648,0.1390668718769,0.1177655911892
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0578365897976,0.0940816258839,0.0602288796525,0.0876674260127,0.0812492204367,0.0965778169482,0.1541992584442,0.0363287800526,0.0944398967256,0.0398587713685,0.0519241598015,0.018710577008,0.0828377214391,0.1266538852278,0.089868116286,0.044581557273,0.0335013765077,0.0793139893843,0.0927234434064,0.0891834410203,0.0221346882809,0.0287965107744,0.0537691359426,0.0589272201155,0.1248775817327,0.0519589096939,0.1220838906567,0,0.0537033279673,0.0816292626126,0.0528578085278,0.0401359275525,0.0999048194024,0.092968015422,0.0975183779384,0.0879282527349,0.0913804464606,0.0495850166203,0.0841560085414,0.0862984641167
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.0395106573022,0.1133566845431,0.0199935618778,0.1053997434328,0.0962844687311,0.1132932598747,0.0932990727737,0.0428911482304,0.1265655321035,0.0179477243679,0.010833698273,0.0494170935528,0.0937075107876,0.1132156496421,0.1042269505673,0.0198982960594,0.0243380600658,0.0961331843817,0.1033797871762,0.1035055226588,0.0424504317793,0.0501425355634,0.0190006093067,0.0145892504037,0.0634916672388,0.0302494745687,0.0546160142396,0.0537033279673,0,0.0851102337899,0.0138845707576,0.0211079995668,0.1164573818669,0.1110027654361,0.1137773028344,0.1079175616316,0.1031986714472,0.015390228572,0.1009875945029,0.0959307922565
"1642.MS00355",0.0669174923755,0.0392050219044,0.0889178538415,0.0337906003653,0.0289216004155,0.0372896543215,0.1557824168613,0.0768637002741,0.0490379184084,0.0809846316812,0.0974023910674,0.0784989871667,0.0250011772849,0.0530832044562,0.0304208066977,0.0759722591086,0.0720938950235,0.0275383529335,0.0251031556538,0.0360416097644,0.0783505821141,0.0754815700885,0.0722159914108,0.0958481274252,0.1122601353949,0.0715581350753,0.1097160207216,0.0816292626126,0.0851102337899,0,0.0827272883912,0.0760455516122,0.0432965885481,0.0273163054666,0.0399850007206,0.0351614224223,0.0236985733262,0.0867993259842,0.0349474377595,0.018573909989
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.0440534265763,0.110055903366,0.0195549580743,0.1028422844929,0.0956480672169,0.1086804805113,0.0891094474193,0.043130473291,0.1223040060149,0.0173370820422,0.0157126158814,0.0443966602504,0.0938064230445,0.1195872622701,0.1010664111283,0.0189203711342,0.026886204101,0.0941023302078,0.099650088346,0.0988088794763,0.0446012034636,0.051325354154,0.0225867671581,0.0150336621468,0.0685937776827,0.0306347822937,0.0596170747188,0.0528578085278,0.0138845707576,0.0827272883912,0,0.0201972109584,0.1103865371989,0.1066263662826,0.1120167154013,0.1062001551716,0.0993606942454,0.0182823393754,0.1002206108801,0.0924724283306
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",0.0461256607512,0.0962989334198,0.0247447528215,0.0917327761321,0.0819516422956,0.0979632039342,0.1266847960213,0.0355829099668,0.1015156711256,0.0158303868049,0.0218183817596,0.0353344309728,0.0834238065972,0.1094334091492,0.0899253100426,0.0230868768843,0.0239420823388,0.0818721916526,0.0893555556576,0.0877731952557,0.033558186376,0.043388262488,0.0269089002022,0.0263547392939,0.0855606449655,0.0337003284331,0.0742727122558,0.0401359275525,0.0211079995668,0.0760455516122,0.0201972109584,0,0.0992996118977,0.0923761968637,0.0981519137026,0.0925583189114,0.0894644891749,0.0257876809081,0.0893437709678,0.0842956983963
"1642.MS00588",0.099422968036,0.028031478977,0.1162208451768,0.0297644257109,0.0302676393617,0.0296763572361,0.1707378286103,0.1009682298793,0.0395612223743,0.1042343904926,0.1282249426731,0.1004283209061,0.0341446546948,0.0794641477918,0.0277034208448,0.0993789414454,0.0917293555399,0.0320528205162,0.0289486066856,0.0272561641853,0.100465830054,0.0996194388284,0.0953957569535,0.1333244429285,0.1525345205706,0.1063262633759,0.1467350431237,0.0999048194024,0.1164573818669,0.0432965885481,0.1103865371989,0.0992996118977,0,0.0303253412907,0.0256807012555,0.0335050510815,0.033099589186,0.1181795580064,0.0305394449226,0.0382838884116
