"","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00601","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00545","1642.MS00401","1642.MS00636","1001.SKM9","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00403","1642.MS00358","1642.MS00438","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","1642.MS00414","1642.MS00463","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1001.SKB9","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00355","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","1642.MS00419","1642.MS00580","1642.MS00462","1642.MS00379","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00562","1642.MS00360"
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",-4.53121840552692,1.10454679800787,-4.87773211323554,0.386170399769672,-0.203863961993837,1.04511003643803,-2.35256209755403,-2.510231954954,1.32206955796412,-6.11179482148627,NA,-4.38480129511628,-0.201012264244477,-0.136299671041121,0.17447005430872,-5.33183480133423,-5.59849503728924,0.0742844208508187,0.490798457036391,0.428020690384419,-6.04932182036868,-5.1783619105359,-4.70423256536095,-5.72377093314026,-2.85481893245595,-5.96093754567634,-3.59230924039173,-3.75221919194593,-6.06125034526399,-0.641430664318183,-7.00221255700948,-3.43303270176191,1.45946886352151,0.989999234250569,0.847172492254021,0.905194370037321,0.356196154262799,-6.28176210787426,0.195464732635656,-0.312336968649759
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.39724758554203,7.1553550367621,-3.53142571943112,1.04840838660015,2.17444676502028,7.36899906707034,-0.820579327904071,-3.7506018275976,6.3347582088209,-5.5783384807468,-4.38480129511628,NA,3.76674636130416,2.00361945304866,0.587609894962162,-4.18624393840132,-5.7392253258538,2.74769601294898,3.107036398567,2.83597965096358,-7.65212154480091,-4.77029225140063,-3.09992733667887,-3.96317748683222,-2.02916307262978,-4.53418494923661,-2.3944722997543,-7.13920884241502,-2.18065050350569,-0.297131555802702,-5.79093667780407,-4.32426747541671,5.71231714369503,5.16066120562634,2.66989079068299,6.15517874012901,4.75875313984085,-4.46443856957656,0.961013129007477,0.302462346549912
"1642.MS00403",-0.76878029633929,-3.7394050122537,-0.152788329095567,-3.94501178645209,-2.36507152930281,-1.88882718649223,1.31542878861788,3.04507528353918,-1.47785682158656,-0.864703570193671,-0.201012264244477,3.76674636130416,NA,0.233162114301262,-3.17091575744187,-0.233991200777976,-0.366836712499848,-3.97818259476613,-3.69113948939386,-3.3107337607183,3.83905784145337,4.75593081917471,-0.606456928131987,-0.497538846882164,1.11125176911864,-1.10496743407778,0.462337056808451,3.71230108645435,-0.351082016716634,-2.79503650301874,-1.17351316374936,-0.482566058057331,-2.67952613215408,-1.44069059429954,-2.21954690472826,-3.55280089194517,-3.69749267236405,-1.09419873106349,-2.58002714692088,-3.94103507925238
"1642.MS00358",-0.147311557682496,2.27752425289693,-0.0613017930795637,-0.236608234110415,0.391889460601318,0.900432723771448,0.959961664246882,1.23684462799852,4.4300286046098,-1.25099835083844,-0.136299671041121,2.00361945304866,0.233162114301262,NA,3.93185099188204,0.302066007850768,0.204908861027617,0.405398107777332,0.210229003556328,0.23168547783041,1.39436820421439,1.5002351501971,-0.726951430634798,-0.221955756093266,-1.12442416013927,-1.05143669884002,-1.58793074030547,3.00560000167802,-0.6622832137916,-0.73112109473806,-0.509507326159878,-0.323719958976052,0.388442918427994,1.5392539301198,1.29827318491835,2.63673912447076,1.93027122551801,-0.593871183803703,0.882171157295793,-0.0757524431889756
"1642.MS00438",-0.429938901541376,-3.99014123873661,-0.105922666558211,-5.24629993408798,-5.19643198382585,-2.00360480630346,2.16738997915481,0.489974336268943,-3.78028813173801,-0.420655161690512,0.17447005430872,0.587609894962162,-3.17091575744187,3.93185099188204,NA,-0.183023835341069,-0.184783118282465,-4.60757465997787,-5.18118577935551,-4.5615746047002,0.509256415548923,0.862921936769322,-0.489871923144102,-0.0361400367306342,0.268392306265347,-0.345018193822209,0.175891184165664,0.703577376436139,0.00145630499758312,-2.2974590368449,-0.384384237434727,-0.164505021073218,-4.80269235795054,-4.44040186898677,-3.59830445505708,-2.9614260509518,-4.79260072937345,-0.625455100583292,-1.56648161046141,-2.71393075214099
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",-4.17067497814511,1.46968033060634,-5.21956621808155,0.101071814203174,0.0132758917652559,1.48524040034891,-2.59435628710896,-4.95533965216233,2.47272642188486,-5.90387515756928,-5.33183480133423,-4.18624393840132,-0.233991200777976,0.302066007850768,-0.183023835341069,NA,-5.81943022736446,0.464657706343232,0.0405021479280853,0.363960304288371,-4.83574797451164,-4.39667055353012,-5.78112930530333,-4.66903332056446,-5.60976043966115,-5.77880683332302,-4.7366021736325,-2.42125626289407,-6.75627659741556,-1.47848351814643,-5.46113166690341,-3.95715533198998,2.32273256193932,0.707730447273322,0.946119277505114,1.40987634056426,-0.596888743055346,-6.0968234979764,0.0480071058373619,-0.892104703405489
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",-5.02781003917515,0.865059661506934,-5.56286140717524,-0.00631286828514321,-0.358566680850681,0.862369855532859,-0.257196109280787,-2.67719925920056,1.35833229830708,-7.02913589165267,-5.59849503728924,-5.7392253258538,-0.366836712499848,0.204908861027617,-0.184783118282465,-5.81943022736446,NA,0.0999437493123427,-0.162136699997245,-0.0403111948356067,-6.76615172667913,-5.3904061846237,-5.13801779312432,-5.74704136576007,-4.61207537313408,-5.79087558169836,-3.42462537567058,-4.41036508959204,-5.46648620119992,-1.41134591475931,-5.49417520981235,-3.49810540482934,2.7446171019205,0.248819207024934,0.589501218220809,0.510315949486006,-0.530356283499064,-6.11100135300426,-0.0648211350207888,-0.897756887052377
"1642.MS00387",-0.406162680263775,-2.60337277680042,0.235728335202412,-3.4600605178025,-3.3452080399591,-2.574786680093,1.59135942774504,2.12439983609252,-2.06145354671142,-0.353774171210822,0.0742844208508187,2.74769601294898,-3.97818259476613,0.405398107777332,-4.60757465997787,0.464657706343232,0.0999437493123427,NA,-4.00514419766444,-2.88548060518291,2.28300647913334,3.30623365516176,-0.630424419881289,0.0751880318787884,1.24451610569431,-0.766978272776356,0.521003940779938,2.89145535332045,0.0916625309035233,-2.69554772941639,-0.664877211968649,-0.499823222360693,-3.91056960869399,-3.56279538892472,-3.15363081480449,-2.74626223255041,-3.45450144075536,-0.891070789171786,-1.88588289663528,-3.1057381461852
"1642.MS00414",-0.555616527170839,-3.50848867648812,0.0432459876951446,-4.19340913634567,-4.84914798892076,-2.52140820106778,1.53312370903763,2.740666345694,-3.55156446353704,-0.515791546932023,0.490798457036391,3.107036398567,-3.69113948939386,0.210229003556328,-5.18118577935551,0.0405021479280853,-0.162136699997245,-4.00514419766444,NA,-4.13542383749534,3.04223518842105,4.37063088452264,-0.64813995214342,0.0976092887040246,1.42815547224282,-0.50770553058838,0.645822751687515,3.68154264664704,0.20184959727315,-3.0283589371069,-0.706092137414521,0.0341219369196138,-4.00624643255483,-5.90759501645619,-3.12317784904858,-3.46397364377174,-5.5933263238189,-0.780410939569393,-2.94320327731565,-4.24614835888188
"1642.MS00463",-0.219324221781737,-4.20009996759324,0.249007559457738,-4.42034408426709,-5.14270651996685,-3.23566114936775,2.27799509599649,2.33120432801994,-2.91020869083461,-0.447812031154649,0.428020690384419,2.83597965096358,-3.3107337607183,0.23168547783041,-4.5615746047002,0.363960304288371,-0.0403111948356067,-2.88548060518291,-4.13542383749534,NA,2.64113195866014,3.09666040662466,-0.374947150442826,0.498513554269194,1.36645340552642,-0.15857618978077,0.886299931219384,2.78186721297489,0.335338173312544,-2.40694122409212,-0.638562188152435,-0.132193512728334,-3.57753937613452,-4.62498558298759,-2.78775474532104,-3.73661338859637,-4.23315705680038,-0.382060274757906,-3.28504809905202,-2.73930604454498
