"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00544","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00384","1642.MS00387","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00476","1642.MS00629","1642.MS00575","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00469","1642.MS00339","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00505","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8266,0.8902,0.8684,0.5684,0.8972,0.8964,0.8788,0.8456,0.909,0.9074,0.8798,0.93,0.6492,0.7222,0.8952,0.8488,0.6278,0.908,0.9252,0.725,0,0.9044,0.6938,0.8376,0.931,0.8986,0.8976,0.9226,0.93,0.7142,0.7824,0.8296,0.9102,0.848,0.9396,0.8654,0.9318,0.706,0.9124,0.6824
"1642.MS00396",0.9164,0.556,0.9032,0.9072,0.9468,0.5224,0.4894,0.931,0.4964,0.5424,0.6092,0.6274,0.9028,0.9126,0.5254,0.9124,0.9072,0.544,0.9586,0.8716,0.9044,0,0.917,0.926,0.9578,0.4906,0.939,0.5666,0.59,0.9058,0.9198,0.921,0.5572,0.9308,0.6056,0.9314,0.6352,0.9192,0.575,0.9082
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.851,0.8982,0.8662,0.649,0.8494,0.911,0.893,0.8448,0.917,0.9228,0.887,0.943,0.6906,0.709,0.9088,0.8458,0.663,0.9238,0.9128,0.7518,0.6938,0.917,0,0.7912,0.9246,0.9058,0.8772,0.93,0.9348,0.6998,0.7214,0.8398,0.9178,0.873,0.942,0.856,0.9418,0.4924,0.9224,0.6406
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.5994,0.9198,0.6644,0.8368,0.5576,0.9224,0.9076,0.6792,0.932,0.9322,0.919,0.9474,0.8366,0.8394,0.9222,0.6896,0.8056,0.935,0.6662,0.8504,0.8376,0.926,0.7912,0,0.7576,0.9252,0.588,0.9366,0.9338,0.8182,0.528,0.6508,0.93,0.5838,0.9384,0.626,0.949,0.7686,0.9318,0.8098
"2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences",0.71,0.9516,0.8744,0.9142,0.8098,0.9516,0.93,0.8032,0.9582,0.9614,0.9578,0.9694,0.9238,0.9086,0.9582,0.8724,0.9034,0.9582,0.7186,0.9226,0.931,0.9578,0.9246,0.7576,0,0.9542,0.727,0.9618,0.9496,0.8978,0.7706,0.7934,0.9582,0.7942,0.9592,0.771,0.9696,0.9208,0.9586,0.8882
"1642.MS00430",0.912,0.5732,0.9036,0.896,0.9468,0.535,0.4884,0.9232,0.4808,0.5196,0.5948,0.6298,0.8898,0.9004,0.529,0.9058,0.898,0.5696,0.9498,0.8624,0.8986,0.4906,0.9058,0.9252,0.9542,0,0.9346,0.5554,0.5862,0.892,0.9152,0.9148,0.5602,0.9282,0.6062,0.9198,0.6778,0.912,0.6044,0.892
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",0.5316,0.9314,0.7122,0.8674,0.6644,0.937,0.9214,0.6912,0.9422,0.938,0.9368,0.951,0.8638,0.8402,0.9398,0.7592,0.8526,0.9418,0.657,0.8832,0.8976,0.939,0.8772,0.588,0.727,0.9346,0,0.942,0.9352,0.8238,0.5768,0.6758,0.9392,0.592,0.9364,0.653,0.9574,0.875,0.9444,0.8276
"1642.MS00469",0.9218,0.529,0.9236,0.9128,0.956,0.5536,0.5648,0.9372,0.5718,0.5286,0.6362,0.5268,0.9034,0.9164,0.5234,0.9252,0.9164,0.5162,0.9576,0.8974,0.9226,0.5666,0.93,0.9366,0.9618,0.5554,0.942,0,0.6022,0.9122,0.9284,0.9258,0.5256,0.9374,0.5328,0.9328,0.712,0.9312,0.6526,0.919
"1642.MS00339",0.9152,0.5772,0.9208,0.9278,0.9528,0.4672,0.6146,0.936,0.5956,0.6412,0.7306,0.5432,0.9248,0.9334,0.6814,0.9256,0.9284,0.566,0.9482,0.9016,0.93,0.59,0.9348,0.9338,0.9496,0.5862,0.9352,0.6022,0,0.9252,0.93,0.931,0.5158,0.9398,0.64,0.9352,0.6462,0.938,0.6014,0.9266
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7974,0.8856,0.8688,0.6652,0.8752,0.8972,0.8692,0.782,0.9014,0.9054,0.8722,0.9298,0.5874,0.4746,0.89,0.8682,0.6258,0.9096,0.8446,0.7708,0.7142,0.9058,0.6998,0.8182,0.8978,0.892,0.8238,0.9122,0.9252,0,0.7288,0.7876,0.9092,0.8358,0.9274,0.7954,0.9358,0.6976,0.9148,0.5184
"2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences",0.5714,0.908,0.7268,0.7482,0.637,0.9124,0.8798,0.6044,0.9238,0.9176,0.9046,0.9426,0.7488,0.7278,0.9136,0.7206,0.7124,0.9248,0.6526,0.8092,0.7824,0.9198,0.7214,0.528,0.7706,0.9152,0.5768,0.9284,0.93,0.7288,0,0.601,0.9204,0.54,0.9348,0.5694,0.9456,0.7218,0.9238,0.6932
"2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences",0.5796,0.9128,0.6964,0.7982,0.618,0.9182,0.8908,0.5028,0.915,0.926,0.903,0.9422,0.7726,0.7984,0.9176,0.7076,0.795,0.9262,0.7662,0.8468,0.8296,0.921,0.8398,0.6508,0.7934,0.9148,0.6758,0.9258,0.931,0.7876,0.601,0,0.9222,0.5408,0.9366,0.4818,0.9506,0.8276,0.9362,0.7982
"1642.MS00505",0.9176,0.4336,0.9064,0.9048,0.9474,0.4618,0.552,0.9288,0.5706,0.523,0.5984,0.4642,0.9018,0.913,0.5196,0.911,0.908,0.4512,0.9572,0.8776,0.9102,0.5572,0.9178,0.93,0.9582,0.5602,0.9392,0.5256,0.5158,0.9092,0.9204,0.9222,0,0.929,0.6076,0.932,0.7066,0.9214,0.6346,0.9108
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.4866,0.9222,0.6766,0.826,0.6696,0.9298,0.909,0.6086,0.9304,0.933,0.9196,0.9484,0.8326,0.8462,0.93,0.6914,0.826,0.933,0.701,0.859,0.848,0.9308,0.873,0.5838,0.7942,0.9282,0.592,0.9374,0.9398,0.8358,0.54,0.5408,0.929,0,0.9434,0.5134,0.9518,0.8528,0.933,0.8224
"1642.MS00588",0.9244,0.63,0.9354,0.9386,0.953,0.6458,0.6314,0.9344,0.6156,0.6072,0.6806,0.5354,0.9214,0.936,0.5868,0.9376,0.9308,0.569,0.9544,0.9172,0.9396,0.6056,0.942,0.9384,0.9592,0.6062,0.9364,0.5328,0.64,0.9274,0.9348,0.9366,0.6076,0.9434,0,0.935,0.753,0.94,0.709,0.9322
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",0.5648,0.9178,0.7168,0.8276,0.639,0.9248,0.8968,0.5216,0.9226,0.9294,0.922,0.9486,0.8016,0.793,0.9254,0.7478,0.8194,0.9374,0.6784,0.8602,0.8654,0.9314,0.856,0.626,0.771,0.9198,0.653,0.9328,0.9352,0.7954,0.5694,0.4818,0.932,0.5134,0.935,0,0.954,0.837,0.9386,0.803
"1642.MS00347",0.9376,0.701,0.93,0.931,0.9638,0.6268,0.6662,0.9448,0.6466,0.6948,0.7666,0.7342,0.927,0.9412,0.7208,0.9402,0.9382,0.6974,0.9674,0.9146,0.9318,0.6352,0.9418,0.949,0.9696,0.6778,0.9574,0.712,0.6462,0.9358,0.9456,0.9506,0.7066,0.9518,0.753,0.954,0,0.948,0.4178,0.9366
"2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8394,0.9086,0.8736,0.673,0.8382,0.92,0.899,0.8196,0.9206,0.9194,0.8968,0.9442,0.6714,0.7042,0.9114,0.8604,0.6416,0.9246,0.898,0.7804,0.706,0.9192,0.4924,0.7686,0.9208,0.912,0.875,0.9312,0.938,0.6976,0.7218,0.8276,0.9214,0.8528,0.94,0.837,0.948,0,0.929,0.6486
"1642.MS00344",0.9178,0.6282,0.917,0.9108,0.9508,0.5634,0.5996,0.931,0.5876,0.6354,0.6994,0.6938,0.9132,0.9198,0.658,0.9194,0.9166,0.6416,0.9556,0.8878,0.9124,0.575,0.9224,0.9318,0.9586,0.6044,0.9444,0.6526,0.6014,0.9148,0.9238,0.9362,0.6346,0.933,0.709,0.9386,0.4178,0.929,0,0.9168
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7888,0.8908,0.8682,0.616,0.8676,0.8984,0.872,0.786,0.91,0.9074,0.8704,0.9326,0.6154,0.537,0.899,0.864,0.5264,0.9102,0.8474,0.7618,0.6824,0.9082,0.6406,0.8098,0.8882,0.892,0.8276,0.919,0.9266,0.5184,0.6932,0.7982,0.9108,0.8224,0.9322,0.803,0.9366,0.6486,0.9168,0
