"","1642.MS00505","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00577","1642.MS00396","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.597.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00492","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00629","1642.MS00339","1642.MS00387","1642.MS00344","1642.MS00588","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00476","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00384","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00575","1642.MS00544","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",0.447213691478079,-5.16089037996333,2.80404402999077,6.55113887374677,-5.00768878855023,-4.658744587158,-6.43024528835558,-6.4903470023849,-7.98349131200783,3.42761307826864,NA,-4.01959153075861,-5.34650385138797,-2.55140858585002,-7.77171758581117,-6.04345264855414,2.78422570842354,-2.07970518278175,7.59032507265481,-4.59088099134244,3.3244779423104,0.193626647810901,3.55538551663209,0.622191471162224,7.04077784210449,-5.52385348979043,-7.77186412825455,5.0599493274385,-5.5950245803144,-7.96096395902283,-4.16732758778709,3.43215449589675,-5.11912662542517,-4.12155286809427,1.60583761880473,0.218167854701414,-6.21779943108151,1.4751606896841,0.923643734878749,-6.77715850297049
"2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences",-0.292046268797159,-4.66029335360363,0.776844233743984,2.18419421180711,-4.54502197954184,-3.23411382828072,-7.401841293311,-4.57674630199458,-5.38387999437858,2.12684149268056,-4.01959153075861,NA,-3.20703842916236,-5.3777777420534,-2.95009478534492,-3.31217495097442,0.546904265991457,-4.93250387899789,2.74776876055045,-5.3645580351044,0.567686282146481,-0.725686231168967,1.11241385174467,-0.899985936920929,2.19216218102567,-4.40555629748694,-4.4741336710327,0.616290434627528,-4.4634977791759,-5.04489690809996,-2.31968725851091,1.55130102488435,-4.29397740939437,-3.87643294559209,0.175544314390072,-0.417248813915309,-4.23332854043329,0.192112642032133,0.043502635965711,-4.36727759401493
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",4.4155437532033,-1.28606433856175,6.87614024012781,9.93016092958409,-1.66938088329447,-4.41547076131646,-4.34028913407763,-4.16898965229985,-6.34235340200211,9.40041918042559,-5.34650385138797,-3.20703842916236,NA,-2.04823054754265,-6.75892113188641,-4.69323059190718,7.24300141418898,1.81357162399659,10.9359026813993,-2.21932419143838,5.33214724250258,4.27957147089001,5.92709146023429,3.82013407750801,11.2883518731283,-4.07809292533194,-5.13735831861839,7.6982045488482,-2.43479725649778,-4.93211614022828,-2.69232838543958,6.58307447780566,-0.937894460307868,-1.24974036714467,3.83660912242664,3.73494754041589,-6.8745179985472,5.40250296608301,4.86842902377463,-7.1513842334081
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.271651344332027,-2.879000574924,0.802150097564832,0.971398266949287,-3.34408205542055,-2.30977430635011,-8.06531559293248,-2.61656019038447,-4.53450775962891,0.971568359063846,-2.55140858585002,-5.3777777420534,-2.04823054754265,NA,-1.97111606058569,-2.45131783080803,0.0114535172512301,-3.15385636508719,1.61473867896756,-4.78401021207676,0.14333844105782,-0.591418289952497,0.32040854792269,-0.982614859197276,0.95032402829741,-2.61991711111439,-3.01835316786256,0.0355602446818566,-2.56949901973837,-3.50011933052594,-1.40697058670292,1.17704053518669,-2.47707877636995,-2.51805368630368,-0.230879132713348,0.358828963694657,-3.13601102266182,0.964885162243692,0.401744413782964,-2.98577740280867
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",5.59156505929305,-3.74255747840383,8.73733404700176,7.98158720797841,-3.42157403603968,-5.23245083292902,-2.38544054359326,-4.61758975847801,-7.75597931755724,8.51485349704981,-7.77171758581117,-2.95009478534492,-6.75892113188641,-1.97111606058569,NA,-6.08236762040612,2.82554337043987,-3.71814550230582,8.17388906244976,-3.93316654178905,2.56549400275661,3.0831982710233,3.878958050509,1.46112951743685,8.54441400188694,-3.40089014797747,-6.59515762472126,5.5459009154757,-4.32219438484338,-5.54966751969571,-5.54700164151205,5.09140154514975,-4.3748246164165,-2.15056287293751,2.07113602785106,3.25029595324132,-8.58395442735726,6.10501147552689,5.61251508571073,-8.18355703059697
"2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.108293356762861,-4.40233094780764,1.05824875086935,1.97584465153425,-6.11430240407542,-3.30504408733053,-4.75252879247163,-5.10360403725097,-6.68879740782798,2.39236219438542,-6.04345264855414,-3.31217495097442,-4.69323059190718,-2.45131783080803,-6.08236762040612,NA,0.824191711941186,-4.28306259258835,2.39269631543344,-4.57213966110658,0.447635242495624,-0.0634051917953449,0.307895373758705,0.160146312945349,3.17162901255422,-3.91830862681753,-4.69044936460288,1.5430686604601,-4.57002684106102,-2.26183435758647,-3.83925345144632,1.07617649767006,-6.13223112625798,-2.92068150294349,0.786448339471315,-0.435165813585479,-7.29605021917232,0.898839733508116,-0.0276054173034594,-6.90026342040669
"1642.MS00427",-2.09407944357984,-0.13071539876709,-2.32838754610425,-2.26035939730874,-0.0424459197034575,2.48523267945048,-0.0351599196295565,0.222297184385499,3.0405419328516,-1.51002046407368,2.78422570842354,0.546904265991457,7.24300141418898,0.0114535172512301,2.82554337043987,0.824191711941186,NA,-0.344520450764384,-1.82138415219886,-0.0935308715213364,-1.89305078006415,-2.35544619978617,-1.82745952614117,-2.45046525194315,-3.05576255855829,0.331794705560439,1.88028042378044,-1.99239564118955,-0.429230328409271,-1.06122616533429,4.16046555260183,-2.49222762635323,0.518027661216253,0.659935018008,-2.10152843306961,-2.34352675332895,1.64205693437825,-2.69751718409219,-2.52991990630684,2.48218710424232
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",-0.580551304300093,-5.06688338257294,-0.0431016112618527,0.237248498773434,-3.26161716711507,-1.35816856093382,-6.11608616415247,-6.24683930185079,-2.39481563766027,0.495985260391912,-2.07970518278175,-4.93250387899789,1.81357162399659,-3.15385636508719,-3.71814550230582,-4.28306259258835,-0.344520450764384,NA,0.716933356184474,-4.19816826585353,-0.100632087197303,-1.19297817214161,2.42050599067003,-1.14621378036978,4.8957868660605,-4.22825895000649,-2.41165242394689,-0.266963333536175,-5.30060527261212,-7.62864998467469,-1.40310446725649,0.0873045266285903,-6.84041301543885,-4.62561507521083,-0.784159777621509,-0.802228470761971,-2.21210614706141,-0.293467413470966,-0.396739240299791,-5.74756539312716
"1642.MS00492",-4.21253593749192,1.75515347538288,-4.13506050182933,-2.88900614399844,1.67342421556779,5.52526250516948,1.26500690667375,3.97943605835543,8.32760327946305,-3.06447262678515,7.59032507265481,2.74776876055045,10.9359026813993,1.61473867896756,8.17388906244976,2.39269631543344,-1.82138415219886,0.716933356184474,NA,1.93273608327417,-2.32683138382117,-2.59637992491554,-2.11821671129975,-1.86664799691777,-2.03629188928823,2.73065391236764,6.13051008772204,-4.77899685623321,1.4859250329959,2.71788554857836,9.3599277136012,-3.35315445661345,2.68014311076453,3.26837254163061,-0.831193578811529,-3.74850114656546,5.95717994937007,-3.70870451872225,-3.97665944366083,7.39741080565517
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-0.651585609697403,-5.2894551602115,0.160291487883218,1.36547151324947,-3.67937180691542,-3.35295161204607,-4.99419510656672,-4.46988225219685,-5.27640607510255,1.40028882582632,-4.59088099134244,-5.3645580351044,-2.21932419143838,-4.78401021207676,-3.93316654178905,-4.57213966110658,-0.0935308715213364,-4.19816826585353,1.93273608327417,NA,-0.033318307943282,-1.32677483052105,0.371582631177658,-1.43157535486564,1.92078116811715,-5.79605479825223,-5.36288614181456,-0.308932410531055,-4.73970352968255,-1.58985244826259,-3.70948057451254,0.695219160468864,-4.54529141208741,-6.14489969464335,-0.688293820181835,-0.716449813903062,-4.70886342866218,-0.335094633028415,-0.544426746325711,-4.94814868111544
