"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00519","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00604","1642.MS00475","1642.MS00426","1642.MS00383","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00483","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00527","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00362","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","1642.MS00394","1642.MS00449","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00550","1642.MS00441","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00507"
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",0.5706,0.9512,0.9128,0.7094,0.9526,0.867,0.9632,0.9046,0.9556,0.9628,0,0.9592,0.9538,0.9486,0.9512,0.5002,0.9564,0.9664,0.9544,0.8122,0.875,0.9562,0.9712,0.742,0.8674,0.9602,0.9486,0.9192,0.9602,0.9518,0.9598,0.5812,0.9498,0.9586,0.9136,0.8874,0.9614,0.6464,0.9686,0.9658
"1642.MS00604",0.9222,0.5152,0.9052,0.9468,0.4686,0.9044,0.6312,0.91,0.498,0.6142,0.9592,0,0.6014,0.5704,0.592,0.9582,0.59,0.5728,0.4662,0.9156,0.9156,0.5988,0.5672,0.9318,0.9116,0.688,0.5972,0.908,0.5768,0.5412,0.531,0.9512,0.544,0.5588,0.8968,0.901,0.6158,0.9318,0.75,0.6328
"1642.MS00475",0.9116,0.5424,0.8982,0.9428,0.5744,0.896,0.635,0.9102,0.5556,0.5584,0.9538,0.6014,0,0.5476,0.5766,0.9464,0.562,0.5874,0.6028,0.9002,0.9032,0.6738,0.5698,0.9266,0.8996,0.6254,0.5814,0.903,0.5412,0.5568,0.6044,0.9416,0.553,0.5168,0.8976,0.8996,0.6256,0.9254,0.6932,0.6008
"1642.MS00426",0.8986,0.4776,0.8898,0.9356,0.5416,0.8842,0.5026,0.8982,0.5414,0.6026,0.9486,0.5704,0.5476,0,0.4956,0.9342,0.4906,0.5524,0.558,0.893,0.9008,0.6734,0.581,0.92,0.893,0.547,0.4522,0.8944,0.5202,0.4744,0.5364,0.9392,0.564,0.532,0.8922,0.8888,0.625,0.9164,0.612,0.646
"1642.MS00383",0.9084,0.5024,0.9006,0.9358,0.5706,0.895,0.5456,0.9122,0.573,0.5988,0.9512,0.592,0.5766,0.4956,0,0.9398,0.5208,0.5678,0.5826,0.9012,0.9028,0.6914,0.604,0.9244,0.9006,0.5934,0.5332,0.908,0.5348,0.4892,0.5548,0.943,0.5868,0.5288,0.8932,0.8986,0.6284,0.9184,0.6442,0.6176
"2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences",0.6046,0.9406,0.916,0.798,0.9464,0.888,0.9516,0.919,0.9488,0.9538,0.5002,0.9582,0.9464,0.9342,0.9398,0,0.9462,0.9634,0.9538,0.8052,0.8436,0.9612,0.9642,0.8076,0.8794,0.953,0.9366,0.923,0.9502,0.944,0.9536,0.6606,0.9394,0.9496,0.9226,0.9038,0.9582,0.711,0.963,0.9596
"1642.MS00427",0.9118,0.5094,0.9086,0.943,0.571,0.9056,0.536,0.9174,0.5732,0.5774,0.9564,0.59,0.562,0.4906,0.5208,0.9462,0,0.5844,0.5856,0.9032,0.9104,0.6812,0.5902,0.9284,0.9144,0.5984,0.5402,0.9146,0.544,0.5144,0.5342,0.9514,0.5608,0.5276,0.905,0.9088,0.6156,0.9226,0.6466,0.637
"1642.MS00483",0.926,0.5262,0.9248,0.9542,0.5468,0.9216,0.6308,0.9262,0.5678,0.5718,0.9664,0.5728,0.5874,0.5524,0.5678,0.9634,0.5844,0,0.5478,0.922,0.93,0.683,0.5386,0.9388,0.9296,0.6638,0.5984,0.9234,0.505,0.5508,0.512,0.9552,0.5716,0.512,0.9208,0.9206,0.5926,0.9404,0.7188,0.6062
"1642.MS00628",0.9096,0.5102,0.8836,0.9402,0.457,0.88,0.6168,0.8926,0.4868,0.6424,0.9544,0.4662,0.6028,0.558,0.5826,0.9538,0.5856,0.5478,0,0.909,0.9062,0.6616,0.574,0.9208,0.895,0.6808,0.5954,0.8932,0.547,0.5244,0.4974,0.9436,0.5548,0.534,0.8806,0.8824,0.6432,0.923,0.7396,0.6618
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",0.7196,0.8882,0.8924,0.813,0.912,0.8834,0.9082,0.9012,0.9126,0.9294,0.8122,0.9156,0.9002,0.893,0.9012,0.8052,0.9032,0.922,0.909,0,0.4034,0.9308,0.9308,0.7686,0.9066,0.9138,0.8904,0.899,0.908,0.8938,0.9156,0.8062,0.892,0.9036,0.8848,0.8806,0.9224,0.7782,0.925,0.9222
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.7856,0.8936,0.893,0.8736,0.9058,0.8888,0.9176,0.9042,0.9094,0.9328,0.875,0.9156,0.9032,0.9008,0.9028,0.8436,0.9104,0.93,0.9062,0.4034,0,0.9384,0.939,0.837,0.9086,0.921,0.8944,0.8964,0.9142,0.896,0.917,0.771,0.8944,0.9068,0.8808,0.881,0.9334,0.8106,0.9362,0.9272
"1642.MS00591",0.9214,0.6716,0.9136,0.9536,0.6462,0.9146,0.7258,0.9134,0.6614,0.6514,0.9562,0.5988,0.6738,0.6734,0.6914,0.9612,0.6812,0.683,0.6616,0.9308,0.9384,0,0.668,0.938,0.9178,0.755,0.7052,0.915,0.6844,0.694,0.688,0.9522,0.6268,0.6762,0.9148,0.9162,0.6262,0.9344,0.798,0.6804
"1642.MS00527",0.9336,0.5566,0.9334,0.9592,0.572,0.9312,0.6332,0.9354,0.5898,0.4892,0.9712,0.5672,0.5698,0.581,0.604,0.9642,0.5902,0.5386,0.574,0.9308,0.939,0.668,0,0.9474,0.9348,0.6076,0.6254,0.9338,0.4774,0.5812,0.5402,0.9616,0.5848,0.4832,0.9258,0.9324,0.5822,0.9426,0.709,0.5626
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.6964,0.916,0.842,0.6954,0.9144,0.8094,0.9358,0.8384,0.9236,0.947,0.742,0.9318,0.9266,0.92,0.9244,0.8076,0.9284,0.9388,0.9208,0.7686,0.837,0.938,0.9474,0,0.846,0.943,0.9202,0.858,0.9316,0.924,0.9262,0.8236,0.9228,0.9272,0.8268,0.82,0.942,0.6374,0.951,0.9468
