"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00351","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00519","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00604","1642.MS00475","1642.MS00426","1642.MS00383","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","1642.MS00483","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00527","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00362","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","1642.MS00394","1642.MS00449","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00550","1642.MS00441","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00347","1642.MS00507"
"1642.MS00394",1,-1,1,1,-0.912,1,-0.688,1,-0.922,0.526,1,-0.57,-0.511,-0.996,-0.988,1,-0.952,-0.548,-0.768,1,1,1,-0.026,1,1,-0.148,-0.955,1,-0.978,0,-0.95,1,-0.335,-0.99,1,1,0.978,1,0.812,0.621
"1642.MS00449",1,-1,1,1,-0.956,1,-0.391,1,-0.825,0.318,1,-0.625,0.368,-0.539,-0.379,1,-0.804,-0.934,-0.96,1,1,0.998,-0.639,1,1,0.719,0.0980000000000001,1,-0.976,-0.95,0,1,-0.102,-0.978,1,1,0.804,1,0.984,0.567
"2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences",-0.968,1,1,0.835,1,0.998,1,1,1,1,-1,1,1,1,1,-0.984,1,1,1,0.675,0.083,1,1,0.844,0.989,1,1,1,1,1,1,0,1,1,1,1,1,-0.867,1,1
"1642.MS00550",1,-0.669,1,1,-0.742,1,0.923,1,-0.88,-0.92,1,-0.6,-0.551,-0.15,0.148,1,-0.472,-0.202,-0.301,1,1,0.816,0.012,1,1,0.938,0.454,1,-0.191,-0.335,-0.102,1,0,-0.464,1,1,-0.643,1,1,-0.727
"1642.MS00441",1,-0.99,1,1,-0.731,1,-0.111,1,-0.777,-0.975,1,-0.364,-0.966,-0.768,-0.842,1,-0.893,-0.974,-0.683,1,1,0.994,-0.998,1,1,-0.695,-0.275,1,-1,-0.99,-0.978,1,-0.464,0,1,1,0.378,1,0.717,-0.896
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,-0.377,1,1,-0.806,1,-0.557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988,-0.034,1,1,-0.564,1,1,1,1,1,1,0,-0.716,1,1,1,1
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,-0.652,0.998,1,-0.992,1,-0.54,1,1,1,1,1,1,1,0.998,1,1,1,1,1,1,1,0.984,-0.00600000000000001,1,1,-0.643,1,1,1,1,1,1,-0.716,0,1,1,1,1
"1642.MS00588",1,0.808,1,1,0.8,1,1,1,0.797,-0.97,1,0.698,0.69,0.852,0.824,1,0.501,0.166,0.986,1,1,0.763,-0.052,1,1,0.996,0.994,1,0.219,0.978,0.804,1,-0.643,0.378,1,1,0,1,1,-0.306
"2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences",-0.998,1,1,-0.994,1,0.984,1,1,1,1,-0.99,1,1,1,1,-0.918,1,1,1,0.514,0.886,1,1,-0.928,0.946,1,1,1,1,1,1,-0.867,1,1,1,1,1,0,1,1
"1642.MS00347",1,0.761,1,1,1,1,-0.998,1,1,0.996,1,1,0.923,-0.306,0.285,1,0.273,0.992,1,1,1,1,0.982,1,1,-0.81,-0.527,1,0.603,0.812,0.984,1,1,0.717,1,1,1,1,0,0.998
"1642.MS00507",1,0.159,1,1,0.284,1,0.974,1,0.388,-0.998,1,0.387,-0.305,0.627,0.0389999999999999,1,0.287,-0.19,0.853,1,1,0.941,-0.794,1,1,-0.906,0.944,1,-0.998,0.621,0.567,1,-0.727,-0.896,1,1,-0.306,1,0.998,0
