"","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00475","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00431","1642.MS00588","1642.MS00519","1642.MS00609","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00449","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00427","1642.MS00483","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00362","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00367","1642.MS00527","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00405","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00604","1642.MS00394","1642.MS00507","1642.MS00550","1642.MS00383","1642.MS00441","1642.MS00351","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00426"
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",0.0534684241894,0.0540364507448,0.099376593799,0.0443387030004,0.0774986887313,0.0253164647253,0.0683818495588,0.0466650324116,0.0299486066684,0.0911272801457,0,0.0738673070847,0.0952446175888,0.0934315247623,0.1076239707005,0.0362362835875,0.094110167817,0.012107175983,0.0814483893563,0.1004952775934,0.0307586299118,0.0712026464507,0.0528658544826,0.0852096027348,0.0528440086406,0.0654631932489,0.0902852119137,0.0290552423275,0.0797996783295,0.0283556287594,0.0954226750825,0.0947353312581,0.0847137878372,0.0928550466462,0.0783797630144,0.0837435613656,0.088095096618,0.0317647729082,0.0791780979289,0.0761320613787
"1642.MS00431",0.0817494952543,0.0787261079092,0.0212736146436,0.0664394970992,0.0213158447205,0.071917074122,0.0914320127475,0.0682397696719,0.0710218270786,0.0202073111521,0.0738673070847,0,0.0237349977988,0.0215635612251,0.0209500064614,0.079857753364,0.0183252359414,0.0671953995772,0.0195195538423,0.0175095512167,0.0829909340931,0.0207180862385,0.070429759278,0.026767918177,0.071129864846,0.0195401680979,0.0214704010158,0.0703131775345,0.0183073004344,0.0676037584245,0.0211479140104,0.0190920732857,0.0195258910284,0.0204453849131,0.0179561441294,0.017360391251,0.0218802950398,0.0779385725231,0.0262811189745,0.0204255944856
"1642.MS00588",0.0903689802934,0.0929448327008,0.0280855681432,0.088855383515,0.0251148601889,0.0932593161406,0.0974440650161,0.0910033273701,0.0862826062543,0.0283946785748,0.0952446175888,0.0237349977988,0,0.0207939072177,0.0300464285022,0.1020902629364,0.0272425027092,0.0858405235705,0.0263423879414,0.0252374042982,0.1066481959482,0.0341834914719,0.0905029709861,0.0264011365256,0.088986777828,0.0302070733298,0.0223441049513,0.0925838931372,0.0290181254444,0.0876351130532,0.0279174558027,0.0320202376386,0.0224554913224,0.0240461415181,0.0274071389164,0.0251564892688,0.0357193980753,0.0962202315471,0.0402206155701,0.0296667645727
"1642.MS00519",0.0984364718934,0.0974887937098,0.0231341278353,0.0882711577796,0.0204463069012,0.0916044756269,0.1051529464412,0.0912568989029,0.0873597706078,0.0254560877822,0.0934315247623,0.0215635612251,0.0207939072177,0,0.0233724596775,0.0974117686917,0.0223340693789,0.0834719911506,0.022911379791,0.0213069122469,0.1009384720183,0.0297292779011,0.0907890106284,0.0238150976301,0.0903666841946,0.0269853608711,0.0189819946695,0.0873740589036,0.023899342247,0.0860793701151,0.0232297136299,0.0263296499418,0.0179119946876,0.0194213251095,0.0232629137545,0.0213878349049,0.0320791021256,0.0941617937807,0.0360811853876,0.0258154408796
"1642.MS00609",0.0782036724512,0.0823101354871,0.0180866889222,0.0794119729823,0.023285652043,0.0898614895024,0.0866652232985,0.082542347501,0.0989988592689,0.0182906115558,0.1076239707005,0.0209500064614,0.0300464285022,0.0233724596775,0,0.100267610975,0.0204961295774,0.1003913146609,0.0231922844227,0.0217490240916,0.1148005157569,0.0262992648755,0.0838637750668,0.0271712082483,0.0824810508613,0.0280031971154,0.0245560695341,0.0898966253078,0.0208179489901,0.0951661861609,0.0186465289442,0.022087034551,0.0207920241048,0.0215863193624,0.0241718102302,0.0199795864246,0.0302279858398,0.1164792031206,0.0393473927592,0.0234747315037
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.0462055026869,0.0437181961118,0.0939032821454,0.0407172867127,0.0858344080937,0.0251297952377,0.0487739924726,0.0396973042218,0.0326542343117,0.097179836977,0.0362362835875,0.079857753364,0.1020902629364,0.0974117686917,0.100267610975,0,0.0968522876171,0.0372481621866,0.0899666451326,0.0947066429455,0.022019572307,0.0745730679593,0.0445684372024,0.089465177594,0.0391361175278,0.0751221823582,0.093053298471,0.0219446684253,0.0855667693428,0.0213810832519,0.0948008299913,0.0938836719396,0.0940234906187,0.0965019690976,0.0860870113809,0.0905414698856,0.0856448460019,0.0245841836754,0.0860805063245,0.08286551198
"1642.MS00449",0.078560523,0.0824324133081,0.0210357093891,0.0792813019548,0.0232817679491,0.087468805672,0.0858052579,0.0819378346195,0.0909875332941,0.0201401219589,0.094110167817,0.0183252359414,0.0272425027092,0.0223340693789,0.0204961295774,0.0968522876171,0,0.0828697089722,0.0210530867572,0.0204431804555,0.1090205787105,0.0250974980913,0.0823993368562,0.0298225774827,0.0830534829291,0.0244077888442,0.022263153607,0.0871626827968,0.0190476177252,0.086488939473,0.0214969857024,0.0206958215866,0.0219959297146,0.0221110628024,0.0231235731597,0.0188804251906,0.0251597108243,0.1044903118402,0.0314132915499,0.0226795069887
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.0543575399207,0.0534950686592,0.0870869796304,0.0431101439113,0.0697698919398,0.0289269314477,0.0749261240781,0.0463381999432,0.0332908618562,0.0797938535311,0.012107175983,0.0671953995772,0.0858405235705,0.0834719911506,0.1003913146609,0.0372481621866,0.0828697089722,0,0.0731367242184,0.0818267897813,0.0375443805008,0.0625875276769,0.0517820231118,0.0773558207751,0.0512029180246,0.0592583290272,0.0817560524302,0.0335207489799,0.0701395535961,0.0328249130306,0.0840108692493,0.0890979498461,0.0773639768903,0.0796464551877,0.0695458269739,0.0745475166211,0.0819451860162,0.0395938237383,0.0723377859775,0.067664547887
"1642.MS00427",0.085568114926,0.0858061567605,0.0254984074197,0.076515242173,0.020680996881,0.080094804499,0.0919982722478,0.0771974009071,0.0793655074279,0.025267196432,0.0814483893563,0.0195195538423,0.0263423879414,0.022911379791,0.0231922844227,0.0899666451326,0.0210530867572,0.0731367242184,0,0.0238349515019,0.0895036231771,0.0191265716091,0.0807980043731,0.0285291414451,0.079370601156,0.0184577499694,0.0247779513176,0.0778376059801,0.0191845101624,0.0751709095966,0.0243283523277,0.0199095002331,0.0220446529833,0.022023357803,0.0172607625841,0.0196741969129,0.020381391929,0.0873631840254,0.0239082096744,0.0185647263218
"1642.MS00483",0.0835703927476,0.0849748218975,0.0230280632079,0.0811012026568,0.0209568620903,0.0907593255018,0.0988226607512,0.0850758154482,0.0954331661312,0.0225677328199,0.1004952775934,0.0175095512167,0.0252374042982,0.0213069122469,0.0217490240916,0.0947066429455,0.0204431804555,0.0818267897813,0.0238349515019,0,0.1107905759444,0.0266480671886,0.08573784696,0.0279955560019,0.0840225314113,0.0267064351444,0.0213435473481,0.0873742842191,0.0214203209242,0.0865923314597,0.0214132992593,0.0235363558314,0.0200459919825,0.0216435272547,0.0230129421571,0.0196347616036,0.0283746682888,0.1046549787963,0.0374397055317,0.0248602614876
