"","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00355","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00609","1642.MS00620","1642.MS00454","1642.MS00511","1642.MS00353","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00452","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00518","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00519","1642.MS00408","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00521","1642.MS00586","1642.MS00332","1642.MS00449","1642.MS00551","1642.MS00410","1642.MS00340","1642.MS00439","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.6634,0.9628,0.6146,0.963,0.9706,0.9616,0.9722,0.9752,0.9138,0.9664,0,0.5142,0.9632,0.9048,0.9734,0.9656,0.8868,0.5742,0.719,0.8996,0.9324,0.9824,0.9716,0.9088,0.7648,0.9656,0.97,0.976,0.9692,0.9704,0.9672,0.9744,0.9694,0.4936,0.7532,0.9656,0.9266,0.7128,0.9398,0.8926
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.674,0.9524,0.6366,0.9536,0.9638,0.954,0.967,0.9696,0.8966,0.9578,0.5142,0,0.9538,0.877,0.9658,0.952,0.8274,0.4476,0.6984,0.8526,0.9218,0.9764,0.9644,0.8854,0.7624,0.962,0.9624,0.9706,0.9562,0.9642,0.954,0.9638,0.958,0.5692,0.7554,0.9594,0.8842,0.658,0.931,0.8708
"1642.MS00518",0.9154,0.6542,0.913,0.5096,0.5414,0.5106,0.5338,0.642,0.911,0.5162,0.9632,0.9538,0,0.9042,0.5172,0.4818,0.9022,0.9368,0.9184,0.907,0.8752,0.7388,0.5044,0.8998,0.9178,0.5446,0.5564,0.7144,0.5228,0.541,0.5122,0.6616,0.5434,0.9424,0.9178,0.5852,0.9146,0.9076,0.8758,0.8948
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.771,0.9282,0.798,0.8822,0.8964,0.921,0.9374,0.938,0.5906,0.8972,0.9048,0.877,0.9042,0,0.9416,0.8966,0.8602,0.8258,0.8346,0.8838,0.6688,0.96,0.9176,0.4456,0.7876,0.9282,0.9244,0.9574,0.9036,0.9104,0.8932,0.9478,0.9138,0.8922,0.6878,0.9252,0.6118,0.8334,0.7062,0.5872
"1642.MS00519",0.9366,0.676,0.934,0.6096,0.6556,0.4746,0.4876,0.6688,0.9414,0.6154,0.9734,0.9658,0.5172,0.9416,0,0.5482,0.9348,0.9556,0.9442,0.9328,0.9324,0.6898,0.5582,0.9394,0.9384,0.506,0.5392,0.6638,0.6026,0.6256,0.6224,0.6056,0.5668,0.9614,0.9394,0.5136,0.9536,0.934,0.9354,0.9332
"1642.MS00408",0.9156,0.5864,0.9074,0.527,0.5428,0.5182,0.557,0.5598,0.904,0.5062,0.9656,0.952,0.4818,0.8966,0.5482,0,0.8878,0.94,0.9138,0.8964,0.8682,0.675,0.562,0.89,0.9218,0.6034,0.622,0.6308,0.4842,0.5608,0.4674,0.58,0.5162,0.9484,0.9156,0.5856,0.9066,0.9064,0.8686,0.882
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.722,0.9118,0.7722,0.8988,0.905,0.9046,0.9292,0.9278,0.8708,0.8896,0.8868,0.8274,0.9022,0.8602,0.9348,0.8878,0,0.7646,0.8384,0.3788,0.8454,0.9492,0.9216,0.863,0.8298,0.9272,0.918,0.9398,0.9054,0.9236,0.8914,0.9324,0.9086,0.7918,0.7696,0.9206,0.8728,0.5574,0.8572,0.8594
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.5862,0.9462,0.6288,0.93,0.9462,0.9458,0.9512,0.9572,0.86,0.94,0.5742,0.4476,0.9368,0.8258,0.9556,0.94,0.7646,0,0.7166,0.784,0.8672,0.9694,0.9502,0.8368,0.7286,0.946,0.9474,0.963,0.94,0.948,0.9376,0.9568,0.9444,0.5902,0.6758,0.945,0.8268,0.5644,0.8902,0.8448
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",0.7452,0.9298,0.6914,0.9118,0.9238,0.935,0.9448,0.9424,0.8294,0.922,0.719,0.6984,0.9184,0.8346,0.9442,0.9138,0.8384,0.7166,0,0.861,0.8634,0.961,0.935,0.83,0.8172,0.9362,0.935,0.9548,0.9266,0.9354,0.9194,0.9512,0.9252,0.7278,0.7844,0.9348,0.8738,0.7024,0.8874,0.815
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",0.6666,0.9126,0.7856,0.9058,0.9198,0.907,0.9312,0.9306,0.8936,0.8998,0.8996,0.8526,0.907,0.8838,0.9328,0.8964,0.3788,0.784,0.861,0,0.871,0.9508,0.9248,0.8924,0.7994,0.924,0.9202,0.9406,0.917,0.9292,0.8996,0.9348,0.9124,0.8026,0.7504,0.9194,0.8912,0.527,0.868,0.887
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8372,0.9002,0.8492,0.8508,0.8574,0.8906,0.92,0.916,0.7112,0.85,0.9324,0.9218,0.8752,0.6688,0.9324,0.8682,0.8454,0.8672,0.8634,0.871,0,0.9464,0.9016,0.692,0.8488,0.9178,0.8974,0.9432,0.8824,0.8804,0.864,0.935,0.8924,0.8822,0.8092,0.9004,0.7042,0.8504,0.4186,0.6572
"1642.MS00366",0.9544,0.5738,0.9512,0.8014,0.793,0.6778,0.5744,0.5376,0.962,0.7696,0.9824,0.9764,0.7388,0.96,0.6898,0.675,0.9492,0.9694,0.961,0.9508,0.9464,0,0.7906,0.9562,0.9532,0.778,0.7864,0.4832,0.7368,0.7638,0.7662,0.4678,0.7322,0.9742,0.9604,0.5906,0.9636,0.9552,0.9486,0.955
"1642.MS00583",0.9334,0.7458,0.9266,0.506,0.5466,0.5712,0.5756,0.72,0.9198,0.5616,0.9716,0.9644,0.5044,0.9176,0.5582,0.562,0.9216,0.9502,0.935,0.9248,0.9016,0.7906,0,0.9138,0.932,0.5274,0.4806,0.767,0.5144,0.5802,0.5338,0.7106,0.554,0.963,0.9288,0.656,0.93,0.9304,0.904,0.9144
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7756,0.9216,0.7984,0.8802,0.9028,0.92,0.935,0.9356,0.5926,0.8918,0.9088,0.8854,0.8998,0.4456,0.9394,0.89,0.863,0.8368,0.83,0.8924,0.692,0.9562,0.9138,0,0.7848,0.9268,0.9188,0.9528,0.8974,0.9052,0.8888,0.9444,0.9072,0.8996,0.7066,0.9226,0.6514,0.8342,0.7434,0.5872
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",0.5078,0.9282,0.609,0.9144,0.9324,0.9222,0.9438,0.9384,0.8256,0.9222,0.7648,0.7624,0.9178,0.7876,0.9384,0.9218,0.8298,0.7286,0.8172,0.7994,0.8488,0.9532,0.932,0.7848,0,0.929,0.9322,0.9544,0.926,0.936,0.92,0.9448,0.9252,0.7904,0.5556,0.939,0.8402,0.705,0.8716,0.768
"1642.MS00521",0.9288,0.7496,0.9244,0.5664,0.6274,0.5458,0.5424,0.7306,0.9286,0.6014,0.9656,0.962,0.5446,0.9282,0.506,0.6034,0.9272,0.946,0.9362,0.924,0.9178,0.778,0.5274,0.9268,0.929,0,0.4748,0.747,0.5932,0.6238,0.6156,0.6948,0.576,0.9508,0.928,0.5902,0.9388,0.9228,0.9198,0.92
"1642.MS00586",0.9276,0.753,0.9254,0.5502,0.6156,0.564,0.559,0.7324,0.9246,0.5992,0.97,0.9624,0.5564,0.9244,0.5392,0.622,0.918,0.9474,0.935,0.9202,0.8974,0.7864,0.4806,0.9188,0.9322,0.4748,0,0.7778,0.5876,0.6274,0.6126,0.7182,0.5932,0.954,0.9324,0.6162,0.9302,0.927,0.899,0.9188
"1642.MS00332",0.9478,0.594,0.9476,0.7804,0.774,0.6424,0.6174,0.5424,0.958,0.7438,0.976,0.9706,0.7144,0.9574,0.6638,0.6308,0.9398,0.963,0.9548,0.9406,0.9432,0.4832,0.767,0.9528,0.9544,0.747,0.7778,0,0.702,0.7484,0.7356,0.4732,0.6968,0.9648,0.9556,0.6488,0.9634,0.9458,0.946,0.9488
"1642.MS00449",0.9202,0.6818,0.9166,0.5048,0.5228,0.6074,0.626,0.662,0.9074,0.4966,0.9692,0.9562,0.5228,0.9036,0.6026,0.4842,0.9054,0.94,0.9266,0.917,0.8824,0.7368,0.5144,0.8974,0.926,0.5932,0.5876,0.702,0,0.6012,0.441,0.661,0.4786,0.9568,0.9154,0.6752,0.9172,0.911,0.885,0.8966
"1642.MS00551",0.9288,0.7034,0.9216,0.567,0.617,0.5832,0.6126,0.6834,0.91,0.6096,0.9704,0.9642,0.541,0.9104,0.6256,0.5608,0.9236,0.948,0.9354,0.9292,0.8804,0.7638,0.5802,0.9052,0.936,0.6238,0.6274,0.7484,0.6012,0,0.5796,0.7046,0.6286,0.9564,0.9252,0.6594,0.926,0.927,0.8848,0.8992
