"","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00454","1642.MS00355","1642.MS00452","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00340","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00620","2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00504","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00521","1642.MS00586","1642.MS00439","1642.MS00410","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00366","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00609","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00353","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00518","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00408","1642.MS00583","1642.MS00449"
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",-4.25996276876883,-4.93379724373503,-7.83177624584105,0.329040392656181,-1.6229627389601,0.0127110810070683,-8.4738490945522,-4.51034581115124,-0.985210626943633,1.27621180698055,NA,4.25295558549857,-5.30623072165277,-3.99897049757925,-5.59743174281063,-5.7993015244657,0.154102357819318,-1.15374617387991,-3.90373265443115,-2.77836771084946,0.0215581623793042,2.82857979871624,2.92299498661324,1.21280838661172,0.647091088754554,-4.78727912901226,-5.41585219226795,-1.58229192541044,-5.23704173945412,1.66657037955799,-4.42274487854143,-0.880977436313601,-5.09409052186302,-4.8230182864374,-1.24016363076029,0.743174984877538,-2.96593514472742,-0.102970422851339,4.80514217533759,1.89856095877384
"1642.MS00620",3.59721574312648,4.86021871966772,4.48789353022897,-0.714934247994773,-0.476052376006164,-1.90239005403394,2.78964765441976,8.41125195515587,0.134787004902319,-0.700308278747156,4.25295558549857,NA,3.91941889331368,5.62429590687127,5.8056635741362,2.87948042860295,-0.154460099086754,0.103752258350941,3.25630260688477,10.5628963273466,-1.22650389635472,-3.88813748898554,-4.61862611558931,-2.39678749790948,-3.33075270554579,4.13087536025258,3.68376996308558,-0.340967903133784,6.98596521943054,-3.81539773401078,3.62187177770729,-0.243604510813994,8.25211029423938,5.80741745272792,0.428050764506868,-1.54629099992009,12.3922394510962,-0.347735616379588,-3.51681041663789,-3.03144488961575
"2382.RU006.C181.RH.1.143.root.6.11.lane1.NoIndex.L001.sequences",-4.73615033475326,-8.04614015039601,-6.41875883170694,-0.0723507159194436,-1.93587835684551,-0.133003803930053,-5.29554960292137,-6.84266856334058,-1.30873463026592,0.617376098999404,-5.30623072165277,3.91941889331368,NA,-2.77034771344203,-6.30585255650384,-5.31294300776721,-0.160688217544452,-1.45697459804718,-3.83332627320015,-3.81541380527057,-0.280349355737377,1.47097729878364,1.70085499303405,0.577131466671701,-0.00558666024716362,-5.22114515058663,-5.77391198154938,-1.71283635473432,-5.64781138322545,1.14481827124151,-4.11612569018072,-1.77598998050039,-3.40321553486126,-6.67455334645584,-1.27021468615067,0.297196578827621,-1.13680678368946,-0.885627157379177,3.41638656861601,0.924976260647588
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",-4.37671812128633,-4.49039763029623,-2.89585500781623,2.40935196677945,-0.343060820584835,1.86177249088946,-2.25668208270355,-5.23149363351409,1.53361604618429,3.86464342579066,-3.99897049757925,5.62429590687127,-2.77034771344203,NA,-2.14403425188278,-3.16365264950061,2.55575416098412,1.33428751778631,-2.49645691065254,-4.90182982610093,2.05935571085607,4.95512212658231,5.82586536808768,2.43669657855357,1.11012995719678,-2.97593724018358,-0.70031525446579,1.06165676594638,-6.24917762043916,4.24714686709638,-9.00390989295056,0.123331302292442,-7.09037701075702,-4.19285213825719,1.49149239642496,3.22176500237574,-3.65513675795799,1.41929164746239,5.12575433131211,2.73890513945741
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",-5.50078299667973,-5.63931751284757,-7.72658722556429,1.60076727056071,-0.879688925085596,1.65380564968642,-6.98492335776425,-3.71475171479735,-0.701540044264842,2.09187649719925,-5.59743174281063,5.8056635741362,-6.30585255650384,-2.14403425188278,NA,-6.04823557539813,0.767552255639189,-0.78571643927815,-4.23969244857064,-2.36387516354162,1.59676640661005,4.50449562014539,4.63015648254894,2.58092963228209,2.0026949982806,-4.96298678034002,-6.51817597621265,-1.0322245071776,-5.88760055106639,3.46540103685957,-4.50902597440639,-0.726611257938655,-1.73317788770583,-7.5726051912486,-0.589332822917034,2.12770712934178,-0.0101283750319815,0.383112258691029,5.67817296302735,3.10371440771942
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",-4.08508422789193,-4.56002672462856,-4.98441416768434,-0.00778000091594061,-0.929367215542511,-0.223302800256433,-8.2059905979438,-6.46643137881151,-0.789181126632287,0.842513464198667,-5.7993015244657,2.87948042860295,-5.31294300776721,-3.16365264950061,-6.04823557539813,NA,0.143589333642751,-1.01150956973108,-3.63588955595742,-4.12266721807145,-0.208886779899779,1.78062473326334,1.59384537432993,0.997296178315278,0.741466211061465,-4.2120466918131,-5.81406934350833,-1.23181193489035,-6.6226034933446,0.823589873362801,-3.46501761994776,-0.593765239948203,-7.05156556292535,-5.74438168789247,-0.69067253073368,0.775959252878085,-3.9915975422409,0.0552188073177117,3.2001338151753,1.21463453437471
"1642.MS00511",-0.0347595287041461,-0.27196229557397,-0.295991969908704,-5.95837024329253,-2.33853619986971,-4.10632291620191,0.144718377865961,0.989601847809264,-3.21387604820192,-3.72965530789276,0.154102357819318,-0.154460099086754,-0.160688217544452,2.55575416098412,0.767552255639189,0.143589333642751,NA,-3.94963661767425,-0.415227379418244,1.44059351537409,-1.51502779070346,-3.81406398302296,-4.09769357190328,-4.93218763348411,-4.22981875635241,-0.560516357103649,0.28610885252633,-3.20307674083418,0.754644854307637,-4.17871974535345,0.110728356815422,-2.65283776930005,2.94872266459594,2.10899091210862,-2.81104060850116,-4.55192866994972,4.44494060129868,-5.04877887542317,-4.565325341359,-5.78978008589822
"1642.MS00504",-1.35132488559633,-1.38208670838651,-1.54041715179282,-5.79744905115474,-3.2396239637847,-3.41811883884459,-0.937555807584553,-0.689914361712273,-4.31154270744484,-3.59883781737445,-1.15374617387991,0.103752258350941,-1.45697459804718,1.33428751778631,-0.78571643927815,-1.01150956973108,-3.94963661767425,NA,-1.61971724454629,-0.19988152039147,-2.20952380171147,-2.36104720791598,-2.37861304753154,-2.27626893026297,-3.78728304606499,-1.55665375929839,-0.8421940261497,-3.38316553914995,-1.03568572231744,-2.55212086990042,-1.08711446866479,-3.75834629951843,1.40244131459788,-1.09523489604778,-3.26806502240223,-3.30998910353158,2.53934690709645,-3.73951167789768,-0.833907622269224,-3.6212987350349
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",-3.53567394264215,-3.79146753160419,-3.49019212995505,-0.673982242626656,-1.82524009950991,-0.737185958764926,-3.5054021173134,-3.66850256314116,-1.44594524727001,0.239832419026943,-3.90373265443115,3.25630260688477,-3.83332627320015,-2.49645691065254,-4.23969244857064,-3.63588955595742,-0.415227379418244,-1.61971724454629,NA,-3.32339875581755,-0.39057951126407,1.17210028165682,1.27306867612814,0.355428597891422,0.0402114298235121,-3.7725252635773,-3.27163038120723,-1.67791698161571,-4.15276765315302,0.51722885507813,-4.12473432022189,-1.45309369841434,-2.23882777978066,-3.77624030419705,-1.27779135590964,-0.0174741485322773,-1.33139214681141,-0.892821297191305,2.72033888889787,0.679619230171546
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.50946422397477,-3.63433452139008,-4.78079631448381,2.4744015963971,0.334120797558786,4.62071604544075,-4.94979144938156,-7.90296043528473,-0.0287921979773602,3.95350730490712,-2.77836771084946,10.5628963273466,-3.81541380527057,-4.90182982610093,-2.36387516354162,-4.12266721807145,1.44059351537409,-0.19988152039147,-3.32339875581755,NA,1.40251705143351,8.12138225350438,9.0490298501108,5.97990380836432,3.39365599716984,-3.36961599900325,-2.9648803258927,0.0300868123647898,-5.75751702581148,8.46272352831235,-4.63908374511867,0.61087919966466,-6.79086914734061,-5.57852463783194,1.08445134604234,3.85213530544448,-6.57221129464551,1.53457313857514,10.9463488301063,7.51324511708756
