"","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00429","1642.MS00348","1642.MS00468","1642.MS00411","1642.MS00366","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00583","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00502","1642.MS00554","1642.MS00387","1642.MS00517","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00462","1642.MS00520","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00443","1642.MS00361","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00411",0.1084946666059,0.0985053638684,0.0979694759096,0.0190195266612,0.0843009955623,0.0960654759153,0.0929819972434,0.0245175113947,0.0275865192206,0.0214150210287,0,0.0295311349722,0.0904600827229,0.0274808684001,0.0835132065607,0.111058842152,0.0927215516582,0.1004535329622,0.0977730320732,0.0817990492067,0.0911215732518,0.020055719161,0.0837470843291,0.0792424525693,0.0262308615715,0.1066043605034,0.0262280406483,0.0227380980169,0.025211886061,0.0199050083005,0.0215973936547,0.0919685417822,0.0221068234273,0.0243343387692,0.0836715864601,0.0855147074008,0.0265713111554,0.022195253024,0.0241518506368,0.0882296902362
"1642.MS00366",0.0946047248911,0.0839583919999,0.0859839725505,0.0278489815231,0.08285371527,0.0869017082098,0.0813161219828,0.0268788218405,0.0218728769563,0.0355975505154,0.0295311349722,0,0.0822550278228,0.0393129796093,0.0841858345173,0.095914556494,0.1108258868317,0.0910420212932,0.0868716730128,0.0870772412622,0.0792185641816,0.0318991113468,0.0969716318963,0.0842565939674,0.0435270934971,0.1053785091943,0.0447362252255,0.0375041371282,0.0381477584406,0.0295504258528,0.0337507626299,0.0849497975944,0.0386867631182,0.0360014088918,0.0756029675357,0.0861271912692,0.0373611654093,0.0365554601395,0.0198010744751,0.0897227620113
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.0161679762856,0.0211179763599,0.0174032336303,0.0980222612722,0.0421154787404,0.0193586968752,0.0262877646912,0.0934926155903,0.0909013062635,0.1017786194996,0.0904600827229,0.0822550278228,0,0.1071562313222,0.0392078702861,0.0193194084378,0.0451988499068,0.0167445381597,0.0209866929957,0.0404215736166,0.0327364089833,0.093384328508,0.0549229543327,0.0402314938736,0.1157100327325,0.018931474129,0.1092510066833,0.0907952005632,0.1073978329591,0.0859884910739,0.0900115015774,0.0210631645567,0.0970449746711,0.091049108183,0.0409830405378,0.0413560396916,0.1057227178128,0.104075008958,0.0884989798153,0.0382681611597
"1642.MS00640",0.1204981392177,0.1151633615248,0.1141351659852,0.0277997919568,0.0996411145533,0.1106182765049,0.107207792869,0.029489662329,0.0417395900142,0.0237638831487,0.0274808684001,0.0393129796093,0.1071562313222,0,0.0984881607404,0.1258574904908,0.1050199641075,0.1149706498268,0.1120998828588,0.0992808649044,0.1094696624679,0.0251420457905,0.0934904750646,0.096602601574,0.0242736273025,0.1225359080523,0.0244937732229,0.0222789117213,0.0221326342288,0.0296042502801,0.0231043302233,0.1085380066752,0.0254206998921,0.0211984510611,0.0995756187953,0.1028636829184,0.0208260938051,0.0264923266884,0.0342800228959,0.10208257236
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0469819912723,0.0394141566152,0.0411313233132,0.0895023960429,0.0212899233943,0.0412534362732,0.0387021748941,0.0823482753915,0.0868361470941,0.0869070687352,0.0835132065607,0.0841858345173,0.0392078702861,0.0984881607404,0,0.0469450931239,0.023984825936,0.0427450172599,0.0410015599921,0.0226990090296,0.0570602904733,0.0866797191197,0.0360559075237,0.0258394955546,0.1052569116294,0.0469506585562,0.1023502548706,0.0854819134269,0.0983787157536,0.0775114273208,0.0800382985228,0.0398593525195,0.087374822174,0.0911989982874,0.0546710498814,0.0309819278098,0.1018505628977,0.0944281576422,0.0835718498469,0.0283911713399
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",0.0170649345853,0.0201143235547,0.0142324971183,0.1206602655629,0.0487993768951,0.0234731211542,0.025424128713,0.1091323461327,0.1109995088762,0.1198520044027,0.111058842152,0.095914556494,0.0193194084378,0.1258574904908,0.0469450931239,0,0.0562798546365,0.0178695033458,0.0186055229439,0.057324471504,0.0415562883579,0.1148964100753,0.0611483883869,0.0608262264511,0.136037554777,0.0142111982241,0.1340412477032,0.1073442547498,0.1232566899021,0.1059213261157,0.1085182982003,0.0241566637171,0.1190643358338,0.1057248235893,0.0570101484998,0.056711114437,0.123510869574,0.1293219284297,0.1039632078968,0.0574845981531
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0482957272816,0.0483887225681,0.0507477630546,0.0920367752795,0.0252572020337,0.0525468526116,0.0567331216026,0.0894575469279,0.0964153189499,0.1059159716461,0.0927215516582,0.1108258868317,0.0451988499068,0.1050199641075,0.023984825936,0.0562798546365,0,0.0446205134672,0.0474733438694,0.0202401628156,0.0597049755427,0.0971670049049,0.0389324241946,0.0231744982949,0.1053233991802,0.0493626590887,0.1006062516582,0.1077792734285,0.1074279332143,0.0817096362468,0.0958550364498,0.0495953217751,0.0878799262565,0.1207172819598,0.054965172163,0.0343996957167,0.1187498057703,0.0939478178513,0.0923902136871,0.0276775721981
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",0.0136505829241,0.0280965578029,0.0222178025313,0.1081513647992,0.0518015123646,0.0174882618651,0.0301718764318,0.0984838479389,0.1018697055474,0.1089378415236,0.1004535329622,0.0910420212932,0.0167445381597,0.1149706498268,0.0427450172599,0.0178695033458,0.0446205134672,0,0.0234273433714,0.0492732626171,0.047033201402,0.1040217460796,0.0584666335776,0.0501598332898,0.1219218072234,0.0169840456197,0.1201321074021,0.0987964135547,0.1136207085113,0.0968210245337,0.0974205489944,0.0280448257399,0.1062585619714,0.0997668550042,0.0569525283962,0.0540091788859,0.1143210335256,0.1133109220838,0.0956671494804,0.0448975395364
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.0223279937741,0.0179052859816,0.0125544225086,0.1051899759049,0.0453779682175,0.0280688654267,0.0190457340848,0.0970208250242,0.0977466284708,0.1047911452756,0.0977730320732,0.0868716730128,0.0209866929957,0.1120998828588,0.0410015599921,0.0186055229439,0.0474733438694,0.0234273433714,0,0.0490336360781,0.0378799811804,0.1027193081365,0.0553975408702,0.0546017444961,0.1212014830401,0.0227210866682,0.1190711235829,0.0959841473592,0.1105458699521,0.0914123234232,0.0961160147908,0.0234160527518,0.1058058788709,0.0975725572908,0.0444842286666,0.0513974176583,0.1110662756173,0.1140523522925,0.0929099168176,0.0520336693035
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0523211217863,0.0447196878077,0.0462296161523,0.0860135604416,0.0224037377342,0.0523412115777,0.0437080835394,0.0805074698345,0.0870252972548,0.0959142035014,0.0817990492067,0.0870772412622,0.0404215736166,0.0992808649044,0.0226990090296,0.057324471504,0.0202401628156,0.0492732626171,0.0490336360781,0,0.0508194093822,0.0842811768507,0.0353600822117,0.0213007904038,0.1014652896173,0.053597911223,0.0981303694255,0.0865155102032,0.1001398056528,0.0750412884664,0.0806220597888,0.0404790177467,0.0846386994103,0.0911589255905,0.048102447692,0.029337988342,0.102400248303,0.0887993459743,0.0860448850748,0.0280157056006
