"","1642.MS00517","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00387","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00366","1642.MS00583","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00348","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00462","1642.MS00361","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00468","1642.MS00502","1642.MS00443","1642.MS00441","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"1642.MS00441",-0.996,1,1,1,-0.187,1,1,-0.822,1,1,1,1,-0.097,-0.145,-0.547,1,-0.445,0.705,1,1,-0.651,-0.692,0.334,1,-1,1,-0.972,-0.946,-0.828,0,1,-0.505,1,1,1,1,1,-0.976,1,-0.474
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.841,0.924,-0.674,1,0.98,0.95,1,1,0.996,0.993,1,1,1,1,0.848,1,1,0.984,0.956,1,1,1,0.978,1,0.341,1,1,1,1,0,1,0.986,-0.516,0.977,0.351,0.516,1,0.996,1
"1642.MS00578",-0.618,1,1,1,0.92,1,1,0.972,1,1,1,1,-0.812,0.199,-0.219,1,0.306,0.998,1,1,-0.998,0.758,0.986,1,-0.013,1,-0.316,-1,0.95,-0.505,1,0,1,1,1,1,1,0.936,1,-0.9
"2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences",1,0.897,-0.978,0.994,1,-0.984,-0.679,1,0.687,-1,-0.684,-0.076,1,1,1,-0.998,1,1,-0.814,-0.958,1,1,1,-1,1,1,1,1,1,1,0.986,1,0,0.996,-0.98,0.996,0.963,1,1,1
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.927,0.928,-1,1,0.984,0.996,1,1,0.996,1,1,1,1,1,0.968,1,1,0.996,0.944,1,1,1,0.944,1,-0.958,1,1,1,1,-0.516,1,0.996,0,0.935,0.262,-0.357,1,0.862,1
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",1,0.9,-0.978,0.928,1,-0.994,-1,1,-0.331,-0.996,-0.986,-0.75,1,1,1,-1,1,1,-0.994,-0.986,1,1,1,-1,1,0.952,1,1,1,1,0.977,1,-0.98,0.935,0,1,0.939,1,1,1
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.57,0.977,-0.373,1,0.994,1,1,1,1,1,1,1,1,1,0.981,1,1,0.734,0.998,1,1,1,0.984,1,0.555,1,1,1,1,0.351,1,0.996,0.262,1,0,0.645,1,0.663,1
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.167,0.947,0.179,1,0.989,1,1,1,0.992,1,1,1,1,1,0.978,1,1,0.994,0.986,1,1,1,0.892,1,-0.185,1,1,1,1,0.516,1,0.963,-0.357,0.939,0.645,0,1,0.818,1
"1642.MS00415",-0.484,1,1,1,-0.792,1,1,-0.896,1,1,1,1,0.618,0.585,-0.331,1,-0.248,0.268,1,1,0.724,-0.626,-0.372,1,-0.998,1,-0.182,0.19,-0.994,-0.976,1,0.936,1,1,1,1,1,0,1,0.263
"2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences",1,0.956,1,0.738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,0.998,1,1,1,1,1,0.847,1,1,1,1,0.996,1,1,0.862,1,0.663,0.818,1,0,1
"1642.MS00554",-0.724,1,1,1,0.174,1,1,0.466,1,1,1,1,-0.882,0.962,-0.548,1,-0.446,0.974,1,1,-0.86,0.085,0.812,1,-0.528,1,-0.847,-0.891,0.128,-0.474,1,-0.9,1,1,1,1,1,0.263,1,0
