"","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.95.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00429","1642.MS00348","1642.MS00468","1642.MS00411","1642.MS00366","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00583","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00502","1642.MS00554","1642.MS00387","1642.MS00517","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00462","1642.MS00520","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00443","1642.MS00361","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00411",0.598877155164535,0.903473607080815,-0.264398661969488,-4.27349446113586,2.81701879207909,-0.13115380332782,-0.0434402965520809,-3.93705400745153,-2.97876698960503,-3.72929274554025,NA,-3.81350946827193,-0.375020189896229,-3.6525699941341,1.60728191980645,0.697695524218708,4.10784055120215,-0.196331205876675,-0.0464713727678339,2.43574735442879,1.50514646464108,-3.71254968385869,3.88726552707596,1.91155370723157,-2.27631324020919,-0.854803418719547,-1.68966025000185,-4.26295339986704,-2.6835367956432,-3.89201269820428,-4.59159945958306,-0.325788870691902,-3.24620387233467,-3.34394963271342,-0.0981300813395651,1.75712962562033,-4.63994820577356,-2.87739809762249,-5.48185574332294,2.97509235074229
"1642.MS00366",-1.75572458951611,-1.78520264743151,-2.07813303519006,-4.95939546504218,-0.720787692542061,-1.97373263090126,-1.88596829140874,-5.67057959746033,-4.07566169016819,-3.24216659141321,-3.81350946827193,NA,-2.05958236762851,-3.38977196099492,-0.901526343958195,-1.72129989661738,1.72391635861969,-1.80271553346453,-1.84788908039263,-0.334046796349816,-1.65033429937602,-3.71204424250056,0.825066514797899,-0.68524842331078,-2.85216731231985,-1.43560663933383,-1.98349294019985,-1.69624309760452,-2.71967499471362,-4.25336334178978,-4.43103793279115,-1.80326105715747,-3.20869163708473,-1.94084259075742,-2.05728426682026,-1.0195662119112,-3.77787570888736,-3.09993735413975,-6.75257747767262,-0.0856233427996366
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-5.88467374744078,-7.18116536585256,-7.83273376523597,0.573913363627084,-6.19696580163472,-5.88608856380892,-6.066674358511,-0.534228635141591,-0.786188269240176,0.729926043691303,-0.375020189896229,-2.05958236762851,NA,2.13803044919965,-7.22152780815398,-7.26876046666763,-3.4366483112448,-7.63484247786504,-7.19421681705628,-6.54489175352052,-7.27482362316893,-0.198774430950577,-3.50323823599542,-6.30432224991693,3.02107693894287,-6.94098538376081,4.00136623291662,-0.737386083511226,1.72089076099904,0.13693745348174,-0.624432172776373,-6.73199871425276,1.22338303217727,-0.788061577649956,-5.75838826524075,-7.49913623217311,0.512063216918753,1.59755820954152,-1.26126001441034,-5.8324531336183
"1642.MS00640",2.13010975962374,3.80339044244373,1.90041495447261,-4.36501266791485,8.09854490446119,1.94955450337909,1.99419619245232,-2.53013684866006,-1.97773412085152,-4.1015276923469,-3.6525699941341,-3.38977196099492,2.13803044919965,NA,6.22718788912812,2.62515327464919,8.17957442990908,1.72111670980569,2.24794419452821,7.62846695164164,3.78818329049979,-5.19695564956271,6.11189918760517,6.89226786479813,-3.33441189932756,0.80653670650487,-3.30306313970056,-3.88716271110659,-2.19636346488064,-2.46302550689516,-4.67212888884261,1.59329379144701,-3.9934144957879,-3.35288037261658,2.40534413479272,6.13266024866445,-4.52924442589042,-4.71405009529184,-3.85487386941961,6.09774768480302
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",-7.67114883936666,-4.98168947542869,-7.66720610027384,3.67844226763427,-9.58105155701214,-6.70508526472861,-6.13970756025282,1.51120655075315,1.18839296158844,1.46337690374546,1.60728191980645,-0.901526343958195,-7.22152780815398,6.22718788912812,NA,-5.59610290564504,-7.09065552101334,-7.81187106010214,-6.960058672406,-9.07217558686193,-4.64350961359728,1.61665507518176,-7.87867602149108,-9.48878582658708,9.30025786322622,-7.49691621317689,8.80780760578423,0.348132196900227,4.53899250036978,2.05993899432343,0.300323006997859,-6.60043646440737,6.00463632997825,0.323310542128704,-4.65468684544159,-8.34879119313804,2.47725558784046,5.58718268570047,0.643723484819664,-4.11514469056785
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",-5.79257637015617,-4.68679360318051,-3.7997344027077,1.6818302258524,-6.15105104565874,-4.28166678482991,-4.40125339997209,0.184272813653912,-0.110350738230676,1.37962967777933,0.697695524218708,-1.72129989661738,-7.26876046666763,2.62515327464919,-5.59610290564504,NA,-4.2704479062621,-5.51111019752367,-3.87024095125501,-4.40063077011047,-4.58988894048131,0.918285819833552,-4.82982079772555,-4.87859276442765,4.04902696934589,-4.60268489806858,4.29714224442238,-0.491915099205102,1.93547153553589,0.858698298239854,0.132625937445228,-4.9266892729584,2.70855354227073,-0.5599389795615,-3.7050035503761,-5.10693501550549,0.972843780317493,3.17359629017923,-0.837311426766657,-3.35928510941574
"2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences",-6.40475143892087,-3.30114601069126,-5.04926237005194,4.67771656053959,-7.9128916669733,-4.20095400524148,-1.30720846490211,4.13648945301047,3.71460053732426,5.73132011393424,4.10784055120215,1.72391635861969,-3.4366483112448,8.17957442990908,-7.09065552101334,-4.2704479062621,NA,-6.23682810972533,-5.219464196577,-6.87464136865764,-3.61334407021336,3.84429881183904,-5.82385790847037,-8.32004604040512,9.68909374583576,-5.89537867797793,7.93660261227776,2.92052739457772,7.28901642804743,3.72295866551515,3.25121323595789,-3.2446077761716,6.09860781736628,2.60643842269688,-3.98289902750038,-7.02925477690845,4.80567154736062,5.87191107452906,3.55559856427899,-5.8798135518336
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",-6.30005666075555,-6.0227306363219,-5.81254229523795,0.497344650353913,-4.70973995394522,-5.74597752750714,-5.3712610920865,-0.735465871272039,-0.657033230925886,0.593464589913628,-0.196331205876675,-1.80271553346453,-7.63484247786504,1.72111670980569,-7.81187106010214,-5.51111019752367,-6.23682810972533,NA,-5.25948726119786,-6.20230251591692,-4.59408461523568,0.106619257103512,-4.45700790236707,-5.01688432020861,2.61377584865275,-5.53350499043356,2.38913468403044,-0.80138196736881,1.14156592439112,-0.276276210665407,-0.666028291928108,-5.01093527980592,1.29474435699837,-0.675596206021176,-4.22316092164335,-5.98203355375389,0.51355378092196,1.2885356335066,-1.38936911928605,-5.61050634602562
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",-4.57211904428255,-6.38060249442763,-5.99973827743481,0.593626995258881,-5.02158332617525,-3.57411362934815,-6.98111260015443,-0.461105244844221,-0.468379307154426,0.438444854599666,-0.0464713727678339,-1.84788908039263,-7.19421681705628,2.24794419452821,-6.960058672406,-3.87024095125501,-5.219464196577,-5.25948726119786,NA,-4.86682782183054,-6.16457274012377,0.465383168427826,-3.71185433909229,-3.98624039786698,3.04938296483793,-5.84741991558838,3.50023696626896,-0.674099239970511,1.51267428698746,-0.17762102195009,-0.313312095088714,-6.48236346475182,1.78524952659154,-0.64346893327588,-5.89504777405626,-5.94315956720289,0.644636975506732,2.2670061119185,-1.00911313466677,-2.99736196461991
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",-6.27280595641048,-4.27458016191195,-5.98705687242781,4.03637614989204,-7.87105932479616,-4.6424035565388,-4.70527733891015,2.08858493537178,1.96945388332217,4.23243834216992,2.43574735442879,-0.334046796349816,-6.54489175352052,7.62846695164164,-9.07217558686193,-4.40063077011047,-6.87464136865764,-6.20230251591692,-4.86682782183054,NA,-4.3148974238159,2.02505374355336,-6.73541212544866,-10.1143587256284,9.94349251898469,-6.01176660942106,8.71410976909103,0.819685608937547,6.03226997354164,2.98103011136237,0.989191106011697,-5.72706847446852,6.3369528685784,0.4556922480269,-4.28375283960746,-7.10229393594054,2.96248275061342,5.92593705423204,2.19671321416537,-3.94558635670262
