"","1642.MS00588","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00556","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00355","1642.MS00590","1642.MS00374","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00546","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00454","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00444","1642.MS00441","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00503","1642.MS00404","1642.MS00505","1642.MS00613","1642.MS00452","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00544","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00355",-2.41273182364586,-1.84266463586986,-1.46644137034097,-2.07206889408563,-0.190788909694943,-1.23178845637148,-1.1956077685154,-2.4404823717348,-0.464714802165096,-2.83562455550767,NA,-2.37027974827707,-0.368895653497017,-0.0750080380828722,-2.48824994133187,-2.26002846915297,-1.92363016550793,-1.80947049981888,-1.71901337446326,-2.12862197866504,-2.35090604574869,1.53374136315774,-2.76332285481304,-2.01738637768473,-2.22050918249711,-2.70490341862232,-0.627599059462397,-3.46609620455247,-2.09962425410243,-2.57571918268778,-1.99967235957789,-2.40075114095005,-2.4560330908856,-1.35793323819493,-2.20738765587087,-0.875137306337607,-2.47535251672966,-2.66083049436452,-2.13387573176415,-2.18749239336328
"1642.MS00590",-2.27787524454515,2.74312160959047,4.04316280506881,-3.29605964525833,6.4750925282354,1.58789488020977,2.87785438881985,-1.15841714853137,7.91075901882791,-3.67605078599698,-2.37027974827707,NA,2.60135934964027,8.67021766208285,-3.69001991715301,1.82721990307207,6.92173273950516,-3.47826662910669,-3.52390402621725,2.07358621256181,-4.16306663383756,7.97102132966211,-4.50109463860627,-5.11921607339731,-5.02429090013232,-1.80906527088353,6.37805745125659,-2.95183590464014,1.61124270478831,-3.45066540741883,-4.19257063547026,-3.68015145610277,-2.74851715953378,-2.77753356453058,-2.54396284621621,7.44107267785283,-4.38289234904219,-3.47708843497535,-2.87097757663141,4.76581179203635
"1642.MS00374",-0.985091510810793,1.11660072381781,1.40747661597316,-0.391433678171713,4.13805206483475,1.70828490418198,1.52665406139127,0.261386663845577,2.48842863021173,-0.660251469521138,-0.368895653497017,2.60135934964027,NA,2.52591281560165,0.760130937085603,0.43504332564364,2.0730509695073,-0.140212592446756,-0.0553207317198696,0.765848239429052,-0.363553389898451,5.17325970507632,1.83457914347199,3.37435155101482,2.83980837618647,-0.77004130364423,4.90881585586018,0.903912600365168,0.765966354562976,-0.347486572888372,0.628016332886328,-0.0288203907655686,-0.226652599607363,3.71243895614333,-0.489373334730479,3.76461859774951,-0.562847234079694,-0.337948562950778,-0.698755535082438,2.42674463367496
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",8.0262178031996,-3.20396439108739,-2.77063686268146,4.7313396030047,-3.88635009452393,-3.01767860169262,-2.58979515562898,7.78327579264019,-3.27213205018904,6.07451244134058,-0.0750080380828722,8.67021766208285,2.52591281560165,NA,1.52652854367032,-3.40732869535698,-5.13138803379849,8.66381090508027,3.18019681631954,-4.18040435079471,4.5637161550528,-2.22294220496607,7.64204684327342,5.18606649699747,3.34813742159366,5.30458264631269,-2.98505295211325,7.24797663736466,-3.04786630628188,1.95425678965384,1.69550044015456,5.45522534967467,1.02352016862234,6.52469229663279,5.76674223809119,-6.73030588182597,4.82076567193932,1.52799491964421,2.83216479748328,-5.15972137891851
"1642.MS00571",-3.62816906670465,0.282455781060842,0.88297439152429,-5.06910793360332,1.21844525268016,-0.160124337364627,0.633755166529775,-3.12974615688472,1.45355340898743,-5.75632329760364,-2.48824994133187,-3.69001991715301,0.760130937085603,1.52652854367032,NA,-0.469050712132378,0.920620995300119,-4.75797933577225,-5.62596825000873,-0.460443690280409,-6.51173425333704,3.7881655689081,-5.81710864501861,-1.94940009260125,-5.04628396198823,-4.74938868159038,0.84984413163298,-3.73918328749786,-0.401564684476425,-5.01072099310523,-5.08150581830648,-4.97187967247034,-4.04581344230738,-2.91383569442519,-3.3799695218031,1.06473502161751,-5.94597867836103,-6.18080837978505,-6.80414856555504,0.0292315221380951
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",1.88888161796367,-6.9725951742832,-7.82814113873656,0.350071352091987,-5.93053241237205,-5.72773311275022,-6.53556208800058,0.88298961984608,-5.82536705104193,1.68026192348255,-2.26002846915297,1.82721990307207,0.43504332564364,-3.40732869535698,-0.469050712132378,NA,-5.02836096172943,1.3167886663098,-0.28303179821656,-6.32559417910074,-0.141396430571203,-1.65309640289263,0.69431077634586,0.238434788125664,-0.322897978928832,0.333872480258508,-4.47020240751346,0.682152072299079,-6.17764704888028,-0.565384908865678,-0.845562213193414,-0.110871966745084,-1.01351743449471,1.15845824616495,-0.0661473242067458,-9.72206564244602,-1.24290625914477,-0.658616593699592,-0.836552485321415,-5.85748730358125
"2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences",4.13823920455965,-5.06446547230601,-5.93360547866707,3.83021790169153,-5.16634960307975,-4.60389873742045,-6.52392169159596,5.26061340620405,-5.97935698791737,4.60883286298113,-1.92363016550793,6.92173273950516,2.0730509695073,-5.13138803379849,0.920620995300119,-5.02836096172943,NA,6.69502103711727,2.26525929859147,-4.81211990475039,3.26985777864251,-3.17831703048883,5.36215261853993,2.64042715861229,1.88838363625711,3.73562875869494,-6.06282155852629,4.49415056166418,-6.14950541065682,1.27623962154035,1.33012502416579,2.59450600165275,0.288660470333062,5.19600142597171,3.19342490211837,-6.86193960177348,1.82385455072981,0.862739189237416,0.987774088362965,-5.67068787259653
"1642.MS00492",-1.85637351177775,1.88979145955253,4.12117222117012,-5.57593339278592,8.5492202148813,2.26711576589795,2.24457153348823,-1.2546494974599,9.41662454748659,-3.63238558326904,-1.80947049981888,-3.47826662910669,-0.140212592446756,8.66381090508027,-4.75797933577225,1.3167886663098,6.69502103711727,NA,-3.09145307876932,1.87196638629692,-6.38101979037672,8.43129460763362,-2.3085731247695,-1.67341294111261,-5.37415367822321,-3.57664420281514,7.18354696084917,-1.63111917792982,0.952497592560183,-4.96715009336328,-5.21925971806659,-3.5572203644645,-4.51725554313165,-1.13040741036898,-1.51911268947534,7.7003250691399,-4.76876949248768,-4.31300389369083,-3.62327284345219,5.51492445175844
"1642.MS00546",-2.40121652896497,0.0801672021084265,1.74283886570597,-3.56806107346503,2.07022038980083,0.374340945621626,0.592647407152673,-2.23808594451281,2.84060387409901,-5.3381355408986,-1.71901337446326,-3.52390402621725,-0.0553207317198696,3.18019681631954,-5.62596825000873,-0.28303179821656,2.26525929859147,-3.09145307876932,NA,-0.229968144179087,-6.25464098064255,4.37093241715158,-3.33455093102945,-0.297241948847909,-5.46027875219597,-4.54957259422124,1.45167084457853,-1.76834680726892,-0.61943283135648,-3.06481529452072,-4.77543621420103,-2.83302678108893,-3.23375454331861,-2.4513162743136,-2.04871954670847,1.41355371146924,-3.00097351433339,-4.43896155313955,-2.85220419276465,0.984640317786711
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",2.00487022044494,-6.12635813178947,-7.40321634369881,0.434689323545131,-6.85699193716626,-5.56528709356013,-7.01856122311579,0.961520099134644,-6.30674945615613,1.4477588042927,-2.12862197866504,2.07358621256181,0.765848239429052,-4.18040435079471,-0.460443690280409,-6.32559417910074,-4.81211990475039,1.87196638629692,-0.229968144179087,NA,0.0480542834369695,-2.9952422842692,1.01213984883155,0.710546119415505,-0.425404288280749,0.812883924878952,-5.28260399131786,1.06098587532711,-5.36931278403333,-0.630405399213967,-0.849967198502762,-0.072374833691149,-0.924639005488745,1.25645986848091,-0.233378160200325,-9.02375704379686,-0.900278007488271,-0.920289506437777,-0.704098688397265,-6.43598151967805
