"","1642.MS00588","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00510","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00556","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","1642.MS00355","1642.MS00590","1642.MS00374","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00546","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00454","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","1642.MS00444","1642.MS00441","1642.MS00469","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00503","1642.MS00404","1642.MS00505","1642.MS00613","1642.MS00452","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00544","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences"
"1642.MS00355",0.0436846196931,0.081797630353,0.0830710801034,0.034835475009,0.0801353106118,0.0927641189496,0.0879330315201,0.0337770952436,0.078065468374,0.0353663773538,0,0.0433365827715,0.0359725071864,0.0842381106975,0.0337931433127,0.078777662569,0.0785106613185,0.0369445658146,0.0382338973128,0.0797366450778,0.0341075539123,0.0926290434157,0.0310173355275,0.0321753785397,0.03191460944,0.0359626356247,0.0791467651395,0.0265586809381,0.0865968684603,0.0333109420132,0.0354852327817,0.0312192864244,0.032021131798,0.0493155678439,0.0310533056888,0.0784005394753,0.0287588369615,0.0311141640814,0.0256136034699,0.0633451941233
"1642.MS00590",0.0270826631034,0.1157660548172,0.1192137508525,0.0222596423153,0.1044961792766,0.1191594955388,0.1250410891842,0.0284224385795,0.1089961767959,0.0221036345102,0.0433365827715,0,0.057646818887,0.1148411370936,0.0254805382004,0.1064880026393,0.1219059643483,0.0255392534247,0.0288943625221,0.1066026904725,0.0221530202589,0.1142079760119,0.0274242938126,0.0263984253981,0.0250794309518,0.0231666940454,0.1053905112458,0.0315052864433,0.1190172820754,0.0236506574599,0.0207497389442,0.0303553686384,0.0234478679036,0.0384244978824,0.0291713752188,0.1095650054486,0.0274367519853,0.0259961287212,0.0280128637373,0.0974566007143
"1642.MS00374",0.0455209195268,0.1086975700733,0.1041986828242,0.039711933915,0.0950370154359,0.118638193439,0.1138033840451,0.0425671172118,0.088718744813,0.0397966006783,0.0359725071864,0.057646818887,0,0.0899061168759,0.0457733684195,0.1029393246031,0.0979823834285,0.0407161590139,0.0440435734424,0.1024057100213,0.0413414907461,0.1026909123965,0.0439134371536,0.0508009192448,0.0464675341251,0.0404323521743,0.10056752521,0.0382295853976,0.1132795419304,0.0386834371998,0.0423620194013,0.0381580910027,0.039073518961,0.0643144785457,0.0391062523987,0.0970925052106,0.0340953073728,0.0387618648449,0.0319376591903,0.0880680813458
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.1064731457895,0.0615854092496,0.0602957789319,0.1097946549564,0.0376205521598,0.074977396898,0.0629415137195,0.0960744054413,0.0380672564209,0.1045786911429,0.0842381106975,0.1148411370936,0.0899061168759,0,0.0943674009152,0.057359414464,0.0393747699945,0.0995493244687,0.0903286042646,0.0539781540091,0.1043791550415,0.0375762132328,0.1002258199988,0.1063451450768,0.0946468698681,0.1022416214987,0.0367015059708,0.0964670047163,0.06344178915,0.0900556680617,0.0938252812489,0.0828118432932,0.0896258056209,0.0987936149456,0.0931167235528,0.0305233349337,0.0876730503621,0.0847394756236,0.0845779174992,0.0446900864768
"1642.MS00571",0.0265682179241,0.1072827148133,0.1093465235781,0.0218579298651,0.0890847736521,0.108882619445,0.1116757322438,0.0257752193386,0.0906365180197,0.022708845644,0.0337931433127,0.0254805382004,0.0457733684195,0.0943674009152,0,0.0981982065444,0.0981295539787,0.0227709073496,0.0234130254071,0.0968903711654,0.0216314390749,0.1132549387971,0.0240280735208,0.0257921311954,0.02345315358,0.0225219735157,0.0871979907298,0.0275041605624,0.1040828718357,0.0219216659416,0.0207365579797,0.0248141466072,0.0215220499668,0.0321886325287,0.0239798413954,0.0902639525677,0.024437856816,0.022018398883,0.0232560453959,0.0754189965587
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.1045239087192,0.0197287040804,0.0192311390627,0.1054895874493,0.044470285341,0.0204663281171,0.0203660453663,0.1028407599745,0.0435035043136,0.1069530518343,0.078777662569,0.1064880026393,0.1029393246031,0.057359414464,0.0981982065444,0,0.0391102469161,0.107133132658,0.0978977413297,0.0151334628117,0.0985235205646,0.054998824844,0.1049948115363,0.1042734147047,0.096000931843,0.1028940591909,0.0451050357628,0.1019309734271,0.0215106037525,0.0935996074841,0.0916875441056,0.0931093343253,0.0880209073904,0.1124122415513,0.0966501809517,0.0373263167133,0.0872335359248,0.0902591010982,0.089824514673,0.0443807638332
"2382.SH005.C3.RH.4.468.root.4.12.lane7.NoIndex.L007.sequences",0.107452914917,0.0417563503062,0.0351082456207,0.1146318999321,0.0396186627093,0.0579849630496,0.0409399734014,0.1021708479535,0.0334322600158,0.1092186359674,0.0785106613185,0.1219059643483,0.0979823834285,0.0393747699945,0.0981295539787,0.0391102469161,0,0.1108219196403,0.0995935888103,0.045285194094,0.1033349211356,0.0401240152028,0.1058426677796,0.1040716224281,0.0981862934607,0.1065651604705,0.0332230808652,0.0999646179812,0.0414080123043,0.0954586625144,0.1004701943965,0.0886138120667,0.091465063762,0.114061486769,0.0983428644393,0.0284188454983,0.0893275401376,0.0907627320233,0.087554139037,0.0511720033047
"1642.MS00492",0.0307370043233,0.111119984925,0.1184837252937,0.0202125698463,0.0959679331137,0.1185004598571,0.1172213470102,0.0244532074441,0.0995115401086,0.0224589184486,0.0369445658146,0.0255392534247,0.0407161590139,0.0995493244687,0.0227709073496,0.107133132658,0.1108219196403,0,0.0221830954445,0.1050940830273,0.0209115520493,0.1004216556321,0.0247868584419,0.0243960899345,0.0204905938058,0.0229573355393,0.0951426515351,0.0276138091121,0.1122916601886,0.0210154527779,0.0200785239678,0.0217191795441,0.0185730537134,0.0327283392391,0.0229371255184,0.0981885142083,0.0232327968048,0.0197803109836,0.0230373740145,0.0839223958114
"1642.MS00546",0.034715622563,0.0982260829158,0.1090193431989,0.0250530409781,0.0839662416237,0.1060186329607,0.1038601034083,0.0239301006806,0.087039509333,0.0243332694476,0.0382338973128,0.0288943625221,0.0440435734424,0.0903286042646,0.0234130254071,0.0978977413297,0.0995935888103,0.0221830954445,0,0.0937791202983,0.0245319844226,0.0959762225325,0.0272627482844,0.0307721906156,0.0235051655309,0.0258565581757,0.0818434312684,0.0304542770503,0.099905117831,0.0262004140226,0.0227848583127,0.0244886526082,0.021394169526,0.0237344663839,0.0255909838083,0.0844765368486,0.0269312538484,0.0196878341999,0.0276742297129,0.0720720560129
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.1024940220366,0.0227958231946,0.0208637473713,0.1034843184289,0.0398047066229,0.0205614487132,0.02066593688,0.0987831895525,0.0431063470938,0.1041402994601,0.0797366450778,0.1066026904725,0.1024057100213,0.0539781540091,0.0968903711654,0.0151334628117,0.045285194094,0.1050940830273,0.0937791202983,0,0.0978709023333,0.0481749096515,0.1021014145702,0.1053150590438,0.0934416618927,0.1022416142193,0.0434602454787,0.0996605425523,0.0207592788241,0.0909506612582,0.0886127573517,0.0889811418233,0.0875407331253,0.1074109278709,0.0919126212743,0.0370537475543,0.0886137668655,0.0859029649383,0.0888240566367,0.0396705892968
