"","1642.MS00625","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00399","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00570","1642.MS00391","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00411","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00587","1642.MS00408","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00612","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00475","1642.MS00605","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00549"
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",2.74073137498659,-3.23565001131075,-0.0786893375934104,-4.2825477184432,-6.8187442084286,-3.37588174006666,-3.80729966507139,-5.44835372218444,0.183051716642311,-5.11564017936071,NA,-4.13589991230523,-9.31919529435254,-3.48366638715748,-0.245178689384631,0.116065371536212,-7.64906758776384,0.324398872108851,-4.66823751974995,2.90476809657419,3.87701434054803,-0.121177704005028,-7.1017044779544,3.12699004892733,-4.16640339527185,-5.08894728493369,-7.84486162194002,-5.97770002339388,3.00419066801325,-6.76301321043586,1.96538254589397,-0.601948347157893,2.96510700150892,-6.3855288900564,-4.15503184553107,1.65960782800948,-4.91827364552694,1.66618348852411,-5.34716934345984,1.02232716411864
"2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences",3.86663581276915,-3.67409496668767,0.323802947935447,-4.27251218173728,-2.07635607430962,-2.55623542171279,-3.97738709642706,-4.0993478701665,0.393646265291475,-3.65384402802573,-4.13589991230523,NA,-6.56259627450043,-3.44053865409852,0.277989523200906,0.508598121306366,-5.36066271354671,0.695606411635353,-5.06131078832614,3.39673178614236,4.36696862613761,0.360110823391747,-5.76361610119316,3.45734873132934,-4.78182496535226,-5.12020247620634,-5.24219803353603,-2.77484971066926,4.28422867210244,-4.3301178172388,2.7045151574149,0.14545293217157,4.91411231307151,-4.09640280913076,-4.86235058364696,2.38259965778877,-2.93434199727475,2.26905064542142,-4.41937597355432,1.45571799820068
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",1.28402841297812,-3.18234265480831,-0.437980853807937,-3.51870928794005,-8.31348507994083,-4.99494914171307,-5.41977118627067,-6.241458266477,-0.187991726528698,-5.76842491724587,-9.31919529435254,-6.56259627450043,NA,-4.95670914626839,-0.529154882477648,-0.227362970165506,-7.53548106582754,-0.30684965906847,-7.20907692582819,1.61617192424696,2.11410142524034,-0.686743975061774,-7.54847087889631,1.67795371283164,-3.09991920458467,-7.14602936711761,-8.73441831612542,-6.86448978882684,1.39695248602362,-7.53604866017269,0.99623747120163,-0.803279303834037,1.64218434860916,-6.87085300551252,-2.81875844660482,0.85552166356027,-8.14568390770247,0.760370608083491,-8.25684839430373,0.164719470674176
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",6.78190175368399,-5.55514031479617,1.90544356577543,-5.80147025561666,-5.85404955070091,-7.38089866833838,-7.08719331502981,-5.44750424703964,2.72695068563603,-4.79085720992959,-3.48366638715748,-3.44053865409852,-4.95670914626839,NA,1.0450145785813,2.5795440037247,-5.39651363574592,4.10243816172348,-4.76893090926854,7.1389391210413,9.75811010802377,2.18464054184115,-6.94796719645042,7.06513370310314,-4.60962791391117,-3.82503467772955,-4.14847276373663,-5.08891426798648,8.67346692380128,-5.45386748898548,9.1602805925704,2.50782742953677,8.77594288674433,-6.10073627715956,-5.95691997927799,6.72912451248252,-5.46212087533582,6.2361342237567,-6.02064313319674,5.78861824327328
"1642.MS00570",-4.55217526454261,0.858869629754581,-6.48315376819326,0.61132268577657,-0.415580812336897,4.46961129524668,0.628328438065902,-0.527661492897039,-5.6752240014121,-0.584076671365065,-0.245178689384631,0.277989523200906,-0.529154882477648,1.0450145785813,NA,-4.88815109449726,-0.274521615113216,-5.15524083978715,-0.229877768854408,-6.51470347932648,-5.25168701337277,-5.4957804047051,-0.554863763502379,-2.98366472463408,0.367460954666102,-0.469402259869368,0.757973613105301,-0.582174143392261,-3.80885132775157,-0.64842980906317,-5.68249911131582,-6.95679535312767,-3.41794953628327,-0.524304439967697,0.687607026161115,-5.47132724225686,-0.665251299983557,-3.79578067912237,-0.487495515599015,-5.87298254130236
"1642.MS00391",-4.50939409169114,2.62121288252863,-3.72300674699492,2.21920364589756,-0.104437709234362,4.71529317116528,2.24144453527876,-0.735625924810547,-6.07351754385254,-0.250717962591296,0.116065371536212,0.508598121306366,-0.227362970165506,2.5795440037247,-4.88815109449726,NA,0.0807260706573235,-4.08237547676922,0.275133242795508,-6.14981387753981,-4.33276501559149,-4.30915814165093,-0.53578222595283,-2.87086182952447,1.97381657995303,-0.186924439703796,2.55897960685302,-0.236753456933176,-2.49289012225283,-0.407721805913384,-3.598478571853,-5.33517560304287,-3.13964288857555,-0.224547015817217,2.34097508237222,-3.47851761283928,-0.824702818846641,-3.18813370286645,-0.483446037245822,-4.31995901364683
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",1.67550453031183,-2.29832879267222,-0.165316564664186,-2.96609138254538,-6.13533781111267,-5.46740034584117,-6.11210140799872,-4.775258947564,0.0919211448944858,-5.11702882312681,-7.64906758776384,-5.36066271354671,-7.53548106582754,-5.39651363574592,-0.274521615113216,0.0807260706573235,NA,0.153901388412977,-5.50426832152493,1.76768134321146,2.45149879183398,-0.350343231883967,-7.32249526200924,2.02663300304216,-3.29140325810805,-5.42723596715873,-6.91862194636774,-5.45491372151404,1.63944086736644,-5.94673683519675,0.900832527151657,-0.444085072373928,2.02474245702786,-6.66317447400763,-2.70290920152101,0.937189629218776,-6.3883386156347,0.998671562887548,-6.13784896706647,0.511211195841617
"1642.MS00411",-3.30362483111185,3.39959636425006,-4.78354531672985,3.886737266787,-0.0792040638258684,5.71574017728788,3.6398277696793,-0.34932198202627,-5.58581648974626,-0.015804666843474,0.324398872108851,0.695606411635353,-0.30684965906847,4.10243816172348,-5.15524083978715,-4.08237547676922,0.153901388412977,NA,0.447935525881584,-4.2359640194285,-1.61939969691734,-3.10493761806861,-0.442829302088866,-0.0847923703642876,2.49268240707319,0.408739825781952,2.89048829441868,0.0468680345432723,-1.48598441667364,-0.58570394130051,-2.56991347642381,-4.58424855961574,-1.73667460373608,0.325789769955645,3.34938448838725,-3.34235175566223,-0.404145580234279,-1.16622214406781,-0.506878678642355,-4.08212968861553
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",3.14350735024267,-4.98920053561213,0.171181219557793,-4.79934871731006,-7.15164263419261,-4.05904754668389,-4.86717968829178,-5.54771224183306,0.505056637680692,-5.69047119925884,-4.66823751974995,-5.06131078832614,-7.20907692582819,-4.76893090926854,-0.229877768854408,0.275133242795508,-5.50426832152493,0.447935525881584,NA,3.65221604676174,4.27322970176388,-0.264621009741637,-7.20730066294011,3.27887757089508,-3.82442574413214,-5.8941353573005,-7.23426155609208,-4.60127961648767,3.50130418615381,-5.81369741567068,2.79843682162238,-0.152928906082716,3.20716787320687,-5.93481541655832,-6.46983647929303,1.83489229469257,-6.29423079367378,2.12334896550054,-6.53084272581302,1.31128200682316
"1642.MS00531",-3.93572403543941,7.89591566681601,-5.63171777274469,9.86571417045971,0.942794612758946,8.14569060004613,7.1155475536284,1.35654044586774,-5.39988829064614,2.09438123855175,2.90476809657419,3.39673178614236,1.61617192424696,7.1389391210413,-6.51470347932648,-6.14981387753981,1.76768134321146,-4.2359640194285,3.65221604676174,NA,-3.8563122072587,-4.45986826420863,2.00461481372268,-3.27359807765506,7.60894868092412,2.92722742760546,9.51802184456511,0.942416119279372,-2.37321628577662,1.22983871143557,-4.90655740090306,-4.55029396807537,-3.29730989910163,1.54126638355157,8.45795949273481,-7.23770610119699,0.877188309448672,-2.20326286222303,1.61483812961922,-3.79682143117753
