"","1642.MS00625","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00399","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00570","1642.MS00391","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00411","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00587","1642.MS00408","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00612","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00475","1642.MS00605","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00549"
"1642.MS00587",0.0267130119252,0.1151114193685,0.025602925195,0.1142587930944,0.1250653283374,0.1106801530182,0.1176028618347,0.1360477206167,0.0259491145403,0.120344029517,0.1195482611814,0.1205531059556,0.1103369694819,0.1195495484339,0.03000345541,0.0255605076343,0.1095583650957,0.0282822778633,0.1127563341895,0.0244420108701,0,0.0277365655681,0.1188874524028,0.0248532540981,0.1137498954332,0.1375379401582,0.1194686914902,0.1496040328514,0.028503356922,0.1402136013015,0.0243133072159,0.0277587196056,0.0282501819987,0.136914713709,0.1135643320207,0.0226537430402,0.1359385288127,0.0270667516354,0.115926336421,0.023680209203
"1642.MS00408",0.0229030196639,0.0884778503357,0.0212843183828,0.0811559081923,0.0995229178683,0.0817699652592,0.0826755130678,0.106733496369,0.0231337058579,0.0941021970636,0.0940633188939,0.090581156509,0.0865345167142,0.0881635009024,0.028426769613,0.0234083341742,0.0856236885704,0.0209535714934,0.0860772271818,0.0244441861672,0.0277365655681,0,0.0901396380097,0.025602014109,0.0833164165553,0.1113459624434,0.0859575628821,0.1176317440323,0.0264136600127,0.114160798428,0.0239632767404,0.0251080869415,0.0251012693904,0.1071747797673,0.0838389777858,0.0216866758338,0.10852771099,0.0247978707097,0.0873964651534,0.0205875020421
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.1085337365145,0.0563232312121,0.0960986318472,0.044919747203,0.0196572943174,0.0471802101499,0.0445754956975,0.0251823179146,0.0992837841677,0.0178244346206,0.0219372129545,0.0409357812648,0.0223470813518,0.0409398430456,0.1048156186877,0.0991011242511,0.0254634290701,0.0955063997214,0.0299197554251,0.1140437924225,0.1188874524028,0.0901396380097,0,0.11352266063,0.0505562217394,0.0222274779764,0.0402961967469,0.02302619581,0.1161564346308,0.020437377361,0.1081754739987,0.0906607358887,0.1174299781864,0.0163515583682,0.0440888828364,0.1018469323113,0.0232250702217,0.1040827983007,0.0281564208168,0.0988281529265
"1642.MS00612",0.0245558101614,0.1083927687441,0.0251089460904,0.1073294689323,0.1190171260378,0.1009510329104,0.1068215812829,0.1334795832657,0.0301452952184,0.115982043098,0.1150804134417,0.1162507935541,0.1068006513721,0.1069736761154,0.0359753531375,0.0307324782137,0.1061120431624,0.0289788895735,0.1071571340973,0.0264603849866,0.0248532540981,0.025602014109,0.11352266063,0,0.1060172959616,0.1367133447909,0.1106753920197,0.1412423325496,0.0276542916054,0.1325339230781,0.0296183927489,0.0308872027804,0.0268562170422,0.1288726900998,0.1078458371953,0.0246333765454,0.1310484436847,0.0254439239106,0.1088369288718,0.0246263602038
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0936159788626,0.035952814014,0.0900945448871,0.0275312255787,0.0509394635072,0.0324182888516,0.031412455905,0.0595048596124,0.0972141622921,0.0466880927138,0.0392600766407,0.0570074791903,0.033882627695,0.0341247941509,0.0918787064652,0.0945084427476,0.0349199193089,0.0895365463885,0.030948439107,0.1060156787635,0.1137498954332,0.0833164165553,0.0505562217394,0.1060172959616,0,0.0576639653867,0.021930460627,0.0669529183821,0.1035426217631,0.0621895262069,0.1008717856142,0.0870154099601,0.1028227396318,0.0594251904544,0.0197343954517,0.0960938141157,0.0633804118076,0.0954871537773,0.045514179026,0.0904663143516
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",0.1359210986723,0.0702184883268,0.1149024369782,0.0556304832481,0.0210447937801,0.0689048267026,0.0624766103203,0.014217201798,0.1125678873598,0.0234972278834,0.0202067508621,0.047673051234,0.0209420099704,0.0653191597628,0.1143523018118,0.1110859075194,0.0281954853,0.1137656301481,0.0297828133034,0.131813052478,0.1375379401582,0.1113459624434,0.0222274779764,0.1367133447909,0.0576639653867,0,0.0479330579673,0.0187270066568,0.1352155521072,0.0217890314562,0.1228480027226,0.10598460534,0.1352430959927,0.0248403052752,0.0507827206653,0.1249125392219,0.01760317677,0.12828001957,0.028474777818,0.1186053296799
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0978271937483,0.0321730269112,0.0945493664923,0.0316372515462,0.0412471700766,0.028258962014,0.0317243138167,0.0477928477983,0.1017154207888,0.0362424135394,0.0316044079102,0.0570102483381,0.0295361948254,0.0318067452345,0.0993446303859,0.099816214158,0.0323275573697,0.0934195886202,0.0250683869303,0.1126278924273,0.1194686914902,0.0859575628821,0.0402961967469,0.1106753920197,0.021930460627,0.0479330579673,0,0.0558053403358,0.1091275337248,0.0518757610361,0.1065072960932,0.0908053614523,0.1071855848317,0.0518838884296,0.0227304611983,0.1028914261182,0.0511453894791,0.1001379613047,0.0378277453506,0.094133250053
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",0.1309942930636,0.0830343530182,0.1253495995053,0.0605663100386,0.0185485882868,0.0660958763762,0.0652386878332,0.021761060021,0.1223165761634,0.0215095138082,0.0283829490576,0.0569781679158,0.0283453580297,0.0663306959502,0.1223827572965,0.1247366418323,0.0356177195614,0.1235040038516,0.0414147342539,0.1386322653401,0.1496040328514,0.1176317440323,0.02302619581,0.1412423325496,0.0669529183821,0.0187270066568,0.0558053403358,0,0.1371873420528,0.0168112456151,0.133382651242,0.1137527944467,0.1375601984737,0.0197870501801,0.0619897756267,0.1285376855123,0.0177458882685,0.1305266513219,0.0297801052583,0.1216439328984
"1642.MS00608",0.0280234711055,0.1101205289679,0.0274081334919,0.1049040369073,0.121257118792,0.1041000122771,0.1083036400716,0.1338156556206,0.0266537020965,0.1177074382306,0.1182583469043,0.120187229041,0.1077000776529,0.1080967292274,0.0303386419134,0.0297911099619,0.1064376449525,0.0284364659984,0.1083800878612,0.0257930185594,0.028503356922,0.0264136600127,0.1161564346308,0.0276542916054,0.1035426217631,0.1352155521072,0.1091275337248,0.1371873420528,0,0.1341923124375,0.0265742863717,0.0277117639885,0.0222093182575,0.1314945566121,0.1059012590931,0.0257971549813,0.1350238875469,0.0203822890385,0.1137791673922,0.0241938373695
"2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences",0.1252114293665,0.0735940947961,0.1179469874608,0.0608244481204,0.0226698998913,0.0588060038602,0.061375949545,0.0277138224639,0.1194312550982,0.0152176219342,0.0276408537711,0.0609886219713,0.0287249574436,0.0558648663024,0.1184426122474,0.1213637260932,0.0351342395859,0.1156424301827,0.040407738058,0.1350180408393,0.1402136013015,0.114160798428,0.020437377361,0.1325339230781,0.0621895262069,0.0217890314562,0.0518757610361,0.0168112456151,0.1341923124375,0,0.1297813686408,0.1126578087137,0.1334780101749,0.0161578566271,0.0594902946119,0.1244667642175,0.0211184136159,0.1260536552246,0.0373480100058,0.1163726474887
"1642.MS00550",0.0254881427329,0.1080319518287,0.025885656927,0.1027969026608,0.1144034706052,0.1005873700223,0.1052210794875,0.1192455677954,0.0244886834387,0.1110328716373,0.1069582751485,0.1053833586259,0.1008512750135,0.1058474917755,0.0262845110571,0.0258079980707,0.0973369333922,0.0264845102225,0.1028877383745,0.0216422462802,0.0243133072159,0.0239632767404,0.1081754739987,0.0296183927489,0.1008717856142,0.1228480027226,0.1065072960932,0.133382651242,0.0265742863717,0.1297813686408,0,0.023398780494,0.0263217434238,0.124579521331,0.1030686628384,0.0215419371548,0.1224650630551,0.0266241735445,0.1030511833192,0.0213056647822
"1642.MS00475",0.0292272299311,0.0950022685841,0.0248179313515,0.0868141157349,0.0987714390594,0.088580434431,0.089738395984,0.1029116370624,0.0243014743768,0.0946290031521,0.091963044764,0.092334253813,0.0869576903065,0.0937548634977,0.026681067055,0.0229245094933,0.0859449875267,0.0248812797355,0.0885730324888,0.0251048853835,0.0277587196056,0.0251080869415,0.0906607358887,0.0308872027804,0.0870154099601,0.10598460534,0.0908053614523,0.1137527944467,0.0277117639885,0.1126578087137,0.023398780494,0,0.0253979410892,0.106268205395,0.0874952890548,0.0232881590171,0.1073971234647,0.0266476529494,0.0910187840839,0.0236159226291
"1642.MS00605",0.0268556113006,0.1072637429697,0.0273999621935,0.1052108485337,0.1219860782664,0.1028926080724,0.1051539310172,0.1355738922689,0.0275282529667,0.1182254550919,0.1167080572339,0.1224168787613,0.108122447196,0.107670489327,0.0328594430121,0.0288671693645,0.10580896569,0.0294408257863,0.1060517367244,0.0259545797281,0.0282501819987,0.0251012693904,0.1174299781864,0.0268562170422,0.1028227396318,0.1352430959927,0.1071855848317,0.1375601984737,0.0222093182575,0.1334780101749,0.0263217434238,0.0253979410892,0,0.1287414736343,0.1041343975629,0.0259675760294,0.1353365237561,0.0221973200778,0.1139865406585,0.0240886298635
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",0.1231851957549,0.0685736051736,0.1146744754927,0.0571475132823,0.0246989392418,0.0593517272622,0.0590889459305,0.0314775087404,0.1126694150414,0.0189903580357,0.0255076469696,0.0581869387755,0.0290435358172,0.0488491411171,0.1140419149276,0.1143820851193,0.0315177634083,0.1126797586686,0.0378623524269,0.1291268337828,0.136914713709,0.1071747797673,0.0163515583682,0.1288726900998,0.0594251904544,0.0248403052752,0.0518838884296,0.0197870501801,0.1314945566121,0.0161578566271,0.124579521331,0.106268205395,0.1287414736343,0,0.0541625409244,0.1209864732271,0.024853727676,0.1229552482681,0.0376943171652,0.1144648483729
