"","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00408","1642.MS00605","1642.MS00549","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00475","1642.MS00474","1642.MS00612","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00438","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",1,-0.87,1,-0.972,1,1,-0.018,-0.91,-0.986,1,1,1,1,-1,1,1,1,0.992,0.974,1,0.982,1,0.982,0.759,-0.842,0.894,1,-0.797,0,-1,1,-0.905,1,1,-1,1,-0.892,-0.99,-0.884,0.961
"2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences",1,-0.998,1,-1,1,0.99,-0.644,-0.988,-0.99,1,1,1,1,-1,1,1,1,0.954,0.951,1,0.973,1,0.947,0.928,-0.996,0.946,1,-0.99,-1,0,1,-0.998,1,1,-0.992,1,-1,-0.988,-0.836,0.986
"1642.MS00411",-0.573,1,-0.471,1,-0.437,1,1,1,1,-0.343,-1,-0.109,-0.98,1,-0.896,-0.986,-0.451,1,1,-0.996,1,-0.267,1,1,1,1,0.303,1,1,1,0,1,-0.524,-1,1,-0.978,1,1,1,1
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",1,-1,1,-0.962,1,0.97,-0.26,-0.864,-0.508,1,1,1,1,-1,1,1,1,0.936,0.905,1,0.941,1,0.765,0.83,-1,0.913,1,-1,-0.905,-0.998,1,0,1,1,-0.872,1,-0.958,-0.968,-0.44,0.97
"1642.MS00550",-0.606,1,-0.405,1,-0.385,1,1,1,1,-0.926,-0.39,-0.589,-0.97,1,-0.488,-0.992,-0.422,1,1,-0.152,1,-0.946,1,1,1,1,0.582,1,1,1,-0.524,1,0,-0.023,1,-0.225,1,1,1,1
"1642.MS00438",0.197,1,0.159,1,0.237,1,1,1,1,0.229,-0.985,0.407,-0.792,1,-0.553,-0.713,-0.357,1,1,-0.998,1,-0.32,1,1,1,1,-0.556,1,1,1,-1,1,-0.023,0,1,-1,1,1,1,1
"2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences",1,-0.803,1,-0.996,1,0.998,0.988,-1,-0.962,1,1,1,1,-0.978,1,1,1,1,0.693,1,0.907,1,0.998,0.996,-0.815,0.719,1,-0.758,-1,-0.992,1,-0.872,1,1,0,1,-0.968,-0.998,-1,1
"1642.MS00399",0.276,1,0.721,1,0.868,1,1,1,1,0.126,-0.857,0.668,-0.402,1,-0.664,-0.561,0.657,1,1,-0.998,1,-0.0580000000000001,1,1,1,1,-0.761,1,1,1,-0.978,1,-0.225,-1,1,0,1,1,1,1
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",1,-0.951,1,-1,1,0.954,1,-0.998,-0.99,1,1,1,1,-0.9,1,1,1,0.96,-0.136,1,-0.138,1,0.976,0.986,-0.886,-0.113,1,-0.844,-0.892,-1,1,-0.958,1,1,-0.968,1,0,-0.816,-0.519,0.95
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",1,-0.976,1,-0.994,1,0.958,0.192,-0.972,-0.889,1,1,1,1,-0.968,1,1,1,0.956,0.988,1,0.98,1,0.958,0.984,-0.996,0.954,1,-0.99,-0.99,-0.988,1,-0.968,1,1,-0.998,1,-0.816,0,-0.944,0.976
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",1,-0.123,1,-0.921,1,0.996,0.992,-0.932,-0.906,1,1,1,1,-0.736,1,1,1,1,0.934,1,0.954,1,0.996,0.998,-0.212,0.752,1,-0.297,-0.884,-0.836,1,-0.44,1,1,-1,1,-0.519,-0.944,0,1
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.894,1,0.986,1,0.411,1,0.982,0.972,1,1,1,1,0.99,1,1,1,-0.467,0.918,1,0.166,1,0.077,0.878,0.992,0.542,1,0.958,0.961,0.986,1,0.97,1,1,1,1,0.95,0.976,1,0
