"","1642.MS00608","2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00408","1642.MS00605","1642.MS00549","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00475","1642.MS00474","1642.MS00612","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00391","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00438","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00399","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00408",0.554,0.9584,0.5548,0.9472,0.5282,0.9024,0.8942,0.931,0.9546,0.5804,0,0.5456,0.473,0.94,0.527,0.4824,0.5422,0.8728,0.8996,0.5024,0.8994,0.5908,0.8678,0.8592,0.9504,0.8902,0.6284,0.9322,0.9256,0.959,0.4182,0.9512,0.5546,0.474,0.9268,0.5164,0.9174,0.9226,0.9174,0.8996
"1642.MS00605",0.488,0.9626,0.4852,0.9512,0.5368,0.911,0.9104,0.9374,0.9598,0.5484,0.5456,0,0.5112,0.9412,0.5788,0.5244,0.5228,0.8934,0.9064,0.6206,0.9106,0.559,0.8892,0.8778,0.9592,0.8988,0.6896,0.9372,0.9312,0.9626,0.5612,0.9596,0.5326,0.6002,0.9368,0.6264,0.9248,0.9346,0.9192,0.9098
"1642.MS00549",0.5132,0.954,0.495,0.9432,0.4784,0.8978,0.8978,0.9238,0.9486,0.5098,0.473,0.5112,0,0.9348,0.5368,0.4474,0.4962,0.8746,0.8916,0.56,0.8928,0.5212,0.8682,0.8562,0.9494,0.884,0.6466,0.9234,0.9218,0.9582,0.47,0.9498,0.4726,0.5218,0.9218,0.5666,0.9056,0.922,0.9066,0.891
"2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences",0.9482,0.6206,0.9398,0.656,0.9352,0.8722,0.7994,0.6612,0.707,0.9426,0.94,0.9412,0.9348,0,0.94,0.9308,0.9474,0.8598,0.8544,0.946,0.8676,0.9496,0.86,0.8396,0.5966,0.8488,0.9682,0.634,0.5128,0.3668,0.9336,0.4742,0.9364,0.9462,0.6216,0.9438,0.6728,0.619,0.7096,0.8664
"1642.MS00475",0.5808,0.9626,0.5944,0.9484,0.6086,0.9102,0.9036,0.9336,0.954,0.5742,0.527,0.5788,0.5368,0.94,0,0.5334,0.6166,0.8874,0.8972,0.5314,0.8996,0.6064,0.8836,0.8702,0.9574,0.89,0.6368,0.934,0.9278,0.9578,0.5096,0.9544,0.553,0.5534,0.9296,0.5522,0.9148,0.9282,0.9164,0.8984
"1642.MS00474",0.5166,0.9582,0.5138,0.9376,0.5266,0.915,0.8926,0.9242,0.9446,0.5076,0.4824,0.5244,0.4474,0.9308,0.5334,0,0.5072,0.8938,0.9046,0.5382,0.9066,0.4982,0.8838,0.8766,0.9434,0.9022,0.64,0.9268,0.9152,0.951,0.4696,0.9468,0.4748,0.5286,0.9182,0.554,0.9136,0.9204,0.9048,0.905
"1642.MS00612",0.5542,0.965,0.5022,0.9574,0.4802,0.9146,0.927,0.9372,0.964,0.5708,0.5422,0.5228,0.4962,0.9474,0.6166,0.5072,0,0.8928,0.9168,0.6306,0.916,0.516,0.8906,0.8858,0.9618,0.908,0.7138,0.9428,0.9308,0.9668,0.5426,0.9628,0.5452,0.557,0.9364,0.6278,0.9264,0.9352,0.924,0.9064
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9048,0.8916,0.8854,0.8934,0.8696,0.5898,0.8768,0.8078,0.9138,0.9066,0.8728,0.8934,0.8746,0.8598,0.8874,0.8938,0.8928,0,0.6748,0.9176,0.628,0.9192,0.4474,0.659,0.8862,0.6632,0.9394,0.7934,0.8366,0.902,0.885,0.9034,0.9034,0.9032,0.824,0.9236,0.7558,0.8326,0.8028,0.5858
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",0.914,0.8964,0.9154,0.8644,0.8922,0.667,0.8762,0.7526,0.8912,0.9122,0.8996,0.9064,0.8916,0.8544,0.8972,0.9046,0.9168,0.6748,0,0.9228,0.506,0.925,0.6828,0.66,0.8756,0.4664,0.9354,0.8426,0.828,0.8962,0.9034,0.8988,0.9102,0.921,0.733,0.9286,0.655,0.8484,0.7546,0.6814
"1642.MS00391",0.6182,0.965,0.6502,0.9472,0.6488,0.9334,0.915,0.9376,0.9504,0.5976,0.5024,0.6206,0.56,0.946,0.5314,0.5382,0.6306,0.9176,0.9228,0,0.9278,0.5894,0.91,0.8986,0.9552,0.9132,0.6064,0.9416,0.9322,0.962,0.4702,0.9618,0.5842,0.4656,0.9318,0.4572,0.9268,0.9374,0.9268,0.9176
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9206,0.8916,0.912,0.8616,0.8988,0.6032,0.8974,0.7432,0.8904,0.9204,0.8994,0.9106,0.8928,0.8676,0.8996,0.9066,0.916,0.628,0.506,0.9278,0,0.9312,0.6592,0.6998,0.875,0.5298,0.9458,0.8384,0.8356,0.9008,0.9064,0.9076,0.9148,0.9232,0.7604,0.9306,0.661,0.8418,0.76,0.6308
"1642.MS00587",0.5528,0.9676,0.5472,0.9498,0.5544,0.9326,0.9182,0.941,0.9568,0.5286,0.5908,0.559,0.5212,0.9496,0.6064,0.4982,0.516,0.9192,0.925,0.5894,0.9312,0,0.9166,0.9086,0.9566,0.9232,0.683,0.9474,0.9378,0.9636,0.558,0.963,0.4898,0.5672,0.933,0.5882,0.9266,0.9412,0.9224,0.9244
"2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8996,0.8882,0.8796,0.8866,0.868,0.6612,0.86,0.805,0.907,0.9004,0.8678,0.8892,0.8682,0.86,0.8836,0.8838,0.8906,0.4474,0.6828,0.91,0.6592,0.9166,0,0.653,0.8708,0.666,0.9352,0.7704,0.8368,0.897,0.8824,0.888,0.8978,0.9006,0.8162,0.9148,0.7634,0.8386,0.8016,0.6364
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8846,0.9024,0.8808,0.8788,0.8632,0.7222,0.7916,0.8246,0.891,0.8814,0.8592,0.8778,0.8562,0.8396,0.8702,0.8766,0.8858,0.659,0.66,0.8986,0.6998,0.9086,0.653,0,0.898,0.6192,0.9242,0.8422,0.7976,0.8938,0.871,0.893,0.8774,0.893,0.8026,0.9048,0.7654,0.8426,0.7938,0.6836
