"","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00623","1642.MS00517","1642.MS00514","1642.MS00357","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00540","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00422","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00521","1642.MS00418","1642.MS00461","1642.MS00419","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00636","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00501","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00369","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",-1,1,1,1,1,1,-0.998,-1,1,-1,0.94,1,-1,0.936,0.998,-1,-0.984,1,0.992,1,1,1,1,1,1,1,0.966,1,1,0,1,-0.998,1,1,1,-1,1,-0.96,1,0.988
"1642.MS00501",1,1,-0.782,-1,-1,0.004,1,1,-0.94,1,1,-0.866,1,1,1,1,1,-0.966,1,-0.194,-0.781,-0.919,-0.927,-0.505,-1,1,1,-0.044,-0.835,1,0,1,-0.191,1,0.277,1,-0.612,1,-1,1
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",-1,1,1,1,1,1,-1,-1,1,-0.992,0.28,1,-0.998,0.972,0.998,-0.996,-1,1,0.99,1,1,1,1,1,1,1,0.966,1,1,-0.998,1,0,1,1,1,-1,1,-1,1,0.98
"1642.MS00368",1,1,1,0.0229999999999999,-0.783,-0.989,1,1,0.998,1,1,0.933,1,1,1,1,1,0.992,1,1,1,0.856,0.98,0.717,0.747,1,1,-1,1,1,-0.191,1,0,1,-0.996,1,1,1,0.654,1
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.98,-0.365,1,1,1,1,0.974,1,1,0.973,-0.326,1,1,1,-0.872,1,0.996,1,-0.925,1,1,1,1,1,1,-0.16,0.371,1,1,1,1,1,1,0,1,0.992,1,0.981,1,-0.202
"1642.MS00369",1,1,1,0.632,0.425,-0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,1,0.998,0.998,0.994,0.97,1,1,-0.974,1,1,0.277,1,-0.996,1,0,1,1,1,0.929,1
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",-1,0.996,1,1,1,1,-1,-1,1,-1,0.0920000000000001,1,-1,0.885,0.996,-0.996,-0.949,1,0.928,1,1,1,1,1,1,0.994,0.943,1,1,-1,1,-1,1,0.992,1,0,1,-0.842,1,0.954
"1642.MS00630",1,1,-0.998,-0.732,-0.247,0.914,1,1,-0.879,1,1,-0.968,1,1,1,1,1,-0.984,1,-0.831,-0.075,-0.519,-0.04,-0.093,-0.337,1,1,0.998,-0.958,1,-0.612,1,1,1,1,1,0,1,-0.253,1
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",-0.992,0.998,1,1,1,1,-0.998,-0.994,1,-0.906,0.88,1,-0.994,1,0.986,-0.996,-0.973,1,0.962,1,1,1,1,1,1,1,0.994,1,1,-0.96,1,-1,1,0.981,1,-0.842,1,0,1,0.993
"1642.MS00498",1,1,-0.565,-0.998,-0.976,0.0449999999999999,1,1,-0.915,1,1,-0.684,1,1,1,1,1,-0.902,1,-0.013,-0.78,-0.864,-0.996,-0.231,-0.998,1,1,0.0589999999999999,-0.492,1,-1,1,0.654,1,0.929,1,-0.253,1,0,1
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0.961,-0.108,1,1,1,1,0.966,0.978,1,0.747,0.415,1,0.97,1,0.18,0.95,0.978,1,-0.944,1,1,1,1,1,1,-0.056,-1,1,1,0.988,1,0.98,1,-0.202,1,0.954,1,0.993,1,0
