"","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00422","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00461","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00540","1001.SKD7","1642.MS00636","1642.MS00574","1642.MS00514","1642.MS00623","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00501","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00369","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00521","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","1642.MS00522","1642.MS00419","1642.MS00418","1642.MS00498","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00491","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00540",0.0949057019368,0.1275001044654,0.1149115842371,0.1069688242144,0.023121885814,0.0934076994866,0.0375481962897,0.0247864358363,0.1081615681769,0.0902935570201,0,0.1455620848336,0.0230303157675,0.0211059233212,0.0216865513907,0.0225132655077,0.0938329510063,0.0215111912973,0.0957853459308,0.1190259808161,0.0211800417223,0.0901190339055,0.0968483796121,0.0319893035651,0.0565466359395,0.0230060453991,0.0921250525831,0.1123321909169,0.091176078516,0.0222712932716,0.1129181001717,0.0410345785277,0.0220085157869,0.027161715455,0.0236607946734,0.0215198520407,0.0957920767736,0.100820187315,0.0298721440899,0.114664520027
"1001.SKD7",0.0707559068903,0.0603817266501,0.0529521437006,0.06636324023,0.1359626104835,0.1010464037094,0.1101632614832,0.1465747368957,0.0608136063484,0.0934165374409,0.1455620848336,0,0.1470058965544,0.14186676662,0.1236181324696,0.1491975162205,0.1021580248136,0.1439445629461,0.1076007644378,0.0640667395425,0.1322421003408,0.1188971531764,0.0967520665676,0.1153303761537,0.1069987298675,0.1303612509044,0.0718125983026,0.063325862823,0.0919610438359,0.1466419229969,0.053388600302,0.104291352606,0.1490535674814,0.1433208282244,0.1414270341668,0.1359183809405,0.1012689234762,0.0614695228537,0.1510398289854,0.0509255757
"1642.MS00636",0.093363317195,0.1215950278905,0.1126848324487,0.1012077572725,0.0238647667155,0.0901710499149,0.0353437385484,0.0283934209303,0.1080316351338,0.0866425843731,0.0230303157675,0.1470058965544,0,0.0220207106673,0.0203833449692,0.0206534657251,0.0915818225079,0.0205245845418,0.0925640462904,0.1154242536991,0.0217662730022,0.0883438455609,0.095305777887,0.0311634889958,0.0546661439332,0.0229227969497,0.0896043179231,0.1089678448585,0.0900328150701,0.0252131312901,0.1054416099289,0.0398083017556,0.0240896891367,0.0271043992163,0.0244088530878,0.0226733133015,0.0943762706883,0.0978342928656,0.0284177513789,0.1129750942752
"1642.MS00574",0.0912318508874,0.1231241074244,0.1112332853934,0.1012342741046,0.0203882241563,0.0842016725224,0.0354122480171,0.0247739873879,0.1041642407564,0.0810921768357,0.0211059233212,0.14186676662,0.0220207106673,0,0.0200480688536,0.0188611269031,0.0871606729022,0.0200783655562,0.0858130094346,0.1139832189112,0.0198800477957,0.0824170962481,0.0884460061404,0.0297208230066,0.0528628319921,0.0207875108045,0.0860887435478,0.1055799579292,0.0835979699917,0.0234412502665,0.1063850772458,0.0386534582114,0.0230090357539,0.0259094428269,0.0227599888181,0.0206123805062,0.0845463476752,0.0952161252458,0.0260396177171,0.112486444887
"1642.MS00514",0.0844002941942,0.1072644066064,0.0998558933817,0.0909436863177,0.0207169020056,0.0806263141215,0.0324854834891,0.0215596699714,0.0925528215404,0.0822127497582,0.0216865513907,0.1236181324696,0.0203833449692,0.0200480688536,0,0.0220598528122,0.1120337518803,0.021709173661,0.0861125680194,0.1028197466566,0.0190157254743,0.106219191443,0.0892112653295,0.0281253731247,0.0442457388671,0.0196051230844,0.0789334996656,0.0981626230241,0.0809594696724,0.0228922990451,0.0931501882602,0.0342898427275,0.0200390396657,0.0248065184646,0.0223698767833,0.0185715867994,0.0871848827485,0.0859624436564,0.0257440289127,0.0991671321589
"1642.MS00623",0.0935426864006,0.1233776003787,0.111261372017,0.1015229377158,0.0217273576605,0.0869629933761,0.0356919347697,0.0272415655552,0.1090833604445,0.0849779051826,0.0225132655077,0.1491975162205,0.0206534657251,0.0188611269031,0.0220598528122,0,0.0886679042631,0.0196360780285,0.0886615463755,0.1146725797597,0.0216326336578,0.0827460364558,0.0926712417324,0.0319735245596,0.0538173029193,0.0212381525711,0.0876230083632,0.1093000948698,0.0876783300348,0.0262798178078,0.1059073857249,0.0406400224396,0.0252180276092,0.0280057206292,0.0252618214532,0.0231203501579,0.0891367511787,0.0986676939368,0.0273622688197,0.1141754115071
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0376151034101,0.0580386897802,0.0497404569252,0.0401425868183,0.0802955170491,0.0238322688902,0.0967895029907,0.0968781207286,0.0437538420335,0.0213483991679,0.0938329510063,0.1021580248136,0.0915818225079,0.0871606729022,0.1120337518803,0.0886679042631,0,0.0868729882845,0.0275513913356,0.0487507816686,0.1050184656529,0.0215818915241,0.0249070804597,0.0867537820864,0.1125751999229,0.0978163556767,0.0514859379316,0.0493144780113,0.0260024814853,0.1029291611159,0.0437903496638,0.1095976078635,0.1090488151162,0.086862181358,0.0874688938361,0.0995617852055,0.0327890877109,0.0373156432191,0.0876036959384,0.0475783707597
"1642.MS00630",0.0890032426478,0.1147247954776,0.106945722284,0.0961795664961,0.0204615112768,0.0851647233266,0.0344309956449,0.026753239486,0.1024211965111,0.0830175920701,0.0215111912973,0.1439445629461,0.0205245845418,0.0200783655562,0.021709173661,0.0196360780285,0.0868729882845,0,0.0863266294405,0.1108016296917,0.0223414095586,0.0822177228234,0.0902425536363,0.0292727473999,0.0510909688625,0.020886308251,0.0841366501345,0.1027267619313,0.0850403636972,0.0258788802278,0.1013797409516,0.0392584051855,0.0237902770163,0.0250172051234,0.0222597242877,0.0226517782634,0.0871990196756,0.0916097592674,0.0254491243,0.1076005494346
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0390532281684,0.0690432553107,0.0623082441378,0.044703719933,0.0801259418455,0.028750904705,0.0855123134463,0.0921500349168,0.0494556911697,0.025923840029,0.0957853459308,0.1076007644378,0.0925640462904,0.0858130094346,0.0861125680194,0.0886615463755,0.0275513913356,0.0863266294405,0,0.0624476748223,0.090946501024,0.0254786952536,0.0236940959979,0.0814381347868,0.0905561972516,0.0825148738609,0.0377111907523,0.0566133775464,0.0272450726707,0.1061305685113,0.0533367569954,0.0841542259282,0.1015433512825,0.0874197570567,0.0900911068007,0.0887713945361,0.0368680329373,0.042870225705,0.08526537798,0.0610404821334
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",0.0221682347405,0.0222197175246,0.0166411625327,0.0186916390281,0.103083382995,0.0561374728359,0.1009675468483,0.1102113296083,0.0247044963822,0.0536329456668,0.1190259808161,0.0640667395425,0.1154242536991,0.1139832189112,0.1028197466566,0.1146725797597,0.0487507816686,0.1108016296917,0.0624476748223,0,0.1078597874757,0.0541644761146,0.0496030747956,0.0980930527455,0.0946163758508,0.1033154631759,0.0245339446238,0.0162583300348,0.0511422035717,0.1232220602492,0.017497931063,0.0950015557355,0.1195207476628,0.1127144614735,0.1099481490744,0.1099968498687,0.0589684797777,0.0190849489942,0.1121920472345,0.0186982567783
