"","2382.SH005.C3.RH.2.658.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00623","1642.MS00517","1642.MS00514","1642.MS00357","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00540","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00422","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00491","1642.MS00521","1642.MS00418","1642.MS00461","1642.MS00419","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","1642.MS00636","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00501","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00368","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00369","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00636",0.9498,0.8976,0.487,0.5416,0.5698,0.6522,0.957,0.9432,0.5182,0.9286,0.9068,0.5254,0.9602,0.9858,0.8954,0.9448,0.936,0.4806,0.9112,0.544,0.588,0.5404,0.5832,0.5566,0.5562,0.9128,0.9028,0.7074,0,0.9396,0.5258,0.961,0.7592,0.8968,0.836,0.949,0.492,0.9324,0.5482,0.9024
"2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences",0.618,0.8752,0.9436,0.9404,0.9458,0.936,0.617,0.5466,0.933,0.4764,0.814,0.9258,0.5392,0.94,0.8646,0.5068,0.6222,0.9316,0.8326,0.9372,0.9414,0.9342,0.9352,0.944,0.936,0.8772,0.819,0.9474,0.9396,0,0.9446,0.5808,0.9606,0.8782,0.9608,0.5566,0.9344,0.6252,0.9372,0.8276
"1642.MS00501",0.959,0.916,0.531,0.4476,0.4412,0.6026,0.9634,0.9492,0.5062,0.9346,0.9168,0.5192,0.9636,0.9846,0.9052,0.9458,0.9412,0.5018,0.9192,0.5802,0.5352,0.5108,0.5128,0.5574,0.4552,0.9232,0.9096,0.6192,0.5258,0.9446,0,0.9652,0.6406,0.91,0.7154,0.9562,0.543,0.851,0.4536,0.91
"2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences",0.5034,0.904,0.96,0.9628,0.9634,0.9584,0.4572,0.396,0.959,0.6134,0.8194,0.9514,0.5822,0.9582,0.8986,0.5774,0.5778,0.9554,0.8816,0.9554,0.9566,0.9602,0.9558,0.9608,0.962,0.9132,0.8724,0.9712,0.961,0.5808,0.9652,0,0.976,0.9084,0.976,0.5544,0.9514,0.5688,0.9542,0.872
"1642.MS00368",0.9684,0.937,0.766,0.654,0.6004,0.5398,0.975,0.962,0.7596,0.9538,0.9442,0.7198,0.9712,0.985,0.9342,0.9578,0.9538,0.746,0.9488,0.759,0.7882,0.708,0.7396,0.699,0.7028,0.9462,0.9388,0.5094,0.7592,0.9606,0.6406,0.976,0,0.9406,0.5476,0.963,0.7628,0.8702,0.694,0.9392
"2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8916,0.6192,0.8892,0.9058,0.921,0.9148,0.8956,0.8702,0.9118,0.815,0.6306,0.8706,0.9136,0.9762,0.574,0.8344,0.841,0.8902,0.5612,0.8782,0.9278,0.9054,0.9184,0.914,0.9202,0.6476,0.6566,0.9326,0.8968,0.8782,0.91,0.9084,0.9406,0,0.9616,0.9122,0.8846,0.7992,0.9098,0.6262
"1642.MS00369",0.9666,0.9562,0.8502,0.7376,0.7244,0.6428,0.9762,0.9662,0.8322,0.9636,0.9652,0.8104,0.968,0.9856,0.958,0.966,0.9384,0.8256,0.9644,0.8024,0.8486,0.7934,0.8146,0.7994,0.7746,0.9656,0.9584,0.574,0.836,0.9608,0.7154,0.976,0.5476,0.9616,0,0.9592,0.8512,0.874,0.7618,0.9592
"2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences",0.561,0.9154,0.9518,0.952,0.9554,0.9494,0.5296,0.5578,0.9486,0.6098,0.8378,0.941,0.586,0.9462,0.9084,0.6474,0.7084,0.9442,0.891,0.9484,0.9508,0.9538,0.9476,0.958,0.9568,0.91,0.8914,0.9612,0.949,0.5566,0.9562,0.5544,0.963,0.9122,0.9592,0,0.9422,0.7524,0.9466,0.8942
"1642.MS00630",0.9414,0.889,0.4528,0.5346,0.5776,0.6568,0.9488,0.9328,0.5104,0.913,0.8912,0.4866,0.949,0.9806,0.8794,0.9332,0.9272,0.4772,0.8996,0.5226,0.5754,0.5418,0.5696,0.5702,0.5628,0.8956,0.8882,0.7152,0.492,0.9344,0.543,0.9514,0.7628,0.8846,0.8512,0.9422,0,0.9204,0.5628,0.8864
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.6402,0.8198,0.9354,0.8416,0.8558,0.8956,0.6372,0.575,0.9236,0.6258,0.7684,0.9062,0.645,0.9704,0.7982,0.5674,0.6154,0.911,0.795,0.8998,0.9228,0.9282,0.8968,0.9324,0.8764,0.8572,0.8042,0.8696,0.9324,0.6252,0.851,0.5688,0.8702,0.7992,0.874,0.7524,0.9204,0,0.8622,0.8018
"1642.MS00498",0.947,0.9128,0.545,0.4778,0.503,0.5992,0.9546,0.9342,0.513,0.9224,0.9138,0.5332,0.952,0.983,0.9036,0.9354,0.929,0.5114,0.9202,0.5808,0.5326,0.5172,0.4832,0.5702,0.4746,0.9156,0.9054,0.6242,0.5482,0.9372,0.4536,0.9542,0.694,0.9098,0.7618,0.9466,0.5628,0.8622,0,0.9082
"2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8778,0.6118,0.8924,0.9008,0.92,0.91,0.8872,0.8394,0.907,0.7692,0.6548,0.8714,0.8664,0.9552,0.6432,0.7714,0.8042,0.888,0.5464,0.8868,0.9212,0.9006,0.9138,0.9166,0.9186,0.6406,0.4662,0.935,0.9024,0.8276,0.91,0.872,0.9392,0.6262,0.9592,0.8942,0.8864,0.8018,0.9082,0
