"","1642.MS00411","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00468","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00427","1642.MS00608","1642.MS00519","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00517","1642.MS00446","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00513","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00397","1642.MS00545","1642.MS00334","1642.MS00514","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","1642.MS00638","1642.MS00535","1642.MS00615"
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",2.42736730775304,-9.48142780028578,-8.03258076240395,-10.8215878599254,10.1419568692018,-5.8546405168918,8.03377686764592,-8.88805405107488,2.59094865260263,3.37978929043814,NA,3.40561710388349,2.27789999615818,8.00906454046575,3.69239409721712,-4.92814977526415,-10.1416180622692,1.83823749870405,0.886664915916173,4.56552201700077,-5.56646819767814,1.81203216097871,-7.73986733745848,-8.44729086185197,10.6752588025722,-8.49788670601025,-5.94643887689702,-2.61279351075645,5.84474519673186,0.326916483414342,2.00062519409716,1.17836779260522,0.555962443328887,-5.55720806829242,-3.86386092501863,-4.33135848748155,0.55988959092589,4.06461662776043,3.50067923013081,10.2525661561582
"1642.MS00461",-3.47866928327474,4.95682886068038,4.20968859942008,3.20245489822112,-1.16339750348447,-0.46425371751116,-1.92944639116349,1.16010128024476,-3.39845141912103,-3.57580909119833,3.40561710388349,NA,-2.38034586381303,-2.11146543711653,-3.23352885922679,1.44654145099281,3.16685600714832,-2.38878250581453,-3.17149556403447,-3.06086653748237,0.758736296986909,-2.84063340442184,0.408785042452657,3.2216857234698,-3.67132299067332,0.234913426014249,1.03419914675567,4.85995556218162,-3.39829960856206,-3.96029866153625,-3.11233377107379,-3.58580852819029,-4.35145381460255,7.13858871802672,2.01076346687774,3.74980677070277,-3.10651251576658,-4.79257694091259,-2.55818605765563,-1.68513614121417
"1642.MS00427",-2.19375992918465,2.62133576010896,2.64508003734651,2.05374116204565,-0.876082531620651,-0.967212765341729,-1.9578307072594,0.919983965475257,-3.14546272029123,-2.05467787037743,2.27789999615818,-2.38034586381303,NA,-1.18768713542027,-3.69626847785166,0.588768520440932,1.94723660158466,-3.16533883265367,-2.09969727789367,-1.48535486439249,-0.208639957908947,-2.16330091594292,0.495833511411736,2.33346867882932,-1.50921677304751,0.890164526577331,0.227788212198623,3.4182420138901,-1.83426797705345,-2.54227361858212,-2.31608558228855,-3.13658339747008,-1.98198698366067,5.82590055317595,1.81363940826691,2.0936072573073,-1.77128507150707,-2.39054784543781,-2.28919100635636,-1.31641211787286
"1642.MS00608",-0.924901187781227,7.97689061659663,9.56281741644458,6.91612062938047,-1.67733500527637,2.31963300093723,-6.08449196444608,3.04364949919074,-2.98780707805165,-2.71047088699267,8.00906454046575,-2.11146543711653,-1.18768713542027,NA,-3.04645857440261,3.76838031252485,8.42259820118239,-1.18911084773091,-2.47105264967336,-1.20258639332785,2.75848463667201,-2.5248201698586,2.86360126812889,8.15373157297622,-1.9262228173376,2.82904153872712,4.10604595310858,9.19416677981981,-1.59092882571757,-2.2208297401408,-2.18476777873007,-2.57352500987546,-4.36326346485684,8.23306396316298,4.3331694838949,6.32246868706746,-2.85498003624474,-4.23132902813682,-1.53150821323842,-4.4496893474084
"1642.MS00519",-3.61820018216527,9.17103181632799,4.25244806438981,3.61904975062082,-3.56446449652197,0.0551255816984768,-3.01920818718763,1.38181811202634,-3.44527319446772,-4.93135249656181,3.69239409721712,-3.23352885922679,-3.69626847785166,-3.04645857440261,NA,1.30230343102213,3.38064088906332,-2.96777953299846,-5.57230344695598,-4.69624272423404,0.295341615016548,-5.31865165827121,0.587465384087915,3.58315851211615,-3.41876906807835,0.855455058519395,1.19851033586902,4.15326241918724,-4.46069971396325,-4.52911495432051,-5.18305509646201,-4.1850700755418,-4.38823592754662,6.17539494480614,2.04498622308517,3.14947661083195,-4.9357849781645,-4.57239627245845,-3.41434337682439,-1.74519715135825
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.726742975483097,-3.98882870745163,-5.41223576153277,-5.10968883540041,4.57577205406667,-5.95316220642489,4.60943852869864,-6.99953896562166,-0.0844518442616219,1.08550705522824,-4.92814977526415,1.44654145099281,0.588768520440932,3.76838031252485,1.30230343102213,NA,-4.73903601638196,-0.877951454403658,-0.352072086191839,2.3504799825367,-6.84866516543614,1.06599875972366,-6.52981687005914,-6.58995661279789,3.78984641533014,-7.34276187215388,-5.19040990994413,-3.49436808477418,2.53405354270348,-0.395370773664147,0.783405842175899,-0.899427035311916,-0.11762164297943,-2.92517219521156,-6.40262917130764,-3.27098401177822,0.00387568445425325,1.10840489535134,1.14085619655091,4.42324479544792
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",1.65648199953216,-9.01647371925597,-8.75311598205765,-9.06820202286182,8.90429156194506,-5.49057018644123,7.38678543929338,-3.83557609977089,2.10618784053517,1.20544373330792,-10.1416180622692,3.16685600714832,1.94723660158466,8.42259820118239,3.38064088906332,-4.73903601638196,NA,1.33245349579658,0.146547756952888,2.7021285649939,-4.76176267586708,1.34757826601019,-4.86478334857446,-9.24481827538014,9.60637585774781,-4.52924650068732,-5.70035355085142,-7.63237973376249,5.09342794364821,0.224515135394208,1.36490219361781,1.35362627412531,0.236345407087301,-7.54268589006966,-3.54378030693231,-6.36488003826492,0.447171402388989,3.2134291734475,2.38952727158914,10.17197012185
"1642.MS00349",-4.81940922699244,3.67045575470771,1.67606640428237,0.664135394656586,0.198167914044387,-1.37408199417682,-2.01586115562106,0.828714047062587,-3.23834832834159,-2.58088749985185,1.83823749870405,-2.38878250581453,-3.16533883265367,-1.18911084773091,-2.96777953299846,-0.877951454403658,1.33245349579658,NA,-2.63257642615297,-1.04081594721676,-0.401680256846418,-2.48538543556485,-0.0469396667379709,2.00991831842734,-0.759018270011921,-0.284930745894692,-0.0291856927192338,1.15104554015646,-0.651727645124759,-3.65949871594766,-2.33545666566303,-3.40492086936469,-1.09709875726963,4.2538692402463,0.901462298310779,1.6950974804654,-0.753379212632243,-2.22316734401647,-2.34492670199645,-0.723894189548374
"1642.MS00517",-4.43030085354418,4.37426134456766,0.645151590485207,0.721494163150599,-0.625578274265711,-1.13191080197187,-2.92447876730215,-0.122944804304953,-3.48329419141237,-5.29647068694897,0.886664915916173,-3.17149556403447,-2.09969727789367,-2.47105264967336,-5.57230344695598,-0.352072086191839,0.146547756952888,-2.63257642615297,NA,-3.25448873745361,-0.805442553399547,-6.07944793120224,-0.565134644513336,0.220884416734141,-2.87408685627717,-0.656974913877378,-0.285468673541011,1.59522501081601,-4.55088036880114,-6.66656944897485,-5.6946887368831,-3.958010820932,-6.33983618724166,3.45252622338295,0.825289511912997,0.562235440861569,-5.87199740375729,-4.18269943320884,-3.75628162094905,-1.50006600125704
"1642.MS00446",-3.54953819186654,4.71272718385665,4.06654283405463,3.67186983251292,-1.29494955614313,0.488135811632648,-2.85772281025026,1.37289252735748,-2.83992757081594,-5.01533593466702,4.56552201700077,-3.06086653748237,-1.48535486439249,-1.20258639332785,-4.69624272423404,2.3504799825367,2.7021285649939,-1.04081594721676,-3.25448873745361,NA,2.15876684732315,-4.19115634624532,1.11849779190574,4.21809441598598,-0.726400819437724,1.01147873977158,1.48040478597763,5.75516463509702,-4.87590799756915,-5.25637792438715,-4.09594760730895,-1.58458679637784,-2.37614925559053,4.97212992561239,3.1567814794454,2.57966224716398,-4.02364037406816,-2.40409894566188,-2.52302884169784,-1.31256086708502
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",-0.222173642844045,-5.48336403622818,-8.46985037558203,-5.21798364988853,2.94429102215287,-7.33872157350816,2.31442004853281,-6.6274624135894,-0.905636808873808,-0.329790536037209,-5.56646819767814,0.758736296986909,-0.208639957908947,2.75848463667201,0.295341615016548,-6.84866516543614,-4.76176267586708,-0.401680256846418,-0.805442553399547,2.15876684732315,NA,0.390519870473827,-6.11638676009471,-4.91748493790675,1.92811438219938,-6.93842175848877,-4.86809327181283,-3.80252362702407,1.21040300840733,-0.549230118904274,0.358663300770143,-1.27748597048886,-0.444973145433103,-2.06128238231383,-7.38927276523968,-5.03801902110697,-0.782603951174658,0.943420365832819,0.0878900342763957,1.72653254228101
"1642.MS00513",-3.40281375773715,4.4869509358877,1.8489860534906,1.44088923501298,-2.31075524553314,0.561899153476845,-2.48381777585179,1.03754616287901,-3.50769735675082,-5.62666002275347,1.81203216097871,-2.84063340442184,-2.16330091594292,-2.5248201698586,-5.31865165827121,1.06599875972366,1.34757826601019,-2.48538543556485,-6.07944793120224,-4.19115634624532,0.390519870473827,NA,0.370395367201414,1.36423084735264,-2.2883390896073,0.26403953937,1.2179753646716,2.7005884215404,-5.70573538837133,-5.24534490376519,-5.13443144439393,-3.17211947090552,-3.51811147497299,4.52021386254814,1.79335898449716,1.58881037576343,-5.47504089607373,-3.85215397975128,-3.13355013381782,-1.63912300226617
"2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences",-0.0525634784328996,-4.44201295550436,-6.97637763058677,-4.80516249478209,2.57902385896717,-6.4704725673327,2.47752587806142,-6.04082069531345,-1.27390312909339,-0.472827057460144,-7.73986733745848,0.408785042452657,0.495833511411736,2.86360126812889,0.587465384087915,-6.52981687005914,-4.86478334857446,-0.0469396667379709,-0.565134644513336,1.11849779190574,-6.11638676009471,0.370395367201414,NA,-7.25829857432545,1.95177741615918,-7.12981498265362,-4.71566011473719,-3.47111855006671,1.72024556968558,-0.468359026745426,0.756353636882124,-0.754857247682974,-0.154865748225711,-4.23842398557961,-5.98543099091675,-5.03375135581694,-0.524665399197296,1.28423900221036,0.17973645375611,1.51087546860072
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",2.07902943997175,-10.4645388268462,-7.63855092519487,-9.44684436859024,8.43838185566774,-7.68921239814143,7.17390106417472,-6.66558847975826,2.51307339425335,1.13362252471341,-8.44729086185197,3.2216857234698,2.33346867882932,8.15373157297622,3.58315851211615,-6.58995661279789,-9.24481827538014,2.00991831842734,0.220884416734141,4.21809441598598,-4.91748493790675,1.36423084735264,-7.25829857432545,NA,9.21122694746389,-7.46706953955683,-4.96909879739058,-4.24125679790868,5.80216548076429,0.194327763448464,1.39051146614073,1.4754984152553,0.377568167573655,-8.20895536016899,-3.41423737761643,-8.23167089445664,0.469070357223937,3.75546224393958,3.06605348487733,10.0039433864059
"1642.MS00447",-2.61095080087426,11.1105469477098,9.73817396266872,9.37343569456956,-1.4518163617494,1.44596659344816,-2.62883523787559,2.6179468321359,-2.37229902938089,-3.15256642762542,10.6752588025722,-3.67132299067332,-1.50921677304751,-1.9262228173376,-3.41876906807835,3.78984641533014,9.60637585774781,-0.759018270011921,-2.87408685627717,-0.726400819437724,1.92811438219938,-2.2883390896073,1.95177741615918,9.21122694746389,NA,2.09290133720108,3.98818047474969,10.5014417042463,0.0650375176684662,-3.8126247677489,-3.60822529361939,-3.05956205496848,-1.75633963524471,9.76750431026342,3.29824851642103,7.16172231881419,-1.00511302188623,-2.83578199138904,-2.4689990868242,-1.0773407965084
"2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences",0.3783212396938,-4.76462180371236,-6.90668145410406,-4.92263919734084,2.49273045336939,-7.31950908149158,2.29961683173026,-7.30712278793221,-0.604947231230602,-0.919608752581838,-8.49788670601025,0.234913426014249,0.890164526577331,2.82904153872712,0.855455058519395,-7.34276187215388,-4.52924650068732,-0.284930745894692,-0.656974913877378,1.01147873977158,-6.93842175848877,0.26403953937,-7.12981498265362,-7.46706953955683,2.09290133720108,NA,-6.27451909372756,-3.99577086533433,1.42315094196972,0.126509836380171,0.885819866588118,-0.221546298333828,-0.0569294099233649,-4.24154845994365,-6.86638066058691,-6.40598288759022,-0.154853526855938,1.36888890571347,0.340327250460009,1.67017349029688
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.226236043007537,-4.08704556142406,-5.1160268926489,-6.00372428854812,3.44046393257378,-5.05835787780379,4.05340597655632,-4.85960867946329,0.377942555366646,0.551586269992161,-5.94643887689702,1.03419914675567,0.227788212198623,4.10604595310858,1.19851033586902,-5.19040990994413,-5.70035355085142,-0.0291856927192338,-0.285468673541011,1.48040478597763,-4.86809327181283,1.2179753646716,-4.71566011473719,-4.96909879739058,3.98818047474969,-6.27451909372756,NA,-3.22149783624647,1.25917746575964,-0.739571638853105,0.403483905703311,-0.267868351153904,-0.101263278929621,-2.31919093869734,-3.85141685938839,-3.71575182222523,-0.491198423314669,1.0550790032142,0.492387179531266,3.28350407235029
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",3.30178874896948,-6.80390370431077,-6.43441962318966,-6.69620910443265,10.7416204377942,-4.08120643577711,10.0555457909208,-2.6168561820604,2.48163014084092,4.19976399709288,-2.61279351075645,4.85995556218162,3.4182420138901,9.19416677981981,4.15326241918724,-3.49436808477418,-7.63237973376249,1.15104554015646,1.59522501081601,5.75516463509702,-3.80252362702407,2.7005884215404,-3.47111855006671,-4.24125679790868,10.5014417042463,-3.99577086533433,-3.22149783624647,NA,7.38789623326987,1.39067572866429,2.54782448228469,1.92858021627997,0.936740974616905,-2.24031828080521,-2.57118331221589,-4.29528655114741,1.18084252434668,4.59375109910358,5.38197921895933,11.3933185902062
"1642.MS00494",-3.11586391515903,5.60654038383628,5.9460718296176,5.45441990543466,-2.13838947616706,0.482699886587171,-2.87988583083724,1.70174792102962,-3.81720715863397,-4.63791456915179,5.84474519673186,-3.39829960856206,-1.83426797705345,-1.59092882571757,-4.46069971396325,2.53405354270348,5.09342794364821,-0.651727645124759,-4.55088036880114,-4.87590799756915,1.21040300840733,-5.70573538837133,1.72024556968558,5.80216548076429,0.0650375176684662,1.42315094196972,1.25917746575964,7.38789623326987,NA,-5.10867699571615,-4.16331459977889,-1.16710079018318,-2.79985736443882,5.20753926607003,3.32890828410349,3.62734014499989,-4.50685185019083,-2.68349465668215,-2.92102959057481,-0.765163844691026
"1642.MS00397",-5.57706529996309,4.37315862077433,0.880489297399272,0.574869299676712,-0.205078004834815,-1.23888471022389,-3.39144969571114,0.146422750576102,-3.72968363069215,-3.52727092557103,0.326916483414342,-3.96029866153625,-2.54227361858212,-2.2208297401408,-4.52911495432051,-0.395370773664147,0.224515135394208,-3.65949871594766,-6.66656944897485,-5.25637792438715,-0.549230118904274,-5.24534490376519,-0.468359026745426,0.194327763448464,-3.8126247677489,0.126509836380171,-0.739571638853105,1.39067572866429,-5.10867699571615,NA,-5.10461708028363,-6.04188971405827,-6.41104907383006,2.99719606458739,1.03361143256982,0.4892129113114,-5.2817878847213,-3.98006872297568,-3.47184436235301,-1.295181043318
