"","1642.MS00411","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00591","1642.MS00468","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00427","1642.MS00608","1642.MS00519","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00349","1642.MS00517","1642.MS00446","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00513","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00397","1642.MS00545","1642.MS00334","1642.MS00514","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","1642.MS00638","1642.MS00535","1642.MS00615"
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0873752823097,0.0358034461094,0.0247659290861,0.0308778105831,0.1070476323143,0.0501748183406,0.1008665720993,0.0381543975086,0.0890058515028,0.0957196364977,0,0.0909381339256,0.0896140887288,0.1007316153228,0.1023237174997,0.0564616126766,0.0193070568878,0.099550836025,0.0832172173512,0.0871085334528,0.0411485604479,0.0905350010107,0.0489699559134,0.0162380757887,0.1107845839986,0.0464422085216,0.0471912813353,0.0395981942906,0.0877226327244,0.0806922973857,0.0898410582368,0.093456758808,0.0874738928237,0.0379322914379,0.0380871840544,0.0226996461374,0.0847621030551,0.0922400156502,0.0881444242124,0.1066940318809
"1642.MS00461",0.0245362539111,0.0905741983887,0.0917671166897,0.0944791740335,0.0353272544752,0.1041106718566,0.0285369125047,0.109164194357,0.0277143695551,0.0242687318568,0.0909381339256,0,0.025223407217,0.0288916489075,0.0223378349811,0.1161298082691,0.0896179177091,0.0438184578495,0.0229949110185,0.0277150929634,0.0979484737083,0.0214953856127,0.1162711368835,0.0899350908952,0.0281035971558,0.1060262216113,0.0911812469644,0.0960036893736,0.0258904522104,0.024629005989,0.0240071454912,0.0297779486003,0.0220770221059,0.1025568089606,0.1218943074434,0.0938331867232,0.0211860905058,0.0250699570402,0.0238860231751,0.0300460086013
"1642.MS00427",0.0212690040255,0.0860408256878,0.0883776389977,0.0905488034416,0.0358943071388,0.1010316479184,0.0306295101851,0.1104131943218,0.0328744696767,0.0258134650768,0.0896140887288,0.025223407217,0,0.0311235388573,0.0262569606426,0.1142374023148,0.0865447640989,0.0279004648838,0.0250463441509,0.0278774806423,0.0989703060063,0.0236994212392,0.1190435527658,0.0889608049879,0.0277126378214,0.1118913833165,0.090178771016,0.093165036664,0.028055490034,0.0211079096866,0.0236914959142,0.0233520750823,0.024235310934,0.1015809565155,0.1219180970917,0.0922930565999,0.0232984810241,0.027405059548,0.023962724991,0.0341771953734
"1642.MS00608",0.0282416375153,0.095724963749,0.1007423530807,0.1011753347128,0.0314129449799,0.1291006915072,0.0211585371091,0.1305777492262,0.0337601353351,0.0252020685493,0.1007316153228,0.0288916489075,0.0311235388573,0,0.0291374122128,0.1387201186993,0.0999287884173,0.043976147892,0.0269005940844,0.0295922061344,0.1242773598804,0.0254792925407,0.1402764507163,0.0997793600656,0.0328876534296,0.1273853905078,0.1122997492218,0.1054800554326,0.0283224915916,0.0280442988253,0.0237956961831,0.0376280451849,0.0217878888739,0.1008311326411,0.14566344191,0.101900019565,0.024766082135,0.0243199713301,0.0240896103209,0.0221008592055
"1642.MS00519",0.0272771590633,0.1022139635604,0.1031436430355,0.1065888466197,0.0322365897926,0.1099527826085,0.0270670747686,0.1176639497401,0.0273580064043,0.0246722305383,0.1023237174997,0.0223378349811,0.0262569606426,0.0291374122128,0,0.125166719468,0.1014220733011,0.0417841399,0.0210658962885,0.0278141813075,0.1040594600512,0.0203249470841,0.1230206109013,0.1025462850749,0.0260870551923,0.1159890065466,0.1021024302335,0.1060058517265,0.0273923872737,0.0250712095226,0.0235670155667,0.028070124111,0.0222643491377,0.1172674650389,0.1293230812897,0.1056407422475,0.0206530377976,0.0271459685089,0.0247022041795,0.0306325762725
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.1152208771612,0.0739112437498,0.0572057978834,0.0615888213483,0.1464813483774,0.0186234486016,0.1413705522441,0.0274284436007,0.1117868504437,0.124757015983,0.0564616126766,0.1161298082691,0.1142374023148,0.1387201186993,0.125166719468,0,0.0573192128108,0.1123472896448,0.1084677893689,0.1227653680678,0.0255026345028,0.1240984887884,0.0290502461229,0.0541200006641,0.1381477764893,0.0320710226416,0.0551960980286,0.0664444861902,0.1241134767687,0.1051867858468,0.1173908935182,0.1005801308873,0.1127769580826,0.0791966556023,0.0210104672552,0.0710135216674,0.1147794432797,0.1182819126229,0.1154617218993,0.1389441859557
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0834736481467,0.0342017449403,0.020080715135,0.0323413421244,0.1005960498206,0.0500075679932,0.098350103295,0.0433204495762,0.0859035853664,0.0854576049162,0.0193070568878,0.0896179177091,0.0865447640989,0.0999287884173,0.1014220733011,0.0573192128108,0,0.0954718154309,0.0788885008887,0.0802462664934,0.044437310019,0.0880895366371,0.0493114604545,0.02018412427,0.1077447088713,0.0472841988619,0.0488228618618,0.0295118661808,0.0850507777574,0.0791769155875,0.085766735244,0.0939656719846,0.0842594890548,0.0303474076895,0.0423224827594,0.0247158814774,0.0833694498133,0.087790189953,0.0832567416437,0.1050419621439
"1642.MS00349",0.0278756263024,0.0907217402115,0.0958372309361,0.0942969361598,0.0523732356803,0.1033860492299,0.0481790308583,0.1153269211993,0.0466629297943,0.0385117832987,0.099550836025,0.0438184578495,0.0279004648838,0.043976147892,0.0417841399,0.1123472896448,0.0954718154309,0,0.0383344359405,0.0443865945906,0.1027587904938,0.0394109538725,0.1221918901031,0.0992362085617,0.0397391895367,0.1096131544954,0.0963581730021,0.0953343780052,0.048073107922,0.0299961157396,0.0398865015485,0.0255135591513,0.0424447477867,0.1124194632184,0.1202577745145,0.1016365372726,0.0453237471168,0.0411049520203,0.0388546319899,0.0507445921818
"1642.MS00517",0.0227388084423,0.0788726467047,0.0807482897036,0.0844727719737,0.0293617401301,0.0976573080326,0.0258966489356,0.0991946983192,0.026799045492,0.0211255560559,0.0832172173512,0.0229949110185,0.0250463441509,0.0269005940844,0.0210658962885,0.1084677893689,0.0788885008887,0.0383344359405,0,0.0227433103474,0.0930705361716,0.0194194382628,0.1076910059297,0.0789287809169,0.0272637403647,0.0992683048226,0.0851439958013,0.0883185367362,0.0236428351913,0.0214477608807,0.0201929232622,0.0298195281679,0.0204361632958,0.0974666655207,0.1122308996326,0.084642706309,0.0195956048258,0.0236034425464,0.0195385569936,0.0287761144207
"1642.MS00446",0.0212919294106,0.0827330002245,0.0833715221792,0.0881603776179,0.02494507711,0.1069375102463,0.026986881701,0.1081480866387,0.0343123859377,0.0229566949531,0.0871085334528,0.0277150929634,0.0278774806423,0.0295922061344,0.0278141813075,0.1227653680678,0.0802462664934,0.0443865945906,0.0227433103474,0,0.1026853362856,0.0235133177303,0.120121631623,0.0837970244924,0.0300387397101,0.1102918954082,0.0899322781899,0.0866132630605,0.0223175029895,0.0225858419581,0.0230508712105,0.0384722696425,0.0244896764249,0.082480963164,0.129307892477,0.0850891026204,0.0236706398131,0.0263837464501,0.021711461347,0.0301971834342
