"","1642.MS00608","1642.MS00545","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00514","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00519","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00535","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00638","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00581","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00334","1642.MS00397","1642.MS00494","1642.MS00615","1642.MS00461","1642.MS00349","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00468","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00618","1642.MS00446","1642.MS00447"
"1642.MS00461",0.583,0.5446,0.9406,0.5466,0.5634,0.9134,0.9524,0.9036,0.5064,0.9214,0.9406,0.5112,0.909,0.5164,0.9486,0.5586,0.9516,0.6352,0.5534,0.9182,0.5518,0.9096,0.6438,0.5638,0.5672,0.5756,0,0.7408,0.9286,0.5334,0.5452,0.9418,0.5208,0.909,0.9156,0.9136,0.9356,0.6634,0.599,0.6024
"1642.MS00349",0.7492,0.688,0.964,0.6804,0.6976,0.9404,0.9764,0.9258,0.683,0.9456,0.9588,0.706,0.9426,0.724,0.9678,0.6796,0.9736,0.8082,0.723,0.945,0.772,0.9346,0.6006,0.6384,0.7648,0.7844,0.7408,0,0.9492,0.6356,0.6896,0.96,0.6932,0.9416,0.9458,0.941,0.9598,0.7932,0.7552,0.7166
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9188,0.9132,0.899,0.9156,0.931,0.6278,0.914,0.6138,0.9224,0.7084,0.8266,0.946,0.8608,0.903,0.9144,0.917,0.9312,0.928,0.9114,0.709,0.9196,0.7136,0.9422,0.9156,0.8954,0.9148,0.9286,0.9492,0,0.9078,0.923,0.883,0.9206,0.6998,0.7052,0.733,0.8928,0.9148,0.9,0.9362
"1642.MS00411",0.5398,0.4794,0.9384,0.4846,0.5114,0.8978,0.9514,0.8754,0.48,0.9086,0.933,0.5326,0.903,0.473,0.9448,0.5026,0.9568,0.6856,0.5236,0.9024,0.555,0.891,0.5654,0.4302,0.5134,0.5786,0.5334,0.6356,0.9078,0,0.4888,0.9382,0.5098,0.8944,0.9044,0.8958,0.9328,0.5826,0.4868,0.5276
"1642.MS00468",0.5604,0.4742,0.9522,0.482,0.5198,0.9088,0.9608,0.8916,0.4826,0.9208,0.9476,0.5462,0.9148,0.4942,0.956,0.5746,0.9654,0.6698,0.5228,0.9118,0.546,0.9046,0.6272,0.498,0.5536,0.578,0.5452,0.6896,0.923,0.4888,0,0.9516,0.5156,0.9066,0.9152,0.9124,0.9478,0.5874,0.5642,0.5972
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.9506,0.9472,0.5864,0.9462,0.9492,0.8496,0.4894,0.8778,0.9484,0.8636,0.601,0.9544,0.841,0.938,0.6592,0.942,0.718,0.9474,0.9432,0.84,0.9468,0.8824,0.9496,0.941,0.9322,0.943,0.9418,0.96,0.883,0.9382,0.9516,0,0.9504,0.8526,0.8454,0.873,0.557,0.9602,0.9454,0.9594
"1642.MS00503",0.5898,0.4706,0.952,0.492,0.4302,0.9088,0.9626,0.897,0.4516,0.9196,0.9464,0.4856,0.9176,0.5348,0.9548,0.571,0.9652,0.6524,0.5632,0.9112,0.534,0.91,0.57,0.4942,0.5692,0.5846,0.5208,0.6932,0.9206,0.5098,0.5156,0.9504,0,0.9104,0.9164,0.9174,0.9488,0.6392,0.597,0.604
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9074,0.8998,0.8604,0.9024,0.9188,0.4914,0.886,0.708,0.9084,0.569,0.8558,0.9348,0.8694,0.8872,0.8864,0.9014,0.8928,0.9164,0.9024,0.4746,0.9064,0.6334,0.9312,0.9014,0.8786,0.8986,0.909,0.9416,0.6998,0.8944,0.9066,0.8526,0.9104,0,0.489,0.6338,0.865,0.9062,0.8786,0.9274
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9154,0.9138,0.872,0.907,0.9248,0.5506,0.8934,0.7336,0.9152,0.5366,0.872,0.9362,0.8722,0.8956,0.8946,0.9122,0.8892,0.9252,0.9092,0.4238,0.9196,0.6744,0.943,0.911,0.885,0.914,0.9156,0.9458,0.7052,0.9044,0.9152,0.8454,0.9164,0.489,0,0.6546,0.8682,0.9138,0.8912,0.9338
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9218,0.9094,0.8668,0.911,0.9234,0.629,0.8896,0.7454,0.9224,0.6354,0.8666,0.9382,0.8884,0.8978,0.8972,0.9074,0.8888,0.9144,0.911,0.6344,0.9208,0.6032,0.9328,0.9036,0.8894,0.9076,0.9136,0.941,0.733,0.8958,0.9124,0.873,0.9174,0.6338,0.6546,0,0.8696,0.9048,0.8852,0.93
"2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences",0.9496,0.9398,0.6608,0.943,0.9454,0.8548,0.58,0.8834,0.945,0.8796,0.5992,0.9476,0.7894,0.9352,0.6216,0.9392,0.715,0.9472,0.9412,0.869,0.9432,0.881,0.9502,0.9312,0.927,0.9368,0.9356,0.9598,0.8928,0.9328,0.9478,0.557,0.9488,0.865,0.8682,0.8696,0,0.9514,0.9378,0.958
"1642.MS00618",0.6096,0.5908,0.957,0.5974,0.6356,0.9024,0.9688,0.8834,0.6394,0.9116,0.949,0.663,0.9208,0.5814,0.9654,0.6416,0.9754,0.6822,0.5374,0.9092,0.5632,0.893,0.7512,0.6066,0.5518,0.5716,0.6634,0.7932,0.9148,0.5826,0.5874,0.9602,0.6392,0.9062,0.9138,0.9048,0.9514,0,0.5056,0.5928
"1642.MS00446",0.5492,0.5498,0.9426,0.5174,0.5878,0.8874,0.9542,0.865,0.5758,0.8928,0.9332,0.6302,0.899,0.496,0.9476,0.5702,0.9628,0.6956,0.5422,0.8844,0.5664,0.8762,0.7166,0.5414,0.4872,0.5688,0.599,0.7552,0.9,0.4868,0.5642,0.9454,0.597,0.8786,0.8912,0.8852,0.9378,0.5056,0,0.5506
"1642.MS00447",0.5892,0.6066,0.96,0.5832,0.5952,0.93,0.9688,0.9124,0.6024,0.9358,0.9516,0.567,0.9278,0.584,0.959,0.5612,0.9734,0.6898,0.5958,0.9366,0.5774,0.923,0.615,0.559,0.5744,0.5934,0.6024,0.7166,0.9362,0.5276,0.5972,0.9594,0.604,0.9274,0.9338,0.93,0.958,0.5928,0.5506,0
