"","1642.MS00358","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00574","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00364","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00438","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00481","1642.MS00579","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00380","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences"
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",0.1358260155083,0.0467315481097,0.0501877311322,0.0887177653007,0.1000856714785,0.042572188807,0.1068610845511,0.0207072672413,0.0200699403842,0.0505319361372,0,0.09677469127,0.0122095106622,0.0200664375839,0.0985836299972,0.0341337247532,0.0533174718729,0.0175253730434,0.0878540929228,0.095555824783,0.0173591901982,0.0207960897425,0.1134501396586,0.0870160341684,0.0191873882268,0.0457370490445,0.1010192084519,0.1054651710609,0.0469473652495,0.0933679825454,0.0667201011663,0.0289150578722,0.0972697919161,0.0245494100545,0.1194167684646,0.0292618264029,0.0299548408387,0.0485861592929,0.1060022214168,0.0248530905444
"1642.MS00493",0.074715702446,0.0794055088088,0.0874730502507,0.0294737425718,0.0207921130261,0.0876705528867,0.0228207027111,0.100939552047,0.1133714440868,0.0810932652951,0.09677469127,0,0.0926016653798,0.1018861853107,0.0539876604859,0.1046627215294,0.0798363316965,0.0997982566064,0.0237688444018,0.0218980339104,0.1166412607458,0.0918245831592,0.0294524043984,0.0204106221005,0.0964191296831,0.0840417287673,0.0212816753267,0.0223349799705,0.0824104974822,0.0310245275704,0.0931954540816,0.090773712495,0.0218442816158,0.1204069133753,0.0641360454254,0.085654404155,0.0965481161461,0.0801834694637,0.0272839473887,0.1032723788587
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",0.1139067512514,0.0416199442112,0.0461190863613,0.0855733163061,0.0992669096651,0.0429415345027,0.1004854804512,0.0186421194378,0.0188093374891,0.0436790579018,0.0122095106622,0.0926016653798,0,0.0194840113456,0.0929729757316,0.0287546710444,0.0487943899142,0.0159827150151,0.0825841427877,0.0904491103924,0.0131195950117,0.0241020146486,0.109000719452,0.0825305077287,0.0187956214971,0.0384366771701,0.0960013938414,0.1011368297082,0.0420008526016,0.0859451058868,0.079114400388,0.0335216047018,0.0927592756162,0.0182166369268,0.116843952138,0.0258317683485,0.0333519038616,0.0482275349181,0.1004965655231,0.0223554662875
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0.1168254074123,0.0570234114803,0.0573407642752,0.0845942940666,0.1058531137888,0.0500904862686,0.1099832127973,0.0216726118736,0.0202711154649,0.0572310797997,0.0200664375839,0.1018861853107,0.0194840113456,0,0.0825847038338,0.0166707086733,0.0637195932367,0.0167124706702,0.0879292141332,0.0958639952893,0.0205526276532,0.0220758816705,0.1210141374693,0.0893677966438,0.022099949291,0.0586734180793,0.1096299315013,0.1064787086867,0.0561284211166,0.0955401947505,0.0747202510784,0.0289236582997,0.0993546334395,0.0169719441611,0.1087752051907,0.0336489148061,0.0279842436878,0.0583131208789,0.1060208806482,0.02598997069
"1642.MS00364",0.058278537417,0.0914043391492,0.0940952833504,0.0324533501438,0.0538063319974,0.0952616587538,0.0570191834545,0.0982182401351,0.1217959304804,0.0965539862684,0.0985836299972,0.0539876604859,0.0929729757316,0.0825847038338,0,0.0794057341543,0.0942831990141,0.0923301591467,0.0448427620311,0.0472501769249,0.106226181464,0.083134206341,0.0776971223276,0.0428927054368,0.0952821578308,0.0952326426807,0.0571572732087,0.0559354235487,0.095878036598,0.0575063331635,0.1038921735828,0.0848540960881,0.0527940292416,0.1149358594965,0.0414150951968,0.0927529743578,0.0836453343585,0.0930883524077,0.0477006591714,0.0990891357428
"2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences",0.114938269931,0.0614308579236,0.0642679148106,0.0793888189679,0.103903432986,0.0599304074423,0.1115474657908,0.0343777297817,0.0334111443122,0.0645922343606,0.0341337247532,0.1046627215294,0.0287546710444,0.0166707086733,0.0794057341543,0,0.073504069417,0.0256316900834,0.0874259447125,0.0972787382243,0.0372727677215,0.0278277645041,0.1259974727365,0.0881348733788,0.0313613475204,0.0672930008465,0.1098006450908,0.1037357881224,0.0632925077667,0.0951545405949,0.075838350159,0.0296326353377,0.0948782404492,0.0284273530322,0.0945889661551,0.040694345601,0.0330124701175,0.0627198054297,0.107141183578,0.0397941189503
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",0.1242402487989,0.0243267636456,0.0279428169061,0.081431243419,0.0814144154438,0.0320002048328,0.0874069994622,0.0628937627754,0.0645946767753,0.0221587712733,0.0533174718729,0.0798363316965,0.0487943899142,0.0637195932367,0.0942831990141,0.073504069417,0,0.0545778991925,0.0797026698383,0.0805071836262,0.0789134953337,0.0530238484242,0.0818710825439,0.0713027923428,0.0437078758279,0.0356890297046,0.0766077933944,0.087859009997,0.0217536668837,0.0799038323724,0.0267111816157,0.0560912774032,0.0768400320208,0.0709821280242,0.1153550014374,0.0338252503166,0.0647088889822,0.0186770901606,0.0905016389007,0.0556044580648
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.1240756083521,0.0453926309026,0.0468557663951,0.0878438721775,0.1024783630291,0.0421215890048,0.1092492602802,0.0185590815621,0.0145912689553,0.047242749002,0.0175253730434,0.0997982566064,0.0159827150151,0.0167124706702,0.0923301591467,0.0256316900834,0.0545778991925,0,0.0871659191775,0.0985871688611,0.0181537474888,0.0236388148317,0.1170720067942,0.0877594263934,0.0155006447745,0.0477491327118,0.1028085009983,0.1079721973131,0.0469518477134,0.0923653899728,0.0688378419467,0.0342153656276,0.097877160412,0.0147194753401,0.1143390366415,0.0229003031628,0.0308597060153,0.0514337032298,0.1085355557757,0.0187831569799
"1642.MS00406",0.080897750159,0.0780474801372,0.0853553163499,0.0232471020611,0.0219130234947,0.0842864534086,0.0254768853471,0.0902022579999,0.1007924379791,0.0817828967604,0.0878540929228,0.0237688444018,0.0825841427877,0.0879292141332,0.0448427620311,0.0874259447125,0.0797026698383,0.0871659191775,0,0.019869403233,0.1063091234976,0.0809398873706,0.0367852955922,0.0202978848132,0.0861076748576,0.0832456151168,0.0251244469095,0.0246140656311,0.0812897312307,0.0305384492114,0.0973056335468,0.0811521530903,0.0227452516878,0.102561307974,0.0497949537241,0.0798743947586,0.0870281203237,0.0792322218339,0.0237160316731,0.0926821299694
"1642.MS00438",0.0918825500718,0.0825442595151,0.0863194662244,0.0236256229088,0.0228960586378,0.0872103932881,0.0199569222116,0.1060416936839,0.1184430420249,0.0859835438759,0.095555824783,0.0218980339104,0.0904491103924,0.0958639952893,0.0472501769249,0.0972787382243,0.0805071836262,0.0985871688611,0.019869403233,0,0.1172059577574,0.0894479913268,0.0302548059666,0.0212797352201,0.0932561914044,0.0881598244917,0.0237233297885,0.0227860692311,0.0846626922643,0.0309455548477,0.1054557856445,0.0881537905939,0.0248518370405,0.1179936357768,0.0463495544346,0.0857659791406,0.0955233123485,0.0801471966364,0.0196476955352,0.1040058451805
