"","1642.MS00358","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00357","1642.MS00574","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00493","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00364","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00406","1642.MS00438","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00481","1642.MS00579","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00591","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00380","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00444","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences"
"2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences",1.49405083396839,-4.86319558258888,-4.00351657485898,-0.957934796700076,0.798315564718756,-5.32904327922316,1.42604309271897,-7.03484687677129,-5.53842859933111,-4.20258786516208,NA,0.594735611500591,-5.69937290388848,-7.28182606795527,-1.67248156929907,-4.81979914914454,-4.17208099557117,-6.55121162798933,-0.978656577416889,-0.290925189970618,-6.56217991657459,-6.74444478300302,1.91833731474872,-0.851205305041708,-5.75420425233266,-3.43881127363316,1.01698982189913,1.15497809703406,-4.44974182020825,-0.429179421682935,-2.59102431868221,-7.61084704844075,0.19773572350036,-5.27704251399911,-0.21236026119904,-5.31162424291575,-6.7392885734194,-5.18779782709837,0.846048534875523,-5.81876227735511
"1642.MS00493",0.472053844696439,2.6746262324753,4.00540090543466,-1.54700669888566,-2.59016430535941,4.91752718315294,-3.29892967807473,-0.0292285011689214,0.113948443443701,3.38555415464786,0.594735611500591,NA,-0.384844229852076,0.578873020181286,-2.76545090615135,0.24160843354127,3.67823988275862,0.392741364349874,-3.31925092614486,-3.17574087079412,-0.148155476888874,0.721861924079829,-1.78735198852081,-4.87918544371759,0.0919330753477995,1.87124968133113,-3.56066157150902,-3.4458454676692,4.24478689781297,-2.78342085648204,6.32759830035844,0.491263008518536,-3.34913767515607,0.578538542563951,-1.53792994189084,0.723348214182374,0.152571036841327,2.90135311585547,0.293296854871383,0.216230804501698
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",-0.704604941993009,-3.69671891335393,-3.18732355889725,-1.30317985997516,-0.0447345739793065,-3.44521629232933,0.0292363521462991,-8.05761446121497,-5.22186049004273,-3.65719232684385,-5.69937290388848,-0.384844229852076,NA,-7.50039836158632,-1.8882414369983,-3.76575937100741,-3.5253767959139,-5.82551363248673,-1.48805635238298,-0.881933681936882,-6.11779082529386,-5.60913898257239,0.438341871896811,-1.32074033051439,-5.89551046980203,-3.18609269787252,-0.215291173621687,0.0810360942664602,-4.63621014745772,-0.957973387260502,-1.06335191628264,-2.63167241181713,-0.732086427640319,-3.24980489526358,-0.57590647540317,-6.07977417505147,-3.62889870692559,-3.50245349726553,-0.174278887825815,-5.29755951929282
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",-0.538410506763049,-4.87097366861104,-3.240134837114,-2.27501672639173,0.797315418116658,-5.46723254292346,0.898505355759917,-8.02155074869811,-6.18894799409835,-4.4980115525002,-7.28182606795527,0.578873020181286,-7.50039836158632,NA,-3.81282582869671,-4.57381931149773,-3.93879028174161,-7.98152319414032,-1.45803135696828,-0.7483173039317,-5.25714725839402,-6.4314441013846,2.12063389423353,-1.37087189835744,-4.60880316945766,-3.75314740894063,1.51594296416801,0.603766313285242,-3.90577278196245,-1.09325572339822,-2.46979381160127,-6.33885863460455,0.0220770175206319,-5.65907133929171,-1.7190182752383,-5.25008159133713,-6.25501631945512,-4.92193840519006,0.147196544120255,-5.34275624845313
"1642.MS00364",-2.30391519981608,-0.114974057118127,0.11284742971063,-4.59827032375376,-2.93153780582288,0.051340253421967,-2.34681038677832,-2.35910474186384,-0.640639717158217,1.04163732499896,-1.67248156929907,-2.76545090615135,-1.8882414369983,-3.81282582869671,NA,-3.61499814014114,0.649981446166105,-2.38497933258633,-3.87465470222623,-2.79306497536343,-2.51092262770855,-2.86927697183026,0.0488676705349992,-4.70382670010314,-1.93574959787586,-0.922909196164293,-2.26315214952742,-2.8257190249573,0.833052934163401,-3.4226812481531,1.5455272514542,-1.52996779159125,-3.23388777455658,-1.65941186489367,-3.12124191164144,-0.815109340080229,-2.71926846197233,0.0886121107712148,-3.27370453210298,-2.1345981877327
"2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences",-0.954352850970979,-4.06717508523825,-3.78355818383194,-2.7188165385678,-0.157253178029771,-5.23693908622274,0.0671901957485116,-4.66270117464779,-3.90563268087538,-4.16962820676703,-4.81979914914454,0.24160843354127,-3.76575937100741,-4.57381931149773,-3.61499814014114,NA,-2.42267468282027,-4.38632483774723,-1.49081015910847,-0.775043766907688,-5.18634357089028,-5.14024874066261,1.14734058410472,-1.86290345253046,-4.48476797799669,-3.14642857364253,0.751786189450688,-0.0830329577209816,-3.42994989627103,-1.68229972832906,-2.56492516113598,-5.51603355660062,-0.981575470726674,-4.396482616319,-2.80478096517178,-4.23713576449667,-4.96937729635668,-3.89897578048991,-0.450183048441151,-5.09613451143327
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",4.19143400756497,-8.72644062692974,-6.22609990478707,1.14945334984754,4.57045675999894,-6.06079572953341,5.31520473732752,-3.89992264359134,-2.86095443220574,-8.54573380199468,-4.17208099557117,3.67823988275862,-3.5253767959139,-3.93879028174161,0.649981446166105,-2.42267468282027,NA,-4.11256223698948,1.49176158010805,0.793661139759622,-3.19043413075659,-4.18288560650456,2.83013901430829,0.304858953370076,-3.28545431505863,-4.93057224289214,2.83996010594506,3.88117943571779,-8.8331288118625,1.91955214986359,-6.28261300411614,-2.045795839937,1.68835902801555,-3.57128817413155,0.737176592610732,-6.15405310783812,-3.06066175713861,-8.08162561676868,3.34335824269094,-4.35366059885211
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.168131526671212,-4.65271459502205,-4.83006540112432,-1.46485762290497,0.561363866739575,-4.62751062178278,1.03785970894332,-7.02926574675626,-6.14546494385841,-4.46271784874706,-6.55121162798933,0.392741364349874,-5.82551363248673,-7.98152319414032,-2.38497933258633,-4.38632483774723,-4.11256223698948,NA,-1.43603700080776,-0.430220123301015,-6.07202010472551,-5.70590605228212,1.50605146228049,-1.08047357842686,-5.02371193269297,-5.00276921221458,0.458562819816449,0.719187531172258,-4.52582214540986,-1.01368105559471,-2.68691841240007,-2.90298096641725,-0.0238247210269846,-5.21086030252575,-0.715604429966565,-6.84379623533303,-4.03557975742714,-4.66926730795331,0.489661332551261,-5.43527020330889
"1642.MS00406",2.52585793490022,0.376290345389858,1.48514966273108,-4.13352265670318,-3.93796749292985,1.50025874297475,-3.980122071163,-1.39739365417159,-1.10398232923662,1.25853438598642,-0.978656577416889,-3.31925092614486,-1.48805635238298,-1.45803135696828,-3.87465470222623,-1.49081015910847,1.49176158010805,-1.43603700080776,NA,-4.87369047655361,-1.41891990578239,-1.03377838036949,-2.028757896269,-5.63922409985268,-1.2737162696171,-0.046594162665154,-4.20204443073738,-3.10935706444674,1.55083105962453,-3.36091859775621,4.51912956938197,-0.212666023515817,-4.82140495070056,-1.32482447369077,-2.76411330365117,-0.340311880488539,-0.917820237756069,0.594985331879039,-3.89550310686437,-1.38089494803529
"1642.MS00438",5.48531777463524,0.676289801752997,0.979348490594943,-2.29725714096656,-2.03882115537724,1.31713318146963,-5.19199901216693,-0.293660478578751,-0.0615197735111424,1.11795297190652,-0.290925189970618,-3.17574087079412,-0.881933681936882,-0.7483173039317,-2.79306497536343,-0.775043766907688,0.793661139759622,-0.430220123301015,-4.87369047655361,NA,-0.466177727421154,-0.398866248027005,-2.77752030452265,-3.45896566888591,-0.609323826297938,0.400393209073113,-3.53508720462254,-4.39720572019986,1.09938348681867,-3.07252926516541,4.10548290815615,0.415181421680416,-3.36735258651178,-0.174383993647044,-2.31613977757597,0.18427859918326,-0.53466525606492,0.415801345808098,-3.88662098882253,-0.322494225351716
