"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00481","1642.MS00380","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00364","1642.MS00574","1642.MS00464","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00579","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",-0.996,-1,1,0.97,1,0.966,0.998,-0.996,-0.992,-0.249,0.468,1,1,1,-0.974,1,-0.99,1,1,-0.956,1,1,1,1,-0.63,1,-0.988,0.992,1,0,-0.98,0.996,1,0.996,1,-0.778,-1,1,0.0740000000000001,0.76
"2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences",-0.928,-0.994,1,0.896,1,0.549,0.935,-1,-0.998,-0.592,0.111,1,1,1,-0.998,1,-1,1,1,-0.911,1,1,1,1,-0.218,0.99,-1,0.925,1,-0.98,0,0.938,1,0.881,1,-0.325,-0.994,1,0.642,0.772
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.974,0.996,1,-0.033,1,-0.924,-0.246,0.992,0.915,1,0.384,1,1,1,0.974,1,0.938,1,1,1,1,1,1,1,1,-0.185,0.974,-0.527,1,0.996,0.938,0,1,-0.708,1,0.922,0.994,1,0.988,0.119
"1642.MS00438",1,1,-0.79,1,0.201,1,1,1,1,1,1,0.894,0.164,0.824,1,-0.95,1,1,-0.496,1,0.976,0.99,-0.38,-0.015,1,1,1,1,-0.65,1,1,1,0,1,-0.42,1,1,-0.979,1,1
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.988,0.984,1,-0.964,1,-0.984,-0.717,0.976,0.82,1,0.743,1,1,1,0.976,1,0.926,1,1,1,1,1,1,1,1,0.492,0.966,-0.277,1,0.996,0.881,-0.708,1,0,1,0.98,0.984,1,0.994,0.608
"1642.MS00579",1,1,-0.616,1,0.926,1,1,1,1,1,1,0.978,0.228,0.988,1,-0.492,1,0.857,-0.601,1,0.907,1,-0.884,-0.258,1,1,1,1,0.33,1,1,1,-0.42,1,0,1,1,-0.598,1,1
"2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences",-0.546,-0.606,1,0.929,1,0.811,1,-0.94,-0.923,0.834,0.952,1,1,1,-0.301,1,-0.429,1,1,0.865,1,1,1,1,0.994,0.994,-0.305,0.996,1,-0.778,-0.325,0.922,1,0.98,1,0,-1,1,-0.214,0.868
"2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences",-0.952,-1,1,0.99,1,0.972,1,-0.998,-0.998,0.71,0.886,1,1,1,-0.982,1,-0.964,1,1,-0.804,1,1,1,1,0.546,1,-0.947,1,1,-1,-0.994,0.994,1,0.984,1,-1,0,1,0.0920000000000001,0.865
"1642.MS00444",1,1,-0.541,1,-0.036,1,1,1,1,1,1,0.882,0.383,0.404,1,-0.555,1,0.984,-0.554,1,0.99,0.886,-0.328,-0.158,1,1,1,1,-0.812,1,1,1,-0.979,1,-0.598,1,1,0,1,1
"2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences",-0.978,-0.101,0.998,0.976,1,0.98,0.988,-0.549,-0.169,-0.192,0.974,1,1,1,0.14,1,0.201,1,1,-0.69,1,1,1,1,-0.452,0.998,0.661,0.998,1,0.0740000000000001,0.642,0.988,1,0.994,1,-0.214,0.0920000000000001,1,0,0.996
"2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences",0.996,0.734,1,0.768,1,-0.211,0.869,0.97,0.923,1,0.811,1,1,1,0.888,1,0.932,1,1,1,1,1,1,1,1,0.53,0.95,0.531,1,0.76,0.772,0.119,1,0.608,1,0.868,0.865,1,0.996,0
