"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00406","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00481","1642.MS00380","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00424","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00613","1642.MS00364","1642.MS00574","1642.MS00464","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00579","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00444","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.757.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",0.7008,0.5406,0.9314,0.8584,0.9382,0.8168,0.844,0.5006,0.5642,0.7854,0.7922,0.9684,0.9292,0.9904,0.5716,0.9364,0,0.945,0.9356,0.6712,0.9462,0.9684,0.932,0.9364,0.8056,0.867,0.4858,0.836,0.9478,0.6398,0.5286,0.8498,0.9444,0.8488,0.9388,0.7406,0.5984,0.948,0.8558,0.8568
"1642.MS00591",0.9516,0.9428,0.676,0.9282,0.731,0.9134,0.9082,0.9552,0.9708,0.9558,0.914,0.8696,0.6834,0.902,0.9548,0.6752,0.945,0,0.6552,0.945,0.713,0.857,0.6288,0.6926,0.946,0.915,0.9544,0.903,0.6842,0.9742,0.9648,0.9132,0.6956,0.9164,0.6302,0.926,0.9474,0.682,0.9552,0.926
"1642.MS00493",0.926,0.927,0.532,0.8954,0.6006,0.877,0.8832,0.941,0.9642,0.9326,0.8872,0.8194,0.4706,0.8764,0.935,0.4892,0.9356,0.6552,0,0.9146,0.6056,0.796,0.4594,0.489,0.9168,0.8914,0.948,0.8754,0.5038,0.9674,0.954,0.8862,0.5244,0.8756,0.5178,0.907,0.93,0.5278,0.9406,0.9002
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",0.611,0.5944,0.9002,0.8748,0.9246,0.8576,0.8798,0.6718,0.7706,0.5472,0.8386,0.9586,0.9172,0.9844,0.5132,0.9212,0.6712,0.945,0.9146,0,0.9466,0.9494,0.9116,0.914,0.553,0.8986,0.7186,0.87,0.9396,0.714,0.7106,0.888,0.9312,0.8722,0.9256,0.8096,0.69,0.9344,0.7764,0.8774
"1642.MS00613",0.9518,0.9452,0.7128,0.9196,0.7574,0.8886,0.9002,0.9634,0.9734,0.9624,0.9038,0.8958,0.5606,0.9384,0.9526,0.6524,0.9462,0.713,0.6056,0.9466,0,0.8806,0.626,0.6926,0.9458,0.9052,0.9598,0.8834,0.592,0.9778,0.9626,0.8986,0.6736,0.9048,0.648,0.9176,0.946,0.689,0.9666,0.9068
"1642.MS00364",0.9548,0.96,0.7876,0.9492,0.649,0.9498,0.951,0.9662,0.9776,0.9626,0.9526,0.7732,0.8254,0.7228,0.9686,0.7706,0.9684,0.857,0.796,0.9494,0.8806,0,0.8042,0.8016,0.9564,0.9512,0.9768,0.9402,0.8016,0.9766,0.9684,0.9464,0.7988,0.947,0.8246,0.9588,0.9684,0.7644,0.9502,0.9554
"1642.MS00574",0.9248,0.9288,0.5268,0.9018,0.6192,0.8888,0.8888,0.9402,0.96,0.9306,0.8982,0.8274,0.495,0.8824,0.9326,0.491,0.932,0.6288,0.4594,0.9116,0.626,0.8042,0,0.506,0.9138,0.897,0.95,0.8806,0.5186,0.9688,0.9512,0.8958,0.5366,0.8848,0.4852,0.9092,0.9384,0.5464,0.934,0.9062
"1642.MS00464",0.9266,0.9314,0.5342,0.9046,0.6276,0.8936,0.893,0.9432,0.965,0.9322,0.9026,0.8004,0.55,0.86,0.941,0.508,0.9364,0.6926,0.489,0.914,0.6926,0.8016,0.506,0,0.9078,0.9024,0.9512,0.89,0.5892,0.9686,0.9598,0.8996,0.5642,0.8868,0.544,0.9136,0.9402,0.5616,0.9394,0.9164
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.7476,0.7436,0.896,0.8956,0.9274,0.882,0.8952,0.798,0.8408,0.4306,0.8786,0.964,0.9248,0.9836,0.72,0.9226,0.8056,0.946,0.9168,0.553,0.9458,0.9564,0.9138,0.9078,0,0.906,0.8366,0.8792,0.9356,0.8178,0.8224,0.9102,0.9344,0.8996,0.929,0.8528,0.8184,0.933,0.8036,0.913
"2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9064,0.887,0.907,0.6952,0.9208,0.6058,0.6352,0.9016,0.935,0.9132,0.588,0.9568,0.8944,0.9868,0.9092,0.8962,0.867,0.915,0.8914,0.8986,0.9052,0.9512,0.897,0.9024,0.906,0,0.8834,0.5952,0.9184,0.9566,0.9186,0.6034,0.9202,0.6506,0.9124,0.7748,0.8954,0.9352,0.9292,0.6952
