"","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00452","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","1642.MS00536","1642.MS00546","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00331","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00537","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00578","1642.MS00446","1642.MS00450","1642.MS00466","1642.MS00550","1642.MS00539","1642.MS00527","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","1642.MS00499","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00595",0.0278726909777,0.0616348060891,0.0335079004975,0.0266744309305,0.081269708719,0.0248523987458,0.0775810038422,0.0734923177229,0.0295894788028,0.079479520885,0,0.0268618948069,0.0294359539662,0.0847189732968,0.0752078295941,0.0295957201761,0.0904257926628,0.0494647747454,0.0912272317296,0.0287654210401,0.0251474612394,0.0759583774364,0.0271833769961,0.0287097775421,0.0284431648233,0.0296730454124,0.0270054217173,0.0261615718895,0.0279272426628,0.027838593514,0.0753885671835,0.0255188047775,0.0275659793482,0.0688045765158,0.0870596932379,0.0303952934529,0.070077000309,0.0287328886344,0.0766743114792,0.081232874652
"1642.MS00536",0.0186005173077,0.0669205002698,0.0263449417854,0.0204491184412,0.0888610211361,0.020743909709,0.0809275584421,0.0812641250182,0.0199048251652,0.0845154391163,0.0268618948069,0,0.0208956786779,0.0919793709183,0.0804743223067,0.0247540769083,0.0969119328891,0.0456147025712,0.1004347843136,0.0216023146252,0.0205774768932,0.083298712731,0.0197770369784,0.0224798078923,0.0206494377284,0.0202078174719,0.0199883132605,0.0208538147752,0.0200891122357,0.0249624507967,0.0802899728015,0.0211330306448,0.0188150995575,0.0796929091391,0.0915670966447,0.0210268528711,0.0757087185947,0.0220685172478,0.0822453627513,0.0873773988914
"1642.MS00546",0.0209238509257,0.0656502833129,0.0294318075684,0.0248306104998,0.089402283376,0.0229537271621,0.0805055825359,0.081585209836,0.0232750929855,0.0832691690407,0.0294359539662,0.0208956786779,0,0.0905476116369,0.0766367352032,0.028435659567,0.0953909221598,0.0518991471279,0.1022832854424,0.0232395109559,0.024667328158,0.0804417000029,0.0207717524664,0.0286122816513,0.0203553689387,0.0227927099761,0.0209404191313,0.0237852129228,0.0234817023881,0.0271595601891,0.0825223496123,0.026453934854,0.021905965859,0.0815522210777,0.0964700252641,0.0282409463403,0.0741508103033,0.0274830936686,0.0830327016677,0.0943301493267
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",0.0969196799888,0.0463617530882,0.1023010653368,0.0931500215128,0.0166033616883,0.083073973035,0.0429060537047,0.0456622328897,0.1027710802025,0.0222540494373,0.0847189732968,0.0919793709183,0.0905476116369,0,0.0479430032845,0.0754804004272,0.0190906538657,0.1040385881098,0.0199651688926,0.0968474911272,0.0950355157743,0.0457338376118,0.0955883228968,0.1022430364575,0.099252617316,0.1020344450095,0.0978184742175,0.0996713043559,0.0999142846088,0.0970224478532,0.0365473424031,0.1067458918046,0.091801609102,0.0226359424812,0.0266314668099,0.0901053648415,0.0412837096568,0.1051569062252,0.0254379005384,0.0254144401492
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0815514553032,0.0316389047287,0.0865798832597,0.0848820888906,0.0448758308137,0.0763033506149,0.0329896012549,0.0314357152484,0.0906356444813,0.0408163876315,0.0752078295941,0.0804743223067,0.0766367352032,0.0479430032845,0,0.0750210821157,0.0608532702872,0.1009805694519,0.0637318849938,0.0852977120815,0.0858409952041,0.0286963843629,0.0819608444727,0.0998879673596,0.0795565077771,0.0882772128835,0.0867301567057,0.0903518207283,0.086169645688,0.0843716708603,0.0578332377304,0.094767559738,0.0811264890977,0.0405001662622,0.0711133058117,0.0900290555163,0.0296345601958,0.098380382278,0.0428403259267,0.0605248206988
"1642.MS00331",0.0254025193415,0.0586717664315,0.0226605636523,0.0224367383445,0.0754309982574,0.0198601873056,0.0727168063682,0.0712822625418,0.0277105449802,0.0717489623772,0.0295957201761,0.0247540769083,0.028435659567,0.0754804004272,0.0750210821157,0,0.0828439706861,0.0354572862182,0.0801638765904,0.0263240507004,0.0244082436312,0.0821514157915,0.02453956648,0.0270007335,0.0251234484761,0.0243257241129,0.0216897701199,0.0254271099964,0.0249787912737,0.0276136258498,0.0657466602409,0.0284670701729,0.024276063143,0.0665545119843,0.0735232109195,0.0189687292288,0.0711010757831,0.0264736924167,0.0721025439686,0.0734832837377
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",0.1020194320765,0.0474722913922,0.1063576535384,0.0998014225945,0.0241567699031,0.0905047241272,0.050956286682,0.055840679418,0.1107581805254,0.0240006094258,0.0904257926628,0.0969119328891,0.0953909221598,0.0190906538657,0.0608532702872,0.0828439706861,0,0.0998524006081,0.022898027481,0.1008569358918,0.1026124106988,0.0578909022534,0.1019548449769,0.1100915300055,0.104918997278,0.108437967397,0.0953699562446,0.1031975858245,0.1057027298716,0.1048276811752,0.02284251232,0.1118622350598,0.0976182823244,0.0245105855472,0.0265590398342,0.0978359754245,0.0484113931942,0.1146696357815,0.0274046834554,0.0243984126518
"1642.MS00342",0.0606627089163,0.073169387993,0.0408010498111,0.043391115692,0.0965178778871,0.0394223385576,0.0830344766073,0.0803533002059,0.056063334615,0.0926125604859,0.0494647747454,0.0456147025712,0.0518991471279,0.1040385881098,0.1009805694519,0.0354572862182,0.0998524006081,0,0.0946561442179,0.046365112411,0.0507032179351,0.0854788095936,0.0586874890066,0.0552200116785,0.0502157010266,0.0486474840008,0.0454584225896,0.0521115843599,0.0605257161805,0.0518701166285,0.0854763045143,0.0526461621239,0.0474953573097,0.088545299733,0.0792266372409,0.043345663935,0.0868073000301,0.0515156487239,0.0813619939612,0.0832086595698
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",0.1082789256228,0.0516230392346,0.107266503061,0.1012017794466,0.0135271687528,0.0888830921119,0.0499484838584,0.0465626064275,0.1144254308376,0.0237620824007,0.0912272317296,0.1004347843136,0.1022832854424,0.0199651688926,0.0637318849938,0.0801638765904,0.022898027481,0.0946561442179,0,0.1052475565202,0.0997608925531,0.0527285623171,0.1089148870001,0.1106059649143,0.1071775316778,0.1103274027278,0.1027433578234,0.1055809041239,0.1078623932207,0.1049082792471,0.036407590725,0.1160545624554,0.1015234576951,0.019407627832,0.0167136850372,0.0973023618101,0.049525042263,0.1128039250877,0.0255585226307,0.0224871135705
"1642.MS00453",0.0215770068227,0.0690430276363,0.0275586456726,0.0202798428047,0.0935773238206,0.0212067319661,0.0869231493704,0.0894731698095,0.0222404403875,0.0900275644291,0.0287654210401,0.0216023146252,0.0232395109559,0.0968474911272,0.0852977120815,0.0263240507004,0.1008569358918,0.046365112411,0.1052475565202,0,0.0238792282748,0.08350900706,0.0212736950069,0.0261832271207,0.0211995206685,0.0198063423969,0.0223765716054,0.0233110431769,0.0237869326745,0.0262073010445,0.0856712860407,0.0254146891266,0.0220806052618,0.0850504719814,0.0996299918771,0.0252852406536,0.0823364295891,0.0225894145656,0.0887903916347,0.0941618239938
