"","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00452","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","1642.MS00536","1642.MS00546","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00331","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00453","1642.MS00537","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00578","1642.MS00446","1642.MS00450","1642.MS00466","1642.MS00550","1642.MS00539","1642.MS00527","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","1642.MS00499","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00595",-1.59052402050432,-1.20810819016413,-1.76160587179438,-2.99985884365954,-1.07776684486368,-3.19742557710221,1.02676118332507,1.69783951097487,-0.920903688987461,-0.223588909752387,NA,-2.31027008333679,-1.62930250377787,-1.68391755689874,1.4882191671258,-3.89054593822125,-0.958973217282581,-1.30458669004091,-0.90511038459214,-1.49368708584401,-2.72320309744828,1.67555612860079,-2.73189469435061,-2.78638517734095,-1.46395552910751,-2.66996110524245,-2.91169759211989,-3.05330438983392,-1.99248007973811,-2.29965266274109,-0.633239928145216,-2.91151863300136,-2.18720046861207,-0.961576424830267,-1.56575597633772,-2.69198915759405,-0.307755321580741,-2.09425120209169,-1.44409505714458,-2.40177751315172
"1642.MS00536",-1.86321598489769,0.894584563997566,-1.92887190232232,-2.20539776998683,-0.200162537984156,-2.05466541072455,2.3844559115171,2.7847076184688,-2.08121564151365,0.136088791956001,-2.31027008333679,NA,-2.04521926175572,-0.894340480299613,2.41733841518865,-2.51124523029146,-0.224664254929222,-1.50797193833677,0.27178824006184,-1.89690458747668,-2.12843549368138,3.38530716282977,-3.43953707412797,-2.49876017920444,-1.99559847387986,-2.02594001012612,-2.28498136731575,-2.02157043344961,-3.67843073312956,-2.04615802443148,-0.101764526852612,-2.44239309529602,-5.45953831060702,-0.0896987618518223,-0.95095837345964,-2.45467775936798,1.26525374395086,-1.84542731409645,-0.484333889286013,-1.7575793975622
"1642.MS00546",-3.01930560174214,0.208983176312431,-1.83985603388993,-1.07289872299065,-0.379598943921056,-1.61794734599541,1.37722671330624,2.00156672945729,-1.11810962993954,-0.279339711416937,-1.62930250377787,-2.04521926175572,NA,-1.11142352328424,0.953961858540878,-1.74742963525896,-0.627002091725538,-0.142562299213804,-0.0052915729304273,-1.20737402245978,-3.82016153020157,2.04957694950418,-1.63176393707271,-4.39857473813155,-1.24129706220798,-1.2220577694479,-1.7144062227799,-3.40816566296463,-4.1120246592603,-0.971228285517623,-0.437189878579575,-2.43489659231972,-4.79798993351831,-0.275150858507335,-0.881762295756573,-1.13433508091837,0.613071290734758,-1.00332143156287,-0.755201714946035,-1.5317356027831
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",-0.358818438286317,-4.89825450179152,0.0358476282316619,-0.99084827080758,-7.50032037784228,-2.06647980461559,-5.17388206301359,-4.52352594748494,0.273205045261387,-6.09551133782793,-1.68391755689874,-0.894340480299613,-1.11142352328424,NA,-4.97402023299384,-2.27048899872477,-5.8855409554652,-0.702400713822002,-4.4030657981077,-0.531276150666172,-0.908524462214405,-3.74237949933665,-0.345709845073659,-0.458713098124428,-0.101610559673119,0.210836334596375,-0.678127794948788,-0.24648159941575,-0.0733030708557272,-0.837259029011216,-4.74024725936735,0.202587213941263,-0.661151915179676,-6.86926212288867,-5.42464977071779,-1.08148226489047,-4.85232612910851,0.164372571037137,-5.764456678411,-6.27672029218229
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",3.38288016632487,-7.54832263906567,5.20845737282382,4.69912044706717,-5.26701802038846,1.70829051805421,-6.21814443713203,-5.56617736823209,7.18332917616383,-5.33966627670866,1.4882191671258,2.41733841518865,0.953961858540878,-4.97402023299384,NA,0.153951756638816,-5.21289702177739,3.48202987748414,-4.01045956643446,3.53785308848324,2.54139086840879,-6.8234821018703,5.05482237044538,2.86239421968986,3.57715004777853,8.04942546219336,2.31052491504677,6.37827965558538,4.66008912812958,1.09404543518266,-3.38723249375389,6.61393366793257,4.39977081712925,-5.23629938722946,-2.6027615792675,1.83351687387704,-6.83176449321302,6.02779502102742,-5.95118111273133,-3.86225874939938
"1642.MS00331",-2.64477352728779,-1.60733268170512,-4.89095122242057,-6.12553650688511,-1.79540208097594,-6.1861818611505,-0.348385116624011,-0.271843854067736,-2.9910607482779,-1.40038192273675,-3.89054593822125,-2.51124523029146,-1.74742963525896,-2.27048899872477,0.153951756638816,NA,-1.65011074656797,-2.12785480978992,-2.07309950190471,-1.71791415053224,-2.79152719341777,1.45266162631433,-4.87427586996349,-4.7954826876502,-4.16884505724914,-4.78152920873327,-5.36966434377781,-4.0302032162688,-2.75444798755527,-3.08457688221356,-1.83141762031096,-3.41951470238963,-5.43844214605597,-1.75808328243856,-2.5231948365079,-6.50773222257454,-0.484535508415622,-3.31861239777472,-1.96755790535139,-2.59424640679556
"2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences",0.480568312384613,-4.77435593737196,0.804421954195045,-0.0580937861861708,-6.2762480847234,-1.15027925616714,-5.78000949899916,-4.60445871835202,1.71601660996897,-7.73440424245833,-0.958973217282581,-0.224664254929222,-0.627002091725538,-5.8855409554652,-5.21289702177739,-1.65011074656797,NA,-1.08690999646807,-6.90825191428831,0.0532879709046647,-0.182581036239031,-3.90969684111084,0.593003086252602,0.164821695051688,0.714581165429624,1.01803972383619,-0.754555225079438,0.58735428691138,0.884375456619344,-0.188439610503634,-7.36641994780609,1.3464957722495,-0.0549133379140686,-8.83991291887707,-6.52245569457286,-0.432451200120688,-6.68389884662092,1.46123081108621,-6.26136847181956,-7.45565080959257
"1642.MS00342",2.10669079810241,-0.469938272701666,-0.0947506274968913,-1.13876789655384,-0.68717644780739,-1.48624783717499,-0.337721709296042,-0.251049213988238,1.30571103128393,-0.340911486240355,-1.30458669004091,-1.50797193833677,-0.142562299213804,-0.702400713822002,3.48202987748414,-2.12785480978992,-1.08690999646807,NA,-1.84362199104723,-0.82891387543308,-0.54233783578412,0.912344440039791,2.17028540863596,-0.767593586504553,-0.0621984670040224,-0.282285855692965,-0.892187681945669,-0.318180650447482,1.75055225721285,-0.374103834011241,-1.1413849653404,0.148269185233856,-0.801682719293553,-0.26532208344236,-2.75937195794613,-0.803143818112128,0.950075144908833,0.308439702770035,-2.12518447000079,-2.72571336096465
"2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences",1.29202487354337,-5.3224539717944,1.39769115977131,0.210459325864258,-6.20582844859909,-1.57057443832889,-5.77266771086214,-5.76767622167098,2.60260859595121,-7.63776727039689,-0.90511038459214,0.27178824006184,-0.0052915729304273,-4.4030657981077,-4.01045956643446,-2.07309950190471,-6.90825191428831,-1.84362199104723,NA,0.71278339889818,-0.148660350602943,-4.06178020707079,2.02740199590081,0.535221498218726,1.53980174938773,1.55810857480509,0.222309975865253,0.901197531282521,1.39290573917169,-0.0102834029678267,-5.05199548157127,2.04085045229847,0.80066101209898,-5.01286180732512,-5.33047452181135,-0.474244809136909,-4.89852028029916,1.3201610061623,-5.62147263023776,-5.52318007333387
"1642.MS00453",-1.34341669113131,1.40893189229434,-1.44953912399446,-2.68067175593658,0.37504436675934,-2.04554215369629,4.19381376159152,5.71927135410543,-1.34206177381662,0.684364188521709,-1.49368708584401,-1.89690458747668,-1.20737402245978,-0.531276150666172,3.53785308848324,-1.71791415053224,0.0532879709046647,-0.82891387543308,0.71278339889818,NA,-1.85789192881692,3.98749430133428,-1.5431727217026,-2.61851493348171,-1.2660293598154,-5.03843207010075,-1.93617415102175,-1.74163133792069,-1.42060939534741,-1.33780026286663,0.418096938230189,-1.90060819150962,-1.74212112139872,0.516062055968145,-0.428570322189871,-2.16426745944639,3.19438384074128,-4.70928696540422,-0.153471599400646,-1.32923592132202
