"","1642.MS00608","2382.SH004.C1.RH.4.218.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00546","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00407","2382.SH008.C6.HA.3.738.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00450","1642.MS00452","1642.MS00539","1642.MS00453","1642.MS00606","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00595","2382.RU006.C181.RH.1.778.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00537","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00331","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00462","1642.MS00522","2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00342","1642.MS00578","1642.MS00412","1642.MS00399","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00499","1642.MS00446","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00331",0.6612,0.9126,0.6204,0.949,0.5504,0.934,0.6124,0.6196,0.6158,0.6288,0.6444,0.9216,0.9144,0.6716,0.9276,0.6426,0.8896,0.574,0.5504,0.9344,0.6118,0.9026,0.5776,0,0.913,0.6126,0.583,0.905,0.9232,0.94,0.9076,0.6178,0.6894,0.5858,0.5754,0.483,0.953,0.612,0.6392,0.9102
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9168,0.798,0.8912,0.9404,0.893,0.8962,0.9,0.898,0.9022,0.903,0.8996,0.6726,0.7232,0.9136,0.8658,0.898,0.8768,0.9156,0.9166,0.8448,0.892,0.7058,0.9352,0.913,0,0.8804,0.9194,0.6038,0.7462,0.926,0.6416,0.9066,0.9394,0.9422,0.9128,0.924,0.8666,0.89,0.89,0.5716
"1642.MS00462",0.5156,0.9002,0.5334,0.9526,0.5026,0.9396,0.4702,0.4754,0.4836,0.4738,0.4898,0.8834,0.9056,0.568,0.9274,0.4912,0.8884,0.5414,0.5578,0.9302,0.467,0.8472,0.5688,0.6126,0.8804,0,0.5418,0.8722,0.9178,0.939,0.8782,0.5138,0.7352,0.6428,0.5452,0.5874,0.9466,0.4714,0.4724,0.8782
"1642.MS00522",0.5434,0.926,0.58,0.9652,0.5236,0.9502,0.5152,0.5536,0.5248,0.5544,0.5458,0.9222,0.9294,0.6106,0.9482,0.56,0.9226,0.494,0.524,0.9442,0.5278,0.9062,0.52,0.583,0.9194,0.5418,0,0.9166,0.9368,0.9566,0.9174,0.5318,0.7264,0.5398,0.5664,0.5054,0.9624,0.5484,0.5632,0.9172
"2382.SH008.C6.HA.1.727.rhizo.9.12.lane7.NoIndex.L007.sequences",0.908,0.763,0.88,0.9318,0.8838,0.871,0.8896,0.8894,0.8972,0.8898,0.8852,0.6242,0.7806,0.9,0.8782,0.8912,0.8862,0.9054,0.9112,0.8096,0.8812,0.6782,0.9236,0.905,0.6038,0.8722,0.9166,0,0.7996,0.918,0.5232,0.9078,0.9336,0.9358,0.904,0.9256,0.867,0.8784,0.8786,0.4974
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.9388,0.4854,0.9284,0.6734,0.9154,0.6466,0.923,0.9286,0.926,0.929,0.9286,0.8546,0.505,0.8998,0.675,0.9178,0.7084,0.9212,0.9298,0.6348,0.9238,0.8404,0.9472,0.9232,0.7462,0.9178,0.9368,0.7996,0,0.7266,0.8128,0.9232,0.9466,0.9494,0.928,0.9316,0.714,0.9112,0.9222,0.786
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",0.9508,0.6678,0.954,0.5352,0.9446,0.639,0.9556,0.9422,0.9462,0.9476,0.9486,0.933,0.7974,0.9444,0.8078,0.9362,0.7816,0.9496,0.9442,0.743,0.9426,0.8932,0.9694,0.94,0.926,0.939,0.9566,0.918,0.7266,0,0.9076,0.9386,0.957,0.9578,0.9572,0.952,0.833,0.9382,0.9514,0.9214
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9094,0.7396,0.8898,0.9322,0.8868,0.8608,0.8996,0.887,0.9,0.8996,0.8896,0.6528,0.8068,0.898,0.8934,0.8982,0.8928,0.911,0.9138,0.8092,0.8912,0.6852,0.9312,0.9076,0.6416,0.8782,0.9174,0.5232,0.8128,0.9076,0,0.9068,0.9322,0.9364,0.9088,0.9266,0.8844,0.882,0.8912,0.54
"1642.MS00550",0.5396,0.9142,0.5684,0.9498,0.5222,0.9426,0.5324,0.5468,0.4972,0.5414,0.5196,0.914,0.9166,0.589,0.9318,0.5308,0.8944,0.5172,0.5066,0.9352,0.4886,0.8842,0.5848,0.6178,0.9066,0.5138,0.5318,0.9078,0.9232,0.9386,0.9068,0,0.7516,0.5328,0.5932,0.577,0.9536,0.4842,0.5774,0.9054
"1642.MS00342",0.7476,0.938,0.749,0.9726,0.6966,0.9624,0.7298,0.7212,0.7388,0.7368,0.7562,0.9354,0.9466,0.7538,0.965,0.7576,0.937,0.7366,0.7364,0.957,0.731,0.9168,0.7508,0.6894,0.9394,0.7352,0.7264,0.9336,0.9466,0.957,0.9322,0.7516,0,0.7936,0.6572,0.7102,0.9718,0.7364,0.7458,0.9364
"1642.MS00578",0.622,0.9426,0.6446,0.9678,0.5982,0.9582,0.6358,0.6634,0.614,0.6628,0.6128,0.9418,0.9454,0.66,0.959,0.642,0.9354,0.5012,0.5242,0.9576,0.5988,0.9318,0.5582,0.5858,0.9422,0.6428,0.5398,0.9358,0.9494,0.9578,0.9364,0.5328,0.7936,0,0.6702,0.505,0.9666,0.6108,0.6968,0.9388
"1642.MS00412",0.58,0.9218,0.605,0.9626,0.5222,0.9522,0.5362,0.5408,0.5278,0.567,0.5718,0.9164,0.9236,0.6188,0.947,0.586,0.9164,0.5758,0.5956,0.9472,0.5488,0.883,0.593,0.5754,0.9128,0.5452,0.5664,0.904,0.928,0.9572,0.9088,0.5932,0.6572,0.6702,0,0.556,0.9652,0.5548,0.5436,0.9086
"1642.MS00399",0.608,0.9268,0.6066,0.9576,0.5466,0.9498,0.5498,0.604,0.5686,0.6236,0.6074,0.9336,0.9316,0.658,0.9482,0.6046,0.9202,0.5346,0.5216,0.9484,0.5764,0.913,0.5394,0.483,0.924,0.5874,0.5054,0.9256,0.9316,0.952,0.9266,0.577,0.7102,0.505,0.556,0,0.9602,0.5908,0.6262,0.9274
"2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences",0.9638,0.747,0.9544,0.8486,0.9554,0.6498,0.9522,0.9558,0.9566,0.9586,0.956,0.8888,0.5792,0.9534,0.539,0.9512,0.8868,0.9594,0.9588,0.5406,0.9516,0.9114,0.9726,0.953,0.8666,0.9466,0.9624,0.867,0.714,0.833,0.8844,0.9536,0.9718,0.9666,0.9652,0.9602,0,0.9474,0.9586,0.8518
"1642.MS00499",0.5212,0.9038,0.54,0.9496,0.5006,0.9372,0.502,0.4824,0.4836,0.5118,0.4836,0.8952,0.9034,0.5698,0.9304,0.505,0.8968,0.521,0.5144,0.9264,0.4766,0.8612,0.583,0.612,0.89,0.4714,0.5484,0.8784,0.9112,0.9382,0.882,0.4842,0.7364,0.6108,0.5548,0.5908,0.9474,0,0.5032,0.8826
"1642.MS00446",0.5492,0.9142,0.5206,0.9646,0.5072,0.9478,0.4728,0.4758,0.506,0.4758,0.497,0.8976,0.9126,0.587,0.9416,0.5142,0.9108,0.5822,0.585,0.9398,0.4904,0.8582,0.5506,0.6392,0.89,0.4724,0.5632,0.8786,0.9222,0.9514,0.8912,0.5774,0.7458,0.6968,0.5436,0.6262,0.9586,0.5032,0,0.8868
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.913,0.7568,0.8774,0.9322,0.8876,0.864,0.885,0.8944,0.899,0.8952,0.8952,0.6476,0.7576,0.9042,0.8498,0.892,0.8826,0.9086,0.9134,0.8058,0.8886,0.6972,0.922,0.9102,0.5716,0.8782,0.9172,0.4974,0.786,0.9214,0.54,0.9054,0.9364,0.9388,0.9086,0.9274,0.8518,0.8826,0.8868,0
