"","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00526","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00605","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00622","1642.MS00421","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","1642.MS00574","1642.MS00341","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00499","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00377","1642.MS00615","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00526",0.0953093347074,0.0961091307681,0.0235728714004,0.0824705476487,0.0193957153764,0.1096759317206,0.0768065118444,0.0207787824418,0.0927913580099,0.0391704093904,0,0.0826724909848,0.078790516296,0.0227529399883,0.0852005235457,0.0931172241734,0.0390302577226,0.0230470009748,0.0789928282628,0.0205437797149,0.1111086440335,0.0241671130013,0.1141812460341,0.0209034204112,0.0223148835566,0.0209750711526,0.0844647311965,0.020706299106,0.0200159628463,0.0385854300619,0.0984900310117,0.1009200340619,0.0191762054371,0.0939684643303,0.0217484050144,0.0336837835994,0.0232238523514,0.0813209027068,0.0218687109646,0.1104505546277
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",0.0352036963274,0.0376098880742,0.0928241096468,0.0314098349042,0.0851409879255,0.0538333726305,0.0379809360628,0.0762314021302,0.0462637774298,0.0788427616288,0.0826724909848,0,0.0285521210051,0.0889666040549,0.0427361821905,0.0325380231963,0.0866876410716,0.0902752499618,0.0244055048004,0.1027623182586,0.0484308584425,0.0934633404037,0.0461771355713,0.0871708176183,0.0839683526297,0.0714610798329,0.0260096152117,0.0821265544901,0.0808789456123,0.0759424218528,0.0401919511626,0.0368859361753,0.0814956645783,0.0415814029926,0.0780253996195,0.0838511711045,0.0958403603196,0.0263137032789,0.0844292527182,0.0476430010566
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",0.039349224373,0.0418471987499,0.0884019341218,0.0213909611209,0.0794874330133,0.0546896977127,0.0322295010863,0.0730609821329,0.0362534615042,0.0745601737879,0.078790516296,0.0285521210051,0,0.0853538939544,0.0308362712565,0.0382094501254,0.0801321585526,0.0875563161159,0.025617314169,0.095455346099,0.0513959698344,0.0931364579942,0.0512960881731,0.0841726886394,0.0824277984313,0.0669813269781,0.028078089535,0.0787718821361,0.0769633141375,0.0734869169659,0.0472281321235,0.0445450325425,0.0764435497391,0.0355913619671,0.0749176234425,0.0801773901374,0.0925116912487,0.0270359742982,0.0808468066315,0.0514902299095
"1642.MS00445",0.1004886557517,0.0997231381604,0.0250688244843,0.0885972703986,0.0225732156961,0.1138666335578,0.0809006766753,0.0203296195119,0.0957534524141,0.0292283089278,0.0227529399883,0.0889666040549,0.0853538939544,0,0.0900053105379,0.0967552197408,0.025540653276,0.024806600878,0.0861812919087,0.0217148314521,0.1112574377008,0.0276676251357,0.1177455925026,0.0250234205463,0.0254126701793,0.0206768893543,0.0897999686224,0.0248638608087,0.0235130414371,0.0267224953211,0.1011965370019,0.1047470062662,0.0226355690319,0.0950533058933,0.0251064991931,0.027245693879,0.0266772192112,0.0871400387221,0.0246866092201,0.1120488408955
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0569288247039,0.0593141811761,0.0946233499162,0.0270898550477,0.0840837231009,0.0657756298431,0.0351133529785,0.080681060735,0.0368726309043,0.0738067861083,0.0852005235457,0.0427361821905,0.0308362712565,0.0900053105379,0,0.0565538310042,0.0818324502441,0.0931896270532,0.0444250469549,0.1050574723337,0.0618986018944,0.1011800273807,0.0697726309079,0.0931033702731,0.0885185751459,0.0721759838744,0.0382720036681,0.0864298409785,0.0832764711739,0.0745576842534,0.0664799288613,0.0661783263804,0.0835599639834,0.0385032589416,0.0810858044833,0.0842359302846,0.0999239089074,0.0476497778857,0.0871717797594,0.0679147043754
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",0.0218086424903,0.0180076809468,0.1047370926107,0.0429077258494,0.0912354103038,0.0344399114021,0.0518383755137,0.0837194211083,0.0454871957168,0.076684992911,0.0931172241734,0.0325380231963,0.0382094501254,0.0967552197408,0.0565538310042,0,0.0794525535128,0.1027868344174,0.0323179188171,0.1116386963962,0.0346285964416,0.1096881785053,0.0281038370142,0.1016426239174,0.0994667127236,0.0794172654752,0.0366971912469,0.0995636022074,0.0933337592664,0.0799162526408,0.0329440960709,0.02883644371,0.0897726149468,0.037682646285,0.0918473262482,0.0884980892982,0.1059587535193,0.0322967190337,0.0966663291523,0.0315177696159
"1642.MS00332",0.0816784234348,0.0766976193619,0.0379772283678,0.0841794681541,0.032121315329,0.0847877960115,0.0881742634626,0.0237672116942,0.0839731099494,0.0172958968607,0.0390302577226,0.0866876410716,0.0801321585526,0.025540653276,0.0818324502441,0.0794525535128,0,0.0367065969109,0.0824191329539,0.0342681345855,0.0894542971615,0.0468201462899,0.0952863104721,0.0424670029534,0.0407718760704,0.0254093902912,0.0926154356225,0.0409857406827,0.0370537196884,0.0192359055837,0.0843684407432,0.0866020719779,0.0356409533646,0.0796210320062,0.0419094330042,0.0194375324204,0.0440613521378,0.0841284294208,0.0420148385115,0.0916117394831
"1642.MS00605",0.1060989405639,0.1090093637948,0.0202586048484,0.0904173889697,0.0211204673796,0.1153466567125,0.0799841925908,0.0232480102924,0.1054120263961,0.037107914446,0.0230470009748,0.0902752499618,0.0875563161159,0.024806600878,0.0931896270532,0.1027868344174,0.0367065969109,0,0.0868832081619,0.0256154727311,0.1205204348322,0.0282022528214,0.1230595374408,0.0247131127813,0.0236577367851,0.0233674271383,0.0907136348851,0.0236215305925,0.0208355935825,0.0317232951999,0.1067410635028,0.1120969735188,0.0229856338872,0.1059717565243,0.0249030332117,0.0339411638644,0.0231790608832,0.0882760678613,0.0202364023174,0.121593188956
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",0.034405825857,0.0377920456138,0.0904888030199,0.0309714140386,0.0809995440172,0.0635443293789,0.0347606292749,0.075046803144,0.0482457329479,0.0791112848589,0.0789928282628,0.0244055048004,0.025617314169,0.0861812919087,0.0444250469549,0.0323179188171,0.0824191329539,0.0868832081619,0,0.0949054889496,0.0509997264984,0.0929263717587,0.0484429731235,0.0856848066347,0.0830667908049,0.0683288027244,0.0199665464872,0.0797741739662,0.0777868928757,0.0748723856196,0.0421680826855,0.0401937497967,0.0755734684942,0.0442214254097,0.0767895962184,0.0839463094485,0.0945739278945,0.0186852784834,0.0819590965947,0.0494385718498
"1642.MS00488",0.1160982870536,0.1072325291683,0.0247839263949,0.0962206700073,0.0209239698804,0.1376409868773,0.0881922602165,0.0219344174479,0.1096298543369,0.036333041197,0.0205437797149,0.1027623182586,0.095455346099,0.0217148314521,0.1050574723337,0.1116386963962,0.0342681345855,0.0256154727311,0.0949054889496,0,0.1305393411085,0.0247618196763,0.1313510853524,0.0226196950485,0.0232744732124,0.0239811157968,0.1036025754659,0.0230099467442,0.0218732005051,0.0351559671519,0.1167056118416,0.1177938362598,0.0218373393482,0.1105498428555,0.0233288413257,0.0332632940389,0.0243791537341,0.0938258912559,0.0230245940419,0.1286773910594
