"","1642.MS00608","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00622","1642.MS00488","1642.MS00598","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00625","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00421","1642.MS00605","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00526","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","1642.MS00366","1642.MS00524","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00494","1642.MS00615","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00332","1642.MS00341","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00618","1642.MS00499","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences"
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.142,1,1,1,0.99,1,1,0.996,0.916,1,1,0,1,1,-1,0.683,0.911,1,1,1,0.996,1,1,1,0.992,1,0.722,1,1,1,-0.99,1,0.921,1,0.964,1,1,1,0.532
"1642.MS00377",0.998,1,0.998,0.98,1,1,0.996,1,1,1,0.00499999999999989,1,1,0,0.952,1,1,1,0.959,-0.907,0.998,1,0.937,1,1,1,1,1,-0.547,-0.988,1,1,-0.045,1,0.633,1,1,0.978,1,1
"1642.MS00526",-0.886,1,-0.968,-0.964,-0.968,1,-0.938,1,1,1,-0.888,-0.898,1,0.952,0,1,1,1,-1,1,-0.963,1,-0.803,-0.962,-0.849,1,1,1,0.998,0.946,1,1,-0.981,1,-0.948,1,-0.626,-0.984,1,1
"2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences",1,-0.194,1,1,1,0.976,1,1,0.997,0.952,1,1,-1,1,1,0,0.97,0.928,1,1,1,0.988,1,1,1,0.993,1,0.757,1,1,1,-1,1,0.972,1,0.992,1,1,1,0.954
"2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences",1,0.954,1,1,1,1,1,0.956,1,0.99,1,1,0.683,1,1,0.97,0,1,1,1,1,1,1,1,1,1,1,-0.965,1,1,0.888,0.943,1,0.996,1,0.971,1,1,0.126,0.592
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",1,0.964,1,1,1,-0.968,1,-0.888,-1,-1,1,1,0.911,1,1,0.928,1,0,1,1,1,-1,1,1,1,-0.996,-0.171,0.994,1,1,-0.481,0.867,1,-1,1,-1,1,1,1,1
"1642.MS00574",-0.964,1,-1,-0.826,-0.982,1,-0.998,1,1,1,-0.956,-0.878,1,0.959,-1,1,1,1,0,0.998,-0.942,1,-0.982,-0.988,-0.732,1,1,1,0.996,0.786,1,1,-0.954,1,-0.813,1,-0.646,-0.988,1,1
"1642.MS00366",1,1,1,1,1,1,1,1,1,1,0.361,1,1,-0.907,1,1,1,1,0.998,0,1,1,0.215,1,1,1,1,1,-1,-0.872,1,1,0.475,1,0.891,1,1,1,1,1
"1642.MS00524",-0.094,1,-0.948,-0.728,-0.857,1,-0.992,1,1,1,-0.308,-0.221,1,0.998,-0.963,1,1,1,-0.942,1,0,1,-0.157,-0.73,-0.589,1,1,1,1,0.982,1,1,-0.565,1,-0.647,1,-0.999,-0.65,1,1
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",1,0.99,1,1,1,-0.865,1,-0.49,-0.996,-1,1,1,0.996,1,1,0.988,1,-1,1,1,1,0,1,1,1,-0.992,0.257,1,1,1,0.034,0.994,1,-1,1,-0.96,1,1,1,1
