"","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00440","2382.RU006.C181.RH.1.578.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00526","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00332","1642.MS00605","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00618","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00622","1642.MS00421","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625","1642.MS00574","1642.MS00341","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00499","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00494","1642.MS00377","1642.MS00615","2382.SH004.C1.RH.5.422.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00598","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00526",1.09118164735785,0.524979792110763,-2.28722417222136,5.41837196164633,-4.77982650774495,0.962205973902995,5.15412835386636,-4.04567514418575,1.37595706555866,-2.45834740594873,NA,6.09469593900976,5.43028175594853,-3.70269299909994,8.08633594845678,2.57648852145898,-1.92428908264776,-2.30587714626664,3.47966530525153,-3.99600893548047,1.35284965507802,-1.93327833787981,0.799613166220832,-3.50138239806979,-1.84331256979643,-4.14931880465351,6.42624693280402,-4.04103598282641,-3.46814347928047,-0.729146107630615,0.123558942173121,1.74938151938612,-5.58401857977536,1.00175409265712,-3.67033758539918,-2.43921121490332,-2.84150123193776,4.3573173757156,-2.69066815585114,0.172771315196682
"1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00",-5.76824442053073,-6.37644559136686,7.57798781798529,-7.80836132438011,2.55140997295898,-5.82323252728205,-5.84197740554366,3.45781455215529,-5.79367803079129,-0.665981435558151,6.09469593900976,NA,-8.09898370829004,7.1303624777943,-6.37396926183073,-6.67351144468554,0.354876649327711,8.36908483335328,-9.52424159604006,10.8824413240261,-5.57300245440265,9.52066512089306,-7.08147226461545,9.08890438191266,8.26052479955858,1.38045099979278,-7.73038028720655,6.4792549586998,5.57081046840521,-0.0441684439270374,-6.66926719922168,-5.42445471223882,6.15426752411941,-7.09615851326294,5.25035596996414,2.22730005019858,10.2485830207304,-8.03888391050841,5.0401003668899,-6.32653628958221
"2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences",-4.94746661330912,-3.19245829541857,7.24568820981636,-6.04427263177056,1.95654203883865,-6.07107887983605,-8.09812364568274,2.970318616416,-5.70435004354901,-1.08937825927887,5.43028175594853,-8.09898370829004,NA,6.71656416300695,-5.52216263416208,-4.45384343484292,-0.339866558402139,8.38522213048298,-9.13292934518802,8.46581941841247,-4.84965161543349,10.5968819283946,-3.24979635357501,8.41119110451488,8.43348683331185,0.625302942268487,-8.39718840633011,6.5340993822432,5.14379846435787,0.0593366775225667,-4.46428903425518,-5.77203732503211,5.45470402261486,-5.72958445374078,4.98400306350368,1.52951933869999,9.42981172171532,-9.38261134073299,5.01226159546652,-2.5286341707147
"1642.MS00445",1.41326771684055,0.616756378378541,-2.65466324179912,6.67609644224715,-4.15944088170899,0.923737886622102,4.76076492915682,-3.89354572639616,1.73315019312257,-3.56660940795763,-3.70269299909994,7.1303624777943,6.71656416300695,NA,8.94173325580375,2.50405190871627,-4.56451775698361,-2.94283514140685,4.68555765428628,-3.2407891444122,0.961662653561825,-2.39447027266135,0.830188938227801,-2.85068439368986,-2.62080836286086,-4.69965881717751,6.77063399445134,-3.94732066789116,-3.20644540795952,-3.2330220251703,0.142002885184188,1.89757671237868,-4.54369916537917,0.827307955432939,-1.34509026436774,-3.46757308610362,-2.76842558240782,5.26468632710724,-2.72382989144239,0.129504337849992
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.88635869142095,-2.95778397283326,9.46195141490187,-7.03786349976387,9.30367766296241,-2.76623794808572,-8.28952010748077,7.63585612537934,-4.51215645838403,0.25964209370292,8.08633594845678,-6.37396926183073,-5.52216263416208,8.94173325580375,NA,-3.8296384351943,1.91673655013992,9.85373834948508,-6.16466957391857,12.8221932193577,-4.13165212738675,14.1362216306012,-2.45845575624834,12.1055385459753,11.8672326312572,4.8386193232163,-7.83437966860712,10.1730712696646,8.67809789172473,0.842177080797709,-3.30250188272242,-3.47368042142257,9.13374826901286,-5.17737864410136,8.75863866557405,3.48974720025033,11.5069343231086,-5.69026181685901,6.63346442106477,-2.13059167684581
"2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences",-6.22393346161792,-7.84913371479984,4.30049241592086,-5.15370195811728,1.21488740125509,-5.59866846293698,-2.61413461849834,0.971938061752101,-5.48169559266121,-1.47936891358972,2.57648852145898,-6.67351144468554,-4.45384343484292,2.50405190871627,-3.8296384351943,NA,-1.41607509993243,4.12573844011136,-4.11961740532028,5.36082175689626,-5.60753607611884,5.20785211266484,-7.19849934788529,4.07143413351338,3.92531976391202,-0.295713600931134,-2.56150373314485,3.79808487706611,2.5390633383872,-0.980241488030985,-5.5112542510162,-5.96680922638361,2.42685780309474,-6.32325021090145,2.65699676411845,0.308598269988433,5.34965157049674,-3.89654544355248,2.88620228845891,-6.045460338046
"1642.MS00332",-2.19284516004411,-2.16772718231742,-3.10484239563226,1.15872081134806,-3.47499132046365,-2.082175730594,1.05496184479593,-5.55933282473012,-1.62319574123536,-4.9716257696679,-1.92428908264776,0.354876649327711,-0.339866558402139,-4.56451775698361,1.91673655013992,-1.41607509993243,NA,-2.86244507790701,-0.459571042736364,-2.53985869456797,-2.11467041187706,-0.500573460421697,-1.45823481378065,-0.591416473809324,-2.37829868184999,-4.70180553313401,1.29495119885336,-2.38777947358938,-2.76459103926027,-5.11203656577246,-2.11512448666484,-1.76712920795129,-3.38705340884213,-1.80584976037638,-1.36573521993186,-5.88531209712862,-1.33386746986396,-0.274653235510113,-2.20825528462352,-1.63888931166261
"1642.MS00605",2.48867518811708,1.52726801890774,-4.58152534784064,7.15868058552747,-3.78431313318802,1.84398327974888,5.45385248746634,-3.3975187172303,4.05902959773496,-3.26273219172921,-2.30587714626664,8.36908483335328,8.38522213048298,-2.94283514140685,9.85373834948508,4.12573844011136,-2.86244507790701,NA,6.2644495910253,-2.60658911722477,2.48062017379562,-1.4772572745733,1.50136353578842,-2.22769831173478,-2.05481970010159,-2.91387469428079,8.62051170223868,-3.04562509194389,-3.39349504865867,-2.86579707905824,1.07526650062054,3.10177904808018,-3.27991668979397,3.21582501354209,-2.39430455285957,-3.04892315757645,-3.33066506060926,6.86146135939596,-4.74228600804028,0.918315252166632
"2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences",-4.48112966336557,-3.31086209321669,6.57499196430886,-8.59672518176475,1.52689256307053,-3.26262782139419,-7.32653488859686,1.96088530543997,-6.84285282838847,-0.757689218633742,3.47966530525153,-9.52424159604006,-9.13292934518802,4.68555765428628,-6.16466957391857,-4.11961740532028,-0.459571042736364,6.2644495910253,NA,6.66523994707064,-5.10787584011926,8.28443689389473,-3.47696737519209,7.00114423178715,6.21945256817601,-0.226379524354304,-8.17701814636603,5.40550949971981,3.48740670481246,-0.345339239429363,-4.57198620361238,-5.49411840103426,3.30913451348103,-6.29018578957946,3.62849195631303,1.31778509200335,8.23477474093606,-8.18957227055599,4.15333825351953,-2.90211775942553
"1642.MS00488",3.67448133713934,1.50048968893568,-1.78609765339386,7.86407702329946,-3.61940713763601,3.74574371347577,6.10736513996519,-2.89108156079282,4.30816770856886,-2.28345862599548,-3.99600893548047,10.8824413240261,8.46581941841247,-3.2407891444122,12.8221932193577,5.36082175689626,-2.53985869456797,-2.60658911722477,6.66523994707064,NA,3.3708641931086,-2.91339392031523,1.92004322882311,-3.43221050341993,-2.06081718933901,-2.50161744432411,10.0970053624587,-4.12466675427606,-2.78193972898124,-2.0305403712158,2.04067480782458,4.11999429485572,-3.39783067685157,3.25283937089236,-1.84571699050255,-2.50599658681452,-1.90359230785003,6.40735270011968,-2.72589079381474,1.19837331101432
