"","1642.MS00629","1642.MS00383","1642.MS00510","1642.MS00444","1642.MS00567","1642.MS00618","1642.MS00612","1642.MS00503","1642.MS00431","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00509","1642.MS00496","1642.MS00442","1642.MS00407","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00478","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00473","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00459","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00465","1642.MS00626","1642.MS00633","1642.MS00516","1642.MS00620","1642.MS00464","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438"
"1642.MS00385",-3.6068812369862,-6.11802625373888,-3.07195549191397,-3.78200763081656,-3.15766531610088,0.042082801579792,-0.457555253316896,-1.86836596301738,-3.68319279988535,-1.09024945205396,NA,-4.48640425635668,-3.28281427020304,-2.67690274481073,-6.74210244824619,-1.61849913378345,1.6923744993212,-4.01488714982287,-2.44108945847723,-0.663968320091721,-3.28509999601071,2.23776728570939,-1.49486503058336,-0.0517635511121863,-3.8087777390653,-0.164973220332417,-1.27212768984993,-6.40687932460269,-5.21472573697578,-1.55396001058685,-2.11050664086352,-2.72706418944128,0.474241313187896,-3.32716812199298,-0.756232534637301,-1.0012156292991,-1.46333284391939,-3.57799172283196,1.5943101282151,-4.52736749391395
"1642.MS00509",-3.40213820306723,-5.13713013078304,-7.20890541431195,-4.86448229335012,-6.53431201438079,-3.12994995531776,-3.52690607668027,-7.27262803370072,-4.38953553493256,0.118935835068562,-4.48640425635668,NA,-7.15777680882302,-5.03005497808488,-6.18544683104273,-0.450380062580984,2.07337313488338,-5.27602009910525,-5.78052384076739,0.607392715089621,-4.71087651312358,7.45640350188709,-0.105486017740127,0.964196823032711,-6.13444151649841,0.790406869090743,-0.350397910810804,-3.56182159594004,-5.24578844504918,-4.01528084827335,-3.25318123546058,-4.96805446845249,0.446342470900154,-6.01271990628194,-0.0310842464524367,-0.0431646277953644,-0.67843584143147,-4.74747363180178,2.12937614284377,-6.96068037823175
"1642.MS00496",-4.06633400557611,-4.43763412612537,-5.4870583562639,-1.27538786529066,-5.25703252398676,-2.45763768968647,-2.61759714003652,-6.55473723120398,-5.67232904564778,0.995108934982918,-3.28281427020304,-7.15777680882302,NA,-4.44687611207368,-5.21116076895163,-0.0490126205940421,4.01634735391932,-5.79195804740164,-7.03147837856595,1.20759775560483,-5.50963856047862,4.76506609582101,0.112990604423195,1.97533078978275,-6.03563522491586,1.98397174099089,-0.357638113452714,-2.00284503789023,-7.20998632367726,-5.26772770482541,-2.45888632615125,-4.96204412663592,-1.02231915489518,-6.88315610914807,-0.229535179849923,0.526590330606108,-0.382952903552326,-4.97056738310249,4.29714805170739,-5.50920452044773
"1642.MS00442",-2.68708569556678,-1.76963297831816,-4.98955735956751,-0.820397690974872,-4.74178508535219,-3.06916286847726,-2.97674851731036,-3.88743649290566,-3.04505716977762,1.95500387710021,-2.67690274481073,-5.03005497808488,-4.44687611207368,NA,-3.07223404947303,0.875297091201921,6.07004533926137,-2.00094985349476,-3.4989248565689,1.56769808686052,-3.4351291926707,5.55815454875486,1.23140564481954,3.28646595657121,-3.8025341739383,2.92584885546434,0.026049230140863,-2.16303165836608,-6.02817669215506,-3.1235810932087,-4.28313658337731,-3.79187304879962,-3.01882654744601,-3.45498638374317,0.911683080890052,1.53747089171724,0.579301283878033,-4.68763666937773,7.4823183756353,-5.60940971457951
"1642.MS00407",-4.35142923545371,-6.87158498079221,-5.77064210423446,-1.40642681213174,-6.62721134137463,0.0545758947940551,-1.25635397986201,-5.07691052035784,-5.36317628352897,-1.24412536822771,-6.74210244824619,-6.18544683104273,-5.21116076895163,-3.07223404947303,NA,-1.97434850768023,0.968005970098488,-5.86851391314229,-2.24952560933245,-1.15944957396029,-4.33791981387962,1.08208931761112,-1.43503307978549,-0.0336186598428107,-6.65420026804401,-0.447426342081844,-0.755979650806092,-7.13199578192595,-6.15489680371092,-3.42289447900428,-3.6687725574893,-3.5802821839658,-0.383146321078057,-5.7584501806535,-0.868699061305043,-1.18358931212068,-1.78433124768717,-5.15974610039029,0.668012535367276,-4.54522595068449
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",-0.592824087442,-1.04805538951166,0.75007246890485,0.693072831475408,0.00529805994330114,3.1859870590604,2.4919569951934,-0.530495795500316,-1.31690799151406,-4.3808626533016,-1.61849913378345,-0.450380062580984,-0.0490126205940421,0.875297091201921,-1.97434850768023,NA,-5.89713823405742,-1.3149237937828,3.3477475190979,-5.12333422886472,0.0364744478477568,-6.59769893870384,-7.29335257136535,-6.03942714044164,0.696297412663673,-6.17564081833499,-6.11606755050912,-1.9556174168501,0.104548546873879,1.03984057450018,3.44415833528324,1.6086880652525,4.45831841814992,0.809644704591403,-5.68489924507097,-6.92818166216467,-7.99746609678627,-0.102124956349516,-7.27544951135242,-0.449522403374068
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",3.80235758470397,3.0152134504096,3.13890413601745,4.39822595898202,3.62285573334937,9.55215778094837,8.37988062605048,0.737534074704415,-0.584494282964517,-5.88213520817033,1.6923744993212,2.07337313488338,4.01634735391932,6.07004533926137,0.968005970098488,-5.89713823405742,NA,0.802772096432395,9.62000899568628,-4.42321467848539,3.67890413367094,-9.87642127278778,-4.28858628805855,-4.07752318288524,7.02851831168687,-4.33807349561726,-3.37339150083813,-0.151376868169754,4.27335266503977,7.55738126364602,9.36299318632214,5.24517582675998,9.54573431833412,2.78078666403282,-3.97086444302723,-4.825295179004,-5.53961909092644,2.32688657926606,-9.33165430353747,0.726484525599898
"1642.MS00433",-3.30844813831114,-5.41967971894013,-4.39255295808038,0.376158827661432,-5.49092007250365,0.815958329657535,-1.83703176629445,-3.71275593562715,-5.23238221030637,-0.57390835631521,-4.01488714982287,-5.27602009910525,-5.79195804740164,-2.00094985349476,-5.86851391314229,-1.3149237937828,0.802772096432395,NA,-2.83322250438989,-0.366285103653041,-3.16018445980264,0.778105600348101,-1.0124698984053,1.18600991606073,-4.89646334437666,0.544380053291276,-0.789980648516059,-3.61020453075533,-5.51904935088689,-2.22950650857605,-2.64078363524081,-3.41114319750916,-0.510262309517405,-4.63678093966546,-0.552721354468056,-0.875789069961291,-1.19850708037576,-4.570463983012,1.55698785230131,-5.65145539292126
"1642.MS00478",-1.27520017617116,-6.30440598047355,-5.9620041515317,-6.03048195359594,-5.59039985644098,-1.65378113065435,-2.23599036612116,-3.90788238246725,-2.75880990753282,3.71767572338549,-2.44108945847723,-5.78052384076739,-7.03147837856595,-3.4989248565689,-2.24952560933245,3.3477475190979,9.62000899568628,-2.83322250438989,NA,3.50333366707853,-4.31653657747403,11.4355013470025,2.66889419342335,5.465141900371,-5.82405200445552,5.34413780879278,0.95165130977372,-1.46793425899097,-4.91579537346551,-2.57355001585858,-3.38661885843326,-4.61845330804967,-1.74308061791068,-4.57015378070153,1.96597119299181,3.46823292294406,2.32615037123658,-5.01561816193297,9.78577439386722,-5.12483714993885
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.100086477310517,-0.180581269809669,1.34482765425216,1.21068917153884,0.829390671243733,4.0162383810642,3.03499296307776,-0.151349608297817,-1.12758342059377,-4.75817324126086,-0.663968320091721,0.607392715089621,1.20759775560483,1.56769808686052,-1.15944957396029,-5.12333422886472,-4.42321467848539,-0.366285103653041,3.50333366707853,NA,0.666956966685775,-4.75395440318875,-6.79547569757873,-5.63751444454396,1.88006245643191,-7.32409396801016,-4.72129389097422,-1.76610441064296,0.378511078139313,2.86249050381516,3.48320918685895,2.11055649499212,5.10367685513288,1.53461581523499,-6.83764305079078,-6.41055365918601,-6.8737198845116,0.458296535810576,-5.04698115336056,0.237231772350479
