"","1642.MS00629","1642.MS00383","1642.MS00510","1642.MS00444","1642.MS00567","1642.MS00618","1642.MS00612","1642.MS00503","1642.MS00431","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00509","1642.MS00496","1642.MS00442","1642.MS00407","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00478","2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00473","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00459","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00465","1642.MS00626","1642.MS00633","1642.MS00516","1642.MS00620","1642.MS00464","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00498","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00438"
"1642.MS00385",0.02950218674,0.0193524436539,0.0269045161519,0.0253949760091,0.0291858427497,0.0360412366491,0.032878794363,0.0274090510403,0.0216787404757,0.0789274119852,0,0.026776677783,0.0241530391934,0.027795320053,0.0200641863427,0.0930062183815,0.0772351139567,0.023498237254,0.0279876056272,0.1025288947478,0.0255372221969,0.0708399311863,0.0792318421252,0.0849501546596,0.0250632741042,0.0813389034891,0.0930470189533,0.0230640886836,0.0273411527223,0.0312053224387,0.0344294417114,0.0273264544171,0.0350907459028,0.0268227874413,0.0909423895253,0.0825778834135,0.0838219403168,0.0247618394292,0.0775692915612,0.0227642700042
"1642.MS00509",0.0336687793404,0.0257413397422,0.0165375312342,0.0208829332191,0.0185952712539,0.0304409182401,0.0270311582333,0.0181865991687,0.0237480307009,0.0937511353536,0.026776677783,0,0.020096029093,0.0252517997674,0.0238592540223,0.1063619573573,0.0953256294869,0.0263289067768,0.0209236739292,0.1193423396552,0.0258764790954,0.0882440102729,0.0946451496418,0.1011513262891,0.0220976347297,0.0982688565377,0.1114488597976,0.029989120377,0.0213849979213,0.0303794119838,0.0256987322949,0.0227397797218,0.0397678265325,0.0253287215096,0.1039965462318,0.0965247452937,0.0958536590836,0.0202507578239,0.0963970798374,0.0212320934433
"1642.MS00496",0.0271425644704,0.0242615695603,0.0195157526916,0.0255053703971,0.0206606281641,0.0270366930172,0.0245855973243,0.01911972021,0.0204612359844,0.0896375735529,0.0241530391934,0.020096029093,0,0.0244395135516,0.0214746574822,0.1037866829399,0.0835851329855,0.0223825225386,0.0210702593665,0.1149968109883,0.0207405255447,0.0765181816421,0.0883673372642,0.0974067728808,0.0195144971649,0.0929698084355,0.1037278471851,0.034766522215,0.0204096754323,0.0242290947842,0.0260360506491,0.0209944128046,0.0269566200896,0.0205726152797,0.0940143593246,0.0925729640861,0.0905048672178,0.0202889376713,0.0865443582039,0.0210995855372
"1642.MS00442",0.0298690431952,0.0277595901885,0.0231946864565,0.0259116221817,0.0254090132573,0.0243989139116,0.0235050210993,0.0242529527185,0.0210357035224,0.1000786332753,0.027795320053,0.0252517997674,0.0244395135516,0,0.0246188517578,0.1128894130799,0.0917578675753,0.0231007995232,0.0279126593268,0.1241207471414,0.023540296306,0.0843843981414,0.0974435740786,0.1077855090479,0.0249937316929,0.1014897865106,0.1115465508762,0.0334627623393,0.0281167071834,0.0270496542028,0.0285261190895,0.0246177184448,0.0277287453516,0.0271196458377,0.1069308290699,0.1003347308018,0.0998798336175,0.0243187105888,0.0969612230112,0.0208487773172
"1642.MS00407",0.0261866153467,0.0203811629703,0.0223383725413,0.0281628217071,0.0217623257981,0.0314778643482,0.0286500410984,0.021038462059,0.0190536112396,0.0800407490321,0.0200641863427,0.0238592540223,0.0214746574822,0.0246188517578,0,0.0909936668625,0.0759160005842,0.0202683013878,0.027016337807,0.09840061142,0.0224197171788,0.0687647365513,0.0797801100206,0.0857141970252,0.0214754224694,0.0815292165517,0.0983998649667,0.0252618659461,0.0223678417104,0.0270356210474,0.0277282850318,0.0240194149186,0.0328951051796,0.0225518905482,0.089850917357,0.0821295758401,0.0828790976409,0.0212522374812,0.0761349824466,0.0221471156413
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",0.0998364050047,0.0969292340006,0.1154697216831,0.1147012476838,0.1067372352391,0.1275965797902,0.1209944684673,0.1016065582357,0.0917658460834,0.0242100719103,0.0930062183815,0.1063619573573,0.1037866829399,0.1128894130799,0.0909936668625,0,0.0472673860533,0.0962779251753,0.1260576416948,0.0222335887617,0.1039321291932,0.0507422423926,0.015307644899,0.0263219123062,0.110644540597,0.0275160368912,0.0184866874851,0.0899799768913,0.1054502033478,0.1121938653609,0.1267215006747,0.1170563744677,0.1363522405622,0.1112649549467,0.0209745499286,0.018628754548,0.0185553824052,0.1038908196802,0.0431545141368,0.1024134415502
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0800531143498,0.0821288668187,0.0974507979735,0.0960973317188,0.0921372092683,0.1002465244478,0.0970600669198,0.0829493620092,0.0727914260266,0.0317287027776,0.0772351139567,0.0953256294869,0.0835851329855,0.0917578675753,0.0759160005842,0.0472673860533,0,0.0751541261378,0.1046356913113,0.0577773890469,0.0820123513842,0.0312470812609,0.031845354808,0.0348353185606,0.0902034720757,0.0324562007936,0.0507987877314,0.0859971016882,0.0901292141745,0.0915522045865,0.1029561492546,0.0920663986309,0.0980788395577,0.082037681727,0.0453793059188,0.0385659830721,0.0446430375696,0.0856911569224,0.0205362015669,0.0827521177594
"1642.MS00433",0.0256029568444,0.022569354957,0.024660964144,0.0281861439614,0.0249965840537,0.0287517554517,0.025610764755,0.0249529947699,0.0191944395254,0.0833191288406,0.023498237254,0.0263289067768,0.0223825225386,0.0231007995232,0.0202683013878,0.0962779251753,0.0751541261378,0,0.0286438011576,0.1077110365789,0.0228046872126,0.0698337444277,0.0811288186022,0.0885562221322,0.0224735999559,0.0831171573758,0.0961997269915,0.0292151132975,0.0273121871474,0.0275766585623,0.0311370181909,0.0252128370993,0.0308214534072,0.024486507907,0.0897576577292,0.0829908538681,0.0825629530074,0.0241186517187,0.0787121093165,0.0205273293495
"1642.MS00478",0.0357287191702,0.022948940022,0.0194337633679,0.0218591310263,0.0205992382611,0.0318000242648,0.0284409180378,0.0222559330498,0.025554010496,0.1088027635718,0.0279876056272,0.0209236739292,0.0210702593665,0.0279126593268,0.027016337807,0.1260576416948,0.1046356913113,0.0286438011576,0,0.1346650036486,0.0258680317013,0.0978068536455,0.1075908602977,0.1167585057247,0.0239305953283,0.1125788105578,0.1238260021813,0.0313316721445,0.0221791020356,0.0310765320373,0.024529714054,0.0236698972633,0.028202940625,0.0259788309594,0.1172916514093,0.1137309573089,0.1118297433178,0.0207413359657,0.1067524273922,0.0235468624087
"2382.SH004.C1.RH.2.408.root.4.12.lane7.NoIndex.L007.sequences",0.1096651307064,0.1059072348514,0.124505310398,0.1232398573563,0.1172025100029,0.1415409164033,0.1325026546741,0.1119120752053,0.098348181037,0.0267429498419,0.1025288947478,0.1193423396552,0.1149968109883,0.1241207471414,0.09840061142,0.0222335887617,0.0577773890469,0.1077110365789,0.1346650036486,0,0.1134889888005,0.0645872207196,0.0218436993439,0.0307911121693,0.1208368911428,0.0264053725721,0.0297851382274,0.0911238897593,0.109545856776,0.131789767803,0.1341232328986,0.1264195088457,0.1469692825,0.120778556225,0.027599606743,0.0243011417871,0.0342488043086,0.1123764559419,0.0497486959739,0.1119386168343
