"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00342","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00589","1642.MS00605","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","1642.MS00608","1642.MS00554","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00448","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00565","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","1642.MS00390","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00485","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00414","1642.MS00493","1642.MS00617","1642.MS00634","1642.MS00387"
"1642.MS00605",2.72378462013331,-4.05406358076041,2.12276308742563,-3.76205447034337,6.51948468578596,-1.72778480900194,-0.148951949985012,3.42749294093576,6.25547006375597,-4.9545820312257,NA,1.5046191658967,-2.16505480244862,-5.15127578170679,-4.19840976145888,2.55891279851288,-2.32073339589077,-3.55314803507953,2.19164567775498,-4.05601954133448,1.72800256948259,2.48321161428239,-2.17030038685313,-2.65229001708499,2.54690149474177,-2.21084927136499,1.69600835042318,1.85483701828452,2.40757981953303,-3.10150674119267,6.77342719773802,-3.09803876933872,-2.97842443744077,2.53509047767336,-2.19483603469334,-2.47945063588697,-0.811091704090643,-1.32604039294689,-3.36735609129645,-2.81689304888159
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",-6.78605898562169,-0.671541361345876,-5.57736524212221,0.890493739590436,-4.89153369185766,-1.09359520828066,-1.43468182520477,-6.29814037747027,-4.20883764754966,2.56192396708617,1.5046191658967,NA,0.00847547401156349,1.2985742540948,1.06485204742693,-6.21124602514867,2.64239686374969,1.70688096247097,-2.93238756334191,-0.904533525832462,-4.59707396000801,-5.89785077603354,1.84434666133694,-1.26428597463944,-6.89868397643645,-1.20585860728625,-3.79503096225222,-6.11344881786606,-4.9854376780857,1.77047129270058,-4.82875555815432,-1.90346554698663,2.11705772122105,-5.48096750339779,-0.474446071607658,-0.153615222875132,0.619427449013477,1.78187503318446,1.67206177186386,-0.68260198958013
"1642.MS00464",0.945447466452627,-4.79590136322944,0.315597656282786,-4.05061352212425,1.12680869498835,-3.69034407413356,-0.0867127522501013,1.42645599996852,1.01864626822952,-3.81366481265823,-2.16505480244862,0.00847547401156349,NA,-2.77079946679701,-3.69746164995022,0.390120511447306,-3.48974232100639,-3.15204983216932,0.312519830225763,-3.90659060575105,1.04054211941561,0.345816409348347,-2.89628423046866,-2.6830861255186,0.960844951013611,-2.57369838521236,0.050577480596918,0.463736732442749,0.548743409110151,-3.92639141507439,2.01245009938355,-3.87543636247876,-4.01932364251694,0.861242834550011,-2.56187518813472,-2.94936304105379,-3.02120060347219,-3.28496128490274,-3.33056117745301,-3.26613780462298
"1642.MS00608",2.30438053914757,-4.72236628151851,1.66086699242811,-3.45543364360253,5.47762903625558,-1.47822709939664,0.581613416623513,3.45172713602751,5.56543241399402,-5.57409423610092,-5.15127578170679,1.2985742540948,-2.77079946679701,NA,-3.75529768594358,2.44126030862227,-3.64282415482028,-2.17061124868528,2.3870390402594,-3.68172880604241,1.36842358136979,1.96066630729708,-2.38621284725408,-1.74247686274568,2.39625266729299,-1.60526974658078,1.4690416166912,1.63642455747062,1.86237776763912,-2.71126323447962,6.26773582714447,-2.22466562422672,-2.51181851987514,2.03903758129947,-2.39104007888659,-2.39711178674385,-1.4757815021217,-2.89450721810539,-3.04357363443599,-1.90818143879489
"1642.MS00554",1.29326502973066,-5.34071897085867,1.50282543485671,-4.20732873104763,4.78909174303871,-4.22184070243247,-0.467948533102012,2.84314849030419,4.42202619199787,-5.13094134532885,-4.19840976145888,1.06485204742693,-3.69746164995022,-3.75529768594358,NA,1.87343000045535,-3.73408805776667,-3.93799586977478,1.85931291080992,-5.26953426247369,1.18629572690908,1.47050232575567,-2.02228523097482,-5.63490062979394,0.543427472293396,-2.76057160050153,1.2700987050963,1.14324525824475,0.965214964749786,-4.01421518778894,4.61873110099565,-3.05120129408993,-4.31154854121013,1.40211925506356,-2.17276119378991,-3.61096028857926,-2.58188810539517,-3.53353001307058,-3.84837731041253,-4.52474493387493
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",-5.80689649386579,-0.539299066544218,-5.55983464720237,2.01833810478088,-4.52367221013409,-1.0528674962699,0.390000892544942,-6.19593903356025,-4.42407992517837,4.34084321523645,2.55891279851288,-6.21124602514867,0.390120511447306,2.44126030862227,1.87343000045535,NA,4.32389381958942,2.6418076666127,-4.08445569619667,-0.421555079727345,-6.9423075574693,-6.60074244773514,2.99043413089119,-1.24000655459679,-3.81277562164469,-0.960951466185932,-4.16409038145471,-7.60280756972132,-6.16245512660617,3.02914206657756,-5.15660959006371,-1.72775716591656,3.72274396989651,-7.21704079470846,0.0319649468754406,0.244708730250884,1.54890162639355,4.46701206366612,2.583225357035,0.485574925203902
"1642.MS00582",2.60521008312828,-5.29831097805739,2.43860914341557,-4.61043313756142,6.48939398710126,-1.94099918740652,1.34116190878878,4.64906226398897,8.61625233089392,-5.75184592698948,-2.32073339589077,2.64239686374969,-3.48974232100639,-3.64282415482028,-3.73408805776667,4.32389381958942,NA,-4.93380642162297,4.81586594348811,-3.89209253710647,2.11103461706554,4.36719937958177,-3.28572709143793,-1.2039899609495,1.75518103707865,-0.656190618836375,1.81873504335495,5.26825030430837,2.30538503574898,-3.31083394935316,7.07725758806157,-2.51685648022512,-3.51323093136448,2.80527942659621,-1.55321272881891,-3.53464366953727,-2.36105036697829,-3.24473772493136,-0.909277002650337,-1.38176261574128
"1642.MS00448",1.80504168412,-4.44277821197805,1.61720722663253,-4.64135542574286,6.25692577962319,-2.31818358077635,0.446694804255059,3.44020489428866,5.57213771997313,-6.54132651452972,-3.55314803507953,1.70688096247097,-3.15204983216932,-2.17061124868528,-3.93799586977478,2.6418076666127,-4.93380642162297,NA,1.67535431797471,-3.46033170098531,1.38327321668566,2.51512917477453,-4.10023559294619,-2.90585905614622,1.27009385716603,-1.09144666522585,1.51752437352448,1.29329009711615,1.6022892867234,-4.5718501385654,5.90789272297668,-2.92977864346815,-4.3864760297237,1.65861121013942,-1.83558453927081,-3.6081854397305,-3.32315723530478,-3.92894160821061,-1.51012002602286,-3.32540795158426
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",-7.21915577886298,-0.510395489057221,-3.08036650401457,1.38908250177291,-3.96971079612746,-1.18088648369982,0.547089268697541,-7.80709499102227,-3.78731560003484,3.62536959589026,2.19164567775498,-2.93238756334191,0.312519830225763,2.3870390402594,1.85931291080992,-4.08445569619667,4.81586594348811,1.67535431797471,NA,-0.378445660845439,-3.73876756992713,-3.06735229316891,1.90724007282856,-0.784559457771252,-6.19947219100286,-0.344152831064798,-3.46614518187304,-7.69257813991167,-2.46284194917506,2.48553122338389,-4.45901836491169,-1.68446390905293,2.31412390316518,-3.19754078739502,-0.397111457840253,0.0918524084624926,0.741906268469712,2.8012811153133,1.94658430834095,0.256531094508587
"1642.MS00565",-0.845090160332521,-4.55141028247636,-0.583746105715681,-3.97857620967996,0.633759725224222,-3.7119950320373,-0.485833098171357,0.98279631056819,0.611756307412388,-4.47641595783649,-4.05601954133448,-0.904533525832462,-3.90659060575105,-3.68172880604241,-5.26953426247369,-0.421555079727345,-3.89209253710647,-3.46033170098531,-0.378445660845439,NA,-0.103653492494005,-0.685083508114555,-2.52057578630177,-4.31892604496434,-0.723282990052165,-2.43902355747901,-0.208726234371951,-0.355441816053647,-0.63735983759099,-5.25238072615179,0.925986958746186,-3.82499460115156,-3.11332271819413,-0.311809301870878,-2.78241951895702,-3.12326548637976,-3.34813262046272,-2.29304715249078,-2.25819217239199,-3.36528888749201
