"","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00570","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00342","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00589","1642.MS00605","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00464","1642.MS00608","1642.MS00554","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","1642.MS00448","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00565","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00524","1642.MS00390","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00371","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.308.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00366","1642.MS00485","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00551","1642.MS00414","1642.MS00493","1642.MS00617","1642.MS00634","1642.MS00387"
"1642.MS00605",0.1234141847707,0.0305156281425,0.1114265911836,0.0231267120085,0.1024953581918,0.0302041749698,0.0534147153746,0.1043763859432,0.0875917863301,0.0246965564405,0,0.1095846101734,0.0272145917642,0.0212580816429,0.0237402679552,0.1173146031675,0.0266223600018,0.02709536488,0.1090086418721,0.0225610336709,0.1228811155099,0.1053925873726,0.0267172155715,0.0339323672493,0.1189133837348,0.0439102875281,0.1013157432749,0.1038725968564,0.1170437990066,0.0238419609606,0.0959097939178,0.0401819744206,0.0259478113187,0.1342977957022,0.0290618467345,0.0279913449806,0.026867124311,0.0273353909678,0.0344539552228,0.0274242622136
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",0.019743507162,0.1000607373721,0.0192237433353,0.1059686101304,0.053198292262,0.0892873608599,0.0954597403465,0.0236020530063,0.054255832351,0.1217768223318,0.1095846101734,0,0.0978227627589,0.1105750123442,0.1082215774774,0.0162453725495,0.114723802604,0.1137062518023,0.0245083556864,0.0908387572925,0.0157346141589,0.0200816455495,0.1112337820198,0.0943817228689,0.0205860982476,0.0951960086662,0.0347987249979,0.0211936020137,0.0199433204774,0.1100125721697,0.0514518621006,0.0867801372535,0.1169000363102,0.0168084948845,0.1002429544303,0.0987141179578,0.10131237758,0.110627159149,0.1170453163168,0.0891931125973
"1642.MS00464",0.1084519750128,0.025237722998,0.096919138971,0.0261861804253,0.0857487968226,0.0261093970846,0.053426869699,0.0876333063532,0.0712412595783,0.0299729481605,0.0272145917642,0.0978227627589,0,0.0254888640336,0.0279295001369,0.1032117844465,0.0261164623566,0.0277566539022,0.0909427816756,0.022267254249,0.1102475527169,0.0927910511261,0.0251283174283,0.0355354663914,0.1034052491132,0.0405342798015,0.0879045349887,0.0905207035338,0.1017393981659,0.023063770697,0.0817672455417,0.0386695142963,0.0244189532159,0.1170287942337,0.0268185113156,0.0270122052349,0.0222209109484,0.0236974808823,0.03383318141,0.0240111983328
"1642.MS00608",0.1211984558485,0.0273306865964,0.110583521753,0.0252017051608,0.1000586033244,0.0335570986977,0.0572816890528,0.1059302094712,0.0869491811078,0.0254698276749,0.0212580816429,0.1105750123442,0.0254888640336,0,0.0251025063587,0.1191975820145,0.0248136906572,0.0281247669435,0.1083574139074,0.0225227104487,0.121824851869,0.1028612473156,0.0275070143791,0.0362707994212,0.118380645272,0.0456835971348,0.1027715681751,0.1038199183095,0.1161332400269,0.0228860021972,0.0972616158441,0.0444503905975,0.0249443806231,0.1325171924805,0.0297860276455,0.0293506752739,0.0265351462891,0.0245070507651,0.0359133599867,0.029160894553
"1642.MS00554",0.1156613720645,0.0262184718634,0.1098342850841,0.0240055587801,0.1044015436187,0.025676504973,0.0551700364004,0.098097888122,0.0901057399053,0.0215413802657,0.0237402679552,0.1082215774774,0.0279295001369,0.0251025063587,0,0.114865036,0.0255085325098,0.024934233057,0.1027853021416,0.0214909966221,0.1177299469983,0.1003166367395,0.0287291768771,0.0273070034875,0.1020477466365,0.0434453911153,0.1027137189461,0.0992962333083,0.1073916971804,0.0261801156495,0.0988043296138,0.0383267386205,0.0211952037017,0.1257736497943,0.0269848779166,0.0263638426999,0.0262918471076,0.0277995506721,0.0369653710533,0.027935115701
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.0245295783708,0.1041301328747,0.0282953118093,0.1143414376298,0.0596911314265,0.0934876782507,0.1113450345385,0.0264436738797,0.0611288838628,0.1287307798293,0.1173146031675,0.0162453725495,0.1032117844465,0.1191975820145,0.114865036,0,0.1202309528241,0.1192269772051,0.0245743359715,0.0974421677759,0.0206042381624,0.0238001567641,0.1178286431659,0.0965192984675,0.0275863188531,0.0956493072323,0.0360543319229,0.0193929143325,0.0225671487913,0.117790786373,0.0557615262059,0.0891237769769,0.1248563004186,0.0168155435105,0.105995572479,0.1024637443343,0.1072256213567,0.1226218977246,0.125858273893,0.0981016703197
"1642.MS00582",0.1198897729955,0.0287276250495,0.1124242698621,0.0253727385164,0.1030555946657,0.0290636620193,0.0649710843237,0.1032770574194,0.0939018088543,0.0227947000823,0.0266223600018,0.114723802604,0.0261164623566,0.0248136906572,0.0255085325098,0.1202309528241,0,0.0237234421099,0.1049823847601,0.0235469462409,0.1248943838189,0.1037211785316,0.0228730958275,0.0356182539658,0.1039464712351,0.0508696820436,0.1011846391649,0.1011976963558,0.1130229622392,0.0233105622309,0.0968732784428,0.0442206584296,0.0236214839901,0.1367875778248,0.0275655596953,0.0257915232889,0.0237904318834,0.021739825226,0.0384902862796,0.0286745001787
"1642.MS00448",0.118938875155,0.0280779906747,0.1114376759329,0.0259217444479,0.1079603365167,0.0250312147084,0.053767818244,0.1044970107448,0.0938163450203,0.0240145530237,0.02709536488,0.1137062518023,0.0277566539022,0.0281247669435,0.024934233057,0.1192269772051,0.0237234421099,0,0.1088676619673,0.025056272765,0.1222064740476,0.1076863758024,0.024322302848,0.0254551031364,0.1060775711078,0.0417985269822,0.1051273915441,0.1007768886868,0.1124784295759,0.025404512763,0.1011067561265,0.0330226535515,0.0214594456234,0.1302378075942,0.0309250651256,0.0226191655186,0.0238746584684,0.0249128890563,0.0433524005532,0.0251379557113
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.0228145170404,0.0958819833319,0.0238277427536,0.1030133483358,0.039367044416,0.0808361785107,0.1042715725427,0.0203347797779,0.0469891124832,0.1147164700793,0.1090086418721,0.0245083556864,0.0909427816756,0.1083574139074,0.1027853021416,0.0245743359715,0.1049823847601,0.1088676619673,0,0.0866513220193,0.0231906657665,0.0217564788888,0.1016344800175,0.0916790516531,0.0191600218136,0.0948059815855,0.0290280260954,0.0203419349434,0.0183594312167,0.1030982594391,0.04296290046,0.0819126465363,0.1056537899759,0.0262582024098,0.0911858870445,0.0903605024694,0.0923626632113,0.1035357621051,0.1088601005837,0.0811822695924
"1642.MS00565",0.0958297688137,0.0247778363873,0.0910270121709,0.0218359303414,0.0879792452301,0.0248149338485,0.0534979185925,0.0839047652774,0.0753256922801,0.0224681075337,0.0225610336709,0.0908387572925,0.022267254249,0.0225227104487,0.0214909966221,0.0974421677759,0.0235469462409,0.025056272765,0.0866513220193,0,0.0993631691742,0.0851774970653,0.0254602183429,0.0267148299312,0.0879830007783,0.0402387577103,0.0874077747094,0.085963858357,0.0916742062223,0.0217447994786,0.083622521549,0.0354778466762,0.0206581887219,0.1069180179985,0.0253381827673,0.0250952681403,0.0218775683307,0.0246516337325,0.037774567086,0.0240112721285
"2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences",0.0172042437362,0.1039331750068,0.0159541489836,0.1163034841593,0.050800829271,0.0912221717237,0.1163890041956,0.021041025064,0.0549028637959,0.132625518292,0.1228811155099,0.0157346141589,0.1102475527169,0.121824851869,0.1177299469983,0.0206042381624,0.1248943838189,0.1222064740476,0.0231906657665,0.0993631691742,0,0.0222235514473,0.1206627233806,0.0998006626991,0.0167507434114,0.102508040443,0.0318632214877,0.0208182823202,0.0178839524177,0.1214290974115,0.0525986397767,0.0907063877071,0.1251568979967,0.0155000994159,0.1075824926169,0.1061147022601,0.1115040142001,0.1211589411935,0.1355246131113,0.1006313047048
"2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences",0.0229462741657,0.0973696854173,0.0248515956813,0.1003295995276,0.033253125247,0.0803389050191,0.0868231569811,0.0226718868584,0.0436697995759,0.1125558348446,0.1053925873726,0.0200816455495,0.0927910511261,0.1028612473156,0.1003166367395,0.0238001567641,0.1037211785316,0.1076863758024,0.0217564788888,0.0851774970653,0.0222235514473,0,0.1047514019675,0.0886621088559,0.0224865585068,0.0856890354364,0.0311839574211,0.0181565745346,0.0184456174592,0.1031815727795,0.0439108877444,0.0789890915377,0.1053607079855,0.0213457090689,0.0906122730166,0.0904178846436,0.0924474564369,0.1011807471878,0.1094193364072,0.0818674539948
