"","1642.MS00422","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00579","1642.MS00499","1642.MS00402","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00465","1642.MS00488","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00640","1642.MS00397","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00364","1642.MS00393","1642.MS00520","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00450","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB7","1642.MS00614","1642.MS00411","1642.MS00532"
"1642.MS00420",0.0239305335151,0.0964026756806,0.097835685455,0.1052874007086,0.0270799912676,0.0252911418256,0.0256491639411,0.1109636295981,0.1167397087448,0.0928502386168,0,0.0261675938828,0.0250097082171,0.116508143275,0.0223042514911,0.1051340916965,0.0286988204308,0.1331107132345,0.1084375559312,0.1073305375804,0.1035069636083,0.1014482234378,0.029490578825,0.0237743874161,0.1116488131727,0.01921376142,0.1075934513542,0.0275813617559,0.0510573088699,0.0238229985169,0.0250765728042,0.1026862188759,0.0237491084484,0.1046208837183,0.1158336198531,0.0282897865126,0.1763054498957,0.0324976439006,0.0221676807432,0.0255803097419
"1642.MS00465",0.0236775719526,0.0976324854449,0.0956878491192,0.1011039390436,0.0238919807205,0.0220467101818,0.0251335242818,0.1023620831754,0.1083439312395,0.0923281883166,0.0261675938828,0,0.0238545004051,0.1083479059172,0.0212675187338,0.0990238554689,0.0293497885533,0.1188040826044,0.1010005023748,0.1003813143212,0.1003462271559,0.0959779731187,0.0232037483129,0.0232664797795,0.1032543192486,0.0265264247551,0.0995636671275,0.036163773841,0.0550457767796,0.023465985541,0.0200676555076,0.0975062732486,0.0246540152278,0.0972672788175,0.1048367023516,0.0246739822237,0.1772211798332,0.0376824885112,0.0245200782364,0.0229180359514
"1642.MS00488",0.0248193912722,0.1076674528871,0.1180800192427,0.1227727399413,0.0222642827012,0.0235114836873,0.0266105940894,0.1165874739977,0.1255488210063,0.1075275950431,0.0250097082171,0.0238545004051,0,0.1305076256336,0.0236469021773,0.1186511731488,0.0264016812391,0.1441275102838,0.1210594889118,0.1177617321015,0.1174419372128,0.1141256880677,0.0246779967806,0.0245909074269,0.1257212963681,0.0244104628336,0.1197061372605,0.0413018638537,0.0618965949414,0.0257904094399,0.0226461714477,0.120292582214,0.0220525966168,0.1180143336955,0.1307438845128,0.0252749145539,0.194822566617,0.0293050026222,0.0254554964522,0.0239980124362
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.1030203482744,0.0527933565417,0.0443508292702,0.0326817307657,0.117278414558,0.1092455208547,0.1032200730271,0.0193251845683,0.0237653571897,0.0421644957086,0.116508143275,0.1083479059172,0.1305076256336,0,0.1054088473892,0.025897126375,0.1147150359486,0.023976244787,0.0239364788986,0.0197331617041,0.0253538180733,0.0271604191969,0.1196996257421,0.0965759042902,0.0264459118388,0.1095295947668,0.0454392756431,0.1026967313198,0.1053687042091,0.1000888320416,0.104530394447,0.0261954320024,0.1168422318414,0.0367338586531,0.0176082551189,0.1253608993803,0.0907023014676,0.1235435510679,0.1038446413097,0.1114194982585
"1642.MS00399",0.0221770442128,0.0957560694715,0.0952583164502,0.0993073683689,0.0248386119252,0.0248214938916,0.0235550616977,0.1022416492521,0.1074678257919,0.0930652686515,0.0223042514911,0.0212675187338,0.0236469021773,0.1054088473892,0,0.0978471120915,0.0305002427785,0.1192115914996,0.0983860498518,0.0990222036733,0.0968275516238,0.0954793296479,0.0244914206325,0.0201941490814,0.1030017229374,0.0209730212999,0.0969217096238,0.0276012482769,0.045826877207,0.0208720137755,0.0217462085753,0.0965574894622,0.0214431841154,0.0954161982814,0.1036660908939,0.0263223071201,0.1636518109159,0.0372401077922,0.0211689588798,0.0247511939796
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",0.0929898860277,0.0343134087248,0.0469277299297,0.0295468045712,0.1060592986533,0.0987909137931,0.0897642284747,0.023552680635,0.014682548271,0.042990742223,0.1051340916965,0.0990238554689,0.1186511731488,0.025897126375,0.0978471120915,0,0.0987792647324,0.0234807283197,0.0186153826061,0.0192029095004,0.0137441961453,0.019677906328,0.1107830401414,0.0866403148677,0.0149208742152,0.0990760041192,0.0313606591254,0.0952103407576,0.0972191545008,0.0901498674337,0.0958803451094,0.0264131956584,0.1036593753309,0.0262802438811,0.0218390210607,0.1158941072842,0.0987426289437,0.1115285061611,0.0929448614049,0.101147610203
"1642.MS00611",0.0257702849461,0.0954469466061,0.0975742602855,0.1042779133819,0.0241086837628,0.0264396546371,0.0277084384065,0.1006042721951,0.1113497642153,0.0917466679333,0.0286988204308,0.0293497885533,0.0264016812391,0.1147150359486,0.0305002427785,0.0987792647324,0,0.1298898908436,0.1015022470225,0.1040476956894,0.099423878469,0.0967043562449,0.0268948160835,0.0262114496541,0.1067453834378,0.0280115398265,0.1058056886116,0.0412279734187,0.0630065547375,0.0270549784739,0.0269059856193,0.1002990581991,0.0239132184684,0.1006024117564,0.1123107292303,0.0294940487606,0.1923920973102,0.0232201688047,0.0274143953546,0.0232745793371
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.1176582324941,0.0607005668108,0.0473429672608,0.0226753774784,0.1356873613051,0.124464331795,0.1165710462982,0.0245273737023,0.01808818102,0.0485481591986,0.1331107132345,0.1188040826044,0.1441275102838,0.023976244787,0.1192115914996,0.0234807283197,0.1298898908436,0,0.0210013573566,0.0168577998292,0.0229505549939,0.0269988868648,0.1353388751851,0.1117264569162,0.0258234896754,0.1268379269034,0.0450485758554,0.110757312849,0.1105390676891,0.111429899649,0.1143722475958,0.0230685654149,0.1354143920875,0.0373949207832,0.0158941777854,0.1440696513845,0.0668127725528,0.145339016808,0.1199157037312,0.1289022090043
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.0962747445323,0.0449008353859,0.0474097633441,0.0267998938002,0.1095602863746,0.1023863451244,0.0946357999985,0.0214444930133,0.0204835419482,0.042550676762,0.1084375559312,0.1010005023748,0.1210594889118,0.0239364788986,0.0983860498518,0.0186153826061,0.1015022470225,0.0210013573566,0,0.0171930841328,0.0175818647254,0.0175410671154,0.1124143100242,0.0890488152849,0.0220477018681,0.1024889122811,0.029926493636,0.0974119129129,0.0984000756914,0.0929766125146,0.0966134695979,0.022419499113,0.1063022824922,0.0275967527892,0.0181346620996,0.1169970326768,0.0931322734505,0.1151580394239,0.095804619638,0.1039164950397
"2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences",0.0951244756942,0.0453343889409,0.0403583919551,0.0292040516633,0.1087081390208,0.1020006073977,0.0955625164543,0.0152500645459,0.0173366411441,0.0429777286316,0.1073305375804,0.1003813143212,0.1177617321015,0.0197331617041,0.0990222036733,0.0192029095004,0.1040476956894,0.0168577998292,0.0171930841328,0,0.0158400435914,0.0206322126823,0.1118898449882,0.0887532206975,0.0195579965113,0.1012170663257,0.035328835989,0.0906632333459,0.0924291447515,0.0907922400297,0.0950232410757,0.0228122121988,0.1081813137388,0.0270141717397,0.014930459422,0.1193506655802,0.0579906526581,0.1111111433175,0.0964756097626,0.102605053457
