"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00402","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1642.MS00428","1642.MS00359","1642.MS00346","1642.MS00431","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","1642.MS00596","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00471","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00335","1642.MS00342","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00371","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00585","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00419","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00512"
"1642.MS00466",0.1043916130484,0.0210176598549,0.1169396123281,0.1017226253421,0.1163992086048,0.0226375437089,0.0918128058983,0.0203381644716,0.0220288880155,0.107684122217,0,0.0218312454274,0.03231980715,0.0359862795912,0.0202691326108,0.105881119616,0.0199205480522,0.0243303587221,0.1155555770303,0.1081172157748,0.0228090617859,0.0193252034667,0.1012035316725,0.0217482187455,0.0262995432992,0.0472083025417,0.1080826049988,0.0805111236379,0.165413459821,0.0421217332506,0.1313108895825,0.0253867624294,0.095520667112,0.0997748365559,0.1021629954954,0.0186102487363,0.0267651567032,0.1092648674081,0.0994959109504,0.0188700189058
"1642.MS00428",0.0872885107385,0.0249602149592,0.0960733165641,0.0897447390123,0.1012434429359,0.0242718378979,0.0862095938658,0.0243640349891,0.0228612745888,0.0923911410226,0.0218312454274,0,0.0254238301811,0.0263699454101,0.0212315102624,0.0893985787251,0.0228847581793,0.0272062989651,0.0991632967159,0.0870659836808,0.0250696812535,0.02303208658,0.0815740715102,0.0255643380603,0.0218441169269,0.0414692497416,0.0894081890371,0.0747928131565,0.1545089816049,0.030307186852,0.1162505456315,0.0268832629036,0.0826993900347,0.0900158610126,0.0837765673996,0.0221541347118,0.0233635397441,0.0916723600624,0.0890018491865,0.0230520701305
"1642.MS00359",0.0870956539389,0.0344333984125,0.0915682670796,0.089451048333,0.0972079390278,0.032444753809,0.0864912177398,0.0381086329707,0.0309275409269,0.1192612223214,0.03231980715,0.0254238301811,0,0.0181734377761,0.0248660045907,0.0884866208755,0.0314927063345,0.0384680097598,0.0918227385434,0.0862803480205,0.0346725166596,0.0317543672709,0.0814835597171,0.0413819637431,0.0222624764694,0.0455766547931,0.0870268779843,0.0717890159646,0.1201589984891,0.0231549977808,0.1103809762072,0.040332377091,0.0839825751501,0.0891925028331,0.0835015116399,0.0323346052844,0.0253142383533,0.0873649890055,0.0848787837746,0.0344245522648
"1642.MS00346",0.0864581551997,0.0421570886826,0.0839492480067,0.0863743994599,0.0921629473445,0.0362016330153,0.0848162190854,0.041663366812,0.0318317875187,0.1072387257642,0.0359862795912,0.0263699454101,0.0181734377761,0,0.0283943576179,0.0885421734177,0.0330630680897,0.039723901594,0.0869339341451,0.085668250693,0.0372078180155,0.0359580545909,0.0810685796841,0.0440088163428,0.026037044638,0.031553802695,0.0857051193315,0.0682546618088,0.1277198899048,0.0206400967462,0.0979121717449,0.0455787072541,0.0813804100332,0.0869844871933,0.0837790783806,0.035109424024,0.0306237226628,0.0828612601558,0.0789824064181,0.0376914429293
"1642.MS00431",0.0791705033507,0.0226444766952,0.0940949803614,0.0839010258904,0.0956725388271,0.0220621986556,0.0823954828419,0.022301242284,0.0214486752397,0.1005569834057,0.0202691326108,0.0212315102624,0.0248660045907,0.0283943576179,0,0.0827660357246,0.0214573849663,0.0239940748273,0.0953545925263,0.081962557384,0.0226697185341,0.0211843136197,0.0759880598365,0.0263095842608,0.0220979430477,0.0452442195051,0.0846541581793,0.0704672868191,0.146375586342,0.0359074166788,0.1112300447882,0.0234894691973,0.0789843768293,0.084161333761,0.0769377183717,0.0218652441526,0.019547060591,0.0908522761448,0.084035333046,0.0224405695397
"2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0258368107077,0.1157945173401,0.0439563553327,0.0313667390097,0.0497700528232,0.0892604628297,0.0385492766266,0.0989077312229,0.0890323353344,0.0298911758864,0.105881119616,0.0893985787251,0.0884866208755,0.0885421734177,0.0827660357246,0,0.0941963589431,0.0955999600246,0.0610411032857,0.0254195235185,0.0953446186186,0.0912043074148,0.0249777918423,0.1066156739144,0.0856105542687,0.106331070827,0.0410817187288,0.0372664397296,0.1526643208555,0.0961944025202,0.0494451798325,0.0931661353969,0.034132014002,0.0320834570634,0.0294165018818,0.0853867901173,0.0944216692148,0.0512674132099,0.0391473114114,0.0958982741845
"1642.MS00457",0.0893344087518,0.0239222447879,0.1041829496992,0.0938877407535,0.108501978432,0.0216004907503,0.0944042830956,0.0203455008862,0.0208493576716,0.0885337355182,0.0199205480522,0.0228847581793,0.0314927063345,0.0330630680897,0.0214573849663,0.0941963589431,0,0.0238678279164,0.1092322093902,0.0915913655987,0.0212994045151,0.0202096130672,0.0879327563103,0.0230402814271,0.0275770754117,0.0482747785548,0.0949332168459,0.0771500290349,0.1681041576725,0.0378231367371,0.1191137813646,0.0217137364015,0.0884037670671,0.0932215840992,0.0886268312134,0.0206609256488,0.0234048426189,0.0983190488819,0.0925751712711,0.0221643741024
"1642.MS00596",0.093683568336,0.0269100925205,0.1114782171495,0.0944683570146,0.1156699965771,0.0229142265069,0.099155181887,0.0229994212274,0.0252138318292,0.0911978945476,0.0243303587221,0.0272062989651,0.0384680097598,0.039723901594,0.0239940748273,0.0955999600246,0.0238678279164,0,0.1190209916119,0.0977229531154,0.0248696500718,0.0245801576082,0.0892123299442,0.0275805049228,0.0337157655629,0.0547185986785,0.1020734044375,0.0829218749701,0.1747867726705,0.0441698615085,0.1283212836814,0.0243490180341,0.0954135979867,0.0942502780544,0.0913692097166,0.0238019938808,0.0273724115613,0.1070178225031,0.0971956002254,0.0262235977961
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",0.0510816552614,0.1272953797537,0.0178127408824,0.0635987616136,0.0251794078703,0.1045909555275,0.0307314849308,0.1191071572633,0.105919264805,0.0720266856413,0.1155555770303,0.0991632967159,0.0918227385434,0.0869339341451,0.0953545925263,0.0610411032857,0.1092322093902,0.1190209916119,0,0.0494264016234,0.1185091012878,0.1034706673453,0.0586645394776,0.1136923656094,0.0882918782452,0.1100075045222,0.0279507382382,0.0516788962942,0.0616185283495,0.101527673873,0.0235360294786,0.1154650177417,0.0495118561616,0.0672563758538,0.064451004374,0.1051112215392,0.114274247971,0.0410750689142,0.0365881651697,0.1071622296423
"2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0321338991168,0.1165038014854,0.0421321252677,0.0278290464982,0.0478042682262,0.0888778543939,0.0274337185486,0.1004262869296,0.088845697582,0.0285795667858,0.1081172157748,0.0870659836808,0.0862803480205,0.085668250693,0.081962557384,0.0254195235185,0.0915913655987,0.0977229531154,0.0494264016234,0,0.0959041454122,0.0921814323468,0.0261728488951,0.1048443785582,0.0822004085764,0.1049274892047,0.0403834430436,0.0339961504599,0.1257871483176,0.0919954321753,0.0465021956082,0.0943381289621,0.0266739624506,0.0327504840258,0.02884855546,0.0864798075845,0.0938744540783,0.0522970641607,0.0352482243303,0.0962320286683
"1642.MS00460",0.0923649326168,0.0270588885208,0.1077119739228,0.0953110909529,0.1136308870693,0.0236046709431,0.098588053258,0.0211142324081,0.0238040021548,0.0895218311295,0.0228090617859,0.0250696812535,0.0346725166596,0.0372078180155,0.0226697185341,0.0953446186186,0.0212994045151,0.0248696500718,0.1185091012878,0.0959041454122,0,0.0232927819817,0.0895189953194,0.0251956302351,0.0309097037096,0.052232358176,0.0997142545951,0.0820359650201,0.1780414021057,0.04142806326,0.121366188965,0.0239033185612,0.0919003578165,0.0945222987032,0.0900610627478,0.0215445964304,0.0257730797358,0.1040635909557,0.099282472696,0.0255560888902
