"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00402","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1642.MS00428","1642.MS00359","1642.MS00346","1642.MS00431","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","1642.MS00596","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00471","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00335","1642.MS00342","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00371","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00585","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00419","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00512"
"1642.MS00466",2.85395029930295,-5.14969774778959,1.62369579546488,3.39132242265599,1.40264883229093,-3.7032324767916,1.27774175832172,-5.42875301208552,-3.65948757340931,4.45050640767265,NA,-5.18144369466262,-2.96296188359153,-2.84537701423026,-5.65968414097476,2.97572500685735,-6.18997483505559,-3.92436885738737,1.23508049582665,4.48562102642163,-3.98766888512676,-6.87106693178974,3.80856460515107,-6.3952040321145,-3.10217242842137,-1.44644464633136,1.62331624028739,0.950983715166694,0.800993697034807,-2.56864269542572,1.10587119476339,-2.79049370034999,2.69303521353586,3.36108530418319,9.12033525527048,-5.65634856640238,-3.38977049323405,2.47430711860793,1.21585709266919,-6.68110874580722
"1642.MS00428",1.35726539463699,-4.82897296766117,-0.272179559645984,3.35350461927292,0.0588051799974633,-5.15598366565769,1.35493294683515,-3.129156853196,-3.18792510343013,4.27349143897848,-5.18144369466262,NA,-3.07747892580492,-2.85040183204278,-3.72939861056002,1.42530731398211,-3.18749345179002,-4.06113736090406,-0.505381662102949,2.45695558334303,-1.79360024738646,-4.76690377383832,1.87846097375983,-3.5951456429859,-5.83928948051414,-1.22590337851641,-0.217024510842485,1.28455861123177,-0.123878884915868,-2.85490594158526,0.312786918547235,-3.688481954552,1.69947386331151,3.4462815402255,4.78422439872914,-4.48453668874026,-3.16923938406707,0.21010053494622,0.209455047027091,-5.36666640718813
"1642.MS00359",-0.881347626130528,-2.80236183644644,-1.67261357413311,-0.184740539096753,-1.28789225145908,-2.73447326675294,-1.05834408691586,-1.72211079367601,-3.20650051192392,2.78309659605135,-2.96296188359153,-3.07747892580492,NA,-6.63258010034562,-3.82485600579422,-0.818065732362784,-3.23605506365383,-3.0226070087699,-1.77980499206545,-0.622170983086283,-2.00905090223121,-3.3381577218218,-0.881598395197682,-2.11592530908725,-3.37850174760447,1.80615186889233,-1.64165568292736,-1.15142327822122,-2.4023616348271,-5.77806070281347,-0.825724936950757,-1.95310530722884,-0.785599970887858,-0.237180113733143,1.15187890824932,-2.624831297479,-3.72007736738162,-1.29128222781801,-1.44800925899108,-3.17912753428809
"1642.MS00346",-0.740045709014049,-2.34261177199749,-2.38611547249663,0.0684741319315733,-1.65696906232045,-2.51186276601765,-0.985642058048906,-1.34368437252006,-2.82936118428346,3.59330964116772,-2.84537701423026,-2.85040183204278,-6.63258010034562,NA,-2.60960211468739,-0.627580055228173,-3.15784895949662,-2.73673079040862,-2.46451933955844,-0.246904266335189,-1.77199584152503,-2.72533183470404,-0.518291447889908,-1.44559791695829,-3.14520647002499,-1.14695793048229,-1.8693862919932,-1.59393813914799,-2.64727101504405,-7.4598446880162,-1.48434937310761,-0.866015325494796,-0.706853606034897,0.278343348291523,1.18373108960729,-2.41897168464047,-2.28448437298562,-2.03862975881925,-2.14664935963535,-2.93121071248646
"1642.MS00431",-0.819302701345624,-4.72564382972786,-0.773540828484167,0.200208611390163,-0.744181995427341,-3.47219281404125,-0.347318503749329,-3.57033082240192,-2.67980136476229,2.31511022199517,-5.65968414097476,-3.72939861056002,-3.82485600579422,-2.60960211468739,NA,-0.592930068432315,-4.55442893103986,-4.76900986635671,-0.92374071079628,0.0386937271628781,-2.84341329802162,-5.69387540826359,-0.380470832747435,-3.89335717881153,-3.95996587902712,0.286591873525867,-1.16722214884155,-0.407577823322539,-0.695509480052051,0.534976978433203,-0.282192533457791,-4.30301508632138,-0.127455998001445,0.206366712966649,2.9730519721079,-3.21642175178642,-5.69825635579104,-0.0642635096817585,-0.824320538880855,-5.17789107727002
"2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences",-8.77939635747601,7.11661943274729,-5.06498930267125,-6.50429697217445,-4.99734476064184,0.54430896749568,-5.67631537875932,5.22112271432505,3.19099964555151,-8.28967646072634,2.97572500685735,1.42530731398211,-0.818065732362784,-0.627580055228173,-0.592930068432315,NA,3.58457542012684,5.04913963530686,-3.79558127481474,-8.49157413129124,5.24754397658865,0.687768503877288,-8.47098967032242,6.11270759168812,-0.39852616167227,1.7832125295538,-5.95572226333851,-6.84157023218258,-1.1938783511522,0.666771054075668,-4.20022704389054,3.24682369484752,-8.6043335250802,-7.5171836184482,-8.35744505104731,-0.166757629389369,3.0025277003329,-5.2686211698088,-5.33454421584561,1.55881260066012
"1642.MS00457",2.77784547211833,-4.88243459754442,0.911875661678687,6.74395340784541,1.38947393037852,-5.86865974793206,4.02354286886959,-5.85403326041944,-3.37401752427729,4.7809185171292,-6.18997483505559,-3.18749345179002,-3.23605506365383,-3.15784895949662,-4.55442893103986,3.58457542012684,NA,-5.10344631571633,1.15335764796063,5.77330576980378,-3.01375290980037,-7.77052802440831,5.29837286175465,-4.6767461797255,-2.70730994550028,-0.816068061784887,0.852312771177255,3.14487812339794,1.24802895466342,-2.68716349969599,0.612624551767106,-5.79919452748631,5.36206366655174,5.8052806156104,6.15644751301437,-4.09753294831342,-4.12170893700869,0.569998857192771,1.20556390902588,-5.38418853988062
"1642.MS00596",5.08760772969247,-4.07206005233484,2.16839498654,7.55499953153775,2.60938620218359,-3.8642266588056,5.72690308528406,-3.25144248719132,-3.33891985153109,7.04358443056492,-3.92436885738737,-4.06113736090406,-3.0226070087699,-2.73673079040862,-4.76900986635671,5.04913963530686,-5.10344631571633,NA,2.55578987377175,8.81745655365438,-3.61222875755314,-4.24877245588304,7.11256640562916,-5.14257723235913,-2.42198647410247,-1.0791232928006,1.84520607151994,5.92359141866337,2.33400488402281,-3.43310555338127,1.47263490310128,-3.23704036529389,8.55171569105619,7.67168389898356,8.93787389293779,-3.29897757136831,-4.53536573115988,1.73734397501365,2.26056616552155,-4.48118494046091
"2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences",-6.40337326768382,3.54005890477833,-6.07291439808041,-4.29663468052231,-6.64681782804795,-0.409048490600109,-7.457757406498,2.58402280445152,0.936913346194979,-2.79081690912096,1.23508049582665,-0.505381662102949,-1.77980499206545,-2.46451933955844,-0.92374071079628,-3.79558127481474,1.15335764796063,2.55578987377175,NA,-4.84933445559627,2.59302173228188,-0.092524619768876,-3.7872357542684,1.3836648419366,-1.76888222492181,-0.289273839328972,-6.29203257916482,-6.23518920621121,-5.81869745498991,-0.593386225457048,-7.12831379749977,1.99672552813999,-5.34445475661431,-3.67434637151424,-3.62587935420041,-0.323355865546463,1.31613234374197,-6.13027182715094,-4.96039910099125,0.39001743379663
"2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences",-10.7383544018547,10.2074231201597,-6.01128546802007,-9.2408703829398,-6.31132710248734,1.20576654780552,-5.22714535744034,8.39978643191772,5.90398409979066,-9.44140636066967,4.48562102642163,2.45695558334303,-0.622170983086283,-0.246904266335189,0.0386937271628781,-8.49157413129124,5.77330576980378,8.81745655365438,-4.84933445559627,NA,7.87402550779346,1.66437181575896,-8.85907765366312,8.99119735521393,-0.195283378011607,2.67560141889418,-7.27550149532551,-9.34502681104875,-2.80263854977614,1.23785883407237,-5.60791756018123,6.18151606164485,-8.3772407029843,-8.28758151654638,-9.2300665279257,0.346323875363829,4.79421119083742,-5.9929332522207,-6.22734331239154,2.74105726233459
