"","1642.MS00457","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00402","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00512","1642.MS00371","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00471","1642.MS00596","1642.MS00359","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00466","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00335","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00460","1642.MS00419","1642.MS00431","1642.MS00585","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00342","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00346","1642.MS00505","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00506","1001.SKB7","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.8904,0.4832,0.7558,0.6592,0.911,0.8902,0.8884,0.9146,0.9182,0.931,0,0.9178,0.8896,0.9462,0.6798,0.934,0.6258,0.7124,0.9136,0.8632,0.8226,0.9004,0.7156,0.9274,0.8708,0.8922,0.9132,0.9116,0.9062,0.6546,0.9354,0.899,0.6156,0.9232,0.9132,0.9076,0.6366,0.899,0.983,0.731
"1642.MS00471",0.5358,0.915,0.9082,0.9,0.4958,0.531,0.93,0.5434,0.4572,0.6838,0.9178,0,0.5682,0.5978,0.9202,0.5318,0.8956,0.9132,0.4564,0.9428,0.934,0.526,0.89,0.5414,0.949,0.5442,0.5976,0.4466,0.5568,0.912,0.7294,0.9562,0.911,0.649,0.4606,0.949,0.9238,0.4618,0.9938,0.9282
"1642.MS00596",0.507,0.8906,0.8958,0.8802,0.5786,0.5066,0.9226,0.5714,0.5898,0.7626,0.8896,0.5682,0,0.7438,0.9052,0.594,0.875,0.899,0.5658,0.9338,0.9298,0.4756,0.8644,0.675,0.9454,0.4956,0.5706,0.5554,0.4782,0.8948,0.7672,0.9532,0.8856,0.7216,0.5556,0.9544,0.9038,0.5266,0.9938,0.9102
"1642.MS00359",0.7024,0.9398,0.944,0.9384,0.6014,0.6946,0.9524,0.7356,0.675,0.547,0.9462,0.5978,0.7438,0,0.9474,0.7124,0.9374,0.9442,0.6462,0.9626,0.9564,0.7202,0.9322,0.5076,0.9668,0.7114,0.6336,0.5376,0.7366,0.9482,0.61,0.97,0.943,0.4714,0.561,0.9638,0.9496,0.5904,0.9918,0.9532
"2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8984,0.6772,0.7354,0.6138,0.911,0.903,0.8394,0.9208,0.9156,0.939,0.6798,0.9202,0.9052,0.9474,0,0.9342,0.6668,0.7112,0.9224,0.824,0.8098,0.9056,0.7194,0.9204,0.8482,0.9054,0.9102,0.9146,0.9138,0.6606,0.9454,0.8588,0.6532,0.934,0.9206,0.8628,0.5746,0.9094,0.986,0.7742
"1642.MS00482",0.5646,0.9328,0.9316,0.9242,0.5618,0.5634,0.9424,0.5746,0.5248,0.755,0.934,0.5318,0.594,0.7124,0.9342,0,0.9192,0.9334,0.5214,0.9562,0.945,0.5602,0.9176,0.6482,0.9562,0.5794,0.5946,0.575,0.5812,0.935,0.7756,0.9662,0.9346,0.744,0.5886,0.9624,0.9338,0.5808,0.9956,0.942
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8724,0.5962,0.6918,0.5674,0.8888,0.8718,0.8842,0.9,0.903,0.926,0.6258,0.8956,0.875,0.9374,0.6668,0.9192,0,0.6748,0.9054,0.8348,0.828,0.8866,0.6662,0.9106,0.8768,0.879,0.8996,0.8922,0.89,0.6168,0.9282,0.8854,0.4216,0.9118,0.9018,0.881,0.6198,0.8888,0.9832,0.7652
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8948,0.6772,0.5596,0.5938,0.8964,0.8854,0.8844,0.9124,0.9124,0.9314,0.7124,0.9132,0.899,0.9442,0.7112,0.9334,0.6748,0,0.9134,0.821,0.813,0.9006,0.7278,0.9188,0.8456,0.8956,0.9208,0.91,0.9086,0.5758,0.9386,0.8702,0.6866,0.9238,0.917,0.8206,0.7092,0.9008,0.9796,0.7612
"1642.MS00466",0.5362,0.9124,0.9106,0.904,0.5188,0.5478,0.9278,0.5518,0.456,0.7104,0.9136,0.4564,0.5658,0.6462,0.9224,0.5214,0.9054,0.9134,0,0.9402,0.935,0.52,0.8944,0.566,0.945,0.5594,0.6122,0.4908,0.5602,0.9172,0.7364,0.957,0.909,0.662,0.4806,0.9508,0.9272,0.4924,0.9918,0.9264
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.9364,0.8576,0.7216,0.8084,0.936,0.932,0.6898,0.9382,0.9376,0.9556,0.8632,0.9428,0.9338,0.9626,0.824,0.9562,0.8348,0.821,0.9402,0,0.5724,0.9454,0.8838,0.9398,0.4662,0.9384,0.943,0.9434,0.9406,0.8198,0.957,0.4924,0.8498,0.9514,0.9408,0.6236,0.8354,0.9424,0.9752,0.5702
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.9276,0.8026,0.7156,0.8114,0.9256,0.919,0.7562,0.9234,0.925,0.9422,0.8226,0.934,0.9298,0.9564,0.8098,0.945,0.828,0.813,0.935,0.5724,0,0.9326,0.859,0.9268,0.4964,0.93,0.9362,0.9346,0.9378,0.8102,0.9556,0.6642,0.841,0.9404,0.9334,0.654,0.8246,0.934,0.9546,0.5692
"1642.MS00492",0.4702,0.9,0.899,0.8846,0.5282,0.4738,0.9268,0.5088,0.5374,0.729,0.9004,0.526,0.4756,0.7202,0.9056,0.5602,0.8866,0.9006,0.52,0.9454,0.9326,0,0.8706,0.641,0.9494,0.4536,0.5518,0.527,0.4826,0.8992,0.74,0.958,0.8946,0.7,0.5196,0.9534,0.9066,0.5222,0.9928,0.9178
"2382.GM.181.R3.rhizo.10.12.lane7.NoIndex.L007.sequences",0.8584,0.7068,0.7468,0.6844,0.8758,0.847,0.8792,0.8876,0.8858,0.9172,0.7156,0.89,0.8644,0.9322,0.7194,0.9176,0.6662,0.7278,0.8944,0.8838,0.859,0.8706,0,0.904,0.8964,0.8634,0.895,0.8844,0.8852,0.7016,0.9168,0.8992,0.6578,0.898,0.8888,0.897,0.7228,0.8794,0.9832,0.8094
"1642.MS00335",0.6148,0.9196,0.912,0.9058,0.5336,0.607,0.9244,0.659,0.5798,0.627,0.9274,0.5414,0.675,0.5076,0.9204,0.6482,0.9106,0.9188,0.566,0.9398,0.9268,0.641,0.904,0,0.945,0.6322,0.5934,0.4972,0.669,0.9216,0.6878,0.9532,0.921,0.5874,0.5614,0.9396,0.926,0.5468,0.9892,0.9312
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.9426,0.858,0.7348,0.8638,0.941,0.9404,0.7524,0.9456,0.945,0.9606,0.8708,0.949,0.9454,0.9668,0.8482,0.9562,0.8768,0.8456,0.945,0.4662,0.4964,0.9494,0.8964,0.945,0,0.9472,0.95,0.9444,0.9512,0.851,0.9672,0.6008,0.8782,0.9564,0.951,0.663,0.863,0.9492,0.9792,0.5358
"1642.MS00460",0.4368,0.889,0.8966,0.882,0.52,0.4684,0.9228,0.5316,0.5842,0.7172,0.8922,0.5442,0.4956,0.7114,0.9054,0.5794,0.879,0.8956,0.5594,0.9384,0.93,0.4536,0.8634,0.6322,0.9472,0,0.5046,0.5196,0.4894,0.8972,0.7214,0.9574,0.889,0.6828,0.5408,0.9536,0.8998,0.5344,0.994,0.9118
