"","1642.MS00443","1642.MS00549","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00425","1642.MS00416","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00335","1642.MS00393","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00479","1642.MS00391","1642.MS00387","1642.MS00617","1642.MS00409","1642.MS00472","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00378","1642.MS00430","1642.MS00548","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00537","1642.MS00459","1642.MS00453","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00362","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00608","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00355"
"2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0851987488954,0.0802861484537,0.0409387777377,0.0706564159802,0.0856701419754,0.0424804371143,0.0709399367019,0.0720197741717,0.054155710252,0.0759026274572,0,0.0938622133519,0.0433335932596,0.0516046246583,0.0639663706913,0.0660477569933,0.0799383379632,0.0864349131403,0.0722185015359,0.0892652466014,0.0699342243922,0.0797523673164,0.0375360477424,0.0343066702539,0.0443994251171,0.0734083517715,0.0798928956682,0.0852105774614,0.0449473774606,0.0837897442538,0.0827851801399,0.0849080619451,0.0339656651491,0.0288634674633,0.0697145738095,0.0410156363178,0.0917036207687,0.0327134419939,0.0324385950408,0.0692591533496
"1642.MS00486",0.0201677519429,0.0184969496955,0.1055684333689,0.0201112357202,0.0191076836921,0.1220883387312,0.0260320768205,0.0207875625924,0.1224174423418,0.0313796041522,0.0938622133519,0,0.1149458579813,0.1040684461676,0.130579859482,0.024047617118,0.018219860519,0.0217606583569,0.0232750282781,0.022938834243,0.0176140791344,0.0215215190456,0.105184070281,0.100563016132,0.1133529726656,0.0272772890032,0.0208167752496,0.0169543812368,0.1102956786072,0.0210636184817,0.021023497125,0.0221196222963,0.1039561479806,0.0905834395613,0.0271273439056,0.1084477763693,0.0219872738379,0.103713024752,0.0945162333485,0.0307415170337
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.1031204446752,0.0958437913098,0.0414748654445,0.0865377652897,0.1005438726385,0.0130699277006,0.0873664464469,0.0916964471446,0.0192237852543,0.0959444132016,0.0433335932596,0.1149458579813,0,0.0218981092994,0.0156266691977,0.0814871490168,0.0963130865277,0.0992742590535,0.0891816791469,0.1047284723418,0.086885953888,0.0962506905361,0.0260507404428,0.0465103779394,0.0295337363924,0.0827878601079,0.0897946189341,0.1008012872412,0.0216089782792,0.0989274347269,0.1022102970498,0.0952063097955,0.0421680874021,0.0434187101627,0.0821192440696,0.024390475237,0.1135223566064,0.0434921706438,0.0429211096461,0.0823587518798
"2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences",0.0992653769153,0.0919246282593,0.0356524961019,0.0769724388014,0.0920393074994,0.0230029353592,0.0718946716915,0.0843418161333,0.0129113065741,0.0833051383965,0.0516046246583,0.1040684461676,0.0218981092994,0,0.0575652831463,0.0779336190516,0.0909805706983,0.0860658508862,0.0840185188858,0.1062625595477,0.0781702344653,0.0895423298954,0.0269421502049,0.0486423739456,0.0237034742851,0.0773503625535,0.0874928616358,0.0952772614094,0.0465327320917,0.0918038165085,0.0986704696945,0.132907280829,0.0398538046346,0.0460674738897,0.0780424438761,0.0229289271831,0.1072870597644,0.0401931649995,0.0397635808012,0.0726353622418
"2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences",0.1247662278128,0.1093623191366,0.0600794925151,0.1002266729968,0.1168877086608,0.0120930819407,0.0972576889515,0.1033234462221,0.0219931590185,0.1109227259165,0.0639663706913,0.130579859482,0.0156266691977,0.0575652831463,0,0.0888548326979,0.1100050999181,0.1111221940936,0.1087372524801,0.126674335208,0.0998890432145,0.1127150352681,0.0337680282275,0.0701437896894,0.0406044900683,0.1001544406836,0.1052011336919,0.1127590784732,0.0249504292814,0.1132983733737,0.1172722292303,0.1132581391713,0.0637427585511,0.0672556875683,0.0957286430444,0.0373307438001,0.1368291010673,0.0646230031268,0.0612897717684,0.0934226394294
"1642.MS00534",0.0281416967263,0.0200743661195,0.0802528296961,0.0197190050771,0.024928705121,0.0849480897379,0.0252247448244,0.0212134505977,0.0889468315276,0.0319861782631,0.0660477569933,0.024047617118,0.0814871490168,0.0779336190516,0.0888548326979,0,0.0196557772125,0.0251749404299,0.0244107436395,0.0276199733591,0.0212665903387,0.0222706854886,0.0735141908023,0.0754250284244,0.0851989036533,0.0278278476771,0.0242014295858,0.0219627054067,0.0781274201816,0.0221728047144,0.0226684926865,0.0249815008018,0.0769718594779,0.0759159524084,0.0262258930273,0.0803584176085,0.0279854102382,0.077492426538,0.0704571723524,0.0306560551035
"1642.MS00479",0.0224320173858,0.0181879994744,0.0895280503657,0.0184777577307,0.0202819812666,0.1007379031167,0.0235139145561,0.019516674398,0.1040391209567,0.0302953959172,0.0799383379632,0.018219860519,0.0963130865277,0.0909805706983,0.1100050999181,0.0196557772125,0,0.0209598806849,0.0222156167925,0.0234826563691,0.018554533877,0.0189922443081,0.0862581941514,0.0832830408856,0.0961389539844,0.0275781114784,0.0197974569454,0.0179341088517,0.0933442332717,0.0195061039543,0.0202036440888,0.0216410120969,0.0854648719259,0.0857408870835,0.0270632484711,0.0905643420166,0.0230243782453,0.0844901536366,0.0801765216103,0.0311165172029
"1642.MS00391",0.0230113883424,0.0220351174519,0.0887115094586,0.0194602330467,0.0188698397795,0.1024675530249,0.021275791554,0.0193888921748,0.1024593352607,0.0268612629737,0.0864349131403,0.0217606583569,0.0992742590535,0.0860658508862,0.1111221940936,0.0251749404299,0.0209598806849,0,0.0216558339677,0.0289083619873,0.0193340447582,0.0217369709255,0.0882594203825,0.0901980249357,0.0951043030549,0.0235814011024,0.0191873739356,0.0211269467439,0.0919984974938,0.0234625696564,0.0231463460005,0.0260746879638,0.090392665331,0.092477093248,0.0243331727167,0.0907484938952,0.0272928738489,0.0887665291166,0.0876480307999,0.0279602362511
"1642.MS00387",0.0220263455773,0.0209468149006,0.0807949065041,0.0214289845547,0.0213839079658,0.0946814410911,0.0224203344311,0.0189579920432,0.0987766948609,0.0251429761152,0.0722185015359,0.0232750282781,0.0891816791469,0.0840185188858,0.1087372524801,0.0244107436395,0.0222156167925,0.0216558339677,0,0.0265783096298,0.0194837944954,0.0239070588441,0.0796699968372,0.0760199778772,0.0885886988891,0.0241396104246,0.0196454228345,0.0242072428458,0.0883688472616,0.0250410463276,0.0216887342171,0.0254839868668,0.0762832801724,0.0774852666851,0.02155931106,0.0837570288754,0.0280890963127,0.075639383318,0.0725508195869,0.0261424673915
"1642.MS00617",0.0237150881052,0.0199445626386,0.1000733200996,0.0269274224077,0.0258848900972,0.1094758390918,0.0340842908131,0.024818687765,0.1182369854897,0.0408506465793,0.0892652466014,0.022938834243,0.1047284723418,0.1062625595477,0.126674335208,0.0276199733591,0.0234826563691,0.0289083619873,0.0265783096298,0,0.0225267246583,0.0260827087775,0.0919434882339,0.0903125548504,0.1111438311442,0.0390625926723,0.0253873890342,0.0217571750017,0.1047669308262,0.0246905329974,0.0216009619263,0.0232317392843,0.0931398030122,0.0944456380128,0.031499824318,0.1038735812506,0.0245493294372,0.0941722280722,0.0892212440754,0.0400881528186
