"","1642.MS00608","1642.MS00355","2382.SH004.C1.RH.1.203.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00378","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00479","1642.MS00453","1642.MS00472","1642.MS00459","1642.MS00486","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00548","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00534","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00425","1642.MS00537","1642.MS00391","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00335","1642.MS00393","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00362","1642.MS00617","2382.SH005.C3.RH.2.458.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00430","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00443","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00416","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00459",0.4962,0.68,0.9388,0.6608,0.9556,0.8648,0.9428,0.5202,0.4738,0.5708,0,0.5398,0.945,0.898,0.5022,0.5412,0.9644,0.4768,0.8956,0.5598,0.5792,0.9254,0.5542,0.5628,0.6096,0.9134,0.6558,0.5244,0.9056,0.5672,0.4912,0.9618,0.5056,0.9758,0.5012,0.8952,0.6312,0.9334,0.5402,0.8988
"1642.MS00486",0.5666,0.697,0.939,0.6426,0.9552,0.8938,0.939,0.517,0.5492,0.5738,0.5398,0,0.9446,0.9176,0.546,0.49,0.9584,0.4796,0.9132,0.5458,0.6064,0.9286,0.563,0.534,0.5806,0.9236,0.6346,0.5428,0.9236,0.6068,0.5578,0.9626,0.5376,0.9734,0.5422,0.9126,0.662,0.9382,0.526,0.916
"2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences",0.9476,0.9434,0.7488,0.9466,0.3734,0.841,0.596,0.9356,0.9402,0.9314,0.945,0.9446,0,0.8252,0.9234,0.9488,0.6642,0.9336,0.8692,0.9436,0.937,0.7102,0.932,0.9364,0.9444,0.8866,0.9372,0.9366,0.862,0.9342,0.9396,0.7962,0.939,0.5104,0.9464,0.8558,0.94,0.6454,0.9342,0.8422
"2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences",0.912,0.9282,0.801,0.926,0.854,0.6302,0.8622,0.9072,0.8974,0.9066,0.898,0.9176,0.8252,0,0.8774,0.9226,0.88,0.8894,0.6218,0.9134,0.9058,0.8346,0.8976,0.9176,0.9248,0.71,0.9226,0.899,0.6298,0.8952,0.8958,0.906,0.9044,0.9286,0.9184,0.6154,0.9204,0.7846,0.912,0.6106
"1642.MS00387",0.561,0.6304,0.9064,0.5896,0.9366,0.8504,0.921,0.5236,0.4998,0.5478,0.5022,0.546,0.9234,0.8774,0,0.5502,0.9442,0.48,0.8716,0.5252,0.5668,0.8952,0.5242,0.5562,0.5534,0.8792,0.571,0.495,0.8772,0.526,0.5282,0.93,0.4884,0.9622,0.505,0.8692,0.591,0.9084,0.5182,0.8638
"1642.MS00548",0.5322,0.638,0.9374,0.612,0.957,0.9024,0.948,0.4442,0.5474,0.551,0.5412,0.49,0.9488,0.9226,0.5502,0,0.9638,0.477,0.922,0.4802,0.4964,0.9338,0.487,0.4704,0.4916,0.926,0.5568,0.473,0.9248,0.605,0.5532,0.9604,0.5404,0.973,0.5492,0.9164,0.67,0.9364,0.5094,0.9226
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",0.964,0.9554,0.6194,0.9604,0.6596,0.9064,0.5506,0.9508,0.956,0.952,0.9644,0.9584,0.6642,0.88,0.9442,0.9638,0,0.9508,0.908,0.9624,0.9562,0.7654,0.9454,0.9502,0.9576,0.8648,0.9534,0.9536,0.8698,0.9486,0.959,0.7012,0.951,0.703,0.9656,0.874,0.9568,0.5238,0.9532,0.8604
"1642.MS00549",0.5132,0.66,0.9258,0.6264,0.9458,0.8652,0.9276,0.4686,0.4748,0.5178,0.4768,0.4796,0.9336,0.8894,0.48,0.477,0.9508,0,0.8878,0.5244,0.5372,0.9158,0.4974,0.4966,0.56,0.898,0.6146,0.4926,0.8948,0.5474,0.488,0.9524,0.494,0.9666,0.5034,0.8824,0.6382,0.9222,0.5026,0.8876
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9172,0.925,0.8378,0.9234,0.891,0.6996,0.8834,0.9044,0.8982,0.9084,0.8956,0.9132,0.8692,0.6218,0.8716,0.922,0.908,0.8878,0,0.9102,0.905,0.8226,0.899,0.9138,0.9258,0.742,0.917,0.9012,0.6488,0.8936,0.9014,0.9022,0.9008,0.9454,0.912,0.639,0.9172,0.8162,0.9074,0.6482
"1642.MS00409",0.607,0.6132,0.9392,0.589,0.9546,0.8886,0.9444,0.5084,0.566,0.5864,0.5598,0.5458,0.9436,0.9134,0.5252,0.4802,0.9624,0.5244,0.9102,0,0.499,0.9278,0.4314,0.527,0.4762,0.916,0.5066,0.4428,0.9144,0.5932,0.594,0.9598,0.5298,0.9738,0.5386,0.9052,0.6408,0.9352,0.5102,0.9098
"1642.MS00534",0.597,0.6374,0.9332,0.637,0.9448,0.871,0.9328,0.4996,0.6036,0.5826,0.5792,0.6064,0.937,0.9058,0.5668,0.4964,0.9562,0.5372,0.905,0.499,0,0.9202,0.4606,0.535,0.5496,0.9086,0.5716,0.4726,0.908,0.5984,0.619,0.9526,0.617,0.9666,0.6506,0.8908,0.6734,0.9298,0.6082,0.9012
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",0.9288,0.9298,0.8232,0.9288,0.7212,0.8494,0.7364,0.92,0.9174,0.9196,0.9254,0.9286,0.7102,0.8346,0.8952,0.9338,0.7654,0.9158,0.8226,0.9278,0.9202,0,0.9172,0.9268,0.9316,0.8528,0.9234,0.9184,0.832,0.9144,0.9254,0.8822,0.9188,0.7518,0.9326,0.8284,0.9322,0.7702,0.9194,0.8178
"1642.MS00425",0.5862,0.614,0.9242,0.5944,0.9382,0.8756,0.9242,0.4742,0.5652,0.5368,0.5542,0.563,0.932,0.8976,0.5242,0.487,0.9454,0.4974,0.899,0.4314,0.4606,0.9172,0,0.503,0.4664,0.9,0.5086,0.4086,0.8992,0.5612,0.5814,0.953,0.5288,0.9654,0.5806,0.8866,0.6414,0.9184,0.5024,0.8928
"1642.MS00537",0.556,0.6474,0.929,0.618,0.9446,0.8956,0.9354,0.4552,0.5496,0.5378,0.5628,0.534,0.9364,0.9176,0.5562,0.4704,0.9502,0.4966,0.9138,0.527,0.535,0.9268,0.503,0,0.521,0.9166,0.5822,0.4984,0.916,0.604,0.5588,0.9516,0.554,0.969,0.5898,0.9066,0.6646,0.9262,0.5202,0.9106
"1642.MS00391",0.6182,0.615,0.9298,0.586,0.9516,0.909,0.9434,0.511,0.6128,0.5708,0.6096,0.5806,0.9444,0.9248,0.5534,0.4916,0.9576,0.56,0.9258,0.4762,0.5496,0.9316,0.4664,0.521,0,0.9176,0.4718,0.4676,0.9278,0.6026,0.6528,0.9538,0.5268,0.969,0.5864,0.9154,0.6426,0.9348,0.485,0.9206
"2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences",0.919,0.9268,0.7466,0.9266,0.896,0.8058,0.8938,0.9146,0.909,0.9084,0.9134,0.9236,0.8866,0.71,0.8792,0.926,0.8648,0.898,0.742,0.916,0.9086,0.8528,0.9,0.9166,0.9176,0,0.9166,0.8992,0.5206,0.9,0.906,0.8724,0.9,0.9408,0.9256,0.563,0.9222,0.7114,0.915,0.52
"1642.MS00335",0.6788,0.5802,0.9296,0.567,0.9496,0.9012,0.9378,0.5814,0.6472,0.6336,0.6558,0.6346,0.9372,0.9226,0.571,0.5568,0.9534,0.6146,0.917,0.5066,0.5716,0.9234,0.5086,0.5822,0.4718,0.9166,0,0.4904,0.924,0.576,0.684,0.9458,0.5792,0.9662,0.6238,0.9104,0.6118,0.928,0.557,0.9186
"1642.MS00393",0.5608,0.591,0.9244,0.5662,0.9508,0.8772,0.935,0.4766,0.543,0.5434,0.5244,0.5428,0.9366,0.899,0.495,0.473,0.9536,0.4926,0.9012,0.4428,0.4726,0.9184,0.4086,0.4984,0.4676,0.8992,0.4904,0,0.903,0.541,0.5698,0.9538,0.517,0.9696,0.5618,0.889,0.604,0.923,0.5026,0.8988
