"","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00426","1642.MS00421","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00516","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00520","1001.SKM7","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00538","1642.MS00498","1642.MS00494","1001.SKD8","1642.MS00588","1642.MS00463","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00354","1642.MS00470","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00418","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00491"
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",-3.25716652927574,1.04640796381159,-0.831753687562313,-0.910516378180908,-4.37078797506836,0.93956123085788,-3.6084457326836,0.0694524627410647,-1.90299961214889,-0.722801736621315,NA,-1.06138065461931,-2.00081131501433,-2.95404982797217,-2.91050853156097,-0.355490460105915,-3.79129556248174,-1.07216069238221,0.0839671191831359,-0.00896966320761325,0.875148610671337,-3.75362343164025,0.547640696371034,0.132965559918586,-3.45344629323378,-2.05520746762413,0.291042379814352,-3.89088115027219,0.261034790098474,0.722368757209355,-0.839489097071889,-4.06366340227302,-3.51540856637971,-4.24903695913243,-2.91640001206365,-2.70421638068273,-3.97229138439315,-3.41280768297606,1.99707208968115,0.839732724476066
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",-4.98225013195994,5.0458184031037,3.77099804087196,2.91837301822928,-2.38846611275958,6.08369766976864,-2.49480945285934,2.922220360872,-2.16193527353441,-8.09556482531458,-1.06138065461931,NA,-1.66926599514636,-6.87271029032454,-5.55470044804744,3.13645396162343,-5.79829305865464,4.06227568430733,4.96889439581733,4.36280335983627,5.24911186701403,-4.0128878931135,7.4584802851243,5.08285205141781,-9.86938752756662,1.45535932897329,4.17048204097849,-4.34982045681004,5.85735424360425,7.51426576131118,2.63490211784972,-1.83052298606872,-8.33623328478785,-5.39254695681916,-5.49283270745428,-5.45563984115458,-2.03749151002232,-5.54541548173828,3.97217621480967,4.87743472074131
"1001.SKM9",-3.33594248272425,2.61627901952062,1.00733684340518,0.419575505579044,-2.89430581093759,2.93427721635346,-2.57662227479221,1.77869435940482,-7.12881194015679,-0.481654811031171,-2.00081131501433,-1.66926599514636,NA,-0.80286517888683,-2.23481219309532,2.1570090429087,-4.2352022501617,0.434813497527757,1.99355766281337,2.2918453454818,2.0695221721027,-3.55728602200912,1.51165179470499,1.95139861142446,-1.65183555412536,0.0192802406560308,1.31124783333024,-3.02620297783773,1.68864289416755,2.29869492615868,1.83762965625905,-2.14330494517148,-1.78396487438953,-3.04514844380664,-2.60639199003806,-1.95925896740626,-2.69666733130631,-3.37919029338092,2.61727029108591,1.94589983748812
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.64081455107818,13.3426416007971,6.99924871525531,6.97155481218796,-3.50178914806108,11.1343206194604,-2.85352288133162,9.93032332155918,-0.249185770894681,-7.11978596885572,-2.95404982797217,-6.87271029032454,-0.80286517888683,NA,-6.26203732662202,10.6731859841603,-4.19344183494361,3.12071172004734,9.39613069759407,8.88208696019413,9.56924771398907,-2.19491229466044,11.1625315456195,9.82812199357852,-8.51547266225175,0.753996108841957,9.92859845830416,-4.64402939929755,8.90152427030795,12.1228086365189,8.70603950418762,-4.07701771882271,-7.92764586767785,-4.1661421262626,-1.64499344287728,-5.75702472692575,-3.49055005293501,-3.80120947790966,11.6263687105094,7.38916707224128
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",-5.60579693728788,2.95236604521898,2.54988371170842,1.16712631455414,-5.03414797107083,4.81783365158869,-4.75941755085833,0.617839894681688,-2.36061637648244,-8.01386724517555,-2.91050853156097,-5.55470044804744,-2.23481219309532,-6.26203732662202,NA,1.20198071097272,-7.04946249915943,1.00793170198733,4.6436364245051,2.69825700303571,5.59293385077664,-4.65578812552498,7.38401605501844,3.86549787087355,-7.11404883813985,-0.947910349287016,5.39425813992043,-6.13785364050891,5.49044875505315,8.53957257432143,1.29761218318691,-4.82437792859721,-10.3400257691325,-7.28564207655245,-7.17277393011862,-6.40005189016278,-4.55917238353593,-6.27559986613648,8.06281500603303,4.31017193159842
"1642.MS00571",0.227055942456824,-5.4956358987907,-3.76785983296757,-4.83244982684691,0.143265636540098,-4.64586588293709,-0.0429433509973617,-6.79080390996499,2.33242026408377,2.77106498828709,-0.355490460105915,3.13645396162343,2.1570090429087,10.6731859841603,1.20198071097272,NA,0.0936387401652121,-2.48878209134466,-4.207372571643,-4.88615549729854,-4.26362660583096,-0.0327720222226351,-4.42555660758645,-4.65827241296253,-0.208679529935935,-2.43333974125213,-5.01623700173721,-0.00265751873034444,-3.78328485480801,-5.86051965493423,-5.19013121190161,2.12136743630236,0.766150543275302,-0.243955142823484,0.12620182030674,1.40324659568164,-0.822450939969803,0.287328956469967,-5.72375876762929,-2.37271053721724
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",-7.38940946068679,0.574094047235181,-0.841206709282285,-1.10690431252157,-7.20261701704316,1.48597345011611,-7.50381325422957,-0.763536089353912,-4.01603916566523,-4.42179271352981,-3.79129556248174,-5.79829305865464,-4.2352022501617,-4.19344183494361,-7.04946249915943,0.0936387401652121,NA,-0.667515227212211,0.627113190336838,0.0224710634690336,0.751753946263689,-6.32141357440321,1.42194795823973,-0.198161549881201,-5.66833224192424,-2.02739496961819,0.67359059768866,-5.40261593947985,0.210948833086338,1.19370322481127,-0.841079186893789,-3.69924403232098,-6.12506633495027,-7.92087266849031,-6.82481231972074,-5.39816674844078,-5.1562942384033,-4.2023664264778,2.47789297519583,0.54932616092325
"1642.MS00371",-1.01844244108952,-2.20949187886117,-3.70844648926086,-2.63733091328937,-1.32725091476843,-1.06191275295001,-0.917849840494021,-1.12938193633134,0.7951263264978,3.81636933293862,-1.07216069238221,4.06227568430733,0.434813497527757,3.12071172004734,1.00793170198733,-2.48878209134466,-0.667515227212211,NA,-2.6074356226185,-1.86559611560422,-0.398175678182934,-1.30830318822741,-2.25457324635965,-2.29719563924719,-0.944788669900151,-5.27395905061824,-1.01302712911922,-1.23494545471808,-2.60895231252264,-2.22427303223485,-2.74120320245228,-0.522413321385643,0.421923117353523,-2.17422015628037,0.263879141487129,1.59991924126007,-1.87712500734866,-1.12997730149135,-1.95646485133785,-2.13666475556364
"1642.MS00538",0.795009973379329,-4.03259697649948,-2.35640314648876,-5.39874904944812,0.554536166622054,-3.65627985935531,0.0750200533171511,-4.80216661246946,2.56324728368529,4.53493638239994,0.0839671191831359,4.96889439581733,1.99355766281337,9.39613069759407,4.6436364245051,-4.207372571643,0.627113190336838,-2.6074356226185,NA,-3.65246993267175,-3.3495016769532,1.62020318979339,-2.8895081952796,-3.82820120530319,1.3019946428941,-2.65237752986497,-3.68663310399714,-0.176078280195903,-3.07471451162502,-4.25276710403603,-4.2082259206255,0.95349979667092,3.93036736762161,0.100255097336691,0.566650265973788,4.62829502479075,-0.821506007856162,-0.179655533239942,-4.20386658613364,-2.76401102493156
"1642.MS00498",0.36243110906704,-4.67274887847501,-3.09803730220646,-4.16890407014347,0.185971405734845,-2.91957260456881,-0.196741084578884,-4.5760481407605,2.50188254791797,3.5319597816841,-0.00896966320761325,4.36280335983627,2.2918453454818,8.88208696019413,2.69825700303571,-4.88615549729854,0.0224710634690336,-1.86559611560422,-3.65246993267175,NA,-4.8539315247823,0.358963804326906,-3.76659896814635,-5.42700899279505,0.294375356996167,-2.24083323621912,-3.17398670383322,-0.200686604016787,-3.42382059729908,-4.63980917398481,-4.15210143490428,1.29841767233928,2.25639259925786,-0.162214063860905,0.461966472870441,2.96933487122241,-1.32040388606634,-0.25902227480945,-4.53818080272044,-2.95258957677479
