"","1642.MS00516","1642.MS00354","1642.MS00517","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00402","1001.SKD8","1642.MS00538","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00486","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00470","1642.MS00426","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00491","1642.MS00494","1642.MS00418","1642.MS00520","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00463","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1001.SKM7","1642.MS00578","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00588","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00498","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00371",0.954,-0.944,0.898,1,1,1,0.93,1,1,1,0,0.288,0.998,1,1,1,0.0069999999999999,1,1,1,1,0.996,1,0.847,0.998,1,0.975,1,0.99,1,1,1,1,1,1,1,1,1,0.898,1
"1642.MS00421",-0.88,-0.073,-0.915,1,1,1,-0.996,1,-0.861,1,0.288,0,-0.684,1,1,-0.839,-0.996,1,1,1,1,-0.301,-0.516,-0.866,0.075,1,-0.295,1,-0.658,1,1,1,0.318,1,0.629,1,1,1,-0.883,1
"1642.MS00486",-0.812,0.946,-0.769,1,1,1,-0.598,1,-0.81,1,0.998,-0.684,0,1,1,-0.796,-0.255,1,1,1,1,-0.232,-0.329,-0.596,-0.112,1,-0.231,1,-0.69,1,1,1,0.266,1,0.177,1,1,1,-0.758,1
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,-0.998,-0.966,0.92,1,0.743,1,0.783,1,1,1,0,-0.962,1,1,1,0.932,-0.998,0.799,1,1,1,1,1,1,-0.994,1,-0.956,-0.988,0.924,1,0.998,1,-1,-0.989,1,1,0.914
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,-0.986,-0.261,0.792,1,0.996,1,0.978,1,1,1,-0.962,0,1,1,0.994,0.945,-0.994,0.998,1,1,1,1,1,1,-1,1,-0.8,-0.966,0.998,1,0.99,1,-0.94,-0.857,1,1,0.725
"1642.MS00470",-0.824,0.978,-0.844,1,1,1,-0.911,1,-0.976,1,1,-0.839,-0.796,1,1,0,-0.658,1,1,1,1,-0.423,-0.909,-0.704,0.347,1,-0.02,1,-0.897,1,1,1,0.151,1,0.121,1,1,1,-0.799,1
"1642.MS00426",-0.522,-0.0679999999999999,-0.636,1,1,1,-0.888,1,-0.812,1,0.0069999999999999,-0.996,-0.255,1,1,-0.658,0,1,1,1,1,-0.133,-0.197,-0.658,0.683,1,0.093,1,-0.448,1,1,1,0.847,1,0.725,1,1,1,-0.542,1
"2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,1,0.984,1,0.898,1,1,1,1,1,1,1,1,0.994,1,1,0,0.96,0.998,1,1,1,1,1,0.454,1,0.998,1,0.958,0.988,1,1,-0.167,1,1,1,0.984,1,0
"2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,0.984,1,-0.98,1,1,1,0.644,1,1,1,0.932,0.945,1,1,0.96,0,0.967,1,1,1,1,1,0.706,1,0.998,1,0.978,0.992,1,1,-0.252,1,0.992,0.998,1,1,-0.884
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,-1,-0.86,0.958,1,0.963,1,0.975,1,1,1,-0.998,-0.994,1,1,0.998,0.967,0,0.998,1,1,1,1,0.992,1,-0.907,1,-0.938,-0.986,0.998,1,1,1,-0.984,-0.873,1,1,0.925
