"","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","1642.MS00426","1642.MS00421","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00516","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00520","1001.SKM7","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00538","1642.MS00498","1642.MS00494","1001.SKD8","1642.MS00588","1642.MS00463","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00354","1642.MS00470","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00402","1642.MS00418","1642.MS00517","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00491"
"1642.MS00354",0.0732759133783,0.0422927803732,0.0305366521775,0.0312549611683,0.0716520504234,0.042104972164,0.0775811586561,0.0370715288797,0.1547906514973,0.1244951476341,0.0675438895482,0.1155733482534,0.1644470283806,0.0774070226354,0.0798308536051,0.0374090254629,0.0753421229501,0.0223298583608,0.0397873073662,0.0384159955555,0.0475292404429,0.0961870241868,0.0453585837185,0.0393094985048,0.0674012048588,0,0.0420993330095,0.0714150965683,0.0369694972656,0.0335690551082,0.0360094037618,0.068844640177,0.0784869148061,0.0745333875534,0.0957694099153,0.0810165599003,0.0697766069949,0.0839411795868,0.0386468143052,0.0454850800763
"1642.MS00470",0.0964983064368,0.0238697409979,0.0258199350743,0.022840537437,0.1018602659326,0.0211982377948,0.1015793126522,0.023600730659,0.1659886409229,0.0846819988035,0.08815565783,0.0858240091303,0.1692347517806,0.0923818743241,0.0900526472013,0.022984430324,0.1080479573862,0.044422390192,0.020841625777,0.0221556411046,0.0217054996115,0.1574787008879,0.0279644029109,0.0222971911118,0.0729450035839,0.0420993330095,0,0.0915776581954,0.0226661709562,0.0221393168749,0.0206392598369,0.0888338747988,0.0876648094683,0.1025668136121,0.1171615152984,0.0916975773291,0.1009631923873,0.1274497231418,0.0193756036052,0.0263158999742
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.0198594720372,0.1014815809169,0.0830227058723,0.0832087157998,0.0229526924203,0.0983647013534,0.0219087127123,0.088505580623,0.104563100214,0.050517612793,0.0289995107683,0.0453527100073,0.1132000545629,0.0522092289828,0.0364828146764,0.0995918253145,0.0242171186716,0.0915350663795,0.0891321810443,0.0908444383233,0.0891175329915,0.0879099300241,0.1009284372041,0.0901608843106,0.0350840254791,0.0714150965683,0.0915776581954,0,0.083509509092,0.0933858591874,0.0846814298006,0.0250418690977,0.0320019431976,0.0257676277325,0.0253495259734,0.0404735086135,0.0292337018566,0.0293192228821,0.1105161297882,0.0892700849457
"1642.MS00402",0.0863906875288,0.0273122758621,0.0231728298354,0.0211462829055,0.0940627587094,0.0240496366514,0.092616748949,0.0267445894764,0.1618880796874,0.0815421193536,0.0839095440555,0.0833713134539,0.1662216620572,0.0878910757709,0.0842686094538,0.0248663681411,0.1016795289958,0.0353584568735,0.0218203076573,0.0225074655966,0.0240264662206,0.1536228748598,0.0319692673889,0.0240134825522,0.0688301535456,0.0369694972656,0.0226661709562,0.083509509092,0,0.0220454969715,0.0223152912386,0.0830909856367,0.0825211825671,0.0931846763354,0.1006689365566,0.0857094667179,0.1005892346299,0.1138829884571,0.0226755165799,0.0264379957246
"1642.MS00418",0.0986430795174,0.025353258646,0.0236530353792,0.021049001672,0.0995260431085,0.0233125157255,0.0994721763755,0.0234045325573,0.1688632714587,0.0913253909556,0.0905549615678,0.091849116196,0.1731997217447,0.1009697077188,0.0964003058053,0.0238942060284,0.1088515888339,0.0332783153658,0.0228488846344,0.0215235901827,0.0253416243766,0.1567105814929,0.0287563804806,0.0243700502923,0.0815727100186,0.0335690551082,0.0221393168749,0.0933858591874,0.0220454969715,0,0.0227396964128,0.0923940492714,0.0972750812625,0.105634117849,0.1190921733752,0.0958993212493,0.1018714672628,0.1237835077966,0.021947852763,0.0288326383707
"1642.MS00517",0.0880884975114,0.0224368405396,0.0238900477221,0.0208809594946,0.0928160525278,0.0204637519935,0.0894109568767,0.0201823211237,0.1678713586926,0.0898174101875,0.0821881909601,0.0898623676902,0.17687286666,0.0890696145323,0.084130596721,0.0214116280593,0.0972272762629,0.0380193883582,0.0205326695932,0.0206637757922,0.0236911655474,0.1438066300837,0.0262529506459,0.0218609920464,0.0679788002306,0.0360094037618,0.0206392598369,0.0846814298006,0.0223152912386,0.0227396964128,0,0.0819252388063,0.0835916217446,0.0943967875424,0.1049531377842,0.0858473731369,0.0935504701967,0.1137477746353,0.0200271128699,0.0269739302377
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",0.0234975182682,0.0996721296157,0.081064211515,0.0814500334919,0.0222175350747,0.0950343246835,0.0173612904075,0.0837009121589,0.1065870884991,0.0510356671331,0.0321903353232,0.0489801009445,0.121460707513,0.0576100265763,0.0327990711485,0.0909248356901,0.0241249938681,0.0868464146448,0.0872508662257,0.0884017216585,0.0881605836103,0.0832652479551,0.0982127195134,0.087993384295,0.0378936216671,0.068844640177,0.0888338747988,0.0250418690977,0.0830909856367,0.0923940492714,0.0819252388063,0,0.0358369855631,0.0261633794943,0.0250095598837,0.0355967952331,0.0332951970941,0.0385459998595,0.109026440085,0.087733785026
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0380384581791,0.1073019145773,0.0806664089307,0.0800275659914,0.0410279960349,0.0943693504662,0.0380538869396,0.096207116136,0.1120389391406,0.0324427863147,0.0354078094749,0.0321812529229,0.1241011418257,0.0393093737472,0.0287483362268,0.0887728102274,0.0480771990564,0.0865060350811,0.0896858124272,0.0917420806427,0.0888983159909,0.1131264495729,0.1053821039422,0.0895566060313,0.0325843160627,0.0784869148061,0.0876648094683,0.0320019431976,0.0825211825671,0.0972750812625,0.0835916217446,0.0358369855631,0,0.0442167118562,0.0465218351834,0.0335013063246,0.0514705901774,0.0582249105685,0.0920147873069,0.0848336933972
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0.0172901462139,0.1119623818554,0.0897154125855,0.0902905456726,0.0162205344991,0.1083950176534,0.0182867327987,0.0960350199848,0.082344361555,0.0562316652866,0.0352221651215,0.0488971145737,0.1126003036603,0.0628886436448,0.0417619806299,0.1041412681725,0.0162854487658,0.091113475456,0.1012107533755,0.1016279296168,0.1004522891481,0.0752516036361,0.1117824412427,0.1003209650334,0.0428219034798,0.0745333875534,0.1025668136121,0.0257676277325,0.0931846763354,0.105634117849,0.0943967875424,0.0261633794943,0.0442167118562,0,0.0142574417157,0.0466730718036,0.0240098203332,0.0217288742938,0.1188786618232,0.0997776129604
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",0.0167878081312,0.125102874543,0.1066002019273,0.1027105613044,0.0187156862372,0.1217425404605,0.0173122627878,0.1067293057418,0.0800845742668,0.0506077074147,0.0452718751158,0.0400709805388,0.099105559497,0.0756955163473,0.0369553344272,0.1132499683513,0.0154932745824,0.1177271929056,0.1131876284341,0.1126022121076,0.1117140988339,0.0877485721331,0.1302697664906,0.1123819113866,0.043783803433,0.0957694099153,0.1171615152984,0.0253495259734,0.1006689365566,0.1190921733752,0.1049531377842,0.0250095598837,0.0465218351834,0.0142574417157,0,0.0424531782237,0.0244791525881,0.0187310960659,0.1303767948777,0.1110464356854
