"","1642.MS00473","1642.MS00500","1642.MS00365","1642.MS00415","1642.MS00629","1642.MS00582","1642.MS00634","1642.MS00444","1642.MS00621","1642.MS00341","2382.SH008.C6.HA.2.532.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00482","1642.MS00399","1642.MS00605","2382.SH008.C6.HA.4.743.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00542","1642.MS00497","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00360","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00597","1642.MS00638","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00587","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00432","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00485","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00558"
"1642.MS00497",-5.34604360420281,-5.75815724949883,-3.04010319165794,-6.26312577298245,-4.60705332845822,-4.82275899926827,-5.01000094031512,-5.39319706748129,-4.40914496826871,-3.55322652538158,3.58646589019795,0.455529505111332,-5.77962059927127,0.427887760953893,-5.51748812143131,-6.51582280570826,-5.64347584889523,0.924037336961415,-7.30160663573617,NA,3.72390782721481,4.21259994278285,0.928425472502089,3.0604711805403,-3.72272751945589,0.0460156141674463,-4.07173367777972,-4.51469248302848,-5.10889011123076,3.66927549150319,-4.70364278456599,1.73026153991715,3.88888137805909,0.315417594811354,1.67051637519205,-4.97264803779594,1.01222735347556,-4.82064445284182,0.422815186204443,-4.60921994988482
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",3.70791035072154,1.23560340630754,0.516701874735011,3.47697853145843,3.02341977453261,9.32015311098299,2.51375724671327,4.44930191425257,8.61860197377814,-0.174124020894972,-7.89728516564664,-4.93135965985741,3.4605148024454,-4.50861767854069,6.82324328840667,1.74492437852706,6.98106764831664,-5.36837862482139,4.83900792268281,3.72390782721481,NA,-5.80067558679555,-4.81325527752062,-8.59755109440244,0.527909430857483,-5.51806808729416,9.56641711727674,4.32467036303618,3.8826631628934,-6.73352319000156,9.54757689864477,-3.00027826564551,-9.31803785127957,-5.32951921238201,-4.37000660818892,2.70541871522485,-8.20293459614112,7.47859205113386,-4.82703725022801,3.2848053773185
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",3.90494244426991,1.86101669571431,0.426721514493658,4.16944004951925,2.92956838267918,11.1055954671504,3.8883582457481,5.07997873635821,8.14007601580822,-0.777092964743328,-6.72337984083408,-4.40590076914048,4.49910477814398,-2.37264055600979,9.29495315884092,1.84578015613334,7.63926054597383,-4.65820611762658,4.58808094398032,4.21259994278285,-5.80067558679555,NA,-4.03229779759836,-7.21732759103231,0.27388511310804,-2.12509267871803,10.0197385485493,5.62974508188016,4.50568608749753,-4.6351951348911,10.9593216803744,-3.20549662595267,-5.14276893754485,-3.07234822622562,-4.25452204264261,2.53816489271496,-7.71630334308064,9.46953973048798,-6.54248226603253,3.99941467116182
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.698693143788691,0.0467402021514906,-1.22566464191765,0.492551536385983,0.434957782694299,3.02770155476674,1.90763642582128,1.11318417576324,2.17152849995448,-1.38994921168932,-5.97054864938197,-7.62361248188959,0.654645043237178,-3.79716252800729,1.77636940228772,-0.228216471499485,2.21105326044653,-8.40740394460092,0.781676943427704,0.928425472502089,-4.81325527752062,-4.03229779759836,NA,-4.9830344991591,-0.86460596690933,-6.43114781960323,1.92271405124689,0.740017531376084,0.96436844643997,-5.43992465024216,2.5670787901993,-3.70552908595721,-3.52339782591064,-4.36474901955141,-4.33006668662971,0.10041569424491,-3.99221632713055,2.30150182835119,-5.44884868116304,0.659238431285837
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",2.30951920732042,1.04502934941642,0.419034912467927,2.78259359523154,1.71778270218482,8.13922898728678,2.14931327375089,3.83378162786525,7.1043052971163,-0.780669075906042,-8.97571158927185,-4.7347892022499,2.75025425214626,-5.01584414016938,7.09849969164462,1.39079082719382,7.02001859371218,-5.9682346231334,4.20800252132387,3.0604711805403,-8.59755109440244,-7.21732759103231,-4.9830344991591,NA,0.0723783895735043,-5.89720360015608,7.98841699519426,3.35323560063711,3.30231200847695,-9.41326509235902,8.20963643801235,-3.16309455897269,-8.83498937859598,-5.7482826777067,-4.5218967999172,1.29472820253293,-7.24784284318103,7.62511061093643,-3.14465374338974,2.06002732017938
"1642.MS00360",-2.55575500535066,-2.0668122980919,-4.66744922273858,-3.70406732965831,-2.57501068458295,-1.54133830864261,-2.55164280263399,-2.52652193179627,-1.72591686765155,-3.9082163199736,0.462080935587821,-1.54885441084145,-3.89342545126501,-0.770559924372297,-3.44388254286321,-3.55920733199143,-2.59975380979744,-1.533962801484,-3.12495083420292,-3.72272751945589,0.527909430857483,0.27388511310804,-0.86460596690933,0.0723783895735043,NA,-0.882160873175146,-1.33451865391098,-2.48676777071202,-2.49843211354666,0.703811228286383,-1.95000276584348,0.202906305836894,0.861614682680943,-0.86957998406419,-0.439579240317791,-3.11249349030686,-0.802360207312166,-2.50135872686086,-2.0484709840734,-1.53565779723236
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",-0.158475535589441,-0.505861236594562,-1.18237951746379,-0.353657995601386,-0.377597124127669,0.880654747280376,0.808403135692282,0.102425565540448,0.40516985883395,-1.23638461159073,-6.26607257646027,-5.59365620732235,-0.0662596977427675,-4.72805490411924,0.423645761384289,-0.624797574630022,0.527453368318753,-7.25189227794761,-0.129425784454944,0.0460156141674463,-5.51806808729416,-2.12509267871803,-6.43114781960323,-5.89720360015608,-0.882160873175146,NA,0.43362051883022,-0.134158059402541,-0.00708102717994984,-5.56064111734158,0.696761422324062,-3.56660083747829,-1.78796374545526,-3.36431307043962,-4.4232001492192,-0.482865044892109,-2.28473540614038,0.690234214372305,-6.02358708972948,-0.230343103135493
"1642.MS00606",-2.64605749777761,-5.14526006998202,-0.0400385957041861,-3.53839890064104,-3.05215584545042,-2.82456059551601,-2.6052039672894,-1.48073341574319,-2.1307446173137,-1.33296189794567,8.83665526031333,1.46618696487771,-2.89954718925984,0.853774873944731,-3.56393709180527,-4.19341003855354,-2.80380179183306,2.09035441333438,-4.29498247757652,-4.07173367777972,9.56641711727674,10.0197385485493,1.92271405124689,7.98841699519426,-1.33451865391098,0.43362051883022,NA,-4.91862248171972,-2.18876236488892,9.94748605980646,-3.42143065088641,2.35625606682069,8.86081309454464,0.857349989521071,2.30144010805022,-1.97151682187453,5.03245142967423,-2.74841135948383,0.195822547828559,-4.29238361550951
"1642.MS00597",-3.57844632791713,-6.06496523623179,-1.91087502032377,-4.80275337642773,-3.62748092325522,-4.4680069399046,-1.87228885598129,-1.77258276207378,-5.30859653935719,-2.62544869558428,4.6526058743303,0.318768273231814,-4.44127007063258,0.0289878333195042,-5.09217475912862,-5.47794769522888,-2.21326874035046,0.676574657994492,-6.0855749193095,-4.51469248302848,4.32467036303618,5.62974508188016,0.740017531376084,3.35323560063711,-2.48676777071202,-0.134158059402541,-4.91862248171972,NA,-2.58403766428629,5.04650977810216,-5.00783583967114,0.963266518442,4.71293072593825,-0.0405465096200743,0.487202782806887,-3.14674238649169,1.18743465413812,-4.59633618232735,-0.889094581454689,-4.83390301149741
"1642.MS00638",-2.18323173826863,-2.44897288995726,-2.5647513366934,-2.81583739984759,-2.67187498061559,-1.6773382194459,-3.18885494705016,-4.076725018607,-2.57470430437309,-2.96109209927946,4.5804648573922,0.40117029649819,-3.07190909328487,0.138888160495979,-4.01069425430551,-4.45821857032668,-3.78950624116782,0.437379016759044,-5.49391688326986,-5.10889011123076,3.8826631628934,4.50568608749753,0.96436844643997,3.30231200847695,-2.49843211354666,-0.00708102717994984,-2.18876236488892,-2.58403766428629,NA,4.81121082908884,-2.59052896180485,0.736942811654302,4.1641372729733,0.141282317851712,0.725444567148771,-2.52886815745312,1.16683078684029,-3.75606878752079,-1.12347494785083,-1.79631500852538
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",3.49157577506079,1.56199921263629,0.529841130723622,3.53493166188259,2.6694214939311,10.6017262362396,3.19888623731454,4.86514237759368,8.73450257335125,-0.271728885440316,-8.41088502269248,-4.69831650695305,4.23495964206113,-4.22537643471717,8.0408190360573,1.77019087740713,8.31775030609332,-4.60912046799967,4.62766854944424,3.66927549150319,-6.73352319000156,-4.6351951348911,-5.43992465024216,-9.41326509235902,0.703811228286383,-5.56064111734158,9.94748605980646,5.04650977810216,4.81121082908884,NA,9.64309863933781,-2.96790826434325,-6.14727022268817,-5.1637778223551,-4.20696949528491,2.34114870491227,-7.34788316524778,8.78000547391004,-2.20145504361054,3.50276836625092
"1642.MS00587",-4.18374046905951,-3.52599439077007,-1.63032270409931,-5.28918972547485,-2.14588853579209,-5.72858467232819,-0.175503869175833,-6.69411510164583,-3.28051595228419,-2.16240089036053,9.10443833969382,2.11763247363612,-3.89081244807262,1.17929050074126,-4.71914921155615,-5.0566625452355,-2.50590592828626,2.69315346852916,-4.28498168111598,-4.70364278456599,9.54757689864477,10.9593216803744,2.5670787901993,8.20963643801235,-1.95000276584348,0.696761422324062,-3.42143065088641,-5.00783583967114,-2.59052896180485,9.64309863933781,NA,2.58513336825146,9.50860089358468,1.35331047066205,3.01385837007575,-4.02419874565181,5.85223130094802,-4.14786272476249,0.526390792329799,-4.92238587564154
"2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences",0.488377247763206,0.0503357057144336,-1.08857637800429,0.481827967662167,0.430047527559784,2.59992000928021,1.24967133938109,1.2038427060563,2.99772970567892,-1.3319159760363,-3.72181742938874,-3.86371346635539,0.713668841559258,-5.93187935909143,1.66064037603406,0.0831237892469403,3.14518657933302,-3.76194243297044,1.05660247160513,1.73026153991715,-3.00027826564551,-3.20549662595267,-3.70552908595721,-3.16309455897269,0.202906305836894,-3.56660083747829,2.35625606682069,0.963266518442,0.736942811654302,-2.96790826434325,2.58513336825146,NA,-1.80602471954127,-3.10492425238013,-4.06252157118486,0.309126412470509,-3.4705043005051,2.2726845696314,-3.17674764400917,0.804454718991985
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",3.35017305993094,1.52185990566702,0.881389425018735,3.80846246101356,3.24328424467914,9.07203669551702,3.18974596226745,4.49142215179015,7.85503197672273,0.021050217081827,-8.6800162152021,-3.36152311388264,3.75339149317497,-1.75630253923834,7.30205700183817,1.7512208323862,7.85726741978761,-3.69889514643023,4.68593657629956,3.88888137805909,-9.31803785127957,-5.14276893754485,-3.52339782591064,-8.83498937859598,0.861614682680943,-1.78796374545526,8.86081309454464,4.71293072593825,4.1641372729733,-6.14727022268817,9.50860089358468,-1.80602471954127,NA,-2.47574668009507,-2.82190010304199,2.25055125896232,-7.50636681361212,8.63801338141259,-3.36719730009618,3.03671986865755
