"","1642.MS00397","1642.MS00435","1642.MS00573","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00519","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00558","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00430","1642.MS00393","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00574","1642.MS00343","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00487","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00640","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00365","1642.MS00577","1642.MS00485","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00502","1642.MS00346","1642.MS00472"
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0728168958799,0.0747518297106,0.0771912379693,0.0512330157999,0.0646440570065,0.0516460396281,0.0788618442593,0.0419059976492,0.0706552221563,0.0941568051033,0.057460650759,0.0910837029442,0.0372377839385,0.0908209669279,0.0846691242797,0.0475498227303,0.0487636978881,0.0768541851747,0.0800095314845,0.0714128928602,0,0.0698714990231,0.0794348242131,0.0753279353557,0.053859404087,0.0322456196904,0.0925139510335,0.038284641395,0.084638827147,0.0901635512404,0.0604727008319,0.0323529570038,0.0756244604924,0.0819065515667,0.0954937309132,0.0505635953696,0.0578372078466,0.0784460405885,0.0702480492389,0.077986618413
"1642.MS00423",0.0202013829073,0.020948759325,0.021778767812,0.0850296780638,0.0950013495073,0.091939860243,0.019181341471,0.0734265335653,0.0181120337184,0.0272585612021,0.1030862382921,0.02494313165,0.0809054365772,0.0240360627971,0.02468803827,0.0823368604873,0.0769537998447,0.0224771426963,0.0203021591548,0.0191653625782,0.0698714990231,0,0.0212951424723,0.0264359542735,0.0914905244974,0.0824642720089,0.0242433430541,0.0725036512426,0.0253516072522,0.027677364378,0.1071356710677,0.0779115257372,0.0297039979857,0.0218888270777,0.022863552467,0.1027528507786,0.0863147213109,0.0226566819221,0.028503539262,0.0221875117115
"1642.MS00574",0.0213720749856,0.0225991396029,0.0200812569853,0.0918884895002,0.1032285523437,0.1021170392682,0.0216631960747,0.080424612917,0.0205199988728,0.0240793147182,0.1119394065832,0.0221887565715,0.0881153447472,0.0214874090761,0.0239986679834,0.0889710701014,0.0846446994671,0.0229519744602,0.023617727859,0.0216835773387,0.0794348242131,0.0212951424723,0,0.0320266517658,0.0988232545097,0.1002626132549,0.0216622478613,0.0817656380186,0.0223564785897,0.0224015735757,0.1211067346889,0.0839160937324,0.0352542529049,0.0192245750759,0.0215912803301,0.1108964814565,0.0948751631024,0.0212598899632,0.0349151737349,0.0225334129708
"1642.MS00343",0.023686894287,0.0234144367275,0.031758062331,0.0891747194722,0.0975959261504,0.0884561705096,0.0262967173256,0.0801871612379,0.0241102853633,0.0356262479989,0.1027055555927,0.037435951685,0.0883361510377,0.0355535889283,0.0382636783897,0.0820734641008,0.0843317248247,0.0270917562078,0.0239992431915,0.0230611757608,0.0753279353557,0.0264359542735,0.0320266517658,0,0.090121753667,0.0842029045969,0.0390542941909,0.0804204615558,0.0393924612598,0.038415496372,0.1032546772329,0.0899813901141,0.0196105440873,0.0346520140539,0.0366200427177,0.1010689452556,0.0858789659838,0.0370516829141,0.0171121276918,0.0302733308326
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",0.0889352265022,0.0936358730771,0.0923672519319,0.0458658181521,0.0264966655587,0.0157033831999,0.0967473569945,0.0499960098931,0.0863707738225,0.1066014619416,0.0155224466737,0.1071733211839,0.0506424156817,0.1105191970835,0.1036633826625,0.0378371041418,0.0522608759603,0.0979809395667,0.0897554260009,0.0887107440085,0.053859404087,0.0914905244974,0.0988232545097,0.090121753667,0,0.0280505620706,0.1183903717645,0.045377153771,0.1098704968771,0.109614759428,0.0167075211095,0.0516971001251,0.0882181596538,0.0957893504821,0.1167320746785,0.0177844082397,0.022297744482,0.0953905790796,0.073578605711,0.0922225082028
"2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences",0.0803249399115,0.0871618155899,0.0955708300235,0.0626710337554,0.0424024684445,0.0362155755437,0.0905260461315,0.05672871901,0.0762991180501,0.1015345804536,0.0358623801693,0.1004091118592,0.059378001701,0.1033242285888,0.093854791181,0.057921835353,0.0613239995792,0.0908081064938,0.0853249957823,0.0815244695767,0.0322456196904,0.0824642720089,0.1002626132549,0.0842029045969,0.0280505620706,0,0.1147005318824,0.0552816384382,0.1046162874307,0.1026497224816,0.0329440546667,0.0515744508172,0.0800339385555,0.0904017416773,0.1064772924724,0.033078594369,0.0479451621609,0.0866501474229,0.0701472155954,0.0871183751219
"1642.MS00487",0.0243040225509,0.0255992901598,0.0204996537215,0.1124422741251,0.1201466975374,0.1192371225809,0.0255084590745,0.0993639977745,0.019887023032,0.0204503750144,0.1305490142921,0.0227792461403,0.1118987962292,0.0215736661587,0.0238608022707,0.1071484339864,0.0998544894788,0.0231169689023,0.02289797615,0.0235157273847,0.0925139510335,0.0242433430541,0.0216622478613,0.0390542941909,0.1183903717645,0.1147005318824,0,0.1046329923527,0.0262730986646,0.0230593283928,0.1404336508574,0.1047072219383,0.0382796261265,0.0202556388045,0.019044340052,0.1290491158691,0.1124081353721,0.0206019252897,0.0407061093308,0.0228121287716
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0759334066285,0.0724995954658,0.0795842860905,0.0279019153538,0.0530751605756,0.0408986534193,0.0773476633883,0.026536798418,0.0729182803123,0.0965884151164,0.0508206745525,0.0914270346541,0.0241061264097,0.0948512016623,0.0830351100513,0.0212150700025,0.0271558202767,0.0782137659356,0.0799455632617,0.0754059757801,0.038284641395,0.0725036512426,0.0817656380186,0.0804204615558,0.045377153771,0.0552816384382,0.1046329923527,0,0.0839510103089,0.0929822255939,0.0596145191434,0.0344227485584,0.0787633831342,0.0856125306397,0.1021813326922,0.0476482208209,0.0347175279987,0.0850795396883,0.0753108604505,0.0791867124675
"1642.MS00524",0.0245485029351,0.024817102796,0.0227990866702,0.0936395871448,0.1140000976003,0.1055444018796,0.0211659326789,0.0841804840404,0.022650046263,0.0276007906313,0.1228132445719,0.0265762760268,0.0870374573355,0.0237188131192,0.0235967211318,0.0905230518759,0.0895885125371,0.0228691328497,0.0252769538039,0.0246894036888,0.084638827147,0.0253516072522,0.0223564785897,0.0393924612598,0.1098704968771,0.1046162874307,0.0262730986646,0.0839510103089,0,0.0262659580038,0.1259414169033,0.0893175378176,0.0392249159833,0.0242539185528,0.0248955598036,0.1156460605302,0.1003972532965,0.0235171868558,0.0436961105065,0.0264189913986
"1642.MS00640",0.0246518408814,0.0271779260448,0.0229705091539,0.1059290484523,0.108741859775,0.1081770623266,0.027463310285,0.0941143774096,0.0243528775837,0.0210918595303,0.1189624390614,0.0205291020458,0.1036933564316,0.0225131642455,0.0251735198849,0.1016794250005,0.0974098291596,0.0278463034647,0.024773359668,0.0258190985867,0.0901635512404,0.027677364378,0.0224015735757,0.038415496372,0.109614759428,0.1026497224816,0.0230593283928,0.0929822255939,0.0262659580038,0,0.1210280947649,0.0981952663676,0.0396185737646,0.0214885826123,0.0204118651342,0.1143682824532,0.1002208842303,0.0212999947833,0.0412950445226,0.0235910765816
