"","1642.MS00397","1642.MS00435","1642.MS00573","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.67.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00409","1642.MS00519","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00558","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00430","1642.MS00393","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00574","1642.MS00343","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00487","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00640","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.567.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00365","1642.MS00577","1642.MS00485","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00502","1642.MS00346","1642.MS00472"
"1642.MS00430",-5.99260636180358,-4.60383117282131,-3.25302928116147,5.09982872546533,-0.518900441034163,-0.694484034170231,-4.4471911228383,2.48137939353805,-5.67697420207086,-4.86303950857517,-0.279644791232534,-2.80961759138328,6.17581478918601,-3.60954665678091,-4.59515099594597,3.81042161015178,3.2606934791002,-5.36705078203119,NA,-5.13806289975015,4.29492053739061,-4.4768975749575,-3.54915611981475,-2.95229907558616,-1.21606538922932,-0.171591382318172,-2.45760796112845,3.37640101002156,-2.72552169573266,-4.29350066030033,-0.419734027298238,2.34016949647043,-2.98399750582755,-5.21742769753977,-3.09772639016067,-0.818671105098924,0.26992655295883,-4.31282849661488,-0.983862096387864,-5.32960539524118
"1642.MS00393",-4.52461953057978,-4.28053782515463,-2.73738903229685,1.7882338047202,-0.275247982733581,-0.35842008574604,-4.497180316895,0.505390294407292,-5.68775858640588,-2.83942756509366,0.363382761234523,-2.42998440745301,4.50140088877714,-3.81447389079356,-3.25520485849202,1.34843222358624,1.00645320010988,-4.55002209997695,-5.13806289975015,NA,0.158557824542933,-5.22530491869048,-2.82274946712157,-3.16865543533668,-1.03577720307052,-0.0603966546415428,-2.73245366470386,0.764669955732052,-1.86481647253257,-3.47014502551881,-0.190624910750831,0.0676469217346556,-2.86098247114558,-5.7476915579911,-2.78573164851537,-0.377247422352738,0.229349650449142,-3.37924066972172,-1.3983653524503,-5.10191137413596
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.141066587518054,2.81897494480616,0.866037106045974,-3.23982976537734,-4.74084026582872,-5.00585909363337,4.35522977015601,-6.05623583526736,-0.354167173792237,3.04817731063358,-3.01093748757471,8.6280138209444,-6.00411904730874,6.09366568441052,3.12580577658008,-4.6078744073791,-4.36563731453485,2.05572582012865,4.29492053739061,0.158557824542933,NA,1.33164346157736,4.54416809224318,-0.172467930200601,-5.01501417775573,-5.154565500535,6.22696459585876,-8.17731000303898,6.27105841402785,6.1964546983465,-3.6406240064652,-7.23583721084127,-0.252124345053238,1.55980408134585,6.75007108275664,-2.97174266834258,-2.72662698280131,0.148894137268342,-0.91995082091948,2.51443200367249
"1642.MS00423",-5.00942073067787,-3.82375645118675,-3.1800871876299,3.37866330625483,-0.144318949943762,0.119390398675071,-4.66660696694805,0.955214881246677,-5.6408842093717,-3.01984489337247,0.93147772684005,-2.71381802001205,4.49224534184005,-2.70922425959795,-2.76159806602891,2.89786693784858,1.7734784423279,-3.05952874456061,-4.4768975749575,-5.22530491869048,1.33164346157736,NA,-3.1045394805499,-3.21479832392091,-0.589448082758085,-0.128977979486213,-2.81543493131647,1.31115303438077,-0.918830621001941,-2.17842695518035,0.34852374234649,0.696071776095049,-2.47706084596967,-4.13791058429713,-3.17848170301239,-0.0679288740393753,0.33708000768702,-4.56290849965787,-1.59856774501013,-5.00331871966418
"1642.MS00574",-3.75149939132238,-3.0896614824491,-2.22650720903936,5.51357688840196,0.965752510041153,1.09815072699476,-2.33223423503011,3.08056195780842,-3.6475811319652,-3.92373160282442,1.73922954801485,-3.0530573062804,7.10535845035742,-4.4546665506946,-2.51443009482116,4.82080918233177,3.93196570380074,-2.80693484729744,-3.54915611981475,-2.82274946712157,4.54416809224318,-3.1045394805499,NA,-2.5414916239499,0.313940422888963,0.446555715051625,-3.64538312558463,4.13060073963375,-2.38811149696977,-4.5683752108267,1.60027190680507,2.65766846894624,-2.00103275383742,-5.06930982142051,-3.63891178178196,0.476716491553908,1.23411425340021,-3.81276072903775,-1.17879056282622,-5.60659129053561
"1642.MS00343",-3.76458684983057,-3.98664712329213,-3.21833740717836,1.99641512434312,-0.188360910180335,-1.04948874913372,-3.45606506438059,0.577585992201496,-3.35554931524335,-2.36055203154884,0.293230134173847,-1.33750318429866,2.94273400973806,-1.89273323633355,-1.01844339299535,0.775500110895179,1.49283462035026,-3.01049177015839,-2.95229907558616,-3.16865543533668,-0.172467930200601,-3.21479832392091,-2.5414916239499,NA,-1.6251451293462,-0.397959519629222,-0.564366204767913,1.16655684126943,-0.35999072002941,-1.25781439537563,-0.464154638530555,1.14102056599877,-3.45735525443845,-1.95448176591828,-1.41823977878324,-0.561489407529332,-0.417573946479581,-0.832725725186224,-4.8644204307731,-3.68606997946175
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",-1.158280673203,-0.554386849612743,-1.2072159701958,-5.13064821503916,-6.09489696772291,-8.04123048588732,-0.0411419309966015,-6.14919359455041,-1.18943536528891,0.631817202845748,-6.23186249468672,1.80156753581191,-4.04166795609568,1.84997450293955,0.351675983571707,-6.10546908343822,-4.78188489622744,-0.0998983898594367,-1.21606538922932,-1.03577720307052,-5.01501417775573,-0.589448082758085,0.313940422888963,-1.6251451293462,NA,-5.47695738149409,2.3782304457873,-5.93970244187659,1.87788036812057,1.61813129480415,-5.34043945017518,-4.46213417424252,-1.92607102008153,-0.423043508415326,2.33132385547307,-5.9858977533688,-7.33573226824939,-0.846830263451616,-3.19590999921097,-0.839479489464468
"2382.RU006.C181.RH.2.383.root.9.11.lane1.NoIndex.L001.sequences",-0.22285092560002,-0.106198789785034,0.286820440541002,-0.851791671164324,-1.83346508689183,-1.39570012298099,0.0414569914941309,-1.18681392559203,-0.210787522122188,0.451513609392517,-1.67303661096005,0.436271496839831,-0.857953207946199,0.459228391375548,0.275374530178491,-0.94575118512024,-0.993849826055832,0.0615785047841251,-0.171591382318172,-0.0603966546415428,-5.154565500535,-0.128977979486213,0.446555715051625,-0.397959519629222,-5.47695738149409,NA,0.814472841462854,-1.09409984166636,0.525326811064569,0.459089012875391,-1.53899180877705,-1.32907534797351,-0.48424940898975,0.197499908587231,0.532611509068886,-1.52171126897459,-1.20579457058443,0.0555384531068688,-0.86915033495834,-0.0944295522547187
"1642.MS00487",-2.66976705492181,-2.14512070885268,-3.59070807616218,8.57044716750237,2.97166588207336,2.62530585174978,-1.56792031673586,6.52056086727216,-4.95885190966908,-4.93594845790202,3.07397023494499,-4.34931445875838,10.5069201342896,-4.02084694116818,-4.54926950970053,7.48430925669187,6.2500586914921,-3.93832750580819,-2.45760796112845,-2.73245366470386,6.22696459585876,-2.81543493131647,-3.64538312558463,-0.564366204767913,2.3782304457873,0.814472841462854,NA,9.01897447499437,-0.590879862420182,-3.62004971488298,2.81048228062497,5.65081529799128,-1.4138371928777,-4.12666871563405,-3.86635828236161,1.47496943266946,2.94816601264079,-3.99780731752056,-0.814343720371,-5.15179108652548
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",0.484827038896915,1.0927072411896,0.927083281793503,-4.05416128055024,-4.5815286444231,-6.13666350621096,2.8387740137581,-7.85621539135363,-0.0699080895736744,3.89792009494256,-2.8506737176582,7.52919723241141,-8.44725469865415,6.62775204087464,2.20677594707456,-6.48323930935156,-7.93151602989993,1.88529408886422,3.37640101002156,0.764669955732052,-8.17731000303898,1.31115303438077,4.13060073963375,1.16655684126943,-5.93970244187659,-1.09409984166636,9.01897447499437,NA,5.06799365662115,6.53303656373241,-4.33673416909536,-6.39108163990388,0.546566374042735,2.1961170047139,8.48340719558702,-5.51267423248225,-2.84919748357414,0.843547260773378,-0.423842968802249,3.04392603705556
"1642.MS00524",-2.1933811900681,-1.73037303883898,-2.55916871696029,5.90709101585685,3.12256207390282,1.9745465602469,-3.47806160604689,4.23327506718981,-3.02725154373968,-3.07566718990558,2.80617099576225,-2.16591728830973,6.23947298903714,-3.31526053614214,-3.05841186710327,5.02051532801293,5.39169778972802,-2.76303964129607,-2.72552169573266,-1.86481647253257,6.27105841402785,-0.918830621001941,-2.38811149696977,-0.35999072002941,1.87788036812057,0.525326811064569,-0.590879862420182,5.06799365662115,NA,-4.00520543667754,2.1498534024352,3.8914089510882,-0.917147821301242,-1.98340742904542,-2.62104979966788,0.819897707241205,2.26834549109408,-3.59485024269206,-0.343639202131082,-3.18539809020841
"1642.MS00640",-5.12209695039152,-3.71397729023908,-3.47306459795679,7.4129313669925,2.11455055174947,1.8542729227122,-4.33338381981888,5.56869017896408,-5.0533598516554,-4.33413234958873,2.22514701537291,-4.94595465637745,9.37436738453955,-5.24382186755688,-4.53027902884389,6.58737563679793,5.99181977990011,-4.35630393398625,-4.29350066030033,-3.47014502551881,6.1964546983465,-2.17842695518035,-4.5683752108267,-1.25781439537563,1.61813129480415,0.459089012875391,-3.62004971488298,6.53303656373241,-4.00520543667754,NA,1.69382190379083,4.31580125150627,-1.7771327434441,-5.0121277600015,-4.88600392521119,0.623469619299966,1.91881128906601,-4.15762913087747,-0.986540758918764,-5.65596547044898
"2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences",-0.402745673544422,0.585988197210309,-0.270491907599029,-2.67823576103735,-4.39540862659097,-5.34630859534604,0.859837701971055,-4.44807526073893,-0.635915664315859,1.11835552532764,-6.25709804828398,1.80239786691994,-3.41385197716525,1.80646170468638,0.769262738852074,-2.85089322124361,-3.73285226256997,0.82208688917798,-0.419734027298238,-0.190624910750831,-3.6406240064652,0.34852374234649,1.60027190680507,-0.464154638530555,-5.34043945017518,-1.53899180877705,2.81048228062497,-4.33673416909536,2.1498534024352,1.69382190379083,NA,-3.33468741502121,-1.35210917174684,0.293576461183469,2.51904743946716,-6.06572607128281,-6.27734719913831,-0.195565162663935,-2.67254394848061,0.0278721069947492
