"","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00584","1642.MS00489","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00409","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00586","1642.MS00393","1642.MS00391","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00467","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00585","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00417","1642.MS00568","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625"
"1642.MS00429",0.0992041002808,0.0931997085696,0.0907097093425,0.0843221306495,0.0778888052547,0.0268876092113,0.0782255487135,0.0248049732691,0.0290119306604,0.0252681819591,0,0.1094651335369,0.0219096279002,0.0899677247717,0.020877400331,0.0794994911522,0.1051655576525,0.0310091305546,0.0225951764468,0.0215785463501,0.0791853537119,0.0865202905229,0.0247196458246,0.0256386584498,0.0953312548981,0.0907809920444,0.0808515457624,0.0843913120808,0.1026569711552,0.0320290809372,0.0287426068315,0.0943063014901,0.0839384530366,0.0289463312689,0.0929299858273,0.0836993224236,0.0224217564597,0.0275774463826,0.082693423972,0.0316262214771
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.0376564404314,0.0228337620192,0.0240759471722,0.0700805630795,0.053013300186,0.1198950563194,0.0609939471752,0.1173608363191,0.1269879024351,0.1282485861743,0.1094651335369,0,0.1205961891132,0.019796236061,0.0970343327636,0.0599911763574,0.021583175882,0.1335185548524,0.1035104157696,0.1080125183089,0.0667657397813,0.0797490399931,0.1091852433839,0.1183368451763,0.0200343667743,0.0238958213522,0.054895087709,0.0635345304863,0.0206367033243,0.131593570134,0.115576864922,0.0216337746348,0.059004673412,0.113379500813,0.01998226522,0.0786421928687,0.1074843219638,0.1119489732336,0.0532483196994,0.1266823748879
"1642.MS00445",0.1040116981764,0.1042001580574,0.0969187148956,0.0909763942905,0.0826450329153,0.0255127012152,0.0876176654807,0.0224973855145,0.0249072932494,0.0215267010418,0.0219096279002,0.1205961891132,0,0.0999527281681,0.0206268687854,0.086511792295,0.1127821810474,0.0246492226653,0.0205275235845,0.0214732797839,0.0872777550176,0.0940049971362,0.0209762554365,0.021552278526,0.1032029505685,0.0912979115113,0.0927639437122,0.0910860965999,0.1103029861255,0.0250741882566,0.0258156830297,0.1035793107593,0.0950198812968,0.0258038236641,0.1040015973385,0.0911829468176,0.0204785176995,0.0253381026542,0.09304944295,0.0249366808793
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.0396070767723,0.0190636488924,0.018828197378,0.053143386384,0.0727654296357,0.0982613474601,0.041566298298,0.0947822455353,0.1056179705682,0.1026993576544,0.0899677247717,0.019796236061,0.0999527281681,0,0.0769862341575,0.0501279383833,0.0194530801329,0.1110894842553,0.0862502958489,0.086847115687,0.0528684652317,0.0605110862223,0.0889823056599,0.0948028180115,0.020083914623,0.0210655274378,0.0375028115931,0.0477212969763,0.0158031708605,0.1076439245736,0.0966965678973,0.0204620802115,0.0333612372476,0.0942247125745,0.0156126944612,0.0620661863723,0.087784077109,0.090268614272,0.0343424278189,0.1069550673939
"1642.MS00409",0.0824840725633,0.0843003611472,0.0768200161232,0.072100034997,0.0882657799579,0.0223841250477,0.0698258315553,0.0181042528288,0.0230119050422,0.0189274220938,0.020877400331,0.0970343327636,0.0206268687854,0.0769862341575,0,0.0694101278898,0.0901137001873,0.022721076713,0.0172906301726,0.0189241448972,0.0710128550338,0.0747984087909,0.0185631562444,0.0185325255199,0.0843533050408,0.0722816632405,0.0727021543403,0.0730498327811,0.0870356317083,0.0227026203578,0.0206068801374,0.0795970275061,0.0748160690475,0.0231994329346,0.0823069137823,0.0716716701046,0.0175992884598,0.0202750387729,0.0740651906974,0.0218153094305
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0358770074589,0.0513872734378,0.0401979233334,0.0337150687332,0.0300887001995,0.0930043214102,0.0262634461524,0.0820117683189,0.0956360495512,0.0987900693981,0.0794994911522,0.0599911763574,0.086511792295,0.0501279383833,0.0694101278898,0,0.0483197787102,0.0973191982921,0.0734560734365,0.0837029919784,0.0206886895708,0.0233085234279,0.0833474404824,0.088444243767,0.0444727197191,0.0401099067893,0.0388605481828,0.0218499259495,0.0621592463214,0.089541954741,0.0791508016822,0.0588024057322,0.0387911982562,0.0803896676904,0.0556468833253,0.0232034177902,0.0754155424589,0.0806232570204,0.0376587712289,0.0788620850737
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",0.0310495941851,0.0251472474967,0.0200531875063,0.0595756160494,0.0577749560756,0.1128288428043,0.0496591948334,0.1064888951277,0.1186407880777,0.1197285347317,0.1051655576525,0.021583175882,0.1127821810474,0.0194530801329,0.0901137001873,0.0483197787102,0,0.1227251882667,0.095200929698,0.1008174192263,0.0528957173353,0.0693683311401,0.1040843172196,0.1094297349507,0.0136831119562,0.0232772645244,0.0442544167708,0.0450050303545,0.0202946515755,0.1213420846804,0.1074593606109,0.0231734394509,0.0513755144597,0.1053709538657,0.0228737367907,0.069687140446,0.0978194629134,0.1031227375859,0.0435095141969,0.1128698497722
"1642.MS00586",0.1152802629247,0.1135715165005,0.1066879570413,0.0979089222777,0.0906411023224,0.02074403049,0.097500266185,0.0215228467755,0.0203449183659,0.0224508212514,0.0310091305546,0.1335185548524,0.0246492226653,0.1110894842553,0.022721076713,0.0973191982921,0.1227251882667,0,0.0256095444639,0.0231408103125,0.0984941388317,0.1078815208655,0.0196876449459,0.0211608753782,0.1115508742839,0.1018341689449,0.1006608224417,0.1015529107536,0.122282466958,0.0211360283499,0.0232197291853,0.1126784353399,0.102999659683,0.0260237595936,0.1132129223807,0.1049168071778,0.0255871991822,0.0206724660867,0.1025207394439,0.0240180761915
"1642.MS00393",0.0870344260881,0.0888665015469,0.0810448958359,0.0763828260166,0.0791756726858,0.0254373483792,0.072861250162,0.0199712701138,0.0261283333665,0.0233950757801,0.0225951764468,0.1035104157696,0.0205275235845,0.0862502958489,0.0172906301726,0.0734560734365,0.095200929698,0.0256095444639,0,0.0191264772791,0.0721285345003,0.0771452094967,0.0201884643466,0.0199592624864,0.0883980768318,0.0756212783268,0.0766748527002,0.0747634175905,0.0926329619649,0.0249414123319,0.0226280232774,0.0867933058616,0.0804999823812,0.0235047640689,0.0891347964527,0.0752990970904,0.0182772163664,0.0224202212087,0.0774276639186,0.02233130822
"1642.MS00391",0.092155181692,0.0912504102252,0.086680177696,0.0867560765672,0.0881716394058,0.0226037739066,0.0796656902682,0.0211815954575,0.0237246074136,0.0216732298467,0.0215785463501,0.1080125183089,0.0214732797839,0.086847115687,0.0189241448972,0.0837029919784,0.1008174192263,0.0231408103125,0.0191264772791,0,0.0830897478042,0.0888313460825,0.0185053356569,0.0207855960347,0.0936145817835,0.0813763557337,0.0848334319486,0.0851916199441,0.0950417042795,0.0247962483246,0.0249597660033,0.0865720926691,0.0853631278042,0.0275527797708,0.0902510193312,0.0841318149055,0.0202889506731,0.0234537423801,0.0868093057361,0.0270487989808
