"","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00474","1642.MS00584","1642.MS00489","1642.MS00429","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00409","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00586","1642.MS00393","1642.MS00391","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00511","1642.MS00467","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00585","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00417","1642.MS00568","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00625"
"1642.MS00429",0.1531959809829,-0.29046114487714,0.097558652465018,4.60202050992743,2.50167577997288,-3.7505044473567,2.7649295065682,-3.04821080077421,-2.34377783785463,-2.58130225292934,NA,-0.618879967072048,-3.89246206838136,-0.597460107480231,-4.51958464625889,2.07036400116218,-0.2042542494816,-2.56300174192905,-4.10047328970843,-4.32337094887321,2.18902809048076,5.6214081986856,-3.27031221005555,-3.81331839219111,-0.190367930983052,0.280037604736205,2.11141766951657,3.95773537447716,-0.144407452379621,-2.33761097792828,-3.11965616053091,-1.43381187505484,2.71206588207889,-2.10197003054412,0.201859207863046,3.98368927266682,-3.42179813989333,-2.14400583857762,2.99199501697194,-1.96342518298604
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",-2.50115711899293,-5.5350578887235,-4.43142202473994,-2.73976696547535,-3.94735392925816,0.0229699777173434,-3.54606553859317,0.477754747025111,1.06158899646624,1.03681130821439,-0.618879967072048,NA,0.504470281641515,-5.64470172484161,-0.763556343343377,-3.71905957317155,-2.91364435360495,1.26526572574904,-0.538250506717255,-0.521213053863525,-3.44881255933763,-2.44967151237933,-0.316564340464679,0.200630906211122,-4.0024779935364,-5.16496809175663,-3.52564158680881,-3.7047249158762,-4.58771048027948,1.341405556576,0.353233606829089,-5.5075135133459,-3.82115561754563,0.0719832542241452,-7.02439681289049,-2.6283348992084,-0.356404232969246,-0.0484106191837326,-4.9338295243969,1.23410103648737
"1642.MS00445",0.440885460245027,1.34685423075905,1.09386602885381,7.5738108065022,5.18213664970134,-4.46692948193351,6.62464625111204,-3.62004042265647,-3.51500223750525,-3.17032857869231,-3.89246206838136,0.504470281641515,NA,0.463471342016713,-4.15205114270659,5.10896874667098,0.567501065487105,-4.14313718699562,-4.41350055776613,-4.16571026069643,6.39119757077358,9.40570536206937,-3.60721881405373,-4.42081993640632,0.731567820410652,0.871221199796985,5.94079776959117,7.71162085908514,0.334211172345465,-3.99837585139,-2.80477673171102,-0.64546260694109,7.41797191205983,-2.81615259962316,1.60406677339115,9.01797721539265,-4.05161243642123,-2.52849399586589,6.75260569445908,-3.88068387963935
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",-1.93129297570134,-6.33689581396975,-4.528868337735,-2.37332626220183,-0.627963331036288,-0.025611240664033,-1.49774774402724,0.275427168425015,0.451035317422103,0.547370483193389,-0.597460107480231,-5.64470172484161,0.463471342016713,NA,-0.835067898246233,-3.15992140350039,-5.81052898066115,0.579279699013715,-0.297006726286125,-0.413788922449647,-3.03427868966843,-1.48261256671943,-0.358617659719571,-0.144372261007425,-6.61457467725517,-6.93073209731917,-2.66016089895015,-2.54018149121456,-5.46942445238639,1.00219593570701,0.202879242726044,-7.97833142301669,-1.51942284882353,0.0190265113197169,-6.54014292557016,-1.40953671340995,-0.249220854558254,0.530983762092034,-7.25383951879232,1.11398986436548
"1642.MS00409",-0.476533107071437,-0.505408492721671,-0.566183028778377,3.65371910382772,0.972119450466047,-5.19391317027539,0.00175186714578873,-5.3572701651573,-3.5938310220617,-4.57640942260594,-4.51958464625889,-0.763556343343377,-4.15205114270659,-0.835067898246233,NA,-0.10012005230188,-0.71115940622719,-3.86463926198925,-5.20338822274325,-4.49529903375989,-0.0863692208962331,5.34327449750647,-3.41969682498584,-4.92038623596295,-0.585574353318339,-0.597016133660428,-0.154038646202596,3.95607899830722,-0.664918607750618,-3.53995443115759,-5.36676702358207,-1.28568251183616,-0.040954002749903,-3.81211439585928,-0.426342143160552,3.94171079199241,-5.53485395853346,-4.1828413842521,-0.0835752979080151,-4.30635274919976
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",-4.95293739795112,-4.16875532884863,-5.28797043606424,-6.53895549141289,-7.01422968855261,1.05954837880407,-6.52539991359313,3.06685209081309,4.59085926203805,5.58817291131375,2.07036400116218,-3.71905957317155,5.10896874667098,-3.15992140350039,-0.10012005230188,NA,-5.65156806791861,6.72768646703327,0.419680056192228,0.824936092410858,-6.82216766873656,-4.09946656045017,0.327669929450473,2.21790740955428,-6.31978961443369,-3.58540224856932,-6.72184490224574,-7.61380530422231,-2.12237780940915,4.74806371487279,2.82966472953435,-3.53488358197716,-6.82296746680184,1.92588055952406,-2.91187576104936,-6.80975003947658,2.1295742803494,1.26607342006315,-8.01526025542601,4.84114145917036
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",-2.07658280687528,-4.56574938308916,-5.57648794638904,-2.48783084253622,-2.54795291842587,0.129128427879824,-2.65415244395412,0.174654376432464,0.801797885998442,0.848930844914595,-0.2042542494816,-2.91364435360495,0.567501065487105,-5.81052898066115,-0.71115940622719,-5.65156806791861,NA,0.917551275739365,-0.550003153387567,-0.390092013275977,-2.83093332351133,-1.87180445375898,-0.2117140887308,0.108624888309801,-5.15608930339623,-5.26764025585624,-5.14771598803475,-5.56473090367916,-5.5185245329817,1.20732652067313,0.265678126350711,-4.74240385197739,-2.64414890974349,0.127596887664071,-4.48453801670828,-1.94087503114176,-0.376550358263155,0.0770704186492394,-5.2036914398511,0.7519293010392
"1642.MS00586",0.755118924961132,1.71380068350494,0.886495034710797,8.04066103308777,6.91419345748495,-3.24238217738116,8.1243955891873,-2.88261463515057,-2.63043483677849,-3.11774441855224,-2.56300174192905,1.26526572574904,-4.14313718699562,0.579279699013715,-3.86463926198925,6.72768646703327,0.917551275739365,NA,-2.60484657791348,-3.53101108500052,7.80067144459282,11.7136040634563,-3.37851704331331,-2.25392868179139,1.21028593453988,1.30812373759949,7.220246201253,9.4756058352602,1.0931016562451,-2.61303250168597,-3.95240626360542,0.0914487880705174,8.06361106628518,-2.29765620112157,1.9065649626307,10.4905320111285,-2.87539296137504,-3.6282518122383,8.42819894798338,-3.74617401952531
"1642.MS00393",-0.27453083427515,-0.343903368050305,-0.306217918891065,5.38117259159414,1.11002877786114,-3.887586937976,0.480119879123087,-3.21755320405846,-2.43831183311891,-2.4901065133143,-4.10047328970843,-0.538250506717255,-4.41350055776613,-0.297006726286125,-5.20338822274325,0.419680056192228,-0.550003153387567,-2.60484657791348,NA,-5.48454110211392,0.23114408008691,6.61542068610423,-4.97749996348601,-4.03040022565227,-0.381378176869515,-0.477727849750841,0.356492824479035,4.27924538747323,-0.512068666121993,-2.88416972659821,-3.42552279324191,-0.877262123916035,0.55071952908497,-3.04184229730963,-0.0354662859431318,5.16467570577403,-4.91609834655374,-2.72207851557825,0.365396706788376,-3.52564008830321
"1642.MS00391",-0.269892788203811,-0.359643947694592,-0.237492946641486,5.40963005302413,1.44393343902437,-4.10851799759461,0.618133073306606,-3.25671723655986,-3.42986763167056,-3.35401923020362,-4.32337094887321,-0.521213053863525,-4.16571026069643,-0.413788922449647,-4.49529903375989,0.824936092410858,-0.390092013275977,-3.53101108500052,-5.48454110211392,NA,0.707217295740295,7.17237736968059,-3.55264162162224,-4.02096652685053,-0.377888243601284,-0.367715757625393,0.643801721266468,4.46816967036465,-0.53905668526934,-3.7967783640403,-4.08535487092618,-0.99961888831261,0.768594727701856,-3.68278087562195,-0.127222138779693,5.53794067439394,-4.07966180852654,-2.92362984777137,0.862895858745168,-4.01600268938948
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",-6.15242224701475,-4.34508507683225,-5.14239775333039,-5.66350832730484,-7.92727787547583,1.14306255176169,-7.29353575018488,3.58488873519026,5.40262060487414,4.30154854093463,2.18902809048076,-3.44881255933763,6.39119757077358,-3.03427868966843,-0.0863692208962331,-6.82216766873656,-2.83093332351133,7.80067144459282,0.23114408008691,0.707217295740295,NA,-3.71790251594047,0.265993205519265,1.51915360540084,-3.74266912132136,-3.80679490031802,-7.24337778807362,-7.67938979415958,-2.02365286728538,6.19106182714882,4.89754302602984,-3.94516766896248,-7.88330965471612,2.15502399147802,-2.18805544794313,-8.59734512003185,2.33752561942039,1.28948794589878,-7.85584543337982,5.07223882205721
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",-1.16640141847762,-2.37656184188914,-1.41779437758903,-4.64718115499598,-6.25024535945131,11.1966084207881,-3.9124278093184,8.75686088328971,14.3302005466888,9.70587604479039,5.6214081986856,-2.44967151237933,9.40570536206937,-1.48261256671943,5.34327449750647,-4.09946656045017,-1.87180445375898,11.7136040634563,6.61542068610423,7.17237736968059,-3.71790251594047,NA,8.20019156542926,8.61801651862953,-2.90994269144266,-3.0236894833455,-4.44890347872601,-6.27480548460602,-1.79163205638447,11.561088208699,8.52947479977011,-2.15575553833566,-6.23006970564641,8.13099135421151,-1.21536394257181,-6.2394715851419,6.6322601525973,7.8767309317835,-6.01900931119812,9.13377292599782
"1642.MS00511",-0.214164787078083,-0.188170357606722,-0.116044574625749,7.05498355284913,1.36282065506759,-4.33438426655804,0.457352240484542,-5.56688589443692,-4.05809791649684,-5.00810318994228,-3.27031221005555,-0.316564340464679,-3.60721881405373,-0.358617659719571,-3.41969682498584,0.327669929450473,-0.2117140887308,-3.37851704331331,-4.97749996348601,-3.55264162162224,0.265993205519265,8.20019156542926,NA,-5.66935875079116,-0.261419125162199,-0.256272089738811,0.326750726297464,6.93341426164419,-0.354895427851634,-2.84292999688881,-3.43342558615709,-0.685045942139047,0.469702855752468,-2.6984347229808,-0.0466254286616998,6.23931706300661,-4.511241928319,-3.60251795598821,0.496189704104509,-4.84750584359632
"1642.MS00467",0.309271024733449,0.239428388407523,0.338382283620987,6.79861167619631,1.4711921672435,-3.13977964561669,2.43645673610168,-3.25075257960818,-2.49632763384291,-4.58701986579174,-3.81331839219111,0.200630906211122,-4.42081993640632,-0.144372261007425,-4.92038623596295,2.21790740955428,0.108624888309801,-2.25392868179139,-4.03040022565227,-4.02096652685053,1.51915360540084,8.61801651862953,-5.66935875079116,NA,0.564527785131621,0.300306594539699,1.80962725766327,5.66156383078496,-0.263567728130954,-0.88934361158272,-2.85174733531141,-0.582911487132801,2.9727219679194,-3.77744803354276,0.898644480698089,7.04561110331145,-5.55119577745948,-0.268764378039831,2.11448693113819,-4.67218617670743
"2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences",-6.75879389684305,-6.50793204508948,-5.70047717666555,-2.9947368726779,-3.38199949391544,0.0964357149331598,-3.77682912023889,0.642058358319444,1.23780762382227,2.01609165502413,-0.190367930983052,-4.0024779935364,0.731567820410652,-6.61457467725517,-0.585574353318339,-6.31978961443369,-5.15608930339623,1.21028593453988,-0.381378176869515,-0.377888243601284,-3.74266912132136,-2.90994269144266,-0.261419125162199,0.564527785131621,NA,-6.29593133450877,-5.75350637432776,-7.10599011140664,-5.94239363567786,1.21482965257321,0.552432797651087,-7.66929954712002,-3.6055763902841,0.340849272480135,-4.6612958015108,-2.84338605870542,-0.292415013632706,0.0552417060767975,-5.71992378261565,1.07357752152802
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",-1.77577733845008,-2.43029613999663,-6.98688107141413,-2.58886234935503,-3.42023993022795,0.159950964532868,-4.33823785086425,0.213355312527581,1.13007883447039,1.34901600967354,0.280037604736205,-5.16496809175663,0.871221199796985,-6.93073209731917,-0.597016133660428,-3.58540224856932,-5.26764025585624,1.30812373759949,-0.477727849750841,-0.367715757625393,-3.80679490031802,-3.0236894833455,-0.256272089738811,0.300306594539699,-6.29593133450877,NA,-3.25478139409394,-3.64336011923324,-5.58445419252626,1.83359399011553,0.126940164440538,-5.78221081303989,-4.28533433106789,0.0820817233657606,-3.16301540003536,-3.10857229896182,-0.268059219607961,-0.234355142831924,-4.04584769205506,1.27935674655075
"2382.SH004.C1.RH.2.407.rhizo.4.12.lane7.NoIndex.L007.sequences",-1.78668307583519,-4.65862638920994,-4.9542777351516,-7.11025869943818,-6.10302751185387,1.06972853443164,-8.21352344936179,3.36185542924474,4.92191920606874,5.25191317435814,2.11141766951657,-3.52564158680881,5.94079776959117,-2.66016089895015,-0.154038646202596,-6.72184490224574,-5.14771598803475,7.220246201253,0.356492824479035,0.643801721266468,-7.24337778807362,-4.44890347872601,0.326750726297464,1.80962725766327,-5.75350637432776,-3.25478139409394,NA,-7.8163919364743,-2.1694917783658,5.85688070996431,4.65799504636942,-5.33719406003796,-8.00222197876878,2.15510290876448,-2.67680735470885,-6.25856048274307,1.73364321058678,1.43216364817485,-6.44582362482515,5.55511855857766
"2382.RU006.C181.RH.1.777.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.51106055545479,-4.59742875801074,-4.8473800946053,-6.57044424437619,-7.68270511043653,8.77048525492879,-6.29250705172236,6.97757708938794,10.3677582686333,5.92302695736681,3.95773537447716,-3.7047249158762,7.71162085908514,-2.54018149121456,3.95607899830722,-7.61380530422231,-5.56473090367916,9.4756058352602,4.27924538747323,4.46816967036465,-7.67938979415958,-6.27480548460602,6.93341426164419,5.66156383078496,-7.10599011140664,-3.64336011923324,-7.8163919364743,NA,-1.76001288779571,8.78740591611452,5.69032363577092,-3.24606272394543,-6.99274488603299,6.31954632028286,-2.69721030844004,-6.7496789536743,5.1579931706379,6.59886318598904,-9.98512298505729,6.22247734983928
"2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences",-1.99189593862055,-6.52056289397597,-5.82635962725477,-1.52967897231676,-2.18515978982765,0.0829681094487609,-2.04715282892191,0.383882290164603,0.740605258913265,0.48708996290797,-0.144407452379621,-4.58771048027948,0.334211172345465,-5.46942445238639,-0.664918607750618,-2.12237780940915,-5.5185245329817,1.0931016562451,-0.512068666121993,-0.53905668526934,-2.02365286728538,-1.79163205638447,-0.354895427851634,-0.263567728130954,-5.94239363567786,-5.58445419252626,-2.1694917783658,-1.76001288779571,NA,1.15522062230351,0.0930751542997949,-4.99940012115973,-5.6714257773806,-0.147637451906275,-6.08264066301856,-2.28914693611577,-0.419564839735214,-0.14950467253576,-6.25994672371144,1.01040406710763
